	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
TERT_E5_STA101180	1324.0	2711.0	2800.0	1636.0	1338.0	659.0	2580.0	2565.0	338.0	921.0	2438.0	1147.0	1870.0	2786.0	668.0	2130.0	1639.0	3710.0	3152.0	2290.0	3786.0	2766.0	1532.0	2524.0	2122.0	1390.0	1566.0	798.0	1858.0	3200.0	4711.0
TERT_E5_STA101181	1188.0	2295.0	2144.0	1314.0	1252.0	531.0	1891.0	1983.0	357.0	837.0	2615.0	1213.0	1631.0	2267.0	456.0	1680.0	1513.0	3247.0	2585.0	1947.0	2838.0	2075.0	1727.0	2785.0	1342.0	1081.0	1403.0	461.0	1450.0	2100.0	5207.0
TERT_E5_STA101182	3092.0	5410.0	6210.0	3251.0	3065.0	1237.0	5480.0	5101.0	979.0	2458.0	6526.0	3188.0	4489.0	5791.0	1440.0	4859.0	3837.0	8509.0	6939.0	4888.0	7631.0	5693.0	3929.0	6750.0	3833.0	2715.0	3374.0	1414.0	3810.0	6095.0	13913.0
TERT_E4_STA101183	1730.0	3948.0	4293.0	2226.0	1744.0	991.0	3526.0	3062.0	708.0	1671.0	3069.0	1679.0	2488.0	3726.0	715.0	3023.0	2852.0	6195.0	5025.0	3601.0	5779.0	3878.0	2774.0	3721.0	2400.0	2615.0	2657.0	1260.0	3391.0	4392.0	7084.0
TERT_E4_STA101184	2553.0	4033.0	4793.0	3086.0	2446.0	1085.0	4988.0	3465.0	814.0	2499.0	4091.0	2316.0	3239.0	3581.0	923.0	3633.0	3472.0	7643.0	5942.0	3826.0	6903.0	5603.0	2484.0	4882.0	3033.0	2843.0	3212.0	1149.0	4342.0	5171.0	9949.0
TERT_E4_STA101185	3918.0	5432.0	6548.0	5537.0	4207.0	1750.0	7579.0	5409.0	921.0	3550.0	11067.0	4365.0	5160.0	5753.0	1563.0	7581.0	5604.0	12752.0	7270.0	5927.0	10287.0	7657.0	4574.0	7728.0	5213.0	4047.0	5863.0	1637.0	5011.0	8232.0	16078.0
TERT_E3_STA101186	5443.0	8612.0	8606.0	6576.0	5218.0	1793.0	8789.0	8196.0	1163.0	4055.0	8108.0	4639.0	6589.0	6548.0	1765.0	7337.0	5024.0	12779.0	11865.0	6862.0	10930.0	7284.0	5973.0	10290.0	6359.0	4582.0	5709.0	2044.0	7084.0	8970.0	18284.0
TERT_E3_STA101187	7461.0	8681.0	10686.0	8553.0	7551.0	2945.0	11569.0	9625.0	1564.0	5849.0	10879.0	7457.0	8774.0	8137.0	2291.0	10160.0	8780.0	20704.0	14812.0	8693.0	16758.0	11714.0	6459.0	11481.0	8109.0	6380.0	8800.0	2398.0	10997.0	12653.0	28405.0
TERT_E3_STA101188	7276.0	8268.0	10253.0	8112.0	6824.0	2924.0	10407.0	9040.0	1404.0	5706.0	14676.0	6951.0	9439.0	8004.0	2046.0	10730.0	8540.0	18081.0	13596.0	7820.0	14530.0	8600.0	5955.0	9968.0	8405.0	5152.0	7531.0	2173.0	8287.0	11327.0	23994.0
TERT_E2_STA101189	3983.0	3294.0	4108.0	4221.0	3166.0	1269.0	4917.0	4085.0	895.0	2652.0	8230.0	3638.0	4123.0	4093.0	982.0	5215.0	4456.0	7079.0	3822.0	3768.0	8501.0	5256.0	2594.0	3834.0	3408.0	2172.0	3934.0	1022.0	3889.0	5916.0	12940.0
