	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
JAK1_E25_STA100319	1786.0	3619.0	1927.0	668.0	2909.0	1067.0	2350.0	2497.0	332.0	1285.0	550.0	1081.0	2161.0	1534.0	898.0	922.0	1244.0	1756.0	4601.0	1113.0	2399.0	916.0	1369.0	2797.0	2854.0	693.0	1081.0	335.0	2434.0	1927.0	3710.0
JAK1_E25_STA100320	2375.0	4647.0	2392.0	736.0	4292.0	1501.0	3128.0	3338.0	427.0	1613.0	738.0	1397.0	3002.0	2096.0	1178.0	1146.0	1636.0	2499.0	6214.0	1682.0	3387.0	1611.0	1791.0	4005.0	3489.0	1065.0	1736.0	528.0	3524.0	2105.0	5302.0
JAK1_E25_STA100321	1392.0	2439.0	1655.0	612.0	1980.0	580.0	1860.0	1663.0	144.0	1027.0	406.0	784.0	1735.0	1076.0	824.0	726.0	850.0	1692.0	3911.0	1036.0	1696.0	1003.0	1094.0	2845.0	2048.0	578.0	823.0	218.0	1815.0	1027.0	2974.0
JAK1_E24_STA100322	7752.0	9473.0	5956.0	3617.0	11613.0	4023.0	7348.0	8666.0	1128.0	5883.0	2151.0	4712.0	7809.0	5538.0	3152.0	4212.0	5423.0	8041.0	14187.0	4830.0	12173.0	4572.0	4549.0	8996.0	9581.0	2640.0	7330.0	1210.0	9717.0	6873.0	18304.0
JAK1_E24_STA100323	7078.0	11072.0	7528.0	3107.0	12464.0	4114.0	8358.0	9400.0	1160.0	5709.0	2278.0	4102.0	9260.0	6238.0	3494.0	4662.0	5564.0	7470.0	16903.0	5458.0	11388.0	4864.0	5257.0	11151.0	10767.0	2902.0	6378.0	820.0	10309.0	7218.0	17042.0
JAK1_E24_STA100324	2261.0	3612.0	2794.0	1172.0	4565.0	1500.0	3228.0	2752.0	418.0	1952.0	790.0	1414.0	2771.0	1755.0	1424.0	1426.0	2158.0	2972.0	5945.0	1990.0	4355.0	1981.0	1435.0	4011.0	3910.0	1060.0	2378.0	260.0	4038.0	2818.0	5922.0
JAK1_E23_STA100325	6764.0	9000.0	6871.0	2955.0	11611.0	3428.0	6915.0	7471.0	975.0	5077.0	2739.0	4425.0	7683.0	5067.0	3035.0	4194.0	5254.0	7729.0	12803.0	4820.0	10112.0	4128.0	3887.0	9530.0	10023.0	2127.0	5995.0	877.0	8561.0	6339.0	15358.0
JAK1_E23_STA100326	1502.0	2407.0	996.0	602.0	2129.0	841.0	1597.0	1358.0	174.0	1478.0	394.0	1039.0	1659.0	971.0	585.0	746.0	1175.0	1470.0	3335.0	923.0	2889.0	1225.0	886.0	2084.0	1785.0	728.0	1551.0	252.0	2650.0	1744.0	3600.0
JAK1_E22_STA100327	6974.0	12071.0	7882.0	3160.0	10900.0	3629.0	9733.0	8395.0	1100.0	5149.0	2291.0	4912.0	8288.0	7102.0	4220.0	4371.0	5379.0	7437.0	17423.0	5870.0	11053.0	4793.0	5529.0	12506.0	12213.0	2849.0	5114.0	1280.0	9685.0	7324.0	16077.0
JAK1_E22_STA100328	18732.0	24923.0	16952.0	8377.0	25909.0	9231.0	20776.0	22638.0	2870.0	12565.0	6308.0	9802.0	18724.0	15785.0	8471.0	10808.0	12550.0	18214.0	38186.0	13067.0	24528.0	11734.0	11736.0	27793.0	26174.0	5859.0	13942.0	2491.0	21225.0	17932.0	37696.0
JAK1_E22_STA100329	9827.0	13022.0	9095.0	4293.0	15589.0	5032.0	10205.0	10838.0	1337.0	8475.0	2744.0	5754.0	9883.0	5916.0	4510.0	5558.0	7380.0	11521.0	20952.0	6326.0	14794.0	6873.0	3948.0	15240.0	13471.0	3538.0	8533.0	1124.0	13173.0	9994.0	22266.0
JAK1_E22_STA100330	4235.0	5134.0	3256.0	1857.0	6239.0	2188.0	4184.0	4788.0	481.0	3235.0	1276.0	2700.0	4844.0	2762.0	1550.0	2292.0	2970.0	4876.0	7843.0	2618.0	6514.0	2382.0	344.0	5551.0	5250.0	1465.0	4044.0	468.0	5343.0	3598.0	9485.0
JAK1_E21_STA100331	1967.0	4318.0	2758.0	982.0	3344.0	1155.0	2838.0	3000.0	362.0	1691.0	669.0	1106.0	2255.0	2081.0	1118.0	1370.0	1377.0	2456.0	5208.0	1857.0	3168.0	1451.0	1794.0	4207.0	3177.0	847.0	1653.0	332.0	3198.0	2361.0	4433.0
JAK1_E21_STA100332	11293.0	13901.0	10494.0	4696.0	15849.0	5346.0	11936.0	10628.0	1654.0	7949.0	4086.0	6761.0	13136.0	8479.0	4026.0	5610.0	7824.0	12774.0	21663.0	6858.0	18485.0	7982.0	6135.0	13425.0	13043.0	4207.0	9081.0	2037.0	13390.0	12340.0	26791.0
JAK1_E21_STA100333	10561.0	16942.0	10924.0	5392.0	16811.0	5356.0	13225.0	13085.0	1823.0	9170.0	5566.0	7198.0	13016.0	10999.0	4933.0	7893.0	8316.0	13035.0	18767.0	7851.0	15379.0	6999.0	8690.0	16451.0	15686.0	4298.0	9245.0	1635.0	11195.0	12374.0	26642.0
JAK1_E20_STA100334	2995.0	4483.0	3726.0	1286.0	4880.0	1489.0	5005.0	3254.0	541.0	2520.0	1541.0	2010.0	4002.0	2124.0	1273.0	2009.0	2594.0	3924.0	5905.0	2577.0	6130.0	2687.0	2096.0	4662.0	4385.0	1728.0	2958.0	447.0	3516.0	3501.0	9048.0
JAK1_E20_STA100335	15177.0	25098.0	18306.0	6216.0	18480.0	6402.0	20371.0	19823.0	2851.0	10441.0	5296.0	9291.0	17141.0	14599.0	5234.0	9575.0	12233.0	17514.0	25883.0	11452.0	26213.0	11502.0	9779.0	19698.0	19676.0	6200.0	12108.0	2490.0	14840.0	17326.0	39449.0
JAK1_E20_STA100336	14150.0	26028.0	19426.0	6120.0	19653.0	6109.0	22314.0	18890.0	2817.0	11608.0	5852.0	9870.0	18384.0	14860.0	5298.0	9569.0	11363.0	18761.0	27505.0	11441.0	25275.0	12733.0	10545.0	21477.0	20899.0	5998.0	12491.0	2586.0	14862.0	16811.0	43074.0
JAK1_E20_STA100337	11759.0	22076.0	16251.0	4939.0	17249.0	4775.0	17841.0	15844.0	2424.0	10353.0	7967.0	8004.0	15401.0	12517.0	4262.0	8122.0	9141.0	14398.0	21448.0	9476.0	19504.0	9795.0	9945.0	18370.0	16877.0	4648.0	9969.0	2125.0	11049.0	13067.0	37190.0
JAK1_E19_STA100338	5403.0	9831.0	6849.0	2457.0	7462.0	2602.0	9816.0	6544.0	852.0	3949.0	3390.0	3368.0	5794.0	5643.0	2106.0	3755.0	4250.0	6889.0	10004.0	4304.0	9953.0	4379.0	4727.0	8621.0	7817.0	2740.0	4664.0	809.0	6108.0	6520.0	14895.0
JAK1_E19_STA100339	5771.0	8649.0	4830.0	2843.0	8206.0	2610.0	7242.0	5749.0	759.0	4380.0	2226.0	3780.0	6245.0	4881.0	1357.0	3106.0	4694.0	8146.0	9077.0	4034.0	10552.0	5025.0	3469.0	6649.0	6293.0	2661.0	5497.0	891.0	6064.0	6203.0	15545.0
JAK1_E19_STA101785	9609.0	13142.0	10436.0	4855.0	14213.0	5105.0	12313.0	11171.0	1837.0	8324.0	4704.0	7033.0	12480.0	8217.0	3324.0	6811.0	8276.0	14371.0	16237.0	7418.0	17175.0	8835.0	6508.0	13003.0	12985.0	4683.0	10287.0	1835.0	11985.0	10761.0	31519.0
JAK1_E18_STA100341	14555.0	24133.0	17585.0	5754.0	20715.0	5908.0	19083.0	18447.0	2213.0	10887.0	5732.0	9754.0	17973.0	13588.0	6109.0	10702.0	10555.0	17912.0	25123.0	10353.0	22025.0	10091.0	10560.0	22779.0	17286.0	5342.0	12617.0	2175.0	14345.0	16100.0	39168.0
JAK1_E18_STA100342	1387.0	4016.0	2439.0	679.0	2454.0	842.0	2410.0	2323.0	354.0	1356.0	450.0	1032.0	1775.0	1754.0	940.0	869.0	1394.0	2045.0	4180.0	1175.0	2980.0	1336.0	1373.0	2950.0	2592.0	836.0	1314.0	447.0	2494.0	2387.0	4125.0
JAK1_E17_STA100343	4893.0	9129.0	6304.0	2908.0	6924.0	2435.0	11181.0	6592.0	958.0	4366.0	3567.0	3183.0	5158.0	6020.0	2127.0	4142.0	4418.0	7451.0	9994.0	4592.0	8607.0	4599.0	4709.0	8162.0	8138.0	2227.0	4205.0	1209.0	4863.0	6746.0	13766.0
JAK1_E17_STA100344	6052.0	7978.0	6233.0	3409.0	7600.0	2751.0	10467.0	6996.0	853.0	5421.0	4826.0	3885.0	7118.0	5571.0	1768.0	4384.0	5405.0	9770.0	9537.0	5018.0	11872.0	5978.0	5146.0	8442.0	7951.0	3088.0	5960.0	1102.0	5655.0	7806.0	17992.0
JAK1_E17_STA100345	4828.0	8642.0	6862.0	2230.0	5891.0	2049.0	8812.0	6637.0	800.0	3776.0	2809.0	2912.0	5431.0	5271.0	1342.0	3591.0	3978.0	6779.0	8861.0	4228.0	8447.0	4301.0	4313.0	6693.0	6407.0	2575.0	5040.0	769.0	4284.0	5625.0	14126.0
JAK1_E16_STA100346	6056.0	9203.0	9178.0	3177.0	10091.0	2561.0	11694.0	6599.0	1077.0	5202.0	4646.0	4452.0	7295.0	5272.0	2184.0	4979.0	5432.0	8368.0	10014.0	5199.0	12454.0	6012.0	3867.0	9412.0	8090.0	2872.0	5145.0	1107.0	5736.0	8220.0	20516.0
JAK1_E16_STA100347	1620.0	4453.0	3096.0	895.0	2419.0	918.0	4321.0	2796.0	208.0	1757.0	839.0	1211.0	2335.0	2447.0	803.0	1518.0	1788.0	3029.0	4451.0	1710.0	3098.0	1818.0	1683.0	2752.0	2812.0	1248.0	1393.0	429.0	1905.0	2791.0	5105.0
JAK1_E15_STA100348	8392.0	15714.0	13242.0	4284.0	11436.0	3400.0	17865.0	10859.0	1810.0	7139.0	6005.0	6431.0	10567.0	11834.0	3022.0	6549.0	6907.0	12493.0	15443.0	7960.0	16308.0	6833.0	6423.0	14477.0	12956.0	3828.0	7795.0	1839.0	7341.0	11785.0	25976.0
JAK1_E15_STA100349	6249.0	8590.0	6752.0	3059.0	7674.0	2340.0	10046.0	6717.0	1231.0	4435.0	4391.0	3761.0	6620.0	6447.0	1651.0	4890.0	4238.0	6766.0	8361.0	5395.0	11405.0	5037.0	5139.0	8105.0	7833.0	2775.0	5830.0	1342.0	5140.0	6363.0	17304.0
JAK1_E14_STA100350	3605.0	4838.0	3774.0	1994.0	4873.0	1383.0	6958.0	3207.0	588.0	2687.0	2309.0	2980.0	3926.0	2819.0	1042.0	2572.0	3284.0	5212.0	5160.0	2460.0	7917.0	3744.0	2233.0	4106.0	4496.0	1812.0	3023.0	645.0	3976.0	4888.0	10814.0
JAK1_E14_STA100351	874.0	1470.0	1700.0	437.0	1261.0	364.0	2164.0	864.0	173.0	959.0	794.0	556.0	1090.0	829.0	410.0	776.0	1105.0	1679.0	1796.0	973.0	2135.0	1137.0	827.0	1436.0	1474.0	593.0	855.0	232.0	1008.0	1334.0	2843.0
JAK1_E13_STA100352	3799.0	5673.0	5151.0	1883.0	5937.0	1862.0	5646.0	3883.0	986.0	3138.0	1771.0	2369.0	4533.0	3168.0	1524.0	2558.0	3155.0	5547.0	7526.0	3469.0	8221.0	3511.0	2345.0	5636.0	5504.0	1688.0	4065.0	690.0	4474.0	5338.0	11512.0
JAK1_E13_STA100353	703.0	2110.0	1702.0	468.0	968.0	430.0	1674.0	977.0	198.0	564.0	384.0	714.0	972.0	1144.0	470.0	543.0	627.0	1294.0	2030.0	875.0	1415.0	685.0	587.0	1433.0	1344.0	374.0	723.0	251.0	790.0	1255.0	2325.0
JAK1_E12_STA100354	3314.0	5107.0	4467.0	1807.0	4335.0	1505.0	7322.0	3985.0	722.0	3572.0	2810.0	2390.0	4125.0	3085.0	1231.0	2827.0	3270.0	5377.0	5507.0	3061.0	7635.0	3357.0	2240.0	4964.0	5721.0	1547.0	3562.0	664.0	4275.0	4944.0	11258.0
JAK1_E12_STA100355	17417.0	23429.0	18669.0	8656.0	23961.0	6203.0	30590.0	18932.0	3005.0	12820.0	16068.0	12398.0	20550.0	14086.0	5690.0	15833.0	15803.0	24420.0	23365.0	14022.0	33364.0	13114.0	11416.0	23120.0	24690.0	7604.0	15693.0	2630.0	15236.0	19188.0	50629.0
JAK1_E11_STA100356	10717.0	16570.0	11227.0	6300.0	14946.0	5441.0	19389.0	12032.0	1725.0	8078.0	7421.0	5591.0	12168.0	10674.0	3781.0	9286.0	8739.0	15010.0	19593.0	7463.0	16701.0	7290.0	9371.0	17506.0	15427.0	4648.0	9766.0	1934.0	11147.0	11512.0	27133.0
JAK1_E11_STA100357	4870.0	8562.0	6438.0	2660.0	7919.0	2440.0	8923.0	5762.0	1171.0	3996.0	3783.0	2848.0	6038.0	5620.0	1747.0	4129.0	4441.0	7321.0	10037.0	4458.0	8153.0	3902.0	4543.0	9373.0	8270.0	1970.0	4654.0	849.0	4958.0	5155.0	13875.0
JAK1_E11_STA100358	4443.0	6548.0	6287.0	2384.0	7476.0	2643.0	7720.0	4006.0	858.0	4151.0	2082.0	3262.0	5877.0	3658.0	2489.0	2572.0	4099.0	6570.0	10236.0	4227.0	9914.0	3831.0	2963.0	7995.0	7329.0	2221.0	4876.0	804.0	6789.0	6069.0	12907.0
JAK1_E10_STA100359	1379.0	4015.0	2925.0	773.0	2361.0	937.0	3986.0	2289.0	264.0	1365.0	1054.0	1372.0	1972.0	2378.0	911.0	1173.0	1333.0	2469.0	4569.0	1451.0	3439.0	1580.0	1795.0	3816.0	2631.0	975.0	1433.0	464.0	2381.0	3397.0	4135.0
JAK1_E10_STA100360	9485.0	12866.0	8225.0	4166.0	13576.0	3753.0	14528.0	8251.0	1310.0	7434.0	6317.0	7168.0	11710.0	7476.0	2650.0	7148.0	7189.0	11787.0	13287.0	6884.0	18292.0	7373.0	5607.0	10911.0	11627.0	3334.0	8463.0	1228.0	9860.0	10510.0	28486.0
JAK1_E9_STA100361	2202.0	4453.0	3326.0	1431.0	3269.0	1317.0	4564.0	2353.0	321.0	2289.0	1677.0	1880.0	3166.0	2107.0	1036.0	1624.0	2227.0	4229.0	5059.0	2171.0	4984.0	2598.0	1859.0	4075.0	3702.0	1398.0	2504.0	409.0	3612.0	3384.0	7801.0
JAK1_E9_STA100362	4014.0	7664.0	5552.0	2681.0	6188.0	2317.0	7636.0	4528.0	613.0	4034.0	2552.0	3220.0	5674.0	3651.0	1772.0	2808.0	3825.0	7526.0	9707.0	3737.0	9342.0	4678.0	3157.0	6698.0	6234.0	2614.0	4974.0	831.0	6725.0	6189.0	14268.0
JAK1_E9_STA100363	11876.0	18715.0	13526.0	6182.0	14239.0	5464.0	17517.0	13937.0	2080.0	8845.0	7531.0	8195.0	14528.0	11704.0	4268.0	8598.0	9545.0	14613.0	17272.0	9474.0	18193.0	8368.0	8812.0	18096.0	15107.0	4759.0	10266.0	2024.0	10197.0	14404.0	30121.0
JAK1_E8_STA100364	6308.0	9698.0	5697.0	3055.0	8571.0	3112.0	6411.0	7665.0	1186.0	5260.0	2158.0	3465.0	6999.0	5720.0	2633.0	3732.0	4739.0	6338.0	13310.0	4626.0	8410.0	3876.0	4560.0	9783.0	9487.0	2132.0	5294.0	1000.0	7283.0	5955.0	14650.0
JAK1_E8_STA100365	15783.0	23178.0	16116.0	6241.0	24030.0	7216.0	15470.0	15287.0	2398.0	11679.0	4487.0	10159.0	18060.0	10377.0	6898.0	8510.0	12120.0	15518.0	29260.0	10685.0	22897.0	9091.0	8612.0	20829.0	22315.0	5805.0	12522.0	2341.0	19799.0	13974.0	36817.0
JAK1_E8_STA100366	13471.0	20291.0	14594.0	5359.0	18370.0	5514.0	13322.0	14223.0	1864.0	8426.0	3904.0	7001.0	14737.0	11329.0	5585.0	6950.0	9042.0	12364.0	25954.0	8169.0	16931.0	6617.0	8250.0	19060.0	18078.0	5068.0	9469.0	2004.0	15350.0	11956.0	28112.0
JAK1_E8_STA100367	1590.0	3626.0	2587.0	777.0	2842.0	1079.0	2208.0	2598.0	374.0	1485.0	473.0	1088.0	2586.0	2118.0	981.0	1127.0	1343.0	1523.0	5904.0	1552.0	2881.0	1309.0	1748.0	3843.0	3149.0	871.0	1564.0	468.0	3044.0	2219.0	4575.0
JAK1_E7_STA100368	15077.0	16238.0	13099.0	6895.0	24911.0	8049.0	15446.0	17175.0	2359.0	11783.0	6524.0	8303.0	15366.0	10237.0	6050.0	9272.0	11842.0	13971.0	23993.0	8351.0	18895.0	8551.0	8346.0	17806.0	20005.0	5029.0	11309.0	1844.0	16472.0	13541.0	31294.0
JAK1_E7_STA100369	2992.0	4257.0	2911.0	1211.0	4556.0	1979.0	2835.0	4098.0	467.0	2869.0	732.0	2090.0	2806.0	2041.0	1264.0	1776.0	2028.0	3677.0	7062.0	1783.0	4581.0	2458.0	1686.0	4316.0	3800.0	1400.0	2731.0	498.0	5134.0	3240.0	7028.0
JAK1_E7_STA100370	3659.0	5824.0	3632.0	1898.0	5866.0	2065.0	4408.0	4858.0	609.0	2893.0	1342.0	1808.0	4074.0	3352.0	1935.0	2626.0	2903.0	3821.0	8424.0	2638.0	5055.0	2223.0	3080.0	6489.0	5470.0	1290.0	3261.0	562.0	4690.0	3457.0	7635.0
JAK1_E7_STA100371	12220.0	19163.0	14928.0	4923.0	20555.0	6692.0	14006.0	16376.0	2394.0	10082.0	4474.0	8276.0	15276.0	12031.0	5551.0	7580.0	8812.0	12288.0	26996.0	8482.0	17585.0	7353.0	8775.0	20094.0	19757.0	4683.0	10252.0	2291.0	15060.0	11741.0	28818.0
JAK1_E7_STA100372	1783.0	3068.0	2082.0	689.0	3158.0	1265.0	2295.0	2055.0	234.0	1531.0	527.0	1578.0	2292.0	1199.0	953.0	754.0	1802.0	2275.0	4959.0	1079.0	3897.0	1734.0	1088.0	2185.0	3055.0	936.0	1826.0	319.0	3565.0	2392.0	5015.0
JAK1_E6_STA100373	825.0	1259.0	1513.0	470.0	1320.0	714.0	1333.0	1473.0	161.0	1117.0	251.0	1021.0	953.0	1031.0	631.0	799.0	1085.0	1122.0	2582.0	1075.0	663.0	1109.0	710.0	1771.0	2130.0	528.0	831.0	185.0	2076.0	1818.0	4059.0
JAK1_E6_STA100374	6531.0	11713.0	7974.0	2876.0	9401.0	3287.0	8296.0	8806.0	938.0	4818.0	2769.0	4506.0	7177.0	6744.0	3080.0	4352.0	5067.0	7049.0	13132.0	5074.0	10173.0	4814.0	5104.0	10731.0	10700.0	2370.0	5606.0	1143.0	8226.0	7459.0	18618.0
JAK1_E6_STA100375	5501.0	8426.0	11772.0	5279.0	7398.0	5498.0	13799.0	11338.0	1706.0	8946.0	2622.0	6654.0	5964.0	10859.0	4238.0	9036.0	10149.0	8231.0	17695.0	7835.0	578.0	6481.0	8335.0	14555.0	15703.0	4116.0	4875.0	1985.0	11745.0	11750.0	27651.0
JAK1_E5_STA100376	3851.0	6378.0	4399.0	1851.0	6555.0	1910.0	5204.0	4455.0	908.0	3466.0	2268.0	2971.0	4801.0	2760.0	1424.0	3165.0	3542.0	5782.0	8393.0	2742.0	6639.0	3340.0	2255.0	6166.0	5896.0	1810.0	3530.0	742.0	4876.0	4596.0	11048.0
JAK1_E5_STA100377	13419.0	20953.0	14629.0	6039.0	21034.0	6051.0	17431.0	15278.0	2364.0	10721.0	7003.0	8486.0	17956.0	13181.0	5468.0	10541.0	11219.0	16189.0	24119.0	10182.0	22152.0	9017.0	8483.0	19181.0	19219.0	5532.0	11531.0	2749.0	14815.0	14509.0	37073.0
JAK1_E5_STA100378	2293.0	4164.0	2900.0	1038.0	4032.0	1268.0	3274.0	2894.0	345.0	2106.0	847.0	1882.0	3510.0	1722.0	1113.0	1505.0	1969.0	4462.0	6301.0	1493.0	4903.0	2352.0	1284.0	3048.0	3253.0	1149.0	2523.0	649.0	4307.0	3650.0	8421.0
JAK1_E5_STA101781	7445.0	11684.0	8141.0	3259.0	11785.0	2817.0	10676.0	8954.0	1299.0	4853.0	5239.0	4990.0	9124.0	7098.0	2809.0	5679.0	5764.0	8335.0	12705.0	6122.0	11566.0	5426.0	5253.0	11279.0	10149.0	1478.0	6108.0	1013.0	7400.0	8034.0	19676.0
JAK1_E4_STA100380	10010.0	15038.0	9924.0	4477.0	17427.0	5363.0	16246.0	12006.0	1539.0	8501.0	4985.0	8160.0	11801.0	7141.0	4392.0	6848.0	8876.0	12928.0	19700.0	6925.0	16290.0	6312.0	7138.0	17236.0	15880.0	4122.0	8398.0	1471.0	12537.0	10078.0	25684.0
JAK1_E4_STA100381	12331.0	21027.0	12672.0	6068.0	22419.0	6224.0	17532.0	16519.0	1790.0	10091.0	4591.0	7275.0	14834.0	10928.0	5295.0	8261.0	9305.0	14112.0	25647.0	9421.0	18766.0	6647.0	10235.0	21052.0	20454.0	4718.0	10821.0	2204.0	15448.0	12737.0	29986.0
JAK1_E4_STA100382	382.0	1113.0	905.0	276.0	737.0	286.0	731.0	651.0	114.0	430.0	134.0	230.0	617.0	585.0	418.0	341.0	423.0	608.0	2001.0	451.0	977.0	401.0	423.0	1324.0	1066.0	204.0	415.0	60.0	1018.0	687.0	1226.0
JAK1_E3_STA100383	3442.0	4547.0	2803.0	1619.0	5434.0	1512.0	5602.0	3166.0	470.0	2534.0	1921.0	2444.0	3698.0	2488.0	1298.0	2085.0	2803.0	3685.0	5633.0	1938.0	6023.0	2381.0	2086.0	4084.0	4159.0	1412.0	2737.0	378.0	4188.0	4142.0	9103.0
JAK1_E3_STA100384	7923.0	16495.0	11626.0	3015.0	14516.0	4203.0	13384.0	11668.0	1200.0	6673.0	4095.0	6277.0	10937.0	8635.0	4332.0	6083.0	6556.0	10091.0	18928.0	7487.0	13118.0	6400.0	6057.0	15427.0	13482.0	4000.0	6502.0	1651.0	10641.0	9384.0	24441.0
JAK1_E3_STA100385	12122.0	19523.0	12304.0	5065.0	17761.0	5776.0	14715.0	14224.0	2778.0	9635.0	4699.0	6786.0	15051.0	11583.0	5251.0	8593.0	9650.0	13997.0	22122.0	8913.0	18088.0	8009.0	8069.0	17747.0	17581.0	5382.0	9345.0	1850.0	13412.0	12115.0	29681.0
JAK1_E2_STA100386	10189.0	11528.0	8495.0	4885.0	15631.0	5400.0	9647.0	11402.0	1700.0	7328.0	3251.0	6120.0	10229.0	5690.0	3870.0	5366.0	6914.0	11319.0	17285.0	5924.0	14746.0	6268.0	5126.0	11882.0	12051.0	3822.0	7706.0	1275.0	11361.0	8827.0	22209.0
NRAS_E4_STA100001	7002.0	8155.0	5337.0	1845.0	7070.0	1700.0	4688.0	6580.0	669.0	2859.0	1353.0	2354.0	4613.0	3308.0	2277.0	2637.0	3846.0	5059.0	8868.0	3459.0	5672.0	2921.0	3312.0	6765.0	5052.0	1934.0	3617.0	731.0	5275.0	4533.0	13532.0
NRAS_E4_STA100002	11616.0	13214.0	8397.0	2988.0	11408.0	2706.0	6871.0	11003.0	1193.0	5171.0	3387.0	4457.0	8654.0	5215.0	3027.0	4379.0	7255.0	7985.0	12222.0	4751.0	8618.0	4856.0	4872.0	9590.0	9367.0	2898.0	6459.0	1324.0	6939.0	6510.0	23861.0
NRAS_E3_STA100003	25922.0	20414.0	17210.0	5995.0	34891.0	7337.0	16877.0	17497.0	2583.0	12240.0	5270.0	9557.0	19283.0	9202.0	8541.0	8274.0	15832.0	16940.0	30578.0	9573.0	19206.0	9959.0	7483.0	20744.0	23733.0	6436.0	11473.0	2511.0	21252.0	16451.0	48120.0
NRAS_E3_STA100004	11570.0	9199.0	7746.0	3077.0	15050.0	3654.0	6812.0	9632.0	986.0	5416.0	1923.0	4479.0	9228.0	4452.0	3918.0	4585.0	6563.0	7848.0	15941.0	5070.0	9451.0	4233.0	3682.0	10478.0	10239.0	2791.0	7070.0	1271.0	11374.0	8257.0	24527.0
NRAS_E3_STA101617	1566.0	1029.0	1427.0	492.0	2240.0	588.0	1217.0	2148.0	152.0	1077.0	344.0	795.0	1321.0	473.0	640.0	1454.0	1067.0	1436.0	2416.0	968.0	1285.0	609.0	713.0	2598.0	2415.0	543.0	1561.0	252.0	1669.0	972.0	4230.0
NRAS_E2_STA100006	5107.0	6548.0	4203.0	1602.0	6932.0	1756.0	4166.0	3936.0	770.0	2798.0	1044.0	1646.0	4069.0	3200.0	2249.0	1752.0	3200.0	4511.0	8935.0	3006.0	4363.0	2357.0	2433.0	6907.0	5692.0	1449.0	2773.0	558.0	4860.0	4345.0	10843.0
NRAS_E2_STA100007	19080.0	13605.0	8922.0	4748.0	23566.0	6300.0	9322.0	12763.0	1464.0	9503.0	3683.0	6399.0	13977.0	6990.0	5646.0	7227.0	9865.0	11953.0	16749.0	5896.0	14319.0	6230.0	5171.0	12771.0	14149.0	4068.0	11294.0	1708.0	14690.0	11293.0	39816.0
NRAS_E2_STA100008	17292.0	15215.0	10339.0	4691.0	19186.0	5672.0	9993.0	13376.0	1524.0	8302.0	3951.0	5457.0	11977.0	9586.0	5142.0	6536.0	9878.0	10401.0	16810.0	6579.0	11529.0	5259.0	6838.0	14996.0	14458.0	3880.0	8986.0	1569.0	10923.0	10649.0	34107.0
DDR2_E4_STA100387	26337.0	24405.0	17798.0	11497.0	38233.0	11077.0	22917.0	21662.0	2642.0	17731.0	6915.0	11594.0	19402.0	14542.0	9320.0	16154.0	19508.0	29161.0	28418.0	13211.0	25843.0	15019.0	10277.0	37711.0	23559.0	6005.0	12263.0	2556.0	26107.0	17176.0	20326.0
DDR2_E5_STA100388	9648.0	10165.0	8069.0	5403.0	13636.0	5351.0	10934.0	7834.0	1007.0	6866.0	3435.0	4519.0	7529.0	6184.0	3507.0	6206.0	7501.0	12516.0	12234.0	6248.0	11577.0	6738.0	4593.0	15274.0	9726.0	2864.0	4452.0	1081.0	10507.0	9699.0	7763.0
DDR2_E5_STA100389	7501.0	7971.0	8070.0	3878.0	12531.0	4012.0	9396.0	5499.0	931.0	6201.0	2145.0	4548.0	6241.0	4056.0	3241.0	5009.0	7567.0	12690.0	11687.0	5685.0	11230.0	7221.0	2924.0	13376.0	7554.0	2757.0	4332.0	905.0	10341.0	7922.0	8350.0
DDR2_E5_STA100390	2112.0	2603.0	2620.0	1002.0	3072.0	1102.0	3253.0	1901.0	187.0	1514.0	604.0	975.0	1526.0	1544.0	922.0	1383.0	1769.0	3494.0	3841.0	1750.0	2816.0	1732.0	999.0	4182.0	2330.0	805.0	1141.0	297.0	2730.0	2444.0	1820.0
DDR2_E6_STA100391	4220.0	4600.0	3275.0	2400.0	6864.0	1768.0	5337.0	2797.0	294.0	3577.0	1519.0	2734.0	3333.0	1800.0	1229.0	2522.0	4194.0	7664.0	5627.0	2514.0	6682.0	4102.0	1730.0	5735.0	3982.0	1430.0	2816.0	483.0	5923.0	4430.0	5251.0
DDR2_E6_STA100392	3444.0	4059.0	3638.0	1935.0	6139.0	1685.0	5469.0	2428.0	224.0	2544.0	1670.0	1946.0	3158.0	1698.0	1288.0	2201.0	3698.0	5080.0	4587.0	2459.0	5378.0	3439.0	1158.0	5461.0	3593.0	1208.0	1797.0	364.0	4137.0	3916.0	3691.0
DDR2_E6_STA100393	27667.0	39119.0	31982.0	16922.0	51765.0	12660.0	48694.0	28690.0	3143.0	23575.0	15523.0	18778.0	28785.0	21098.0	10886.0	23988.0	28424.0	43703.0	39972.0	19769.0	40908.0	22479.0	17038.0	56057.0	33434.0	9804.0	19221.0	4544.0	33097.0	34352.0	30997.0
