	C21D00633	D21D00614T	D21D00615T	D21D00631T	D21D00632T	D21D00635	D21D00644T	D21D00647T	D21D00654T	M21D00642	M21D00670	M21D00671	M21D00673	M21D00676	N21D00620	N21D00643	N21D00645	N21D00657	N21D00675	P21D00617	P21D00634	P21D00636	P21D00639	P21D00640	P21D00641	P21D00646	P21D00651	P21D00661	P21D00669	P21D00674	P21D00678	P21D00679
JAK1_E25_STA100319	300.0	2115.0	1358.0	234.0	2767.0	628.0	2109.0	1270.0	1594.0	1473.0	672.0	324.0	88.0	1963.0	3084.0	1099.0	1749.0	3249.0	1688.0	679.0	483.0	2708.0	760.0	1933.0	1403.0	648.0	2060.0	1335.0	1075.0	1591.0	2161.0	1002.0
JAK1_E25_STA100320	382.0	3175.0	1822.0	300.0	3729.0	831.0	2707.0	1993.0	2345.0	2329.0	1358.0	631.0	163.0	2588.0	4056.0	1587.0	2287.0	5318.0	2241.0	921.0	503.0	3784.0	931.0	2167.0	1514.0	728.0	2898.0	1934.0	1320.0	2724.0	2923.0	1456.0
JAK1_E25_STA100321	362.0	1762.0	1324.0	198.0	2088.0	751.0	1455.0	1154.0	1082.0	1272.0	826.0	354.0	112.0	1526.0	2330.0	831.0	1439.0	2338.0	1381.0	490.0	281.0	2128.0	575.0	1138.0	960.0	408.0	1340.0	1184.0	677.0	1548.0	1577.0	886.0
JAK1_E24_STA100322	1152.0	8164.0	5611.0	1098.0	9241.0	4593.0	9966.0	7184.0	7324.0	6410.0	3817.0	2023.0	858.0	7263.0	13372.0	4745.0	6349.0	10544.0	6194.0	3311.0	1793.0	12493.0	3972.0	5580.0	4199.0	1762.0	10720.0	4867.0	3854.0	7469.0	8760.0	5219.0
JAK1_E24_STA100323	1557.0	9491.0	5659.0	1214.0	12156.0	3946.0	8891.0	6843.0	6650.0	7020.0	4168.0	1107.0	747.0	7590.0	13899.0	5008.0	7428.0	11853.0	7144.0	3225.0	1732.0	12164.0	3622.0	6566.0	5214.0	2125.0	9463.0	5868.0	4579.0	7918.0	8989.0	4632.0
JAK1_E24_STA100324	420.0	2680.0	1751.0	295.0	2511.0	1359.0	3040.0	2290.0	2394.0	2212.0	1364.0	603.0	112.0	2459.0	4408.0	1591.0	2084.0	3396.0	2455.0	1067.0	540.0	4075.0	1047.0	1692.0	1586.0	657.0	3058.0	1771.0	1384.0	1958.0	2932.0	1378.0
JAK1_E23_STA100325	1242.0	8418.0	5261.0	968.0	9085.0	3906.0	8375.0	6389.0	6178.0	6515.0	3571.0	1795.0	791.0	6592.0	11320.0	4246.0	5707.0	9661.0	5632.0	2868.0	1664.0	10727.0	3054.0	5138.0	4464.0	1932.0	8877.0	5522.0	3959.0	6497.0	8643.0	4473.0
JAK1_E23_STA100326	128.0	1561.0	1213.0	136.0	1585.0	721.0	2024.0	1587.0	1443.0	1216.0	671.0	298.0	103.0	1408.0	2208.0	1107.0	1036.0	1923.0	1067.0	742.0	343.0	2898.0	794.0	931.0	689.0	361.0	2138.0	976.0	673.0	953.0	2243.0	911.0
JAK1_E22_STA100327	1510.0	8660.0	5348.0	1184.0	11449.0	4064.0	7868.0	5973.0	6215.0	6997.0	3125.0	1811.0	447.0	6205.0	12178.0	4718.0	7278.0	12269.0	6259.0	2895.0	1960.0	11097.0	3328.0	6600.0	4934.0	2077.0	9153.0	6240.0	3927.0	6598.0	7876.0	4407.0
JAK1_E22_STA100328	3783.0	21750.0	13040.0	3203.0	28733.0	9134.0	20373.0	15209.0	15416.0	16257.0	7422.0	4388.0	1787.0	17507.0	30653.0	12345.0	18341.0	27750.0	17000.0	6546.0	3977.0	26729.0	8062.0	15404.0	12521.0	5624.0	22861.0	15012.0	10366.0	20150.0	19162.0	10735.0
JAK1_E22_STA100329	1353.0	11120.0	7064.0	1174.0	11630.0	4505.0	11570.0	8990.0	8547.0	8513.0	4202.0	2219.0	744.0	9240.0	17683.0	6498.0	8134.0	13413.0	8611.0	4233.0	2558.0	16125.0	4584.0	6824.0	6456.0	2934.0	13582.0	7546.0	5678.0	7227.0	11959.0	5954.0
JAK1_E22_STA100330	556.0	4363.0	2833.0	527.0	6446.0	2454.0	3048.0	4109.0	4109.0	3229.0	2054.0	928.0	667.0	4350.0	8644.0	2722.0	3564.0	6749.0	3841.0	1804.0	1115.0	6969.0	2090.0	3445.0	2110.0	1281.0	6314.0	2951.0	2330.0	3418.0	5331.0	3143.0
JAK1_E21_STA100331	542.0	2772.0	1412.0	344.0	3822.0	1239.0	2729.0	1749.0	2275.0	1998.0	784.0	435.0	160.0	1916.0	4367.0	1611.0	1724.0	4455.0	1849.0	696.0	461.0	3419.0	972.0	2305.0	1321.0	644.0	2791.0	1858.0	1139.0	2233.0	2276.0	1168.0
JAK1_E21_STA100332	1262.0	11710.0	6666.0	1346.0	15376.0	6836.0	15034.0	11020.0	12421.0	8669.0	4345.0	3026.0	1465.0	10086.0	22731.0	6360.0	9269.0	18443.0	10228.0	3922.0	2464.0	17548.0	5159.0	8742.0	4664.0	2808.0	17457.0	8168.0	5967.0	10858.0	16484.0	7633.0
JAK1_E21_STA100333	2886.0	14415.0	8027.0	2341.0	23976.0	8602.0	14049.0	10579.0	11192.0	11976.0	4897.0	2888.0	1635.0	9110.0	21593.0	7230.0	10629.0	20368.0	11116.0	3903.0	3174.0	17572.0	5657.0	10792.0	7187.0	3890.0	15790.0	10820.0	6617.0	15018.0	13105.0	8851.0
JAK1_E20_STA100334	563.0	4271.0	2185.0	267.0	5543.0	2643.0	5082.0	3356.0	3259.0	3587.0	1086.0	547.0	180.0	2959.0	6648.0	2335.0	2430.0	5222.0	3656.0	1066.0	984.0	6532.0	1662.0	2757.0	1460.0	1140.0	5576.0	3286.0	2218.0	4252.0	4726.0	1997.0
JAK1_E20_STA100335	2626.0	18778.0	10089.0	1366.0	31200.0	9397.0	20748.0	15802.0	17478.0	17071.0	4622.0	2147.0	1203.0	11958.0	32148.0	9227.0	13853.0	28199.0	17246.0	5384.0	4525.0	28856.0	8080.0	14805.0	7713.0	5357.0	24031.0	15637.0	11940.0	21460.0	19475.0	9893.0
JAK1_E20_STA100336	2759.0	20091.0	10504.0	1364.0	33017.0	10153.0	22801.0	16382.0	17973.0	17406.0	4890.0	1899.0	1225.0	12969.0	34898.0	9936.0	14937.0	29393.0	17664.0	5217.0	4926.0	30694.0	8534.0	15940.0	8260.0	5017.0	25544.0	15138.0	11637.0	22521.0	21428.0	10633.0
JAK1_E20_STA100337	2752.0	17850.0	9058.0	1420.0	35201.0	12584.0	20202.0	13419.0	15133.0	16599.0	4434.0	1481.0	2557.0	10518.0	30892.0	9949.0	14066.0	25639.0	14607.0	4226.0	4601.0	24915.0	7307.0	14598.0	7086.0	4202.0	21505.0	12732.0	9681.0	24510.0	18024.0	11274.0
JAK1_E19_STA100338	1209.0	8118.0	3958.0	745.0	13127.0	5732.0	8878.0	5100.0	5910.0	6548.0	1843.0	725.0	404.0	4615.0	13192.0	4271.0	5241.0	10893.0	6449.0	1675.0	1764.0	10764.0	2920.0	5878.0	3132.0	1676.0	8228.0	5870.0	3523.0	8823.0	7335.0	3828.0
JAK1_E19_STA100339	547.0	6181.0	4115.0	638.0	11057.0	4911.0	7820.0	6089.0	6655.0	5007.0	2212.0	1044.0	662.0	5105.0	12650.0	4401.0	4890.0	10401.0	5713.0	2242.0	1418.0	10655.0	2878.0	4528.0	2388.0	1858.0	10285.0	4946.0	3754.0	7936.0	8292.0	4747.0
JAK1_E19_STA101785	1432.0	11391.0	6846.0	1367.0	21426.0	9408.0	15775.0	10871.0	12469.0	10007.0	4049.0	2886.0	2183.0	9418.0	24056.0	7116.0	10007.0	18949.0	9851.0	3703.0	2414.0	18745.0	5603.0	8901.0	4788.0	3058.0	18725.0	9850.0	6651.0	17348.0	14442.0	8445.0
JAK1_E18_STA100341	3525.0	21399.0	11291.0	1454.0	38924.0	12207.0	21916.0	16136.0	16440.0	19084.0	5770.0	2571.0	1981.0	12882.0	37137.0	12579.0	13565.0	28885.0	18199.0	6811.0	4607.0	28000.0	8820.0	14895.0	8437.0	5464.0	25414.0	16010.0	11380.0	25295.0	17858.0	10690.0
JAK1_E18_STA100342	210.0	1790.0	1019.0	144.0	3410.0	735.0	2155.0	1734.0	1588.0	1857.0	536.0	252.0	59.0	1323.0	3047.0	1182.0	1438.0	3652.0	1973.0	613.0	470.0	2656.0	843.0	2034.0	1220.0	576.0	2496.0	1821.0	1133.0	1770.0	2224.0	920.0
JAK1_E17_STA100343	1780.0	7215.0	4073.0	942.0	12923.0	6200.0	8775.0	5672.0	5185.0	6175.0	1573.0	1156.0	596.0	3974.0	12282.0	4160.0	4697.0	10316.0	5908.0	1769.0	2021.0	11000.0	2767.0	5681.0	2884.0	1942.0	8959.0	6531.0	3876.0	8842.0	8222.0	4462.0
JAK1_E17_STA100344	1179.0	6425.0	4035.0	1056.0	14006.0	7717.0	10215.0	6685.0	6789.0	6307.0	2070.0	1225.0	1274.0	4799.0	15366.0	4360.0	5393.0	10672.0	5859.0	1957.0	1739.0	11972.0	3492.0	4978.0	2169.0	1622.0	11890.0	6268.0	3729.0	11332.0	8614.0	5828.0
JAK1_E17_STA100345	928.0	6205.0	2830.0	657.0	12304.0	4446.0	6994.0	4627.0	5073.0	5144.0	1448.0	548.0	684.0	3435.0	11376.0	3255.0	4916.0	9127.0	4960.0	1768.0	1276.0	8381.0	2367.0	5240.0	1923.0	1587.0	7562.0	5324.0	3181.0	8735.0	7304.0	3780.0
JAK1_E16_STA100346	1068.0	8233.0	4144.0	604.0	13189.0	6596.0	12466.0	7382.0	8005.0	8270.0	1636.0	824.0	626.0	5055.0	17403.0	4517.0	5252.0	12092.0	8234.0	2161.0	2374.0	13373.0	3720.0	5794.0	2989.0	2245.0	13718.0	6977.0	4422.0	9588.0	10199.0	5451.0
JAK1_E16_STA100347	283.0	2794.0	1205.0	173.0	5286.0	1225.0	3401.0	2098.0	2452.0	2509.0	450.0	199.0	110.0	1831.0	5104.0	1627.0	1847.0	4957.0	2647.0	879.0	573.0	4145.0	1177.0	2092.0	912.0	860.0	3823.0	2983.0	1777.0	3190.0	3424.0	1644.0
JAK1_E15_STA100348	2336.0	12613.0	5614.0	1191.0	23526.0	9696.0	15544.0	9682.0	10455.0	11670.0	2346.0	1308.0	1319.0	7649.0	23062.0	6959.0	9202.0	19202.0	11245.0	2616.0	2938.0	18032.0	4588.0	10032.0	3994.0	3349.0	16574.0	10356.0	6316.0	16240.0	13168.0	8475.0
JAK1_E15_STA100349	1697.0	8584.0	3159.0	953.0	19628.0	6610.0	9537.0	5695.0	7196.0	7171.0	1462.0	1068.0	1225.0	3951.0	15224.0	4311.0	4777.0	12161.0	6202.0	1938.0	2057.0	10656.0	3661.0	6822.0	2237.0	1951.0	11692.0	6304.0	4585.0	11782.0	7691.0	4974.0
JAK1_E14_STA100350	430.0	4030.0	2190.0	292.0	6946.0	4258.0	6965.0	5193.0	5158.0	4173.0	1021.0	608.0	242.0	2961.0	9287.0	3177.0	2645.0	6599.0	4267.0	1433.0	1190.0	9314.0	2513.0	2896.0	1197.0	1404.0	8459.0	3946.0	2184.0	5150.0	6282.0	3679.0
JAK1_E14_STA100351	224.0	1221.0	567.0	112.0	1825.0	1175.0	1727.0	905.0	1170.0	1037.0	318.0	124.0	42.0	579.0	2373.0	854.0	664.0	1780.0	1077.0	318.0	380.0	1926.0	512.0	860.0	467.0	401.0	1766.0	1109.0	673.0	1348.0	1531.0	803.0
JAK1_E13_STA100352	600.0	5213.0	2747.0	304.0	8059.0	3323.0	6473.0	4609.0	5367.0	4559.0	1225.0	632.0	280.0	3422.0	9856.0	3109.0	3303.0	7051.0	4538.0	1573.0	1469.0	8054.0	2411.0	3730.0	2172.0	1493.0	7350.0	4288.0	2620.0	5630.0	6382.0	2861.0
JAK1_E13_STA100353	130.0	1310.0	629.0	74.0	2313.0	526.0	1618.0	977.0	917.0	947.0	288.0	91.0	26.0	688.0	2055.0	567.0	729.0	2394.0	1202.0	330.0	241.0	1883.0	490.0	912.0	443.0	364.0	1397.0	1410.0	749.0	1151.0	1475.0	555.0
JAK1_E12_STA100354	814.0	4972.0	2702.0	390.0	7095.0	4621.0	6827.0	4475.0	4482.0	5219.0	1052.0	444.0	324.0	3161.0	9350.0	2988.0	2843.0	6393.0	4379.0	1433.0	1418.0	8752.0	2022.0	3439.0	1805.0	1298.0	7636.0	3777.0	2638.0	4919.0	6115.0	3122.0
JAK1_E12_STA100355	4077.0	24412.0	11724.0	2008.0	42314.0	23357.0	30688.0	19887.0	19705.0	22481.0	4949.0	2564.0	1878.0	12681.0	40193.0	12303.0	12578.0	35206.0	19017.0	7142.0	5898.0	38898.0	11727.0	14213.0	7604.0	5661.0	33431.0	18298.0	14384.0	10312.0	24651.0	16053.0
JAK1_E11_STA100356	3080.0	15735.0	8351.0	1735.0	29819.0	12971.0	15442.0	10099.0	11728.0	12970.0	4050.0	2087.0	1857.0	9811.0	22606.0	7826.0	11560.0	22638.0	10944.0	4030.0	2912.0	19382.0	6186.0	10708.0	6478.0	3848.0	17031.0	11835.0	7320.0	20417.0	15500.0	9314.0
JAK1_E11_STA100357	1848.0	7665.0	4104.0	817.0	14738.0	6692.0	7984.0	5315.0	6220.0	6022.0	1802.0	1255.0	1236.0	4840.0	11539.0	4105.0	5612.0	11400.0	5568.0	1823.0	1425.0	10012.0	2729.0	5537.0	2834.0	1552.0	8846.0	5271.0	3653.0	11040.0	7596.0	4802.0
JAK1_E11_STA100358	715.0	6553.0	3616.0	535.0	6753.0	3150.0	7755.0	5364.0	5298.0	4935.0	1377.0	829.0	251.0	4292.0	10729.0	3511.0	3735.0	8001.0	5129.0	1898.0	1534.0	9920.0	2577.0	4243.0	3033.0	1667.0	8409.0	4858.0	3019.0	4711.0	7411.0	2936.0
JAK1_E10_STA100359	301.0	2768.0	1213.0	157.0	4162.0	1230.0	2978.0	2089.0	2041.0	2469.0	501.0	190.0	60.0	1483.0	4241.0	1577.0	1755.0	4409.0	2287.0	550.0	567.0	3590.0	1057.0	2244.0	1191.0	717.0	2892.0	2230.0	1287.0	2131.0	2703.0	1268.0
JAK1_E10_STA100360	1421.0	11370.0	6021.0	950.0	19984.0	10283.0	14843.0	13054.0	12353.0	9755.0	3589.0	1912.0	1462.0	8089.0	21434.0	7065.0	7964.0	18329.0	9747.0	3992.0	2706.0	20733.0	5715.0	8144.0	3779.0	2947.0	20924.0	10071.0	7049.0	16040.0	13976.0	9139.0
JAK1_E9_STA100361	512.0	3574.0	1827.0	206.0	4773.0	2790.0	4615.0	2661.0	2766.0	3284.0	1101.0	473.0	120.0	1883.0	5799.0	2046.0	2005.0	4177.0	2484.0	1201.0	1041.0	5213.0	1652.0	2331.0	1451.0	828.0	4457.0	2589.0	1717.0	3240.0	3550.0	1851.0
JAK1_E9_STA100362	735.0	5969.0	3082.0	224.0	8053.0	4600.0	8529.0	5125.0	5469.0	5231.0	1699.0	787.0	256.0	3531.0	10783.0	3675.0	3403.0	7887.0	4382.0	1944.0	1793.0	10393.0	2858.0	3889.0	2343.0	1378.0	8636.0	4317.0	2893.0	5793.0	6914.0	3435.0
JAK1_E9_STA100363	4053.0	16005.0	7309.0	2007.0	30446.0	12428.0	16150.0	11582.0	12234.0	13347.0	3600.0	2560.0	2925.0	8778.0	24595.0	7666.0	9779.0	20569.0	11439.0	4240.0	3402.0	19054.0	5890.0	12319.0	6253.0	3202.0	18098.0	12370.0	7418.0	20301.0	14334.0	8579.0
JAK1_E8_STA100364	1482.0	7541.0	4792.0	1049.0	9206.0	3495.0	7316.0	5553.0	5397.0	5501.0	2550.0	1608.0	804.0	5121.0	10083.0	3852.0	5317.0	9803.0	4906.0	2347.0	1584.0	9894.0	2890.0	5432.0	4279.0	1685.0	7500.0	5641.0	3472.0	6866.0	6942.0	4034.0
JAK1_E8_STA100365	2371.0	18867.0	10935.0	1542.0	20948.0	7165.0	18624.0	15199.0	15476.0	14834.0	7976.0	3702.0	1313.0	15647.0	27958.0	10307.0	12469.0	24283.0	14772.0	5930.0	3841.0	25312.0	7519.0	13672.0	9864.0	4582.0	21750.0	12281.0	9342.0	15453.0	19013.0	9316.0
JAK1_E8_STA100366	2256.0	16017.0	9323.0	1428.0	20093.0	6198.0	15009.0	11561.0	11893.0	11955.0	6494.0	2698.0	1265.0	11916.0	23717.0	7862.0	11026.0	23401.0	11700.0	4862.0	2970.0	20939.0	5871.0	12786.0	8543.0	3489.0	16648.0	10346.0	8413.0	14195.0	14494.0	7048.0
JAK1_E8_STA100367	289.0	2366.0	1660.0	190.0	3117.0	916.0	2481.0	1824.0	2054.0	1987.0	1158.0	272.0	115.0	2328.0	3677.0	1242.0	1538.0	4350.0	1805.0	824.0	587.0	3620.0	903.0	2711.0	1667.0	562.0	2863.0	1845.0	1407.0	2008.0	2547.0	957.0
JAK1_E7_STA100368	3445.0	17060.0	11084.0	2408.0	20370.0	9163.0	17342.0	13770.0	11716.0	13114.0	6418.0	4493.0	2347.0	13854.0	23536.0	9349.0	11495.0	19391.0	11378.0	5720.0	3730.0	21957.0	7307.0	10722.0	10307.0	4102.0	19459.0	10850.0	9082.0	14641.0	15389.0	9855.0
JAK1_E7_STA100369	195.0	2979.0	2467.0	338.0	2935.0	1438.0	4320.0	2688.0	3265.0	2399.0	1858.0	777.0	227.0	3678.0	5582.0	2040.0	2662.0	4563.0	2327.0	1282.0	898.0	5385.0	1595.0	2538.0	1573.0	648.0	4107.0	1986.0	1623.0	2645.0	4207.0	1538.0
JAK1_E7_STA100370	854.0	4538.0	2870.0	712.0	6164.0	2164.0	4305.0	3163.0	3310.0	3709.0	1615.0	1084.0	557.0	3686.0	6194.0	2190.0	3287.0	6059.0	3188.0	1415.0	933.0	5319.0	1615.0	3524.0	2460.0	1022.0	4304.0	3273.0	1899.0	4559.0	3811.0	2163.0
JAK1_E7_STA100371	2669.0	17392.0	10257.0	2000.0	20336.0	6325.0	15382.0	11834.0	12698.0	13301.0	7210.0	2593.0	1416.0	14057.0	23518.0	8358.0	13327.0	20120.0	12062.0	4956.0	3221.0	19570.0	5917.0	12793.0	9392.0	3935.0	18157.0	12294.0	8990.0	14259.0	14621.0	8586.0
JAK1_E7_STA100372	124.0	1891.0	1301.0	163.0	2029.0	787.0	2907.0	2316.0	2101.0	1520.0	829.0	330.0	58.0	2123.0	3603.0	1236.0	1331.0	2950.0	1684.0	967.0	340.0	4133.0	865.0	1329.0	869.0	624.0	2989.0	1246.0	921.0	1473.0	2821.0	962.0
JAK1_E6_STA100373	171.0	1140.0	1114.0	96.0	1846.0	737.0	1983.0	849.0	1394.0	1620.0	626.0	259.0	49.0	891.0	2263.0	1090.0	852.0	1833.0	740.0	760.0	515.0	2908.0	810.0	1086.0	811.0	291.0	2028.0	1052.0	732.0	1049.0	1684.0	421.0
JAK1_E6_STA100374	1410.0	8704.0	4344.0	732.0	14313.0	5136.0	8276.0	6182.0	6563.0	7957.0	2650.0	1093.0	875.0	5350.0	13073.0	4449.0	5453.0	11996.0	5719.0	2861.0	1925.0	11284.0	3534.0	7117.0	3412.0	1691.0	9728.0	5655.0	4364.0	7978.0	7943.0	4166.0
JAK1_E6_STA100375	2785.0	7820.0	7478.0	827.0	23339.0	8416.0	14107.0	5864.0	10477.0	12517.0	4452.0	2130.0	1089.0	8100.0	19267.0	7220.0	9189.0	19777.0	5206.0	4792.0	3108.0	19199.0	6548.0	10257.0	6373.0	3469.0	15743.0	10262.0	7472.0	16954.0	14057.0	3112.0
JAK1_E5_STA100376	766.0	5975.0	3536.0	338.0	7248.0	3404.0	6234.0	4413.0	4392.0	5003.0	1855.0	780.0	241.0	3774.0	8965.0	3614.0	3040.0	7405.0	3893.0	1931.0	1568.0	8953.0	2457.0	3626.0	2560.0	1219.0	6621.0	3853.0	2891.0	4843.0	6027.0	2858.0
JAK1_E5_STA100377	3575.0	19609.0	9756.0	1844.0	33362.0	11801.0	20025.0	14893.0	15102.0	14973.0	5504.0	2923.0	2564.0	11588.0	28513.0	9489.0	12394.0	26510.0	14215.0	5196.0	3994.0	26491.0	7986.0	13964.0	6798.0	4732.0	23747.0	14379.0	10052.0	23048.0	19788.0	11278.0
JAK1_E5_STA100378	158.0	2939.0	1656.0	126.0	3500.0	1357.0	4751.0	3658.0	3405.0	2209.0	1106.0	396.0	147.0	2592.0	6422.0	1978.0	2075.0	4285.0	3111.0	1003.0	581.0	6494.0	1478.0	1980.0	1102.0	791.0	4817.0	2457.0	1708.0	2741.0	4529.0	2054.0
JAK1_E5_STA101781	2104.0	11216.0	5616.0	1117.0	20562.0	8688.0	11671.0	7407.0	7536.0	9659.0	3256.0	1362.0	1291.0	5754.0	17527.0	5755.0	6237.0	16032.0	7096.0	3582.0	2324.0	15429.0	4436.0	7886.0	4047.0	2218.0	12255.0	7089.0	5220.0	11499.0	8753.0	5654.0
JAK1_E4_STA100380	2275.0	14095.0	8691.0	1279.0	18431.0	9531.0	15822.0	10643.0	10634.0	11855.0	5271.0	2357.0	957.0	11877.0	22518.0	7739.0	8954.0	18555.0	10549.0	4587.0	3548.0	20151.0	5466.0	9385.0	6968.0	3347.0	16006.0	8367.0	7023.0	13376.0	12956.0	7722.0
JAK1_E4_STA100381	2698.0	17072.0	9957.0	1612.0	25405.0	7730.0	16350.0	12803.0	12202.0	13281.0	5858.0	2490.0	1254.0	12617.0	25223.0	8641.0	11191.0	23872.0	12638.0	5208.0	3411.0	21978.0	6952.0	12476.0	8553.0	3669.0	18131.0	12081.0	8616.0	16004.0	13907.0	8705.0
JAK1_E4_STA100382	108.0	826.0	434.0	42.0	698.0	226.0	772.0	499.0	511.0	465.0	244.0	52.0	32.0	559.0	952.0	361.0	566.0	1056.0	724.0	187.0	123.0	891.0	194.0	547.0	374.0	220.0	542.0	516.0	252.0	492.0	632.0	354.0
JAK1_E3_STA100383	500.0	4210.0	2703.0	393.0	5315.0	3985.0	5943.0	4535.0	3619.0	3536.0	1327.0	532.0	190.0	3527.0	7304.0	2419.0	2538.0	5105.0	2959.0	1799.0	1069.0	7786.0	2163.0	2610.0	1653.0	978.0	5845.0	2767.0	2236.0	3976.0	4563.0	2491.0
JAK1_E3_STA100384	1993.0	15213.0	7757.0	811.0	17581.0	6567.0	14070.0	9392.0	10335.0	10980.0	3933.0	1352.0	577.0	8598.0	20792.0	5963.0	8542.0	18519.0	11074.0	3844.0	2740.0	18723.0	4991.0	10472.0	5796.0	3724.0	13498.0	9953.0	6765.0	12050.0	13043.0	7054.0
JAK1_E3_STA100385	2792.0	17395.0	8848.0	1577.0	23363.0	7438.0	14446.0	12104.0	11729.0	12385.0	4476.0	2997.0	1579.0	10101.0	22358.0	7255.0	10140.0	20707.0	11758.0	4494.0	2638.0	20105.0	6024.0	10716.0	7581.0	3467.0	16230.0	11826.0	7609.0	15105.0	14159.0	7976.0
JAK1_E2_STA100386	1245.0	10117.0	7232.0	1189.0	13034.0	6019.0	12700.0	9209.0	9532.0	8015.0	4761.0	3282.0	1188.0	10994.0	18728.0	6073.0	7886.0	14848.0	8678.0	3526.0	2194.0	16230.0	4610.0	7157.0	4879.0	2308.0	14224.0	7535.0	5857.0	10385.0	12914.0	6771.0
NRAS_E4_STA100001	1791.0	5550.0	3380.0	360.0	8036.0	2286.0	5656.0	3966.0	4500.0	4715.0	1664.0	871.0	523.0	4024.0	8362.0	2626.0	3646.0	7889.0	4268.0	1408.0	860.0	6556.0	1970.0	4253.0	3310.0	1246.0	5803.0	4665.0	3020.0	4975.0	5512.0	2873.0
NRAS_E4_STA100002	2592.0	9183.0	5351.0	516.0	14573.0	4417.0	8684.0	3400.0	6631.0	7333.0	2625.0	1499.0	1456.0	6120.0	13021.0	3862.0	5684.0	11146.0	6501.0	2692.0	1349.0	12244.0	3213.0	6710.0	3809.0	1790.0	10801.0	6578.0	4257.0	9176.0	8066.0	5560.0
NRAS_E3_STA100003	4297.0	20980.0	14236.0	1012.0	19754.0	8876.0	21058.0	17512.0	16770.0	15195.0	9134.0	3795.0	782.0	18601.0	29088.0	9853.0	12241.0	22162.0	17242.0	6787.0	3692.0	28131.0	7777.0	13320.0	10544.0	4956.0	23789.0	14208.0	11443.0	13055.0	22375.0	12344.0
NRAS_E3_STA100004	1610.0	10080.0	7084.0	480.0	8670.0	4434.0	11590.0	7140.0	8198.0	7091.0	4700.0	2069.0	760.0	8749.0	16092.0	4384.0	6015.0	11150.0	7033.0	3279.0	1338.0	14747.0	3761.0	5504.0	4392.0	1998.0	10832.0	5887.0	4459.0	8282.0	10643.0	5912.0
NRAS_E3_STA101617	467.0	2470.0	1639.0	99.0	1631.0	1274.0	2552.0	863.0	1385.0	1757.0	1135.0	522.0	89.0	1303.0	3534.0	906.0	948.0	1316.0	1171.0	657.0	168.0	3363.0	771.0	735.0	1263.0	265.0	1356.0	1208.0	880.0	2261.0	1236.0	1023.0
NRAS_E2_STA100006	1517.0	5005.0	3364.0	250.0	5328.0	1785.0	4107.0	2946.0	2977.0	3608.0	1558.0	681.0	142.0	3389.0	5877.0	2502.0	3273.0	5765.0	3113.0	1275.0	644.0	5605.0	1533.0	3652.0	2880.0	969.0	4071.0	3120.0	2036.0	3690.0	3578.0	2416.0
NRAS_E2_STA100007	2686.0	13991.0	9503.0	842.0	16342.0	6745.0	14342.0	13311.0	11716.0	11962.0	6587.0	3179.0	1387.0	12177.0	20627.0	7261.0	8926.0	16587.0	11046.0	5220.0	2246.0	21381.0	6962.0	8204.0	6459.0	3407.0	19592.0	10144.0	7356.0	13352.0	14974.0	9994.0
NRAS_E2_STA100008	4513.0	12326.0	7258.0	1175.0	17791.0	5688.0	11213.0	9906.0	8962.0	10026.0	4249.0	2262.0	1157.0	8439.0	15307.0	6553.0	9461.0	15984.0	8534.0	3698.0	1992.0	14576.0	4757.0	9523.0	6179.0	2957.0	13808.0	10054.0	6088.0	12678.0	12238.0	7849.0
DDR2_E4_STA100387	7014.0	20429.0	14189.0	3239.0	27941.0	11804.0	17590.0	14378.0	14140.0	18789.0	9045.0	4807.0	2520.0	14786.0	27672.0	9322.0	14060.0	26242.0	14798.0	6032.0	5006.0	26995.0	9484.0	15932.0	11261.0	4657.0	27607.0	18092.0	13218.0	24548.0	18696.0	26534.0
DDR2_E5_STA100388	2823.0	7334.0	4186.0	1428.0	11349.0	5280.0	7742.0	6202.0	5613.0	7949.0	2105.0	1465.0	575.0	4598.0	12295.0	3824.0	5335.0	11932.0	6152.0	2557.0	2484.0	9814.0	4034.0	6728.0	3729.0	1899.0	10900.0	8157.0	4701.0	9622.0	7408.0	9724.0
DDR2_E5_STA100389	1709.0	6867.0	4847.0	643.0	8064.0	4508.0	7992.0	5698.0	5445.0	7096.0	2319.0	1075.0	305.0	4777.0	12528.0	3725.0	4718.0	8774.0	5663.0	2612.0	2177.0	11849.0	3703.0	5175.0	3590.0	2086.0	10774.0	6516.0	4835.0	8180.0	8210.0	8965.0
DDR2_E5_STA100390	568.0	2097.0	1315.0	176.0	2636.0	1220.0	2117.0	1415.0	1468.0	2053.0	698.0	221.0	77.0	1252.0	3296.0	923.0	1551.0	2962.0	1600.0	552.0	575.0	2945.0	846.0	1792.0	1061.0	532.0	2291.0	1955.0	1317.0	2806.0	2203.0	2360.0
DDR2_E6_STA100391	723.0	3717.0	2152.0	322.0	5229.0	3437.0	5263.0	4079.0	3998.0	4066.0	1398.0	527.0	237.0	2604.0	6560.0	2286.0	2430.0	5633.0	3174.0	1597.0	1142.0	7694.0	2276.0	2814.0	1305.0	906.0	7046.0	3778.0	2740.0	5526.0	5337.0	6321.0
