	C21D00633	D21D00614T	D21D00615T	D21D00631T	D21D00632T	D21D00635	D21D00644T	D21D00647T	D21D00654T	M21D00642	M21D00670	M21D00671	M21D00673	M21D00676	N21D00620	N21D00643	N21D00645	N21D00657	N21D00675	P21D00617	P21D00634	P21D00636	P21D00639	P21D00640	P21D00641	P21D00646	P21D00651	P21D00661	P21D00669	P21D00674	P21D00678	P21D00679
HRAS_E2_STA100029	2333.0	4414.0	2024.0	752.0	19697.0	8307.0	7705.0	3482.0	5367.0	5492.0	760.0	435.0	1028.0	2018.0	13065.0	2448.0	3335.0	8067.0	4767.0	1304.0	1250.0	7252.0	2715.0	4229.0	887.0	1486.0	9858.0	5280.0	3292.0	14817.0	6109.0	6088.0
KRAS_E4_STA101627	3088.0	13816.0	9338.0	1595.0	20739.0	7742.0	14059.0	11023.0	14994.0	7660.0	6968.0	4982.0	1720.0	16247.0	23772.0	5612.0	10478.0	19091.0	11812.0	4502.0	2034.0	21188.0	5769.0	11176.0	10738.0	3760.0	18243.0	8305.0	8507.0	22712.0	15268.0	13694.0
KRAS_E4_STA100031	3051.0	12300.0	7817.0	1654.0	19144.0	6662.0	10583.0	8450.0	10786.0	6383.0	5212.0	3300.0	928.0	12459.0	19013.0	5919.0	9638.0	18390.0	9261.0	3370.0	1851.0	16980.0	4402.0	9853.0	9591.0	2942.0	11721.0	8394.0	7613.0	20545.0	11745.0	10813.0
KRAS_E3_STA101630	687.0	2818.0	1556.0	220.0	4986.0	1227.0	2493.0	2013.0	3205.0	1779.0	1296.0	661.0	191.0	2642.0	4318.0	1198.0	2512.0	5238.0	2423.0	840.0	374.0	3325.0	863.0	2875.0	1824.0	712.0	2936.0	1962.0	1697.0	4396.0	2811.0	2303.0
KRAS_E3_STA100033	7317.0	30222.0	17764.0	3114.0	42509.0	15494.0	26262.0	19832.0	24428.0	18084.0	11695.0	5777.0	1964.0	24480.0	42259.0	14058.0	21179.0	35765.0	25230.0	7720.0	4338.0	38892.0	10529.0	23381.0	23537.0	6896.0	26263.0	21313.0	16249.0	42431.0	28620.0	25055.0
KRAS_E3_STA100034	1384.0	6290.0	4775.0	1192.0	10026.0	4935.0	7888.0	5752.0	6606.0	3844.0	3483.0	2325.0	1117.0	6903.0	12072.0	3741.0	5304.0	8321.0	5402.0	2679.0	1079.0	10833.0	2876.0	5239.0	5415.0	1483.0	8442.0	4087.0	4010.0	12062.0	8049.0	6955.0
KRAS_E3_STA100035	3800.0	15695.0	8934.0	1902.0	21515.0	10175.0	15645.0	11285.0	11108.0	8946.0	6034.0	4178.0	1784.0	12472.0	20841.0	7786.0	9468.0	16951.0	10949.0	5410.0	2266.0	20163.0	5813.0	9577.0	12062.0	3240.0	15326.0	9535.0	8557.0	21629.0	14417.0	12623.0
KRAS_E2_STA100036	820.0	3699.0	2640.0	542.0	5452.0	2009.0	3621.0	2519.0	2831.0	2435.0	1555.0	1173.0	280.0	3168.0	5153.0	2063.0	2258.0	4514.0	2350.0	1553.0	566.0	5663.0	1487.0	2648.0	2658.0	631.0	4032.0	2133.0	2073.0	4665.0	3619.0	2881.0
KRAS_E2_STA101625	2197.0	6270.0	4222.0	1310.0	12170.0	3896.0	5644.0	4225.0	5206.0	4073.0	2796.0	2233.0	1259.0	6899.0	10843.0	3206.0	5500.0	9014.0	4194.0	2277.0	1206.0	8082.0	2409.0	5195.0	5334.0	1405.0	7019.0	4310.0	3615.0	12824.0	6362.0	5708.0
BRCA2_E2_STA100515	947.0	3273.0	5931.0	60.0	7320.0	2413.0	3443.0	4291.0	2964.0	2424.0	2193.0	1541.0	304.0	4408.0	5287.0	1978.0	228.0	9633.0	2497.0	78.0	891.0	7155.0	1859.0	3007.0	712.0	1481.0	5304.0	4837.0	3433.0	9412.0	5232.0	2232.0
