	C21D01093	D21D01026T	D21D01032T	D21D01039T	D21D01059T	D21D01061T	D21D01081	D21D01082	D21D01087T	D21D01090	D21D01094T	D21D01102T	E21D01053T	M21D01116	N19D01411	N21D01072	N21D01084	N21D01085	N21D01113	O21D01018T	P21D01091M	P21D01092M	P21D01098	P21D01099	P21D01104	T21D01047	U21D01089	U21D01103	X21D01017	X21D01086	X21D01095
ALK_E22_STA100125	206.0	416.0	846.0	953.0	616.0	57.0	688.0	684.0	1851.0	152.0	1428.0	153.0	1194.0	1120.0	301.0	37.0	470.0	390.0	506.0	143.0	684.0	137.0	523.0	697.0	917.0	102.0	460.0	306.0	583.0	4249.0	1096.0
ALK_E21_STA100126	1508.0	2579.0	3567.0	3372.0	4146.0	402.0	2501.0	2031.0	6551.0	724.0	4580.0	1361.0	4579.0	4842.0	1452.0	296.0	2363.0	1607.0	2082.0	629.0	3528.0	1100.0	1717.0	3780.0	3681.0	347.0	1798.0	1322.0	2695.0	22796.0	4039.0
ALK_E20_STA101611	638.0	987.0	1697.0	1740.0	1858.0	189.0	943.0	837.0	3461.0	324.0	2519.0	934.0	2507.0	2150.0	684.0	83.0	1037.0	720.0	1043.0	276.0	1903.0	533.0	874.0	1495.0	1418.0	186.0	937.0	786.0	1118.0	10355.0	1764.0
ALK_E20_STA100128	4612.0	5530.0	5954.0	6292.0	7416.0	890.0	8747.0	4985.0	21805.0	2076.0	17480.0	4526.0	11877.0	11223.0	4865.0	637.0	5164.0	3233.0	4946.0	1435.0	7969.0	2541.0	5272.0	8925.0	9296.0	1040.0	6211.0	5129.0	5076.0	41870.0	8845.0
ALK_E20_STA100129	6698.0	6923.0	13546.0	13110.0	13825.0	1377.0	14179.0	10382.0	30628.0	3337.0	25669.0	8026.0	16151.0	23934.0	6569.0	1089.0	10653.0	5899.0	9229.0	2581.0	14160.0	4357.0	7870.0	13246.0	18702.0	2032.0	9677.0	8407.0	9890.0	80747.0	21536.0
ALK_E20_STA100130	2747.0	3348.0	6406.0	6578.0	6276.0	706.0	5843.0	4642.0	12401.0	1084.0	9510.0	3572.0	7379.0	9458.0	2990.0	476.0	4533.0	2593.0	3954.0	1236.0	4723.0	1841.0	3107.0	5059.0	7405.0	1096.0	3368.0	3507.0	4369.0	31372.0	8592.0
ALK_E19_STA101370	3636.0	3329.0	6103.0	5538.0	7903.0	682.0	6774.0	5106.0	14442.0	1271.0	11034.0	4290.0	8834.0	12155.0	2978.0	582.0	4507.0	3892.0	4347.0	1819.0	7376.0	1918.0	3811.0	6259.0	8345.0	1173.0	4810.0	3723.0	5599.0	42240.0	12056.0
ALK_E18_STA101371	1449.0	1905.0	2905.0	3514.0	2597.0	421.0	3297.0	2756.0	7618.0	713.0	5171.0	1268.0	3717.0	5874.0	1458.0	290.0	2270.0	1973.0	1989.0	588.0	2798.0	900.0	1439.0	2176.0	4239.0	579.0	2432.0	1699.0	2262.0	17471.0	5078.0
ALK_E17_STA101372	2880.0	3375.0	6615.0	6651.0	6247.0	786.0	5841.0	4633.0	17071.0	1459.0	12216.0	3058.0	9533.0	10782.0	3299.0	634.0	4654.0	3332.0	4645.0	1565.0	7660.0	2412.0	3510.0	5783.0	9268.0	892.0	5276.0	3060.0	5415.0	49538.0	11371.0
ALK_E15_STA101374	1529.0	2435.0	3533.0	3356.0	5066.0	454.0	3530.0	2587.0	9193.0	667.0	5751.0	1816.0	4954.0	5992.0	1812.0	342.0	2706.0	2318.0	2258.0	1052.0	3284.0	1165.0	1919.0	3856.0	4383.0	709.0	2220.0	1543.0	2641.0	28384.0	4508.0
ALK_E14_STA101375	760.0	813.0	1497.0	1675.0	1540.0	201.0	1562.0	1444.0	3362.0	328.0	2740.0	516.0	2143.0	1898.0	846.0	104.0	1048.0	761.0	891.0	332.0	1360.0	397.0	1184.0	1589.0	1648.0	270.0	922.0	553.0	1190.0	8678.0	2283.0
ALK_E13_STA101376	426.0	571.0	1160.0	1295.0	809.0	50.0	748.0	874.0	2732.0	244.0	2146.0	367.0	1754.0	1315.0	517.0	72.0	612.0	430.0	680.0	171.0	1049.0	289.0	674.0	952.0	1259.0	159.0	643.0	462.0	830.0	6708.0	1520.0
ALK_E12_STA101377	567.0	781.0	1074.0	1059.0	1089.0	110.0	793.0	700.0	1914.0	247.0	1880.0	438.0	1655.0	1996.0	389.0	101.0	715.0	667.0	710.0	233.0	1090.0	423.0	560.0	1216.0	1201.0	148.0	697.0	544.0	804.0	6476.0	1786.0
ALK_E11_STA101378	4199.0	5018.0	8839.0	9253.0	7933.0	1527.0	8465.0	6620.0	17796.0	2186.0	17752.0	4475.0	10678.0	12381.0	4224.0	912.0	6003.0	4179.0	5346.0	2175.0	8284.0	2693.0	6302.0	9468.0	11082.0	1381.0	5559.0	3424.0	5332.0	47134.0	15475.0
ALK_E10_STA101379	11203.0	10023.0	18973.0	19557.0	14765.0	1886.0	15542.0	15117.0	38194.0	4071.0	35268.0	6439.0	24170.0	25613.0	8710.0	1498.0	14445.0	8664.0	9472.0	2980.0	18692.0	5888.0	11123.0	17069.0	23165.0	1946.0	11307.0	9629.0	12033.0	100944.0	32313.0
ALK_E9_STA101380	455.0	352.0	703.0	1013.0	399.0	92.0	594.0	838.0	2301.0	198.0	1799.0	260.0	1092.0	994.0	350.0	70.0	604.0	328.0	511.0	170.0	772.0	184.0	467.0	632.0	820.0	118.0	359.0	364.0	452.0	3202.0	1175.0
ALK_E8_STA101381	3232.0	5421.0	8160.0	8849.0	9137.0	1719.0	6918.0	5306.0	15846.0	2432.0	11273.0	3323.0	11426.0	11459.0	4088.0	766.0	6027.0	4729.0	5427.0	1904.0	7896.0	2647.0	6874.0	9839.0	9366.0	924.0	4054.0	2673.0	6349.0	51862.0	11093.0
