	C21D01093	D21D01026T	D21D01032T	D21D01039T	D21D01059T	D21D01061T	D21D01081	D21D01082	D21D01087T	D21D01090	D21D01094T	D21D01102T	E21D01053T	M21D01116	N19D01411	N21D01072	N21D01084	N21D01085	N21D01113	O21D01018T	P21D01091M	P21D01092M	P21D01098	P21D01099	P21D01104	T21D01047	U21D01089	U21D01103	X21D01017	X21D01086	X21D01095
TERT_E2_STA102079	1516.0	1027.0	2356.0	2289.0	3119.0	58.0	2666.0	1703.0	7800.0	485.0	4116.0	1165.0	3090.0	5343.0	840.0	130.0	1169.0	1462.0	935.0	679.0	4024.0	812.0	924.0	2116.0	3471.0	615.0	1777.0	1112.0	2181.0	18029.0	2514.0
TERT_E2_STA101197	720.0	358.0	1121.0	1240.0	1257.0	37.0	981.0	808.0	3594.0	212.0	1899.0	396.0	1275.0	2258.0	294.0	40.0	570.0	687.0	557.0	260.0	2170.0	347.0	403.0	706.0	1353.0	233.0	579.0	493.0	1047.0	7484.0	1141.0
TERT_E2_STA102080	538.0	220.0	789.0	764.0	754.0	31.0	670.0	540.0	2529.0	150.0	1535.0	234.0	877.0	1501.0	222.0	22.0	412.0	383.0	377.0	158.0	1376.0	217.0	230.0	471.0	917.0	163.0	377.0	391.0	637.0	4565.0	769.0
TERT_E2_STA103243	373.0	202.0	516.0	429.0	666.0	10.0	595.0	362.0	1740.0	117.0	1012.0	239.0	548.0	1251.0	133.0	14.0	246.0	268.0	285.0	120.0	1155.0	194.0	194.0	407.0	809.0	150.0	372.0	286.0	470.0	2940.0	510.0
TERT_E2_STA103247	1131.0	591.0	1797.0	1453.0	2005.0	20.0	1808.0	957.0	5467.0	397.0	3067.0	712.0	1851.0	3396.0	395.0	99.0	1016.0	1013.0	743.0	316.0	3049.0	707.0	675.0	1478.0	2517.0	426.0	1095.0	756.0	1536.0	11452.0	1721.0
TERT_E2_STA102076	454.0	76.0	219.0	177.0	339.0	4.0	222.0	160.0	2809.0	190.0	1496.0	377.0	280.0	1654.0	66.0	18.0	123.0	136.0	344.0	35.0	1510.0	345.0	372.0	695.0	1526.0	74.0	509.0	446.0	200.0	1712.0	899.0
TERT_E2_STA101206	598.0	160.0	458.0	463.0	377.0	10.0	546.0	357.0	2989.0	153.0	1645.0	212.0	419.0	1577.0	130.0	34.0	178.0	310.0	295.0	84.0	1432.0	287.0	340.0	503.0	1298.0	104.0	581.0	303.0	378.0	2670.0	912.0
RICTOR_E38_STA101453	444.0	314.0	826.0	625.0	432.0	130.0	432.0	377.0	1478.0	151.0	1030.0	272.0	687.0	745.0	266.0	30.0	322.0	262.0	430.0	150.0	624.0	151.0	608.0	904.0	710.0	135.0	345.0	186.0	330.0	2840.0	558.0
RICTOR_E37_STA101454	1969.0	1486.0	3602.0	2877.0	1850.0	892.0	2346.0	1749.0	5577.0	676.0	3983.0	1142.0	3140.0	3223.0	1444.0	268.0	1495.0	989.0	1884.0	449.0	1743.0	734.0	1998.0	3150.0	2985.0	448.0	1543.0	929.0	1493.0	11041.0	2564.0
RICTOR_E36_STA101455	189.0	298.0	544.0	462.0	304.0	310.0	290.0	243.0	567.0	180.0	438.0	166.0	523.0	498.0	149.0	40.0	262.0	194.0	412.0	88.0	398.0	68.0	340.0	574.0	371.0	68.0	186.0	150.0	226.0	1739.0	358.0
RICTOR_E35_STA101456	2997.0	2995.0	6312.0	4545.0	3753.0	1119.0	3317.0	2899.0	7571.0	1352.0	7164.0	1829.0	5913.0	5921.0	2226.0	420.0	3030.0	1746.0	2862.0	806.0	5049.0	1365.0	5366.0	6778.0	5803.0	798.0	3288.0	1607.0	2632.0	19424.0	5638.0
RICTOR_E34_STA101457	1467.0	1071.0	2737.0	3422.0	1026.0	611.0	1414.0	2176.0	4712.0	635.0	3235.0	613.0	2957.0	2399.0	678.0	184.0	1018.0	576.0	1374.0	237.0	1676.0	501.0	1935.0	1814.0	2686.0	270.0	1176.0	893.0	1009.0	5879.0	2360.0
RICTOR_E33_STA101458	3559.0	5552.0	10426.0	8367.0	5637.0	2887.0	4172.0	5109.0	10579.0	2271.0	8992.0	3034.0	9757.0	9635.0	3050.0	624.0	5011.0	2816.0	4982.0	1106.0	6352.0	1900.0	6377.0	9676.0	6877.0	864.0	3092.0	2643.0	3539.0	28310.0	6589.0
RICTOR_E32_STA101737	1181.0	1066.0	2558.0	1987.0	1488.0	601.0	1293.0	1196.0	3155.0	417.0	2801.0	610.0	2264.0	2093.0	932.0	212.0	1098.0	670.0	1331.0	351.0	1703.0	466.0	1909.0	2744.0	1927.0	354.0	1030.0	544.0	918.0	7673.0	1831.0
RICTOR_E31_STA101460	4568.0	4512.0	8033.0	6714.0	5498.0	2186.0	4913.0	4884.0	10832.0	1794.0	11581.0	3374.0	7278.0	9630.0	3517.0	671.0	4236.0	2708.0	4870.0	1244.0	6121.0	2230.0	7565.0	11053.0	8433.0	930.0	4116.0	2406.0	3654.0	25565.0	7774.0
RICTOR_E31_STA101461	1661.0	1956.0	4082.0	3363.0	2188.0	827.0	2263.0	2114.0	4835.0	822.0	4452.0	934.0	3840.0	3541.0	1445.0	314.0	1999.0	1100.0	1865.0	499.0	2946.0	822.0	2842.0	5210.0	3319.0	416.0	1765.0	1205.0	1708.0	13048.0	3069.0
RICTOR_E30_STA101462	3813.0	3590.0	8063.0	6400.0	5154.0	2257.0	4422.0	3711.0	10170.0	1756.0	10850.0	2968.0	7348.0	7801.0	2842.0	450.0	3750.0	2073.0	3909.0	1224.0	4694.0	1696.0	6427.0	9085.0	7276.0	709.0	3743.0	2240.0	3332.0	22368.0	6009.0
RICTOR_E29_STA101740	9204.0	10679.0	18929.0	14998.0	10242.0	4687.0	10932.0	9570.0	23289.0	3924.0	21935.0	5417.0	17440.0	18364.0	7077.0	1201.0	9609.0	5341.0	8561.0	2037.0	11729.0	3381.0	11655.0	19713.0	17074.0	2026.0	8284.0	5525.0	7255.0	57367.0	15421.0
RICTOR_E28_STA101464	902.0	1645.0	2562.0	2192.0	1855.0	932.0	1446.0	1112.0	2526.0	610.0	2240.0	921.0	2515.0	2275.0	940.0	264.0	1434.0	930.0	1198.0	353.0	1700.0	473.0	1584.0	2929.0	1781.0	256.0	739.0	683.0	1211.0	9288.0	1401.0
RICTOR_E26_STA101466	3502.0	3412.0	7342.0	6694.0	3822.0	1890.0	3508.0	3639.0	8716.0	1282.0	8184.0	2105.0	6832.0	7013.0	2899.0	580.0	4025.0	1945.0	3440.0	742.0	4180.0	1364.0	5116.0	7570.0	5476.0	816.0	3223.0	2151.0	2994.0	21402.0	6101.0
RICTOR_E25_STA101467	1819.0	1430.0	3659.0	2928.0	2121.0	894.0	2224.0	1768.0	4176.0	717.0	3697.0	1161.0	3122.0	3220.0	1649.0	260.0	1712.0	1190.0	1732.0	466.0	2106.0	462.0	2372.0	3190.0	2766.0	479.0	1616.0	1068.0	1607.0	11045.0	2336.0
RICTOR_E24_STA101468	992.0	923.0	2053.0	1783.0	1429.0	364.0	1166.0	918.0	2644.0	338.0	2283.0	753.0	1986.0	1689.0	978.0	126.0	876.0	554.0	886.0	250.0	1415.0	420.0	1373.0	2018.0	1580.0	247.0	865.0	596.0	760.0	6653.0	1440.0
RICTOR_E23_STA101469	3417.0	4608.0	8127.0	7025.0	5336.0	2154.0	5160.0	4413.0	9143.0	1664.0	7931.0	2544.0	8094.0	7847.0	3584.0	514.0	4641.0	2861.0	3462.0	1081.0	4382.0	1525.0	4686.0	7796.0	6468.0	1274.0	3067.0	2366.0	3318.0	24670.0	5893.0
RICTOR_E22_STA101470	4188.0	4659.0	8550.0	6930.0	5562.0	2280.0	5237.0	4341.0	10259.0	1870.0	10731.0	3487.0	8567.0	9389.0	3562.0	584.0	5014.0	2440.0	4749.0	1267.0	6196.0	1949.0	6706.0	10728.0	8075.0	1140.0	4489.0	3103.0	4130.0	29563.0	7323.0
RICTOR_E21_STA101471	8185.0	7244.0	14408.0	11820.0	9457.0	3453.0	8403.0	8628.0	21326.0	3066.0	20344.0	6174.0	14654.0	17417.0	5863.0	983.0	7427.0	4540.0	7064.0	2692.0	9786.0	3383.0	13252.0	18975.0	13666.0	1817.0	7808.0	4715.0	7068.0	48253.0	14256.0
RICTOR_E20_STA101472	6288.0	4713.0	12887.0	10255.0	8853.0	3160.0	8206.0	6373.0	16028.0	2490.0	14011.0	4260.0	11699.0	12652.0	4673.0	951.0	6851.0	3868.0	5430.0	2156.0	7238.0	2718.0	9152.0	13006.0	10786.0	1202.0	5748.0	3343.0	5237.0	39098.0	10630.0
RICTOR_E19_STA101744	722.0	1302.0	2356.0	2040.0	1363.0	786.0	1085.0	1032.0	2134.0	380.0	1772.0	520.0	2056.0	2259.0	958.0	164.0	1248.0	683.0	1470.0	230.0	1108.0	342.0	1189.0	2384.0	1419.0	310.0	749.0	588.0	842.0	8134.0	1206.0
RICTOR_E18_STA101474	3311.0	4318.0	8282.0	5863.0	4006.0	2077.0	3951.0	3909.0	8241.0	1357.0	8402.0	2239.0	7053.0	8108.0	3002.0	459.0	4890.0	2476.0	3791.0	670.0	4155.0	1170.0	4642.0	7603.0	5537.0	1006.0	3155.0	2515.0	2842.0	24069.0	5769.0
RICTOR_E17_STA101475	3515.0	4029.0	8540.0	7408.0	4802.0	2015.0	4913.0	4398.0	10658.0	1535.0	9641.0	2739.0	6983.0	8412.0	3044.0	461.0	3781.0	2308.0	3903.0	1132.0	4900.0	1607.0	6213.0	9370.0	7084.0	846.0	3554.0	2353.0	2953.0	25346.0	6257.0
RICTOR_E15_STA101477	3248.0	3418.0	9515.0	6186.0	5284.0	2006.0	4229.0	3810.0	10029.0	1345.0	6877.0	2135.0	7726.0	7062.0	3186.0	530.0	3589.0	2825.0	4173.0	1047.0	5026.0	1656.0	4902.0	7681.0	5197.0	853.0	2594.0	2052.0	3267.0	29115.0	5636.0
RICTOR_E14_STA101478	1010.0	664.0	2209.0	1638.0	1178.0	322.0	1132.0	930.0	2649.0	349.0	1761.0	494.0	1850.0	1424.0	714.0	152.0	959.0	576.0	826.0	308.0	1309.0	348.0	1245.0	1724.0	1308.0	243.0	928.0	598.0	795.0	6681.0	996.0
RICTOR_E13_STA101479	2328.0	1678.0	4655.0	2935.0	3448.0	898.0	2436.0	2429.0	6515.0	758.0	5986.0	1425.0	4423.0	4112.0	1696.0	252.0	2151.0	1112.0	2400.0	586.0	3055.0	1064.0	3670.0	5957.0	4086.0	683.0	2059.0	1185.0	2064.0	16443.0	3775.0
RICTOR_E12_STA101480	2176.0	2545.0	4949.0	3726.0	2840.0	1334.0	2964.0	2304.0	5579.0	824.0	4227.0	1638.0	4224.0	4535.0	2232.0	254.0	2755.0	1366.0	2384.0	810.0	2400.0	816.0	2769.0	4734.0	3223.0	708.0	1840.0	1510.0	2133.0	15614.0	3307.0
RICTOR_E11_STA101481	1203.0	1321.0	2846.0	2054.0	1624.0	624.0	1553.0	1220.0	3595.0	470.0	2905.0	833.0	2281.0	2036.0	1212.0	154.0	1368.0	762.0	1230.0	283.0	1670.0	494.0	1512.0	2615.0	1972.0	434.0	1176.0	938.0	1170.0	8880.0	1818.0
RICTOR_E10_STA101482	5306.0	5308.0	9340.0	8024.0	5031.0	2288.0	5764.0	5431.0	14065.0	2288.0	13143.0	3374.0	10049.0	11516.0	4133.0	600.0	5217.0	3082.0	5276.0	1724.0	7175.0	2555.0	8126.0	11950.0	10765.0	1111.0	5398.0	2979.0	4073.0	32906.0	11284.0
RICTOR_E9_STA101483	1359.0	1702.0	3526.0	2594.0	2613.0	1039.0	2414.0	1600.0	2981.0	660.0	3330.0	585.0	1876.0	3826.0	1487.0	234.0	1594.0	1090.0	1714.0	449.0	1896.0	632.0	2232.0	3248.0	2549.0	551.0	1389.0	941.0	1482.0	10533.0	2372.0
RICTOR_E8_STA101484	1230.0	1913.0	3244.0	3150.0	2661.0	1146.0	1749.0	1933.0	4729.0	742.0	3647.0	1130.0	3360.0	3199.0	1401.0	224.0	1577.0	983.0	2058.0	546.0	2307.0	568.0	2141.0	2941.0	2705.0	544.0	1325.0	724.0	1325.0	10983.0	2381.0
RICTOR_E7_STA101485	832.0	1277.0	2014.0	1592.0	1274.0	684.0	1185.0	950.0	2253.0	308.0	1936.0	845.0	1429.0	2434.0	791.0	138.0	1141.0	682.0	1550.0	237.0	1142.0	292.0	1388.0	2313.0	1709.0	220.0	851.0	774.0	607.0	5674.0	1389.0
RICTOR_E6_STA101486	358.0	450.0	844.0	742.0	578.0	286.0	486.0	385.0	984.0	250.0	716.0	396.0	790.0	838.0	338.0	66.0	422.0	290.0	454.0	124.0	520.0	98.0	574.0	804.0	476.0	70.0	228.0	222.0	387.0	2918.0	414.0
RICTOR_E5_STA101739	4948.0	5531.0	10751.0	8693.0	7560.0	3532.0	6343.0	5225.0	12092.0	2027.0	11059.0	3799.0	9429.0	9920.0	3982.0	775.0	5627.0	3095.0	5021.0	1610.0	6297.0	1828.0	7427.0	12053.0	8213.0	1519.0	4409.0	3006.0	4951.0	32593.0	8226.0
RICTOR_E4_STA101488	5269.0	5277.0	9876.0	7565.0	6213.0	2684.0	5609.0	5207.0	13610.0	2660.0	11928.0	3796.0	9551.0	11730.0	4405.0	653.0	5842.0	3096.0	5330.0	1308.0	7485.0	2130.0	7042.0	11206.0	10144.0	1209.0	4109.0	3369.0	4179.0	34343.0	9604.0
RICTOR_E3_STA101489	620.0	890.0	2022.0	1450.0	1165.0	474.0	848.0	928.0	1928.0	350.0	1334.0	349.0	1530.0	1602.0	747.0	156.0	768.0	492.0	742.0	284.0	1030.0	329.0	1091.0	1872.0	1004.0	184.0	728.0	394.0	654.0	5873.0	924.0
RICTOR_E1_STA101491	1856.0	891.0	2828.0	2891.0	1628.0	219.0	1598.0	1630.0	4688.0	499.0	4999.0	549.0	2462.0	4032.0	1458.0	96.0	1016.0	1238.0	1243.0	363.0	2250.0	817.0	1637.0	2220.0	3294.0	303.0	1730.0	999.0	1348.0	10139.0	4111.0
HIST1H3B_E1_STA100235	1975.0	2144.0	5941.0	6447.0	5736.0	3266.0	3710.0	4260.0	7876.0	1374.0	7318.0	2676.0	6892.0	7642.0	1366.0	508.0	3547.0	2937.0	3593.0	1593.0	4465.0	1372.0	5092.0	5970.0	4534.0	830.0	2922.0	2133.0	2778.0	24321.0	5647.0
HIST1H3B_E1_STA100236	1358.0	1100.0	3135.0	3740.0	2512.0	803.0	2069.0	2037.0	4993.0	694.0	5132.0	1039.0	3593.0	3494.0	1031.0	204.0	1978.0	1348.0	1653.0	626.0	2579.0	989.0	2483.0	4246.0	2748.0	364.0	1865.0	1373.0	1898.0	14411.0	3742.0
HIST1H3B_E1_STA100237	3554.0	2612.0	6506.0	7202.0	6384.0	2041.0	5809.0	4406.0	10380.0	1409.0	10783.0	3434.0	6929.0	10085.0	2791.0	453.0	4935.0	3433.0	3579.0	1765.0	5767.0	2240.0	5500.0	8575.0	6715.0	1378.0	4225.0	2704.0	4101.0	29573.0	9501.0
HIST1H3B_E1_STA100238	2015.0	1579.0	4078.0	4287.0	4091.0	940.0	3088.0	2814.0	6229.0	927.0	5921.0	1514.0	4298.0	5403.0	1708.0	220.0	2782.0	2260.0	2138.0	890.0	3817.0	1233.0	3459.0	5141.0	3851.0	573.0	2714.0	1888.0	2036.0	16888.0	5911.0
HIST1H3B_E1_STA100239	663.0	502.0	1232.0	1679.0	1389.0	466.0	1034.0	1237.0	2366.0	414.0	1996.0	613.0	1846.0	2030.0	508.0	88.0	776.0	834.0	910.0	448.0	1208.0	318.0	1380.0	1600.0	1500.0	260.0	794.0	594.0	892.0	6159.0	2148.0
ROS1_E41_STA100240	7366.0	6470.0	10333.0	10180.0	7913.0	3676.0	6638.0	8147.0	19331.0	2733.0	16962.0	6278.0	13398.0	15732.0	4538.0	783.0	7925.0	3186.0	8649.0	2548.0	9494.0	3878.0	11295.0	15152.0	12871.0	1982.0	6255.0	4580.0	6043.0	24363.0	17153.0
ROS1_E41_STA100241	3167.0	2691.0	4832.0	5406.0	3259.0	1183.0	2590.0	3351.0	8147.0	902.0	6871.0	1946.0	5165.0	5095.0	1559.0	252.0	2658.0	1063.0	2566.0	796.0	4374.0	1412.0	4520.0	6153.0	4103.0	556.0	2644.0	1854.0	2369.0	9139.0	5832.0
ROS1_E41_STA100242	8264.0	8860.0	14448.0	14654.0	10721.0	3876.0	8688.0	9902.0	19724.0	3201.0	18345.0	5690.0	15890.0	15697.0	6174.0	1074.0	9633.0	3904.0	7678.0	3141.0	11196.0	3967.0	12003.0	16279.0	12852.0	2406.0	6951.0	5301.0	7226.0	29845.0	17953.0
ROS1_E38_STA100243	1405.0	1067.0	1694.0	2093.0	1701.0	742.0	1190.0	1386.0	3472.0	541.0	3098.0	1042.0	2335.0	2829.0	903.0	177.0	1367.0	824.0	1618.0	477.0	1741.0	638.0	2416.0	2542.0	2269.0	348.0	1227.0	737.0	1165.0	4598.0	3095.0
ROS1_E38_STA100244	2892.0	2294.0	4112.0	4178.0	3015.0	898.0	1974.0	2433.0	6978.0	1154.0	6772.0	1797.0	4283.0	5389.0	1661.0	362.0	2362.0	879.0	2986.0	686.0	3995.0	1254.0	4627.0	6579.0	4448.0	591.0	2415.0	1659.0	1766.0	7751.0	6278.0
RAC1_E2_STA100245	1865.0	120.0	3795.0	172.0	4559.0	1656.0	6941.0	4344.0	5241.0	1519.0	17190.0	942.0	7975.0	128.0	48.0	260.0	1996.0	1477.0	3295.0	520.0	178.0	1193.0	1972.0	3077.0	3523.0	406.0	70.0	2490.0	4964.0	12415.0	6725.0
EGFR_E2_STA101493	1937.0	2267.0	3298.0	3725.0	1672.0	750.0	2515.0	2228.0	4675.0	603.0	8170.0	737.0	3429.0	3104.0	942.0	469.0	2111.0	6297.0	1637.0	432.0	2729.0	748.0	2814.0	3832.0	2816.0	334.0	1886.0	841.0	16053.0	5212.0	2634.0
EGFR_E3_STA101494	5867.0	7235.0	8434.0	8677.0	6036.0	2687.0	6676.0	6502.0	18449.0	2101.0	27452.0	2587.0	10870.0	11221.0	4448.0	1380.0	5508.0	21025.0	6077.0	1642.0	9255.0	2680.0	9395.0	9858.0	9957.0	872.0	5414.0	2851.0	54720.0	19485.0	11151.0
EGFR_E4_STA101495	2439.0	3283.0	4113.0	4859.0	3558.0	675.0	3032.0	2382.0	7569.0	757.0	7682.0	1800.0	5634.0	5358.0	1829.0	580.0	2692.0	11885.0	2634.0	839.0	4339.0	1265.0	3001.0	4466.0	3376.0	414.0	1749.0	1547.0	33796.0	11908.0	3861.0
EGFR_E5_STA101496	7192.0	8860.0	10936.0	10476.0	8837.0	2391.0	9843.0	6824.0	18748.0	2300.0	28063.0	3497.0	12474.0	13017.0	5998.0	1824.0	6971.0	27156.0	5738.0	1967.0	9639.0	3080.0	7798.0	11122.0	10813.0	1205.0	7111.0	3415.0	67496.0	23137.0	11503.0
EGFR_E6_STA101497	6845.0	6274.0	10321.0	10977.0	5913.0	1163.0	8921.0	6836.0	18481.0	1874.0	25418.0	3627.0	11972.0	12465.0	4821.0	1360.0	6533.0	20657.0	5763.0	1438.0	9660.0	2819.0	6190.0	7224.0	9813.0	1236.0	6026.0	5080.0	69606.0	20295.0	11210.0
EGFR_E7_STA101498	11782.0	11850.0	14536.0	16210.0	13496.0	1980.0	14745.0	9870.0	36060.0	3068.0	43354.0	7431.0	21849.0	26758.0	9062.0	2090.0	11827.0	39561.0	11416.0	2768.0	16541.0	5571.0	11042.0	17023.0	19237.0	1673.0	10600.0	8592.0	134037.0	43476.0	22703.0
EGFR_E8_STA101499	1302.0	1158.0	1808.0	2269.0	1618.0	282.0	1969.0	1504.0	5354.0	426.0	5429.0	930.0	2698.0	2725.0	1434.0	549.0	1383.0	5132.0	1288.0	273.0	1772.0	521.0	1301.0	1801.0	2326.0	439.0	1220.0	785.0	17150.0	4471.0	2560.0
EGFR_E9_STA101500	3068.0	5053.0	6675.0	6519.0	5195.0	2025.0	6115.0	3430.0	10522.0	1202.0	14063.0	2467.0	6135.0	8566.0	2886.0	1577.0	4054.0	17572.0	3286.0	941.0	4840.0	1483.0	4524.0	6136.0	5162.0	808.0	3391.0	2231.0	35298.0	13641.0	5741.0
EGFR_E10_STA101501	1631.0	2349.0	3366.0	3240.0	1909.0	884.0	2753.0	1772.0	5129.0	554.0	7525.0	859.0	3078.0	3835.0	981.0	630.0	1967.0	7159.0	1638.0	354.0	2692.0	664.0	1922.0	3351.0	2518.0	404.0	1726.0	1036.0	16439.0	5864.0	2833.0
EGFR_E11_STA101502	1079.0	1451.0	1650.0	2173.0	1595.0	717.0	1354.0	1123.0	3197.0	445.0	3917.0	853.0	2762.0	2826.0	923.0	735.0	1368.0	5001.0	1364.0	406.0	1760.0	480.0	1646.0	2371.0	1503.0	218.0	777.0	635.0	13724.0	5091.0	1782.0
EGFR_E12_STA100246	2460.0	3391.0	4681.0	4496.0	2851.0	1554.0	3721.0	2915.0	8030.0	862.0	10518.0	1680.0	4762.0	5232.0	1647.0	1437.0	3110.0	10417.0	2009.0	621.0	3490.0	862.0	3636.0	4469.0	3737.0	476.0	2405.0	1416.0	24135.0	7975.0	3954.0
EGFR_E12_STA100247	2704.0	3947.0	5301.0	5242.0	3963.0	1734.0	5083.0	3006.0	8985.0	1282.0	12934.0	1861.0	6382.0	6106.0	2127.0	1524.0	3452.0	12149.0	2914.0	1014.0	4591.0	1416.0	4630.0	6846.0	4968.0	626.0	2929.0	1575.0	32708.0	10863.0	4971.0
EGFR_E12_STA100248	908.0	1196.0	1424.0	1599.0	1327.0	1190.0	1259.0	1111.0	2055.0	566.0	2236.0	501.0	2495.0	2432.0	410.0	556.0	853.0	9005.0	1500.0	388.0	1114.0	289.0	1648.0	3472.0	1642.0	226.0	930.0	608.0	8957.0	3316.0	1488.0
EGFR_E13_STA101503	4367.0	4680.0	6851.0	6892.0	5810.0	852.0	5729.0	4616.0	14866.0	1589.0	21180.0	2601.0	9048.0	9376.0	3696.0	1607.0	4279.0	14066.0	4357.0	1178.0	7328.0	2217.0	4744.0	7623.0	7533.0	803.0	4160.0	2795.0	52305.0	19158.0	8662.0
EGFR_E14_STA101504	5292.0	5192.0	8606.0	8648.0	5408.0	1263.0	7200.0	5029.0	15010.0	1545.0	21898.0	3116.0	9053.0	10947.0	2910.0	2451.0	5805.0	16828.0	5273.0	1077.0	7202.0	2649.0	5386.0	8839.0	8683.0	880.0	4374.0	3722.0	52877.0	19405.0	9832.0
EGFR_E15_STA101505	2991.0	5403.0	5316.0	5594.0	6516.0	1413.0	5503.0	3449.0	8889.0	1365.0	10119.0	2919.0	7406.0	8063.0	3444.0	1920.0	5042.0	17595.0	3563.0	1333.0	5699.0	1669.0	3805.0	7776.0	5168.0	761.0	2601.0	2059.0	49198.0	16100.0	5076.0
EGFR_E16_STA101506	2375.0	3374.0	4496.0	5001.0	2851.0	1114.0	4547.0	2760.0	7782.0	699.0	9694.0	1688.0	5442.0	5856.0	1946.0	1342.0	3242.0	11259.0	2570.0	616.0	3905.0	934.0	2962.0	3645.0	4087.0	490.0	2902.0	1843.0	26741.0	9332.0	4100.0
EGFR_E17_STA101507	2841.0	3442.0	4238.0	4439.0	4063.0	769.0	5406.0	3072.0	9002.0	981.0	12084.0	2392.0	4877.0	7822.0	2677.0	1212.0	3821.0	12940.0	3042.0	905.0	4346.0	1326.0	3276.0	4704.0	5466.0	840.0	2922.0	2363.0	33315.0	11294.0	5854.0
EGFR_E18_STA100249	2126.0	2311.0	3147.0	3428.0	2986.0	577.0	3279.0	1921.0	6911.0	589.0	8526.0	1395.0	4322.0	5503.0	1892.0	838.0	2361.0	10458.0	2302.0	704.0	3281.0	972.0	2379.0	3518.0	3700.0	416.0	2156.0	1610.0	27833.0	9545.0	4092.0
EGFR_E18_STA100250	1647.0	1826.0	2314.0	2819.0	1872.0	450.0	2653.0	1837.0	5173.0	563.0	7288.0	1089.0	3294.0	4017.0	1487.0	692.0	2233.0	7024.0	1544.0	440.0	2296.0	794.0	1777.0	2183.0	2766.0	414.0	1770.0	1438.0	19428.0	6128.0	2894.0
EGFR_E19_STA100251	4218.0	6412.0	8117.0	8985.0	6494.0	1941.0	6407.0	5269.0	14906.0	1670.0	16315.0	2796.0	10438.0	10591.0	3848.0	2910.0	5654.0	21801.0	5419.0	1577.0	7332.0	2281.0	6122.0	7962.0	7044.0	703.0	4258.0	2985.0	57804.0	22075.0	7429.0
EGFR_E19_STA100252	3581.0	5326.0	5917.0	6833.0	5621.0	1744.0	5320.0	4249.0	10767.0	1499.0	11896.0	2470.0	8375.0	9346.0	3031.0	2202.0	4389.0	20511.0	4368.0	1371.0	6111.0	2006.0	4738.0	6301.0	6400.0	538.0	2975.0	2208.0	50756.0	17088.0	6281.0
EGFR_E20_STA100253	5419.0	6495.0	8524.0	9520.0	7799.0	1352.0	10301.0	6164.0	15729.0	1285.0	20514.0	3420.0	11458.0	15071.0	6001.0	2441.0	6785.0	30771.0	5043.0	1703.0	7466.0	2431.0	4668.0	6539.0	9348.0	1360.0	5526.0	4853.0	68262.0	25127.0	10143.0
EGFR_E20_STA100254	1088.0	1412.0	1756.0	1702.0	2047.0	257.0	1809.0	1125.0	3786.0	322.0	4732.0	924.0	2600.0	3063.0	1122.0	341.0	1364.0	5258.0	1238.0	394.0	1845.0	631.0	936.0	1813.0	1806.0	334.0	1136.0	775.0	17964.0	4809.0	2025.0
EGFR_E20_STA100255	9828.0	10476.0	12643.0	13639.0	11563.0	1939.0	12897.0	9081.0	31535.0	2834.0	35635.0	6501.0	18784.0	24619.0	7944.0	3297.0	9867.0	39404.0	8709.0	2472.0	14155.0	4610.0	8031.0	13695.0	15728.0	1401.0	8721.0	6098.0	118556.0	39319.0	18537.0
EGFR_E20_STA100256	1724.0	3656.0	3407.0	3939.0	4117.0	974.0	3966.0	2184.0	6179.0	660.0	5891.0	1617.0	4527.0	6437.0	2259.0	1146.0	2917.0	14573.0	2056.0	823.0	3624.0	931.0	1997.0	3342.0	3382.0	485.0	1827.0	1568.0	32378.0	11781.0	3253.0
EGFR_E21_STA100257	5351.0	5584.0	8346.0	8168.0	7721.0	1425.0	8363.0	6077.0	17402.0	1923.0	23141.0	4356.0	11397.0	12184.0	4483.0	2375.0	5835.0	23747.0	4616.0	1588.0	8881.0	2674.0	5001.0	8447.0	9102.0	1217.0	5806.0	3856.0	75241.0	26067.0	10520.0
EGFR_E21_STA100258	11338.0	15423.0	18294.0	19805.0	18401.0	3533.0	22451.0	12453.0	36953.0	3635.0	47232.0	9679.0	22056.0	31671.0	12066.0	5837.0	15720.0	66104.0	10566.0	4120.0	18334.0	6528.0	11162.0	16645.0	21149.0	3395.0	10977.0	8738.0	151799.0	54445.0	23597.0
EGFR_E21_STA100259	2943.0	5917.0	5298.0	5958.0	6722.0	1384.0	5441.0	3179.0	10078.0	1059.0	10494.0	2922.0	7524.0	9015.0	3538.0	1924.0	5028.0	22831.0	3423.0	1216.0	5412.0	1794.0	3224.0	5459.0	4854.0	725.0	2749.0	2240.0	52229.0	17734.0	5600.0
EGFR_E22_STA100260	6428.0	11546.0	12508.0	12016.0	11113.0	3914.0	10672.0	6820.0	20484.0	1977.0	24569.0	5014.0	16089.0	17915.0	6159.0	4229.0	9376.0	45174.0	7491.0	2726.0	11564.0	3534.0	8263.0	13530.0	10292.0	1385.0	5927.0	4139.0	80277.0	29125.0	11426.0
EGFR_E23_STA100261	588.0	818.0	978.0	1392.0	692.0	374.0	683.0	802.0	2505.0	284.0	3056.0	331.0	1607.0	1022.0	620.0	475.0	713.0	2962.0	988.0	170.0	1192.0	252.0	1027.0	1151.0	908.0	144.0	646.0	312.0	8731.0	2656.0	1262.0
