	D20D02433	D20D02436T	D20D02444	D20D02445T	G20D02417	G20D02460	K20D02437	M20D02448	M20D02474	N20D02449	N20D02451	N20D02452	P20D02439	P20D02450	P20D02453	P20D02454	P20D02455	P20D02456	P20D02459	P20D02464	P20D02465	P20D02469	P20D02471	S20D02363	S20D02435	S20D02473	T20D02402	U20D02442	U20D02443	X20D02423	X20D02457
RAD51D_E9_STA100959	6969.0	4497.0	5732.0	9119.0	3057.0	15151.0	690.0	3405.0	8192.0	762.0	4561.0	8178.0	7981.0	10035.0	11026.0	2484.0	10209.0	4102.0	3809.0	8733.0	13428.0	7540.0	5943.0	1445.0	6232.0	584.0	2541.0	216.0	4700.0	33709.0	10822.0
RAD51D_E8_STA100960	1737.0	1273.0	1656.0	2913.0	958.0	4570.0	192.0	757.0	2075.0	212.0	1420.0	2686.0	2224.0	3135.0	2898.0	713.0	2566.0	1422.0	982.0	2553.0	3805.0	2136.0	1552.0	408.0	1426.0	278.0	898.0	62.0	1247.0	6816.0	3462.0
RAD51D_E8_STA100961	2292.0	1452.0	1982.0	3773.0	1272.0	5794.0	258.0	1037.0	2875.0	251.0	1734.0	3678.0	2901.0	4466.0	4130.0	1079.0	3962.0	1742.0	1186.0	3665.0	4674.0	2773.0	2313.0	479.0	1625.0	323.0	1175.0	85.0	1854.0	9496.0	4478.0
RAD51D_E8_STA100962	365.0	221.0	386.0	780.0	231.0	1452.0	76.0	158.0	740.0	24.0	379.0	746.0	768.0	1407.0	1181.0	313.0	1147.0	331.0	168.0	1091.0	835.0	575.0	770.0	94.0	364.0	46.0	296.0	37.0	408.0	1688.0	992.0
RAD51D_E7_STA100963	14020.0	7586.0	10542.0	14997.0	4111.0	22608.0	1039.0	4465.0	13602.0	782.0	7277.0	15382.0	12630.0	17013.0	17024.0	4263.0	15711.0	6838.0	5489.0	12873.0	17881.0	11884.0	8164.0	1761.0	9847.0	1122.0	4134.0	408.0	8575.0	49172.0	19623.0
RAD51D_E7_STA101783	8795.0	5836.0	7414.0	10599.0	2858.0	17102.0	933.0	3369.0	9065.0	627.0	5966.0	10386.0	9410.0	11711.0	11480.0	3223.0	11651.0	5200.0	4188.0	9142.0	15368.0	8662.0	6875.0	1899.0	7451.0	891.0	2669.0	401.0	6054.0	41859.0	12446.0
RAD51D_E6_STA100965	1660.0	1301.0	1393.0	2125.0	1158.0	4473.0	156.0	990.0	2264.0	136.0	1230.0	2481.0	2361.0	2814.0	2753.0	549.0	3231.0	1226.0	1406.0	2406.0	3130.0	2418.0	1608.0	505.0	1355.0	288.0	907.0	116.0	1009.0	7799.0	3142.0
RAD51D_E6_STA100966	5291.0	3453.0	4559.0	7501.0	2733.0	11778.0	649.0	2383.0	7215.0	434.0	3959.0	6932.0	6544.0	10334.0	9953.0	2239.0	9812.0	3512.0	3459.0	8614.0	9278.0	6962.0	5317.0	1231.0	3548.0	675.0	2591.0	224.0	3908.0	26462.0	8431.0
RAD51D_E5_STA100967	11966.0	7105.0	8613.0	14287.0	5590.0	21390.0	1379.0	4540.0	12713.0	994.0	7381.0	13788.0	12487.0	15164.0	15926.0	3641.0	15558.0	6901.0	7609.0	12487.0	19427.0	12332.0	8355.0	2279.0	8975.0	1265.0	4558.0	184.0	7518.0	44741.0	18750.0
RAD51D_E5_STA100968	23934.0	14031.0	16861.0	23181.0	8733.0	38101.0	1515.0	7514.0	23071.0	1333.0	9661.0	23195.0	21343.0	26192.0	27630.0	7872.0	28502.0	11815.0	11316.0	21152.0	32570.0	20387.0	13720.0	4410.0	18781.0	2444.0	7280.0	703.0	14818.0	125674.0	32747.0
RAD51D_E5_STA100969	12668.0	7789.0	9627.0	13571.0	4240.0	19499.0	1014.0	4980.0	11305.0	888.0	6229.0	13965.0	10369.0	15121.0	15503.0	3629.0	14200.0	5817.0	6034.0	12686.0	18289.0	12409.0	7357.0	2576.0	8753.0	1086.0	4459.0	281.0	7153.0	53668.0	16670.0
RAD51D_E4_STA100970	21026.0	13598.0	14980.0	24309.0	8506.0	39524.0	2113.0	6593.0	21042.0	1256.0	11248.0	24146.0	22265.0	25936.0	28643.0	6488.0	24277.0	11247.0	10382.0	20608.0	30262.0	20158.0	13486.0	5076.0	16040.0	2189.0	7468.0	697.0	13467.0	92000.0	32508.0
RAD51D_E4_STA100971	4264.0	2752.0	3426.0	4714.0	2648.0	9797.0	483.0	1644.0	5943.0	639.0	3421.0	5421.0	5418.0	6972.0	7227.0	1741.0	7631.0	3322.0	3318.0	5316.0	8813.0	4850.0	3402.0	968.0	3352.0	703.0	1784.0	139.0	3291.0	19343.0	6329.0
RAD51D_E3_STA100972	19554.0	1367.0	12051.0	17351.0	5312.0	21966.0	2065.0	5188.0	15168.0	1408.0	8479.0	16286.0	13177.0	16653.0	19849.0	3495.0	15576.0	8062.0	8351.0	13440.0	29915.0	12230.0	7736.0	3178.0	11879.0	1472.0	4289.0	415.0	8798.0	69157.0	17216.0
RAD51D_E3_STA100973	3634.0	1880.0	2968.0	3526.0	1671.0	7442.0	369.0	1427.0	4223.0	364.0	2446.0	4610.0	4313.0	4945.0	5978.0	1498.0	4992.0	2507.0	1725.0	4556.0	7115.0	3491.0	2776.0	614.0	2467.0	306.0	1196.0	258.0	2671.0	20539.0	4359.0
RAD51D_E3_STA100974	8908.0	5450.0	7625.0	9860.0	3319.0	16369.0	885.0	4283.0	9194.0	1165.0	5428.0	11026.0	10700.0	12618.0	12473.0	2757.0	12530.0	4720.0	3984.0	9777.0	16374.0	8349.0	5960.0	1773.0	6611.0	939.0	3304.0	462.0	6393.0	48375.0	12632.0
RAD51D_E2_STA100975	5136.0	2237.0	4308.0	4858.0	1485.0	7647.0	382.0	1602.0	3980.0	469.0	3193.0	5820.0	4389.0	5843.0	5319.0	1213.0	5539.0	3038.0	1545.0	4470.0	9456.0	3859.0	2730.0	846.0	3871.0	430.0	1261.0	181.0	2769.0	21987.0	5498.0
RAD51D_E1_STA100976	1230.0	869.0	1033.0	1383.0	273.0	2435.0	101.0	462.0	1084.0	157.0	1173.0	2077.0	1325.0	1802.0	1798.0	501.0	1624.0	847.0	463.0	1722.0	2660.0	1136.0	859.0	232.0	898.0	218.0	387.0	36.0	804.0	5441.0	2030.0
