	D20D02433	D20D02436T	D20D02444	D20D02445T	G20D02417	G20D02460	K20D02437	M20D02448	M20D02474	N20D02449	N20D02451	N20D02452	P20D02439	P20D02450	P20D02453	P20D02454	P20D02455	P20D02456	P20D02459	P20D02464	P20D02465	P20D02469	P20D02471	S20D02363	S20D02435	S20D02473	T20D02402	U20D02442	U20D02443	X20D02423	X20D02457
JAK1_E25_STA100319	1465.0	1228.0	1749.0	1999.0	816.0	3392.0	420.0	1070.0	2266.0	90.0	1243.0	1794.0	1555.0	2318.0	2048.0	436.0	2750.0	1083.0	1850.0	1612.0	2265.0	1855.0	1010.0	645.0	1759.0	338.0	1011.0	20.0	973.0	2307.0	2908.0
JAK1_E25_STA100320	1183.0	1094.0	1628.0	1825.0	842.0	3415.0	399.0	903.0	2213.0	123.0	995.0	1679.0	1516.0	2239.0	1987.0	489.0	2646.0	912.0	1757.0	1757.0	2643.0	1710.0	821.0	768.0	1873.0	270.0	1075.0	44.0	947.0	2204.0	2891.0
JAK1_E25_STA100321	1002.0	787.0	1226.0	1352.0	524.0	2245.0	237.0	648.0	1775.0	154.0	708.0	1110.0	1404.0	1624.0	1654.0	290.0	1960.0	776.0	1252.0	1184.0	1842.0	1409.0	674.0	664.0	1186.0	234.0	714.0	20.0	756.0	2089.0	2017.0
JAK1_E24_STA100322	6080.0	3859.0	4794.0	5545.0	3569.0	12805.0	1358.0	3477.0	9314.0	518.0	3527.0	6189.0	6889.0	8243.0	9585.0	2098.0	9727.0	4368.0	6717.0	7957.0	8608.0	7680.0	2709.0	2137.0	5697.0	1339.0	3896.0	258.0	3948.0	11283.0	8856.0
JAK1_E24_STA100323	5807.0	4989.0	5914.0	6674.0	3474.0	11813.0	1537.0	3293.0	8992.0	538.0	3680.0	6391.0	7231.0	7945.0	8868.0	1950.0	9634.0	4304.0	7223.0	7509.0	9713.0	7717.0	3384.0	2677.0	7349.0	1228.0	4151.0	244.0	4063.0	11037.0	10759.0
JAK1_E24_STA100324	1560.0	1654.0	1750.0	2347.0	1260.0	3887.0	583.0	1182.0	3177.0	166.0	1467.0	2191.0	2518.0	2852.0	2983.0	692.0	3530.0	1353.0	2403.0	2567.0	2931.0	2960.0	870.0	940.0	1809.0	528.0	1473.0	84.0	1370.0	3406.0	3922.0
JAK1_E23_STA100325	5690.0	4250.0	5363.0	5700.0	3339.0	11941.0	1440.0	3302.0	7715.0	518.0	4365.0	6294.0	6283.0	8059.0	7960.0	2054.0	9432.0	4336.0	5929.0	6875.0	8628.0	7482.0	3276.0	2256.0	5575.0	789.0	3599.0	136.0	3938.0	10527.0	9725.0
JAK1_E23_STA100326	1161.0	978.0	1321.0	1140.0	1023.0	3744.0	379.0	717.0	2283.0	97.0	1094.0	1600.0	1981.0	2402.0	3267.0	879.0	2864.0	1133.0	1695.0	2168.0	2002.0	1943.0	1252.0	551.0	1202.0	369.0	1115.0	25.0	1241.0	2100.0	2843.0
JAK1_E22_STA100327	6042.0	4969.0	6084.0	7034.0	3353.0	12814.0	1571.0	3624.0	7964.0	362.0	4214.0	6997.0	6071.0	8383.0	9041.0	2287.0	9471.0	4261.0	6707.0	6858.0	10073.0	8065.0	3239.0	2450.0	6486.0	1246.0	3947.0	220.0	3802.0	9416.0	9967.0
JAK1_E22_STA100328	14571.0	10077.0	13527.0	14307.0	7135.0	26977.0	2694.0	8591.0	17270.0	672.0	7678.0	13289.0	13213.0	16611.0	17302.0	4262.0	20554.0	8635.0	14248.0	13837.0	19455.0	15381.0	6494.0	5219.0	14747.0	2305.0	7519.0	305.0	9099.0	22652.0	19688.0
JAK1_E22_STA100329	6657.0	6026.0	6655.0	7821.0	5196.0	16786.0	1649.0	4913.0	10131.0	429.0	5257.0	7971.0	7647.0	10646.0	11662.0	2707.0	12577.0	4777.0	8359.0	8890.0	10337.0	9250.0	4552.0	3066.0	6805.0	1190.0	4757.0	348.0	4932.0	11514.0	12524.0
JAK1_E22_STA100330	3207.0	2212.0	2936.0	2398.0	2390.0	7196.0	732.0	1582.0	4327.0	293.0	1849.0	3276.0	3691.0	4289.0	4967.0	1411.0	5318.0	1766.0	3164.0	3853.0	5264.0	3541.0	1839.0	1112.0	3773.0	511.0	1691.0	127.0	2411.0	7209.0	4804.0
JAK1_E21_STA100331	1607.0	1375.0	1808.0	2096.0	896.0	3874.0	444.0	954.0	2296.0	216.0	1626.0	1958.0	1830.0	2264.0	2532.0	422.0	2582.0	1230.0	1454.0	1597.0	3452.0	2322.0	1077.0	672.0	1750.0	297.0	948.0	40.0	1111.0	3184.0	2966.0
JAK1_E21_STA100332	8114.0	5166.0	6556.0	6790.0	4599.0	16434.0	1902.0	3534.0	10267.0	809.0	5358.0	8587.0	9669.0	11357.0	11170.0	2836.0	12081.0	5124.0	6428.0	9703.0	14262.0	8254.0	5109.0	2858.0	7518.0	1320.0	4132.0	420.0	5500.0	15494.0	11478.0
JAK1_E21_STA100333	13221.0	7937.0	11212.0	10410.0	4076.0	19362.0	2301.0	5543.0	12902.0	838.0	6408.0	12325.0	10599.0	13173.0	14517.0	3125.0	14250.0	7620.0	7843.0	11037.0	18346.0	12147.0	4860.0	3437.0	11678.0	1710.0	5248.0	541.0	7490.0	27433.0	13953.0
JAK1_E20_STA100334	2908.0	2369.0	2764.0	2661.0	1284.0	6437.0	376.0	1705.0	3523.0	172.0	1597.0	3883.0	3627.0	4505.0	4793.0	979.0	4741.0	1820.0	1963.0	3586.0	4417.0	4005.0	2026.0	761.0	3274.0	324.0	1434.0	123.0	2212.0	7553.0	4997.0
JAK1_E20_STA100335	13880.0	10591.0	12161.0	11984.0	4974.0	25734.0	1984.0	6070.0	15346.0	500.0	8258.0	15941.0	14148.0	19080.0	17585.0	4811.0	20141.0	8656.0	7973.0	14495.0	22485.0	14756.0	7573.0	3497.0	15990.0	1823.0	6781.0	506.0	9688.0	30198.0	19508.0
JAK1_E20_STA100336	14691.0	8534.0	12356.0	12299.0	4751.0	27188.0	1722.0	6087.0	14771.0	431.0	9296.0	15991.0	14798.0	19392.0	18744.0	4156.0	20081.0	7965.0	7350.0	14520.0	20322.0	14341.0	7039.0	2845.0	14156.0	1324.0	5858.0	552.0	8456.0	31945.0	20137.0
JAK1_E20_STA100337	13177.0	7159.0	11488.0	9951.0	3872.0	22003.0	1333.0	6182.0	12161.0	485.0	6689.0	12696.0	12381.0	15427.0	16141.0	3551.0	16001.0	6666.0	5921.0	12459.0	17096.0	11629.0	5726.0	2226.0	14885.0	888.0	4918.0	661.0	7084.0	34532.0	15559.0
JAK1_E19_STA100338	6597.0	4107.0	6090.0	5724.0	1962.0	11664.0	848.0	2852.0	6696.0	248.0	3508.0	7424.0	5804.0	7769.0	7462.0	1977.0	7676.0	3269.0	3217.0	6156.0	9103.0	5662.0	2853.0	1418.0	6880.0	815.0	2675.0	352.0	4312.0	17019.0	8765.0
JAK1_E19_STA100339	5716.0	3132.0	5016.0	4062.0	2373.0	10875.0	651.0	2573.0	6671.0	225.0	3227.0	6162.0	5605.0	7898.0	9153.0	1878.0	8075.0	3359.0	3248.0	6705.0	8601.0	5832.0	3320.0	961.0	5669.0	622.0	3002.0	231.0	4406.0	16176.0	6341.0
JAK1_E19_STA101785	9672.0	5965.0	7823.0	7387.0	3909.0	17656.0	1654.0	4386.0	11868.0	861.0	5204.0	10072.0	10395.0	13384.0	13397.0	3332.0	13425.0	5672.0	6575.0	11153.0	15986.0	9457.0	5002.0	2169.0	10299.0	1245.0	4327.0	480.0	6615.0	29219.0	12507.0
JAK1_E18_STA100341	15198.0	10437.0	11759.0	12750.0	4916.0	24852.0	2724.0	5784.0	16151.0	470.0	7462.0	15460.0	15670.0	17760.0	18659.0	5069.0	18283.0	7151.0	9808.0	14299.0	17445.0	16064.0	6941.0	3631.0	17034.0	1685.0	6314.0	546.0	9274.0	41156.0	21739.0
JAK1_E18_STA100342	1515.0	1256.0	1645.0	1827.0	632.0	4110.0	350.0	905.0	1728.0	36.0	1380.0	2447.0	1888.0	2658.0	2779.0	630.0	2830.0	1299.0	1411.0	2017.0	2845.0	2748.0	1307.0	598.0	2103.0	384.0	892.0	40.0	1116.0	2702.0	3779.0
JAK1_E17_STA100343	7345.0	5271.0	6644.0	6736.0	2118.0	12338.0	919.0	3748.0	6376.0	445.0	4685.0	8459.0	5908.0	8553.0	9184.0	2227.0	7970.0	3446.0	3516.0	7247.0	10145.0	6883.0	2992.0	1344.0	6173.0	630.0	2447.0	330.0	4502.0	17122.0	9307.0
JAK1_E17_STA100344	7864.0	4482.0	6571.0	5208.0	2526.0	13822.0	1047.0	3499.0	7436.0	514.0	3914.0	7890.0	8124.0	9854.0	9852.0	2343.0	9023.0	3726.0	3571.0	9133.0	12140.0	6887.0	2869.0	1285.0	6817.0	1176.0	2802.0	407.0	5540.0	24920.0	7879.0
JAK1_E17_STA100345	5495.0	3628.0	5048.0	3765.0	1645.0	9037.0	554.0	2335.0	5171.0	251.0	3338.0	5911.0	5282.0	6910.0	6737.0	1886.0	6473.0	2418.0	2762.0	5115.0	8286.0	5427.0	2603.0	894.0	5937.0	477.0	1699.0	206.0	3408.0	14548.0	6320.0
JAK1_E16_STA100346	6853.0	4128.0	6242.0	6280.0	1857.0	12627.0	806.0	2779.0	7956.0	344.0	3994.0	9096.0	7742.0	11095.0	10350.0	2474.0	8930.0	3734.0	3377.0	7465.0	11009.0	7037.0	3600.0	1277.0	6758.0	661.0	2812.0	349.0	4717.0	21186.0	10161.0
JAK1_E16_STA100347	2483.0	2171.0	2831.0	3115.0	733.0	4664.0	336.0	1054.0	2477.0	119.0	2038.0	3975.0	3029.0	4668.0	3827.0	1144.0	3280.0	1652.0	1080.0	2920.0	4620.0	3195.0	1732.0	495.0	2639.0	310.0	901.0	52.0	2105.0	6456.0	4794.0
JAK1_E15_STA100348	11398.0	6925.0	10871.0	8533.0	2280.0	17686.0	1364.0	4101.0	9179.0	479.0	6010.0	12177.0	10513.0	13821.0	12803.0	3133.0	12385.0	5456.0	3742.0	11560.0	15953.0	10548.0	4382.0	1941.0	11488.0	1090.0	3293.0	369.0	6100.0	29977.0	11514.0
JAK1_E15_STA100349	8024.0	3855.0	5991.0	4288.0	1997.0	10979.0	803.0	2746.0	6229.0	263.0	3665.0	6842.0	6737.0	8221.0	8215.0	1627.0	7882.0	2812.0	3078.0	6898.0	10072.0	5505.0	2099.0	1117.0	9152.0	576.0	2312.0	250.0	3631.0	24114.0	6909.0
JAK1_E14_STA100350	4376.0	2859.0	3596.0	3450.0	2031.0	10400.0	485.0	1855.0	5160.0	243.0	2733.0	5507.0	5358.0	7465.0	7956.0	1814.0	6887.0	2159.0	2048.0	6013.0	6776.0	5043.0	2222.0	616.0	3714.0	420.0	1551.0	265.0	3364.0	14093.0	5583.0
JAK1_E14_STA100351	975.0	834.0	1088.0	901.0	338.0	2531.0	170.0	568.0	1131.0	152.0	990.0	1464.0	1250.0	1790.0	1555.0	398.0	1509.0	512.0	418.0	1306.0	1763.0	1340.0	610.0	244.0	1008.0	181.0	499.0	38.0	847.0	3126.0	1802.0
JAK1_E13_STA100352	3621.0	2540.0	3553.0	3349.0	1279.0	7814.0	598.0	1910.0	4354.0	91.0	2546.0	5235.0	4349.0	5902.0	5249.0	1313.0	5850.0	2297.0	2280.0	4506.0	5757.0	4372.0	2020.0	944.0	3691.0	660.0	1672.0	211.0	2515.0	9813.0	5420.0
JAK1_E13_STA100353	872.0	840.0	855.0	1208.0	308.0	1845.0	78.0	441.0	612.0	26.0	885.0	1253.0	896.0	1572.0	1254.0	213.0	1267.0	551.0	452.0	1063.0	1607.0	1173.0	726.0	205.0	1100.0	186.0	322.0	28.0	611.0	578.0	2005.0
JAK1_E12_STA100354	3693.0	2948.0	3697.0	3647.0	1378.0	8036.0	668.0	1819.0	4260.0	253.0	2955.0	5899.0	4408.0	6632.0	6578.0	1470.0	5550.0	2240.0	2097.0	4596.0	6545.0	5110.0	2405.0	736.0	3400.0	642.0	1848.0	108.0	3066.0	10377.0	6593.0
JAK1_E12_STA100355	25771.0	14295.0	17695.0	16270.0	7913.0	33668.0	2614.0	8909.0	22472.0	1268.0	9813.0	21945.0	22682.0	27944.0	28902.0	7435.0	25227.0	10481.0	11048.0	20614.0	28102.0	18885.0	9672.0	3784.0	22366.0	1880.0	7977.0	1151.0	15935.0	69839.0	29695.0
JAK1_E11_STA100356	12277.0	9237.0	10611.0	9932.0	4538.0	18636.0	1693.0	5857.0	11689.0	664.0	5056.0	11046.0	10160.0	12506.0	13350.0	3563.0	13305.0	5904.0	6760.0	11138.0	15373.0	12116.0	4300.0	2850.0	13187.0	1458.0	4841.0	611.0	7243.0	35013.0	14023.0
JAK1_E11_STA100357	5363.0	4164.0	5302.0	4213.0	2124.0	9088.0	764.0	2616.0	5540.0	400.0	2787.0	5154.0	5031.0	5483.0	6716.0	1326.0	6445.0	2675.0	3430.0	5780.0	8491.0	4866.0	2319.0	1208.0	5975.0	608.0	2261.0	214.0	3363.0	16998.0	6406.0
JAK1_E11_STA100358	3659.0	3300.0	4103.0	4235.0	1974.0	9109.0	950.0	2194.0	4988.0	280.0	3551.0	5675.0	4929.0	6526.0	6656.0	1505.0	7146.0	2679.0	3270.0	4605.0	7356.0	5563.0	2776.0	1249.0	3533.0	639.0	2418.0	128.0	3163.0	8736.0	8415.0
JAK1_E10_STA100359	1995.0	1541.0	2638.0	2652.0	612.0	4632.0	380.0	1298.0	2149.0	62.0	1933.0	3106.0	2324.0	3079.0	3206.0	860.0	3165.0	1388.0	1258.0	2559.0	3597.0	2997.0	1560.0	413.0	2471.0	408.0	971.0	94.0	1748.0	4342.0	4271.0
JAK1_E10_STA100360	10911.0	6346.0	8284.0	7123.0	4194.0	23591.0	1165.0	4537.0	13535.0	632.0	5116.0	11696.0	12510.0	15192.0	16418.0	4183.0	15411.0	5058.0	5583.0	11573.0	15695.0	10765.0	5632.0	2115.0	10765.0	1098.0	4127.0	513.0	8351.0	37588.0	14524.0
JAK1_E9_STA100361	2989.0	1864.0	2594.0	3087.0	1161.0	7061.0	610.0	1613.0	3298.0	148.0	2262.0	4420.0	3662.0	5063.0	5390.0	1335.0	4835.0	1535.0	2013.0	3983.0	4496.0	3483.0	2066.0	786.0	2929.0	477.0	1452.0	102.0	2239.0	7445.0	5927.0
JAK1_E9_STA100362	4618.0	2934.0	4273.0	4796.0	1953.0	12149.0	989.0	2439.0	5813.0	203.0	3423.0	6595.0	6060.0	8657.0	8726.0	2143.0	8169.0	2964.0	3018.0	6519.0	7722.0	5532.0	3360.0	1163.0	4670.0	683.0	2287.0	217.0	3764.0	12370.0	8776.0
JAK1_E9_STA100363	13606.0	8205.0	10834.0	9909.0	3758.0	20279.0	1791.0	6097.0	12201.0	1101.0	6211.0	13574.0	11989.0	14005.0	15680.0	3821.0	16077.0	6403.0	7804.0	11696.0	19417.0	12574.0	5778.0	2362.0	13238.0	1478.0	4949.0	522.0	8781.0	40919.0	14894.0
JAK1_E8_STA100364	5301.0	4257.0	5364.0	5550.0	2957.0	10746.0	1148.0	3250.0	7293.0	446.0	3740.0	6442.0	5251.0	6398.0	7574.0	1901.0	8389.0	4051.0	5195.0	6166.0	9342.0	7361.0	2622.0	2170.0	5793.0	790.0	3267.0	86.0	3639.0	9414.0	8144.0
JAK1_E8_STA100365	11030.0	7653.0	11118.0	12117.0	6091.0	22839.0	2949.0	5918.0	16169.0	483.0	7576.0	12784.0	12508.0	16194.0	17133.0	3661.0	18185.0	7625.0	12751.0	13314.0	16865.0	14954.0	7733.0	4326.0	12185.0	2175.0	7018.0	243.0	7627.0	18420.0	20108.0
JAK1_E8_STA100366	9988.0	6380.0	9565.0	10067.0	4744.0	16097.0	2063.0	5101.0	11652.0	312.0	5852.0	9712.0	9688.0	13118.0	12872.0	3157.0	13215.0	6396.0	10134.0	9945.0	14490.0	11441.0	5471.0	3361.0	10600.0	1730.0	5761.0	161.0	6726.0	14939.0	15493.0
JAK1_E8_STA100367	1676.0	1228.0	1683.0	1959.0	835.0	3390.0	493.0	890.0	2234.0	56.0	1278.0	1765.0	1709.0	2564.0	2826.0	703.0	2987.0	1414.0	1758.0	2307.0	2796.0	2646.0	990.0	759.0	1527.0	396.0	1166.0	25.0	1182.0	2432.0	3237.0
JAK1_E7_STA100368	12014.0	9147.0	9483.0	11803.0	7155.0	20556.0	2764.0	6898.0	16789.0	940.0	5282.0	12207.0	12359.0	13825.0	16268.0	3217.0	17017.0	7289.0	14913.0	12221.0	16690.0	13959.0	5364.0	4398.0	11235.0	1902.0	8308.0	232.0	7059.0	21206.0	18918.0
JAK1_E7_STA100369	1985.0	1627.0	1599.0	2176.0	1511.0	5316.0	546.0	1263.0	3424.0	108.0	1233.0	2211.0	2815.0	3595.0	3401.0	801.0	4155.0	1672.0	2397.0	3088.0	3142.0	2825.0	1412.0	740.0	1851.0	402.0	1581.0	114.0	1406.0	3178.0	3407.0
JAK1_E7_STA100370	3456.0	2410.0	2862.0	3445.0	1635.0	5762.0	664.0	1969.0	3948.0	274.0	1754.0	3609.0	3180.0	3542.0	3587.0	1108.0	4717.0	2255.0	3261.0	3417.0	4725.0	4123.0	1701.0	1272.0	3200.0	534.0	2206.0	66.0	2078.0	5919.0	4495.0
JAK1_E7_STA100371	9238.0	7222.0	8305.0	9918.0	5138.0	20156.0	2664.0	5380.0	13200.0	446.0	6062.0	9572.0	10311.0	11938.0	13485.0	2799.0	14309.0	6570.0	10615.0	9649.0	12519.0	11769.0	5095.0	4244.0	11167.0	1352.0	5632.0	404.0	6147.0	15390.0	14768.0
JAK1_E7_STA100372	1387.0	1102.0	1463.0	1696.0	1326.0	4407.0	634.0	842.0	3145.0	82.0	1389.0	2226.0	2789.0	3245.0	3543.0	829.0	3729.0	1279.0	2030.0	2206.0	2645.0	2625.0	1369.0	771.0	1700.0	466.0	1489.0	96.0	1326.0	2626.0	3785.0
JAK1_E6_STA100373	1411.0	1356.0	1285.0	1199.0	426.0	2219.0	336.0	900.0	2305.0	117.0	1302.0	1312.0	1609.0	1557.0	2774.0	394.0	1763.0	1046.0	1610.0	1298.0	1658.0	2367.0	1132.0	580.0	960.0	212.0	1153.0	48.0	1141.0	2166.0	2141.0
JAK1_E6_STA100374	5338.0	3633.0	4906.0	5071.0	2054.0	10555.0	878.0	2260.0	6917.0	209.0	3181.0	5492.0	5229.0	6376.0	7600.0	1626.0	7414.0	3204.0	4552.0	5817.0	7609.0	6136.0	2927.0	1586.0	5771.0	594.0	2877.0	149.0	3291.0	12340.0	8143.0
JAK1_E6_STA100375	12922.0	9009.0	10201.0	6370.0	1222.0	11014.0	2338.0	5576.0	14903.0	676.0	5849.0	6493.0	7347.0	7996.0	16186.0	1772.0	8485.0	6262.0	9486.0	5549.0	7275.0	11659.0	5551.0	3272.0	8554.0	730.0	4996.0	283.0	8940.0	32885.0	9807.0
JAK1_E5_STA100376	3756.0	3095.0	4129.0	4979.0	2247.0	10230.0	1148.0	2055.0	6168.0	258.0	3209.0	5589.0	5608.0	7080.0	6797.0	1832.0	7241.0	2852.0	3542.0	5318.0	5981.0	6279.0	2900.0	1454.0	4263.0	881.0	2220.0	199.0	3364.0	11805.0	8712.0
JAK1_E5_STA100377	17408.0	10656.0	13980.0	12197.0	6144.0	31320.0	2784.0	6963.0	19110.0	850.0	8307.0	17919.0	16317.0	20715.0	22559.0	4812.0	22241.0	9786.0	12370.0	16638.0	22409.0	16626.0	8356.0	3956.0	17962.0	2122.0	7535.0	791.0	11191.0	47637.0	24113.0
JAK1_E5_STA100378	1904.0	1769.0	1893.0	2276.0	1008.0	6209.0	488.0	946.0	3874.0	64.0	1899.0	3194.0	3519.0	5191.0	4594.0	1018.0	5070.0	1536.0	2098.0	3767.0	3882.0	3671.0	1986.0	618.0	2059.0	503.0	1469.0	151.0	2110.0	5876.0	4644.0
JAK1_E5_STA101781	9142.0	5720.0	8102.0	6077.0	3014.0	14217.0	1107.0	3507.0	9833.0	423.0	3742.0	8146.0	8189.0	9310.0	10761.0	2645.0	10441.0	4292.0	5549.0	8895.0	10301.0	9033.0	3964.0	2169.0	9039.0	1007.0	3317.0	257.0	4812.0	24298.0	12406.0
JAK1_E4_STA100380	9497.0	7269.0	8336.0	9450.0	4787.0	18223.0	2081.0	5081.0	13364.0	492.0	5505.0	11117.0	11061.0	13147.0	13694.0	2614.0	15496.0	5348.0	10891.0	10423.0	11397.0	12298.0	4922.0	3413.0	9533.0	1655.0	4887.0	280.0	6765.0	27387.0	17316.0
JAK1_E4_STA100381	13030.0	8176.0	11743.0	11303.0	5290.0	20735.0	2679.0	5872.0	15372.0	459.0	5152.0	11726.0	12326.0	13786.0	14468.0	3270.0	17316.0	8140.0	10252.0	11997.0	15383.0	13576.0	5769.0	3973.0	12289.0	1649.0	6166.0	312.0	7711.0	26055.0	17662.0
JAK1_E4_STA100382	418.0	466.0	560.0	791.0	231.0	1404.0	132.0	253.0	778.0	40.0	514.0	872.0	566.0	858.0	920.0	140.0	834.0	336.0	570.0	803.0	1010.0	912.0	332.0	280.0	437.0	170.0	346.0	50.0	305.0	537.0	1149.0
JAK1_E3_STA100383	4069.0	2395.0	3038.0	3406.0	1571.0	8650.0	737.0	1994.0	5788.0	270.0	2140.0	4556.0	4734.0	5434.0	7516.0	1574.0	6960.0	2324.0	3619.0	4649.0	5383.0	4464.0	2407.0	977.0	3199.0	507.0	2101.0	172.0	2943.0	12227.0	6358.0
JAK1_E3_STA100384	7879.0	6915.0	9163.0	10029.0	2903.0	17978.0	1359.0	3960.0	11531.0	395.0	5205.0	10707.0	9837.0	12248.0	12796.0	3013.0	13456.0	4890.0	7029.0	9481.0	11247.0	10888.0	5076.0	2764.0	9112.0	1189.0	4764.0	323.0	5861.0	19952.0	15697.0
JAK1_E3_STA100385	12340.0	9124.0	11849.0	10028.0	4379.0	21187.0	1989.0	5695.0	15221.0	806.0	6747.0	13539.0	11453.0	13465.0	14810.0	3658.0	17590.0	6204.0	9026.0	13364.0	19015.0	11826.0	6028.0	3653.0	13065.0	1704.0	5468.0	357.0	8100.0	26607.0	19444.0
JAK1_E2_STA100386	7844.0	5178.0	7091.0	7209.0	4048.0	15576.0	1740.0	4098.0	11801.0	513.0	4660.0	7850.0	9366.0	11703.0	11124.0	2727.0	12081.0	5110.0	7914.0	8347.0	13579.0	8896.0	4608.0	2687.0	7379.0	1704.0	4832.0	160.0	5180.0	15962.0	11470.0
NRAS_E4_STA100001	3635.0	2604.0	3329.0	3288.0	1509.0	6961.0	612.0	1872.0	3881.0	134.0	2059.0	4055.0	3480.0	4229.0	5150.0	1198.0	5771.0	2944.0	3103.0	3476.0	5160.0	4227.0	1638.0	1155.0	4570.0	552.0	1892.0	52.0	2485.0	5574.0	6107.0
NRAS_E4_STA100002	7013.0	4421.0	5448.0	5378.0	2305.0	12722.0	992.0	2454.0	7453.0	443.0	3285.0	6785.0	6839.0	8816.0	9245.0	1775.0	8461.0	5520.0	4905.0	5773.0	9744.0	6489.0	3165.0	1454.0	8757.0	985.0	2989.0	156.0	4380.0	11148.0	9362.0
NRAS_E3_STA100003	11582.0	9694.0	10295.0	12840.0	5196.0	24339.0	2984.0	6061.0	16740.0	536.0	8429.0	14552.0	14810.0	19883.0	20149.0	3918.0	20182.0	9344.0	13829.0	11987.0	16341.0	16243.0	6832.0	5003.0	13443.0	2159.0	8280.0	605.0	9012.0	18791.0	24478.0
NRAS_E3_STA100004	5834.0	4223.0	4369.0	5604.0	3004.0	12373.0	1683.0	3163.0	9359.0	290.0	4215.0	6011.0	7340.0	9871.0	9168.0	1785.0	10592.0	3995.0	6549.0	6483.0	9071.0	8040.0	3226.0	2092.0	6188.0	944.0	3942.0	249.0	3843.0	9059.0	9181.0
NRAS_E3_STA101617	1327.0	1243.0	637.0	1562.0	799.0	2361.0	421.0	826.0	1417.0	71.0	698.0	1100.0	1243.0	2055.0	2014.0	358.0	1676.0	731.0	1769.0	1057.0	1814.0	2295.0	571.0	371.0	1708.0	207.0	949.0	19.0	971.0	1775.0	2291.0
NRAS_E2_STA100006	2905.0	2210.0	2735.0	4038.0	1520.0	7175.0	655.0	1629.0	4092.0	254.0	3044.0	3755.0	3132.0	3875.0	4334.0	855.0	4600.0	2726.0	3325.0	3122.0	4887.0	3963.0	1737.0	1410.0	2737.0	754.0	1876.0	100.0	1912.0	4374.0	5141.0
NRAS_E2_STA100007	8958.0	6334.0	7814.0	7385.0	5413.0	20419.0	2398.0	4803.0	14401.0	396.0	5255.0	10688.0	12312.0	12330.0	15696.0	3841.0	15403.0	8071.0	11422.0	8989.0	13525.0	11614.0	5338.0	3901.0	9652.0	1807.0	5232.0	344.0	7476.0	20828.0	14383.0
NRAS_E2_STA100008	9254.0	6820.0	8766.0	8438.0	4569.0	16422.0	2108.0	4909.0	12500.0	651.0	5236.0	10354.0	9299.0	10402.0	11403.0	2635.0	13479.0	8821.0	9543.0	7895.0	14452.0	11082.0	3973.0	3439.0	9961.0	1611.0	4646.0	348.0	5992.0	18311.0	13659.0
DDR2_E4_STA100387	26367.0	10659.0	13873.0	13148.0	11388.0	26140.0	3900.0	11491.0	19348.0	1915.0	8406.0	14215.0	17733.0	16166.0	21702.0	3674.0	22192.0	12789.0	21047.0	14968.0	24924.0	20159.0	8891.0	7865.0	19445.0	2172.0	8373.0	525.0	9390.0	42918.0	20959.0
DDR2_E5_STA100388	10995.0	4771.0	6129.0	6085.0	3916.0	12536.0	1572.0	4473.0	7008.0	692.0	3912.0	7324.0	7609.0	7566.0	11554.0	2187.0	9083.0	4630.0	6891.0	7063.0	11674.0	7541.0	4086.0	2412.0	8365.0	878.0	3066.0	202.0	4108.0	18533.0	10161.0
DDR2_E5_STA100389	5679.0	3194.0	3515.0	4664.0	2731.0	10283.0	891.0	2831.0	5386.0	426.0	3113.0	5862.0	5884.0	6828.0	8395.0	1679.0	6637.0	3128.0	4573.0	4820.0	6681.0	6429.0	3737.0	2224.0	5018.0	572.0	2570.0	189.0	2677.0	13132.0	8715.0
DDR2_E5_STA100390	2369.0	1309.0	1457.0	1558.0	776.0	3167.0	390.0	1012.0	1822.0	143.0	1140.0	2131.0	1636.0	2030.0	2498.0	504.0	2358.0	1232.0	1405.0	1501.0	2432.0	2224.0	1298.0	773.0	1676.0	189.0	694.0	56.0	944.0	5212.0	2865.0
DDR2_E6_STA100391	4745.0	1779.0	2108.0	2576.0	1870.0	7797.0	513.0	1929.0	4437.0	358.0	2465.0	3908.0	4996.0	4531.0	6839.0	1214.0	5256.0	2481.0	2500.0	3934.0	5354.0	4180.0	2699.0	1109.0	3654.0	395.0	1605.0	131.0	2508.0	14090.0	5432.0
DDR2_E6_STA100392	2587.0	1179.0	1419.0	1711.0	1106.0	4575.0	319.0	1022.0	2517.0	104.0	834.0	2517.0	2901.0	3248.0	3907.0	658.0	3353.0	1064.0	1574.0	2241.0	3116.0	3025.0	1588.0	578.0	2369.0	164.0	938.0	60.0	1216.0	7950.0	3252.0
DDR2_E6_STA100393	38791.0	15982.0	20559.0	21869.0	9564.0	43116.0	3341.0	14268.0	25505.0	1692.0	13531.0	21968.0	28578.0	29997.0	38492.0	8322.0	32617.0	14242.0	18224.0	22669.0	32792.0	30729.0	16178.0	7583.0	28966.0	1562.0	9616.0	677.0	15063.0	102672.0	38512.0
DDR2_E6_STA100394	17281.0	6311.0	7343.0	7082.0	5075.0	17914.0	1694.0	5116.0	9931.0	1076.0	4749.0	9422.0	10688.0	9950.0	13970.0	3221.0	11202.0	5887.0	7394.0	9398.0	14737.0	10611.0	5781.0	3139.0	13205.0	850.0	3997.0	183.0	5683.0	45673.0	12751.0
