	19T10717	19T18091	20T33159	D20D02352	E20D02359T	M20D02354	N20D02344	N20D02353	P20D02335	P20D02348	P20D02350	P20D02355	P20D02360	U20D02340	X20D02334	X20D02342	X20D02365
TERT_E5_STA101180	2208.0	2103.0	3482.0	1883.0	9256.0	7950.0	611.0	6333.0	11750.0	4756.0	669.0	716.0	1402.0	2529.0	7618.0	3705.0	6687.0
TERT_E5_STA101181	1762.0	1782.0	3403.0	1070.0	7081.0	4808.0	337.0	4703.0	8896.0	3812.0	713.0	626.0	1023.0	2253.0	6445.0	2685.0	4786.0
TERT_E5_STA101182	3917.0	4307.0	7700.0	3160.0	15839.0	12663.0	1028.0	12934.0	23069.0	10034.0	1324.0	1371.0	2416.0	5707.0	16306.0	6741.0	14026.0
TERT_E4_STA101183	2709.0	2639.0	5881.0	1696.0	12039.0	9705.0	817.0	7842.0	14750.0	6155.0	1011.0	1056.0	2092.0	3304.0	11696.0	4285.0	8861.0
TERT_E4_STA101184	3356.0	3187.0	7274.0	2427.0	11852.0	11575.0	911.0	10529.0	19179.0	7154.0	1150.0	1232.0	1938.0	3860.0	14045.0	5497.0	10617.0
TERT_E4_STA101185	5423.0	5024.0	11347.0	4323.0	17590.0	18865.0	1398.0	15195.0	30126.0	11223.0	1700.0	2111.0	2794.0	7592.0	18726.0	8833.0	15718.0
TERT_E3_STA101186	6440.0	5416.0	8891.0	3898.0	30610.0	18886.0	1806.0	17983.0	34371.0	13295.0	2259.0	2151.0	3841.0	8684.0	21394.0	10683.0	17412.0
TERT_E3_STA101187	9274.0	8292.0	16112.0	6231.0	42477.0	32841.0	2263.0	31577.0	60767.0	16475.0	3152.0	3941.0	4978.0	15052.0	31740.0	17320.0	25515.0
TERT_E3_STA101188	7149.0	7324.0	16312.0	5898.0	29226.0	27509.0	1886.0	27111.0	46959.0	16852.0	3098.0	3197.0	4161.0	12454.0	28287.0	13046.0	22382.0
TERT_E2_STA101189	4192.0	3324.0	6667.0	3401.0	19286.0	14509.0	1099.0	13491.0	31856.0	9415.0	1578.0	2057.0	1982.0	8718.0	16200.0	8070.0	13754.0
TERT_E2_STA101190	989.0	945.0	2023.0	1011.0	4530.0	3572.0	332.0	3660.0	7162.0	2881.0	382.0	401.0	645.0	1595.0	4647.0	2249.0	3822.0
TERT_E2_STA101191	595.0	658.0	1203.0	692.0	2662.0	1759.0	197.0	2096.0	3590.0	1631.0	226.0	159.0	488.0	731.0	2498.0	808.0	2436.0
TERT_E2_STA103246	3787.0	4068.0	6637.0	2948.0	14536.0	12628.0	1430.0	11120.0	22910.0	6770.0	1063.0	1538.0	2079.0	5987.0	12736.0	5236.0	11695.0
TERT_E2_STA101193	292.0	448.0	745.0	318.0	1115.0	1017.0	92.0	859.0	1910.0	872.0	62.0	120.0	256.0	363.0	1190.0	523.0	1053.0
TERT_E2_STA101812	2897.0	2715.0	7972.0	2525.0	9634.0	8213.0	562.0	9097.0	19285.0	6588.0	635.0	991.0	1816.0	4241.0	11626.0	4603.0	9635.0
TERT_E2_STA101811	3105.0	3278.0	7441.0	2981.0	10735.0	7786.0	964.0	10290.0	18405.0	8000.0	1212.0	1252.0	1809.0	4829.0	12689.0	5923.0	10427.0
TERT_E2_STA102079	2425.0	2563.0	4848.0	2198.0	9563.0	6396.0	650.0	9230.0	14326.0	6682.0	785.0	991.0	1471.0	3690.0	9920.0	4016.0	7818.0
TERT_E2_STA101197	984.0	1129.0	2429.0	860.0	4075.0	2025.0	342.0	3834.0	6278.0	2572.0	362.0	357.0	710.0	1378.0	3795.0	1390.0	3106.0
TERT_E2_STA102080	592.0	796.0	1681.0	546.0	2898.0	1233.0	260.0	2507.0	3818.0	1995.0	259.0	229.0	571.0	842.0	2675.0	966.0	2254.0
TERT_E2_STA103243	309.0	370.0	735.0	436.0	1286.0	913.0	90.0	1360.0	2431.0	1120.0	104.0	93.0	407.0	594.0	1643.0	531.0	1545.0
TERT_E2_STA103247	1589.0	1758.0	3690.0	1431.0	6017.0	3223.0	514.0	5398.0	9613.0	4436.0	630.0	478.0	1119.0	2023.0	6520.0	2443.0	6732.0
TERT_E2_STA102076	1311.0	2477.0	5055.0	1964.0	3856.0	3675.0	611.0	6095.0	9368.0	3862.0	579.0	501.0	1385.0	2511.0	7182.0	2858.0	7533.0
TERT_E2_STA101206	522.0	790.0	1716.0	777.0	1739.0	1054.0	159.0	2266.0	3227.0	1889.0	215.0	159.0	710.0	601.0	2925.0	1060.0	3364.0
RICTOR_E38_STA101453	921.0	987.0	2173.0	538.0	3217.0	3391.0	156.0	2777.0	3436.0	733.0	533.0	1370.0	1007.0	1003.0	3129.0	1845.0	3033.0
RICTOR_E37_STA101454	3239.0	4614.0	9096.0	2315.0	19233.0	12763.0	732.0	11705.0	15273.0	6084.0	2077.0	5621.0	4156.0	4496.0	11567.0	7598.0	12845.0
RICTOR_E36_STA101455	344.0	781.0	953.0	293.0	2064.0	2177.0	64.0	1343.0	2131.0	479.0	322.0	842.0	474.0	646.0	1686.0	1026.0	1270.0
RICTOR_E35_STA101456	4111.0	5825.0	10729.0	2989.0	21414.0	19331.0	1031.0	16814.0	22380.0	8435.0	4367.0	9471.0	5516.0	7167.0	16530.0	11033.0	17490.0
RICTOR_E34_STA101457	1370.0	1724.0	3450.0	987.0	7184.0	6798.0	418.0	4328.0	5753.0	3328.0	1387.0	2599.0	3401.0	1786.0	5042.0	2897.0	7219.0
RICTOR_E33_STA101458	7544.0	11283.0	17006.0	5907.0	32891.0	34151.0	1886.0	25283.0	31742.0	10790.0	5675.0	13760.0	9691.0	11716.0	25220.0	17939.0	28460.0
RICTOR_E32_STA101737	1441.0	2871.0	5030.0	1367.0	11411.0	8561.0	457.0	7501.0	10516.0	4750.0	2258.0	4217.0	3410.0	3229.0	8722.0	5043.0	8953.0
RICTOR_E31_STA101460	6161.0	8067.0	15451.0	5057.0	32368.0	34757.0	1948.0	28320.0	35840.0	14446.0	7364.0	17306.0	9794.0	11941.0	25542.0	17410.0	25860.0
RICTOR_E31_STA101461	3190.0	4826.0	8861.0	2581.0	14986.0	15330.0	598.0	12712.0	15375.0	6739.0	3576.0	7522.0	4955.0	5008.0	12722.0	8706.0	14378.0
RICTOR_E30_STA101462	4849.0	7341.0	14230.0	4373.0	34088.0	26845.0	1850.0	22226.0	30030.0	12948.0	7642.0	14022.0	8477.0	8951.0	23180.0	13328.0	25214.0
RICTOR_E29_STA101740	14518.0	20792.0	34585.0	11394.0	72411.0	61971.0	3633.0	48995.0	64814.0	27318.0	15950.0	32576.0	17444.0	19953.0	53422.0	34118.0	65815.0
RICTOR_E28_STA101464	2195.0	3157.0	5589.0	1649.0	11558.0	9578.0	366.0	7108.0	11283.0	3064.0	2021.0	4308.0	2261.0	3365.0	7285.0	5869.0	7478.0
RICTOR_E26_STA101466	3779.0	5920.0	10291.0	3794.0	30955.0	23846.0	1184.0	19678.0	24635.0	9979.0	5783.0	13799.0	7882.0	7832.0	20367.0	14701.0	23160.0
RICTOR_E25_STA101467	3520.0	4677.0	9045.0	2562.0	17169.0	12015.0	864.0	10455.0	13879.0	5743.0	3138.0	5486.0	4048.0	4373.0	11551.0	8430.0	12683.0
RICTOR_E24_STA101468	1541.0	2495.0	4730.0	1271.0	9574.0	6607.0	439.0	5788.0	8136.0	3524.0	1575.0	3051.0	2354.0	2292.0	6078.0	4589.0	6587.0
RICTOR_E23_STA101469	6137.0	7838.0	14346.0	5728.0	38321.0	28728.0	2199.0	23298.0	31865.0	13913.0	6697.0	14505.0	7826.0	9588.0	24786.0	17895.0	25170.0
RICTOR_E22_STA101470	7754.0	9619.0	19291.0	6465.0	31114.0	34798.0	1591.0	23692.0	33690.0	13617.0	7841.0	14451.0	10021.0	9757.0	27595.0	19677.0	30323.0
RICTOR_E21_STA101471	11166.0	16024.0	30925.0	9936.0	56938.0	58667.0	2453.0	45864.0	61843.0	24722.0	13114.0	26738.0	17909.0	18077.0	47366.0	28757.0	50286.0
RICTOR_E20_STA101472	9578.0	11316.0	23404.0	6932.0	54483.0	43527.0	2627.0	37071.0	49209.0	18903.0	8601.0	21400.0	12494.0	14648.0	35144.0	24633.0	40217.0
RICTOR_E19_STA101744	1379.0	2728.0	4369.0	1429.0	9675.0	8481.0	386.0	6727.0	7192.0	2954.0	2117.0	3808.0	1681.0	2780.0	6889.0	5692.0	6930.0
RICTOR_E18_STA101474	5548.0	7570.0	12986.0	4662.0	31453.0	25144.0	1666.0	19241.0	26474.0	10916.0	6221.0	12728.0	7156.0	8103.0	21323.0	15657.0	24020.0
RICTOR_E17_STA101475	5055.0	7841.0	15727.0	4569.0	35692.0	28482.0	1448.0	21747.0	28895.0	13302.0	6572.0	14115.0	9650.0	9011.0	24530.0	16693.0	26239.0
RICTOR_E15_STA101477	7153.0	10746.0	18166.0	5742.0	35276.0	32021.0	1960.0	26606.0	29878.0	9944.0	3612.0	11291.0	7642.0	9490.0	24465.0	17611.0	24879.0
RICTOR_E14_STA101478	1832.0	2956.0	5126.0	1098.0	10022.0	7145.0	538.0	6288.0	6587.0	3135.0	1177.0	2819.0	1781.0	2069.0	6975.0	4418.0	6099.0
RICTOR_E13_STA101479	3848.0	5389.0	10656.0	2431.0	16661.0	17142.0	842.0	15108.0	20396.0	6917.0	4155.0	6124.0	5012.0	5929.0	16238.0	9792.0	14438.0
RICTOR_E12_STA101480	3471.0	4691.0	9033.0	3174.0	20911.0	17736.0	1136.0	13241.0	16700.0	8209.0	3606.0	9167.0	4906.0	5767.0	13493.0	10044.0	14111.0
RICTOR_E11_STA101481	1544.0	2584.0	6329.0	1705.0	10841.0	8470.0	642.0	6087.0	8808.0	4209.0	2119.0	3267.0	2316.0	2622.0	8000.0	5247.0	8935.0
RICTOR_E10_STA101482	7958.0	10248.0	20559.0	5911.0	33002.0	39467.0	2023.0	30521.0	44484.0	16341.0	7411.0	16077.0	11400.0	11337.0	31400.0	19408.0	33526.0
RICTOR_E9_STA101483	3219.0	3636.0	7247.0	2370.0	12045.0	12780.0	553.0	9739.0	13974.0	6237.0	3218.0	6365.0	3933.0	4369.0	11620.0	8093.0	10704.0
RICTOR_E8_STA101484	1704.0	2746.0	5782.0	1696.0	8079.0	11857.0	509.0	7964.0	10729.0	4513.0	1708.0	4831.0	4107.0	3510.0	7528.0	5175.0	8271.0
RICTOR_E7_STA101485	1385.0	1463.0	2999.0	1137.0	6841.0	7424.0	370.0	4406.0	6091.0	2660.0	1505.0	3852.0	1608.0	2332.0	5276.0	3528.0	4608.0
RICTOR_E6_STA101486	499.0	1106.0	1726.0	488.0	3109.0	3093.0	104.0	2205.0	3648.0	965.0	814.0	1696.0	680.0	1046.0	2430.0	1933.0	2136.0
RICTOR_E5_STA101739	9199.0	12249.0	20102.0	7695.0	51157.0	38384.0	2080.0	33481.0	43786.0	17114.0	9749.0	21726.0	12421.0	15511.0	34038.0	24066.0	31816.0
RICTOR_E4_STA101488	8851.0	12129.0	24998.0	6018.0	39541.0	40455.0	1824.0	30932.0	44052.0	16934.0	9565.0	17928.0	10966.0	13304.0	32619.0	22392.0	38063.0
RICTOR_E3_STA101489	1087.0	2083.0	3432.0	1159.0	7882.0	6751.0	359.0	5341.0	7386.0	1986.0	1214.0	2909.0	2188.0	2125.0	5211.0	3864.0	4752.0
RICTOR_E1_STA101491	958.0	1402.0	2884.0	1209.0	5216.0	2516.0	604.0	4710.0	5941.0	2922.0	597.0	1110.0	1823.0	1427.0	4847.0	2062.0	5739.0
HIST1H3B_E1_STA100235	4590.0	8053.0	10341.0	4809.0	30785.0	47375.0	1584.0	22125.0	24750.0	8321.0	3909.0	11153.0	5882.0	9856.0	20546.0	10784.0	17345.0
HIST1H3B_E1_STA100236	1718.0	3057.0	5953.0	2043.0	10581.0	21438.0	649.0	11115.0	12519.0	4215.0	2460.0	3356.0	2977.0	4609.0	11333.0	4392.0	7736.0
HIST1H3B_E1_STA100237	4120.0	6225.0	9864.0	5047.0	35065.0	49021.0	1882.0	22764.0	29957.0	12430.0	5511.0	7299.0	6841.0	10684.0	28213.0	11002.0	17627.0
HIST1H3B_E1_STA100238	1803.0	3004.0	4830.0	2293.0	15833.0	24051.0	1009.0	10950.0	14778.0	6392.0	2638.0	3627.0	3471.0	4290.0	12240.0	4785.0	8725.0
HIST1H3B_E1_STA100239	694.0	1408.0	2444.0	1117.0	4287.0	9203.0	297.0	4222.0	4452.0	2074.0	766.0	1408.0	1423.0	1666.0	5094.0	1876.0	3449.0
ROS1_E41_STA100240	12507.0	15761.0	23429.0	8996.0	57553.0	35165.0	3566.0	51164.0	51742.0	27767.0	14278.0	26467.0	14953.0	22287.0	51048.0	21917.0	53123.0
ROS1_E41_STA100241	3841.0	6811.0	8872.0	2621.0	25207.0	11005.0	1018.0	17172.0	18812.0	8740.0	6242.0	8007.0	5620.0	6370.0	17639.0	6464.0	19106.0
ROS1_E41_STA100242	14782.0	18311.0	21839.0	9481.0	81780.0	39470.0	3355.0	53243.0	56915.0	29594.0	17508.0	27316.0	18131.0	24136.0	55239.0	22392.0	52551.0
ROS1_E38_STA100243	1957.0	2799.0	3454.0	1545.0	10453.0	7271.0	606.0	9383.0	9906.0	4731.0	2682.0	4624.0	2604.0	4074.0	9525.0	4324.0	7036.0
ROS1_E38_STA100244	3899.0	5120.0	8105.0	2930.0	22866.0	11778.0	1103.0	18660.0	20348.0	8872.0	5886.0	8797.0	6271.0	8206.0	17984.0	6615.0	17378.0
RAC1_E2_STA100245	378.0	222.0	14707.0	6199.0	32830.0	28639.0	1930.0	10535.0	11856.0	327.0	4623.0	99.0	224.0	108.0	22335.0	170.0	6342.0
EGFR_E2_STA101493	2012.0	2956.0	5225.0	2185.0	15131.0	11147.0	619.0	9400.0	9679.0	6070.0	2794.0	4391.0	4088.0	3399.0	9718.0	5092.0	10281.0
EGFR_E3_STA101494	6209.0	10182.0	15642.0	6964.0	33232.0	37434.0	1755.0	33282.0	34621.0	19069.0	7107.0	11626.0	10571.0	12162.0	32202.0	15525.0	31686.0
EGFR_E4_STA101495	2148.0	3706.0	6232.0	2239.0	14639.0	17476.0	700.0	12655.0	14600.0	5730.0	1219.0	2392.0	3007.0	5868.0	11777.0	4788.0	11125.0
EGFR_E5_STA101496	6453.0	8698.0	16998.0	5385.0	41359.0	37466.0	1987.0	31909.0	39914.0	18400.0	7223.0	11581.0	8535.0	12713.0	30854.0	14220.0	28549.0
EGFR_E6_STA101497	4460.0	6526.0	14374.0	4334.0	35037.0	36220.0	2104.0	24285.0	29077.0	16457.0	4049.0	5765.0	8280.0	9484.0	27256.0	9800.0	28638.0
EGFR_E7_STA101498	12499.0	14749.0	34265.0	10015.0	59791.0	77676.0	3899.0	57792.0	63976.0	36694.0	8661.0	14242.0	12370.0	22270.0	58911.0	20041.0	54413.0
EGFR_E8_STA101499	673.0	1058.0	2144.0	838.0	4295.0	5481.0	257.0	3992.0	4574.0	3193.0	555.0	631.0	1526.0	1545.0	4513.0	1641.0	4610.0
EGFR_E9_STA101500	6062.0	6643.0	14525.0	4275.0	30837.0	27223.0	1421.0	22337.0	24946.0	12762.0	4267.0	8912.0	5882.0	8843.0	22684.0	11891.0	21169.0
EGFR_E10_STA101501	2322.0	3559.0	7754.0	2152.0	16859.0	11943.0	747.0	11132.0	13111.0	6994.0	1982.0	4254.0	2885.0	4612.0	12117.0	5303.0	12262.0
EGFR_E11_STA101502	892.0	1669.0	2733.0	1007.0	5970.0	6697.0	235.0	5607.0	5360.0	1803.0	452.0	1816.0	1185.0	2212.0	4509.0	2330.0	3997.0
EGFR_E12_STA100246	3745.0	4698.0	8302.0	3075.0	20537.0	18057.0	1025.0	14052.0	14407.0	8938.0	3367.0	6299.0	5486.0	5033.0	13974.0	7665.0	14203.0
EGFR_E12_STA100247	4965.0	6584.0	12236.0	4337.0	26823.0	25840.0	1289.0	23650.0	23590.0	11818.0	4875.0	10026.0	6643.0	9033.0	21116.0	10669.0	19301.0
EGFR_E12_STA100248	1380.0	3825.0	3809.0	1246.0	8401.0	11930.0	562.0	6016.0	6747.0	2577.0	2741.0	4053.0	1299.0	2336.0	4882.0	5010.0	7314.0
EGFR_E13_STA101503	3296.0	5501.0	13155.0	3786.0	18770.0	27426.0	1053.0	23139.0	23502.0	11285.0	2596.0	3925.0	7001.0	7149.0	23388.0	7364.0	20905.0
EGFR_E14_STA101504	4697.0	6030.0	12512.0	4256.0	33294.0	32685.0	1569.0	25333.0	26680.0	13624.0	4063.0	6601.0	7035.0	8470.0	24723.0	10059.0	20865.0
EGFR_E15_STA101505	4108.0	4646.0	8797.0	3422.0	24033.0	26135.0	1199.0	22190.0	25345.0	8613.0	2457.0	5381.0	3621.0	9482.0	17812.0	7484.0	14191.0
EGFR_E16_STA101506	3404.0	5656.0	8246.0	2782.0	18866.0	19064.0	975.0	12965.0	14381.0	8885.0	2241.0	4023.0	4824.0	5632.0	14801.0	5511.0	14547.0
EGFR_E17_STA101507	2981.0	3048.0	7722.0	3028.0	19057.0	19738.0	1075.0	14583.0	18209.0	10997.0	2065.0	3253.0	3461.0	6374.0	15237.0	6290.0	13851.0
EGFR_E18_STA100249	3586.0	3837.0	9021.0	2974.0	15834.0	20441.0	805.0	14292.0	16362.0	8556.0	1878.0	2994.0	2737.0	6156.0	14911.0	6153.0	11963.0
EGFR_E18_STA100250	2274.0	2400.0	4882.0	1905.0	11464.0	11497.0	632.0	9881.0	9554.0	6559.0	1264.0	1795.0	3050.0	3634.0	9758.0	3754.0	9419.0
EGFR_E19_STA100251	6592.0	8052.0	14483.0	5654.0	35789.0	37456.0	1673.0	31345.0	33427.0	13026.0	3761.0	7894.0	6990.0	12114.0	27796.0	11778.0	23668.0
EGFR_E19_STA100252	5996.0	6196.0	11523.0	4403.0	27239.0	30584.0	1425.0	25764.0	29450.0	10570.0	2766.0	6886.0	5734.0	10284.0	20530.0	9001.0	19023.0
EGFR_E20_STA100253	8695.0	8719.0	18393.0	7328.0	46337.0	43917.0	2835.0	32103.0	37952.0	25484.0	4814.0	6805.0	8048.0	13505.0	36510.0	14860.0	37217.0
EGFR_E20_STA100254	5809.0	6613.0	16843.0	6295.0	26637.0	36267.0	1828.0	29539.0	31803.0	19794.0	3259.0	5089.0	5476.0	10738.0	29492.0	11748.0	26544.0
EGFR_E20_STA100255	12589.0	14970.0	32184.0	10792.0	59372.0	71283.0	3402.0	60221.0	66539.0	32435.0	7650.0	10969.0	12813.0	23177.0	59354.0	21629.0	55681.0
EGFR_E20_STA100256	3529.0	4123.0	7629.0	3061.0	18578.0	19630.0	998.0	16330.0	17495.0	7786.0	1622.0	3119.0	2654.0	8173.0	15404.0	6825.0	12659.0
EGFR_E21_STA100257	6912.0	8285.0	16188.0	5196.0	30474.0	37064.0	1496.0	27641.0	32474.0	18337.0	4037.0	6073.0	5425.0	12217.0	29622.0	11795.0	28295.0
EGFR_E21_STA100258	18216.0	19254.0	34429.0	12362.0	86764.0	81324.0	4004.0	59314.0	76290.0	44847.0	8401.0	13777.0	13323.0	29860.0	66919.0	27665.0	60708.0
EGFR_E21_STA100259	5284.0	6970.0	11715.0	4104.0	24537.0	29183.0	1629.0	21535.0	28561.0	11581.0	2948.0	4709.0	4053.0	10605.0	20934.0	9012.0	17669.0
EGFR_E22_STA100260	10574.0	13964.0	23359.0	8836.0	52741.0	51662.0	2935.0	45797.0	48233.0	22901.0	6421.0	15052.0	7761.0	20464.0	40684.0	19786.0	37981.0
EGFR_E23_STA100261	4156.0	6104.0	12871.0	4917.0	20231.0	29811.0	969.0	23062.0	21418.0	12447.0	4255.0	6928.0	7548.0	7594.0	21939.0	7737.0	18642.0
EGFR_E23_STA100262	7056.0	9600.0	17674.0	6875.0	39660.0	51512.0	2161.0	44572.0	39573.0	19954.0	7831.0	13747.0	12290.0	15336.0	36354.0	13378.0	28061.0
EGFR_E24_STA100263	3524.0	4341.0	7945.0	2767.0	21740.0	17850.0	1039.0	15731.0	18072.0	10054.0	3017.0	5578.0	3845.0	6361.0	15188.0	7716.0	12191.0
EGFR_E24_STA100264	8346.0	11253.0	16424.0	7089.0	45768.0	53348.0	2438.0	42061.0	46149.0	18397.0	6522.0	11504.0	9874.0	17464.0	38081.0	17939.0	28169.0
EGFR_E25_STA100265	5931.0	7061.0	13811.0	4853.0	36438.0	35024.0	1505.0	25275.0	29148.0	17692.0	4880.0	7992.0	6704.0	9395.0	25556.0	10278.0	22764.0
EGFR_E25_STA100266	8790.0	12652.0	21220.0	8153.0	44122.0	57901.0	2317.0	44320.0	45388.0	23862.0	7710.0	12480.0	13971.0	15669.0	45202.0	14973.0	37450.0
EGFR_E25_STA100267	4697.0	5599.0	9419.0	3757.0	26166.0	27728.0	1247.0	19604.0	25902.0	10131.0	3490.0	6384.0	4655.0	10336.0	19961.0	9693.0	14729.0
EGFR_E26_STA101508	17360.0	19064.0	32442.0	12097.0	79385.0	69907.0	4300.0	59458.0	63392.0	36402.0	12444.0	23151.0	15475.0	24740.0	53656.0	28924.0	60531.0
EGFR_E27_STA101647	2623.0	3441.0	6068.0	2330.0	14288.0	13817.0	622.0	12228.0	11707.0	8203.0	1513.0	2664.0	3452.0	5002.0	11017.0	5013.0	9962.0
EGFR_E28_STA101510	4274.0	5111.0	8957.0	3800.0	24000.0	28924.0	1315.0	20380.0	25226.0	9428.0	2918.0	4856.0	4511.0	11084.0	19090.0	7392.0	13320.0
MET_E2_STA100268	7257.0	9212.0	10187.0	6573.0	46909.0	40416.0	2249.0	34460.0	37292.0	19082.0	8409.0	12960.0	10561.0	12839.0	31525.0	14985.0	26818.0
MET_E2_STA100269	7736.0	12276.0	11408.0	7809.0	47982.0	47446.0	2651.0	42210.0	44059.0	23298.0	10566.0	17014.0	12273.0	15905.0	38557.0	19614.0	30510.0
MET_E2_STA101511	7742.0	12287.0	11422.0	7832.0	48089.0	47544.0	2662.0	42268.0	44143.0	23321.0	10587.0	17040.0	12285.0	15924.0	38614.0	19635.0	30560.0
MET_E2_STA100270	16403.0	23861.0	25606.0	16473.0	98338.0	102470.0	4897.0	91315.0	89775.0	48929.0	20742.0	32389.0	25610.0	32832.0	79468.0	40434.0	61064.0
MET_E2_STA100271	10277.0	15146.0	15655.0	9389.0	67957.0	62697.0	2515.0	56916.0	54956.0	30363.0	13168.0	18800.0	16545.0	18396.0	48775.0	21928.0	48415.0
MET_E2_STA100272	3850.0	6824.0	6607.0	4510.0	29967.0	30103.0	1476.0	26461.0	22356.0	9709.0	4388.0	8403.0	6129.0	8709.0	18627.0	9830.0	17200.0
MET_E2_STA100273	6609.0	9273.0	8663.0	6381.0	49404.0	43297.0	2198.0	34885.0	37844.0	17984.0	8880.0	12840.0	10676.0	12292.0	29436.0	14783.0	31798.0
MET_E2_STA100274	10697.0	13965.0	13845.0	9783.0	67478.0	62706.0	3999.0	49409.0	54639.0	27691.0	12465.0	19917.0	15885.0	19303.0	45303.0	22495.0	40369.0
MET_E2_STA100275	3133.0	5579.0	5018.0	3688.0	23309.0	21497.0	1159.0	18187.0	19297.0	8992.0	4145.0	7463.0	4535.0	7607.0	16854.0	9202.0	13227.0
MET_E2_STA100276	4512.0	6128.0	6871.0	4658.0	26146.0	25956.0	1414.0	20843.0	21011.0	12922.0	4862.0	8597.0	7508.0	7809.0	20788.0	11096.0	20090.0
MET_E2_STA100277	4337.0	8583.0	7844.0	5649.0	26484.0	28068.0	1386.0	21693.0	25121.0	13452.0	5906.0	10801.0	6614.0	9294.0	22361.0	11953.0	16646.0
MET_E2_STA100278	5963.0	8456.0	8555.0	5613.0	29045.0	34997.0	1703.0	27307.0	25658.0	16440.0	6054.0	13091.0	8182.0	10393.0	25334.0	14276.0	22962.0
MET_E2_STA100279	2930.0	4917.0	4519.0	3373.0	21227.0	20730.0	836.0	17500.0	15704.0	6377.0	3045.0	7779.0	4790.0	6564.0	14459.0	7873.0	12592.0
MET_E2_STA100280	3344.0	5513.0	5432.0	2824.0	25098.0	20739.0	1181.0	17666.0	17954.0	9963.0	4114.0	7399.0	5482.0	7549.0	15544.0	7772.0	14239.0
MET_E2_STA101512	6328.0	10188.0	11786.0	6620.0	34607.0	40263.0	1821.0	29680.0	30306.0	17208.0	7949.0	15525.0	9213.0	12411.0	29855.0	16689.0	27500.0
MET_E3_STA101513	7396.0	10449.0	12527.0	8258.0	44222.0	53700.0	2442.0	41105.0	40404.0	21183.0	8997.0	22872.0	12449.0	16253.0	35359.0	19420.0	30938.0
MET_E4_STA101514	798.0	1736.0	1332.0	848.0	4668.0	6765.0	312.0	4918.0	4624.0	1468.0	684.0	1756.0	1561.0	1511.0	3421.0	1614.0	3236.0
MET_E5_STA101515	14220.0	18153.0	17618.0	9038.0	62094.0	69505.0	2650.0	59012.0	59951.0	31694.0	10390.0	17263.0	14151.0	19869.0	51578.0	23201.0	45249.0
MET_E6_STA101516	5443.0	9727.0	8654.0	3950.0	36262.0	27632.0	1503.0	24432.0	26863.0	13674.0	5867.0	10064.0	8184.0	8242.0	23471.0	11704.0	19176.0
MET_E7_STA101517	813.0	1320.0	2433.0	688.0	4580.0	4344.0	290.0	4333.0	4089.0	2038.0	856.0	1471.0	1406.0	1554.0	3864.0	2377.0	3476.0
MET_E8_STA101518	5368.0	8546.0	9027.0	4577.0	32313.0	28008.0	1196.0	23429.0	26084.0	10513.0	5028.0	9865.0	5660.0	9598.0	20374.0	12541.0	16201.0
MET_E9_STA101519	7326.0	10543.0	12438.0	6115.0	42089.0	39333.0	2345.0	31847.0	32519.0	20176.0	9022.0	14578.0	11020.0	11730.0	29373.0	16124.0	27447.0
MET_E10_STA100281	3603.0	5514.0	5819.0	2835.0	14715.0	18997.0	679.0	15580.0	16196.0	7990.0	3400.0	5676.0	6328.0	4727.0	14441.0	6754.0	13287.0
MET_E10_STA100282	5633.0	8895.0	10868.0	6182.0	42661.0	34888.0	1794.0	28749.0	31046.0	17001.0	6655.0	12546.0	10165.0	10937.0	25916.0	13869.0	26337.0
MET_E10_STA100283	726.0	1178.0	1492.0	823.0	5422.0	4954.0	228.0	3770.0	3574.0	2147.0	669.0	1753.0	1544.0	1501.0	3521.0	1981.0	2818.0
MET_E11_STA101520	3226.0	5266.0	5322.0	2734.0	21007.0	21226.0	1046.0	17435.0	16756.0	7537.0	4302.0	6567.0	4590.0	6265.0	14995.0	7467.0	12910.0
MET_E12_STA101521	8266.0	13840.0	14430.0	9699.0	55285.0	51469.0	2665.0	42859.0	42649.0	25856.0	10459.0	19955.0	17085.0	15123.0	42956.0	19131.0	40486.0
MET_E13_STA101522	4810.0	8149.0	7275.0	5074.0	31747.0	26472.0	1454.0	21825.0	22872.0	12229.0	5983.0	11151.0	8826.0	8450.0	19808.0	11876.0	19671.0
MET_E14_STA100284	3898.0	6689.0	6196.0	4086.0	25709.0	25779.0	1225.0	17643.0	22170.0	11849.0	4649.0	11030.0	6592.0	6976.0	18377.0	10541.0	15742.0
MET_E14_STA100285	1036.0	2276.0	2276.0	1240.0	6206.0	7358.0	270.0	6107.0	6574.0	3011.0	1495.0	2711.0	2421.0	2187.0	5677.0	2760.0	5413.0
MET_E14_STA100286	3535.0	6311.0	5856.0	3411.0	19745.0	20425.0	930.0	17259.0	17719.0	7322.0	3789.0	7375.0	5026.0	6090.0	14339.0	8666.0	13134.0
MET_E14_STA100287	1080.0	1606.0	1739.0	1045.0	7665.0	6512.0	204.0	5034.0	5766.0	2312.0	1160.0	2742.0	1284.0	2289.0	4414.0	3308.0	3639.0
MET_E15_STA101628	5040.0	8642.0	9014.0	5308.0	34863.0	31924.0	1600.0	27546.0	28918.0	11262.0	5392.0	13095.0	6484.0	10723.0	22499.0	13446.0	20208.0
