	19T10717	19T18091	20T33159	D20D02352	E20D02359T	M20D02354	N20D02344	N20D02353	P20D02335	P20D02348	P20D02350	P20D02355	P20D02360	U20D02340	X20D02334	X20D02342	X20D02365
DDR2_E17_STA100425	3152.0	4979.0	8616.0	3197.0	18091.0	40050.0	1337.0	15092.0	20125.0	7857.0	4757.0	8653.0	5553.0	6259.0	16616.0	7465.0	15827.0
DDR2_E17_STA100426	11283.0	15681.0	20401.0	8422.0	67617.0	107304.0	2660.0	51710.0	58136.0	23323.0	14743.0	26955.0	17678.0	17729.0	45720.0	20751.0	48547.0
DDR2_E17_STA100427	14696.0	20201.0	24979.0	11971.0	97870.0	156099.0	4157.0	69702.0	80811.0	32377.0	18250.0	40250.0	21164.0	27836.0	63603.0	33416.0	67575.0
DDR2_E18_STA100428	3527.0	5732.0	7894.0	3343.0	26239.0	41105.0	1130.0	17128.0	20181.0	8540.0	4916.0	9021.0	6469.0	7296.0	17899.0	9091.0	16839.0
DDR2_E18_STA100429	11285.0	15626.0	21132.0	10402.0	75494.0	130364.0	3820.0	58537.0	69017.0	23000.0	13529.0	30870.0	17108.0	23003.0	51998.0	25300.0	46859.0
DDR2_E18_STA100430	6904.0	12178.0	13256.0	6101.0	47286.0	82760.0	1836.0	40010.0	43387.0	14015.0	8750.0	18945.0	9365.0	15890.0	31220.0	16749.0	28229.0
DDR2_E19_STA100431	5343.0	8459.0	11383.0	4706.0	31789.0	54469.0	1538.0	21915.0	29874.0	12968.0	7396.0	11863.0	9289.0	9864.0	26408.0	12009.0	22513.0
DDR2_E19_STA100432	16254.0	22240.0	29723.0	14398.0	106693.0	154685.0	4201.0	75069.0	78540.0	33498.0	19604.0	32996.0	24853.0	26304.0	66212.0	29629.0	71636.0
DDR2_E19_STA100433	5223.0	8039.0	9619.0	5019.0	24421.0	58114.0	1233.0	24081.0	27019.0	10110.0	5663.0	10076.0	8244.0	8557.0	21566.0	9791.0	20329.0
H3F3A_E2_STA100009	7482.0	9868.0	12799.0	8503.0	45185.0	72766.0	2307.0	29962.0	31916.0	17804.0	9986.0	18656.0	14195.0	12141.0	30260.0	16008.0	20303.0
H3F3A_E2_STA101614	10561.0	15974.0	19688.0	10344.0	72521.0	116483.0	3540.0	49201.0	57100.0	20537.0	14015.0	27938.0	14651.0	20121.0	46029.0	23698.0	27956.0
H3F3A_E2_STA100011	4193.0	5823.0	8029.0	3896.0	27395.0	40469.0	1500.0	16560.0	20081.0	9773.0	5485.0	10051.0	6117.0	6811.0	17377.0	9392.0	10533.0
ALK_E29_STA100103	4295.0	10369.0	7472.0	3282.0	25063.0	42059.0	1188.0	34406.0	39921.0	9877.0	6759.0	4630.0	8469.0	13531.0	34432.0	21813.0	22459.0
ALK_E29_STA101368	7801.0	8407.0	13782.0	5840.0	44126.0	37378.0	1904.0	32520.0	35748.0	18563.0	6034.0	7143.0	8866.0	13155.0	33168.0	16591.0	25392.0
