	C21D00402	C21D00444	D21D00412	M21D00435	N21D00374	N21D00379	N21D00401	N21D00404	N21D00438	N21D00440	P21D00366	P21D00372	P21D00373	P21D00386	P21D00389	P21D00391	P21D00395	P21D00396	P21D00397	P21D00398	P21D00399	P21D00405	P21D00408	P21D00436	P21D00437	P21D00442	P21D00447	S21D00410	X20D02486	X21D00400T
ALK_E6_STA101383	6598.0	5230.0	5488.0	4490.0	17276.0	16428.0	27227.0	13762.0	5311.0	138.0	18599.0	3002.0	5920.0	4638.0	270.0	1147.0	15139.0	14212.0	10890.0	8356.0	40580.0	12654.0	8733.0	9967.0	8135.0	26961.0	2220.0	795.0	15666.0	7568.0
ALK_E5_STA101384	15586.0	9235.0	10129.0	14202.0	33870.0	33307.0	49593.0	17564.0	10966.0	797.0	25182.0	3526.0	8021.0	7391.0	778.0	1883.0	22129.0	23639.0	18826.0	17119.0	49979.0	19900.0	10304.0	26627.0	21189.0	47738.0	5516.0	2747.0	19676.0	11754.0
ALK_E4_STA101385	1302.0	772.0	1175.0	1263.0	3084.0	3991.0	7382.0	1704.0	1541.0	59.0	3873.0	496.0	750.0	737.0	67.0	238.0	2410.0	3230.0	2878.0	1756.0	6073.0	2335.0	932.0	2387.0	1423.0	5489.0	343.0	135.0	2108.0	1408.0
ALK_E3_STA101640	11572.0	9646.0	8601.0	11684.0	39694.0	33809.0	57485.0	25018.0	14400.0	296.0	41280.0	6406.0	11871.0	10098.0	537.0	2522.0	33138.0	29410.0	22983.0	20908.0	86458.0	26140.0	13735.0	28879.0	25170.0	56054.0	3606.0	830.0	29732.0	18707.0
ALK_E2_STA101387	7328.0	4251.0	4899.0	8657.0	12990.0	10194.0	22704.0	4543.0	5969.0	181.0	15045.0	2961.0	5038.0	3703.0	729.0	1407.0	12092.0	12410.0	9400.0	9662.0	27279.0	12187.0	6615.0	16386.0	13789.0	21654.0	1837.0	605.0	11399.0	7100.0
ALK_E1_STA101388	2865.0	1927.0	2092.0	1251.0	6858.0	5788.0	10098.0	7610.0	1988.0	36.0	6205.0	986.0	1916.0	2180.0	81.0	677.0	4262.0	4169.0	2920.0	3061.0	12991.0	4323.0	3280.0	3623.0	2964.0	10478.0	855.0	458.0	4911.0	2519.0
ALK_E1_STA102007	1149.0	928.0	833.0	496.0	4512.0	3224.0	6851.0	3246.0	1304.0	13.0	4859.0	766.0	1082.0	1566.0	108.0	204.0	2497.0	2573.0	1679.0	2078.0	11895.0	2396.0	2316.0	2156.0	1960.0	6165.0	474.0	76.0	4306.0	1746.0
IDH1_E4_STA100131	6893.0	6056.0	5074.0	9440.0	18402.0	15806.0	24836.0	5657.0	8932.0	412.0	23110.0	4102.0	7544.0	5707.0	664.0	1290.0	13568.0	17690.0	12005.0	11825.0	42760.0	13987.0	7321.0	21106.0	21828.0	20726.0	2864.0	1415.0	8714.0	12096.0
IDH1_E4_STA100132	9685.0	7393.0	7664.0	11369.0	18754.0	16548.0	35346.0	5811.0	7537.0	421.0	20155.0	3356.0	6860.0	7743.0	447.0	1271.0	13363.0	22334.0	13787.0	12317.0	32652.0	14727.0	6657.0	21264.0	17602.0	24805.0	2427.0	1331.0	13203.0	11483.0
IDH1_E4_STA100133	7363.0	5291.0	4639.0	8727.0	13965.0	11435.0	22343.0	5117.0	5551.0	578.0	12124.0	2156.0	5430.0	4465.0	429.0	996.0	8808.0	14601.0	9988.0	9483.0	22256.0	10356.0	4623.0	15437.0	14872.0	16475.0	2353.0	1626.0	8621.0	7298.0
