	C21D00402	C21D00444	D21D00412	M21D00435	N21D00374	N21D00379	N21D00401	N21D00404	N21D00438	N21D00440	P21D00366	P21D00372	P21D00373	P21D00386	P21D00389	P21D00391	P21D00395	P21D00396	P21D00397	P21D00398	P21D00399	P21D00405	P21D00408	P21D00436	P21D00437	P21D00442	P21D00447	S21D00410	X20D02486	X21D00400T
TERT_E2_STA102079	1746.0	939.0	3099.0	515.0	7404.0	6173.0	9036.0	7887.0	798.0	4.0	4828.0	543.0	1336.0	1891.0	157.0	234.0	2632.0	4693.0	2347.0	1686.0	11729.0	5207.0	3061.0	1402.0	1596.0	9632.0	2159.0	584.0	4790.0	2038.0
TERT_E2_STA101197	662.0	294.0	1411.0	155.0	2530.0	2751.0	4590.0	3345.0	438.0	2.0	2573.0	415.0	629.0	756.0	4.0	75.0	1303.0	1858.0	1273.0	513.0	5485.0	2314.0	1439.0	666.0	431.0	4333.0	458.0	103.0	2808.0	788.0
TERT_E2_STA102080	527.0	202.0	1108.0	101.0	2042.0	2156.0	3664.0	2324.0	376.0	7.0	1885.0	267.0	467.0	538.0	4.0	57.0	901.0	1450.0	1021.0	393.0	3530.0	1768.0	1085.0	508.0	280.0	3264.0	316.0	86.0	2232.0	558.0
TERT_E2_STA103243	262.0	173.0	510.0	103.0	1348.0	1122.0	2113.0	1918.0	114.0	8.0	876.0	118.0	224.0	307.0	27.0	33.0	464.0	857.0	286.0	275.0	2242.0	883.0	631.0	320.0	221.0	1772.0	309.0	91.0	1033.0	378.0
TERT_E2_STA103247	1008.0	581.0	2003.0	286.0	5180.0	4489.0	7731.0	5001.0	683.0	6.0	3191.0	350.0	903.0	1220.0	67.0	85.0	1773.0	3196.0	1362.0	896.0	9073.0	3890.0	2307.0	1025.0	877.0	6989.0	996.0	189.0	4615.0	1161.0
TERT_E2_STA102076	1246.0	747.0	1905.0	329.0	3971.0	4585.0	7292.0	7199.0	557.0	41.0	4604.0	495.0	1280.0	1739.0	32.0	170.0	2480.0	2863.0	1363.0	1660.0	10041.0	4307.0	2581.0	1087.0	1390.0	7085.0	968.0	316.0	4590.0	1797.0
TERT_E2_STA101206	393.0	278.0	939.0	92.0	1610.0	2153.0	3548.0	2522.0	296.0	60.0	1694.0	169.0	363.0	738.0	64.0	119.0	634.0	1389.0	709.0	422.0	3816.0	1222.0	987.0	437.0	296.0	3206.0	231.0	166.0	2155.0	527.0
RICTOR_E38_STA101453	492.0	380.0	355.0	285.0	906.0	649.0	1892.0	536.0	506.0	44.0	1086.0	272.0	464.0	777.0	50.0	112.0	1294.0	1143.0	1090.0	445.0	3106.0	1424.0	522.0	1483.0	925.0	1895.0	250.0	134.0	1104.0	811.0
RICTOR_E37_STA101454	2604.0	1677.0	1746.0	2583.0	5561.0	4261.0	8898.0	1657.0	1743.0	58.0	5359.0	1195.0	2078.0	3979.0	144.0	443.0	5061.0	6594.0	4041.0	2289.0	12289.0	5821.0	2785.0	5487.0	5023.0	9170.0	1148.0	590.0	4982.0	2448.0
RICTOR_E36_STA101455	168.0	274.0	114.0	273.0	471.0	378.0	705.0	290.0	298.0	12.0	668.0	132.0	176.0	406.0	24.0	52.0	810.0	584.0	471.0	306.0	1671.0	690.0	250.0	512.0	550.0	718.0	134.0	62.0	530.0	252.0
RICTOR_E35_STA101456	3588.0	3461.0	2419.0	5555.0	7354.0	6208.0	13419.0	2825.0	4144.0	164.0	9463.0	2125.0	3225.0	4459.0	276.0	571.0	11947.0	9771.0	7413.0	4772.0	21672.0	11103.0	4086.0	14474.0	10536.0	13609.0	2142.0	639.0	6562.0	5001.0
RICTOR_E34_STA101457	1294.0	1045.0	902.0	1700.0	2812.0	3360.0	6160.0	671.0	1440.0	39.0	3976.0	811.0	1005.0	3024.0	92.0	319.0	3652.0	4869.0	4897.0	1410.0	7699.0	3605.0	1472.0	3332.0	1915.0	5110.0	294.0	124.0	3200.0	1666.0
RICTOR_E33_STA101458	4023.0	5912.0	3221.0	6698.0	11042.0	11013.0	19053.0	4346.0	6728.0	468.0	19560.0	3494.0	4971.0	11650.0	574.0	1452.0	18618.0	14356.0	14001.0	5240.0	38584.0	17611.0	5742.0	18962.0	14228.0	20137.0	2507.0	1024.0	12891.0	7944.0
RICTOR_E32_STA101737	2104.0	1836.0	1063.0	2745.0	5290.0	3274.0	8050.0	1569.0	1907.0	80.0	4887.0	741.0	1814.0	2339.0	160.0	344.0	5654.0	4838.0	4018.0	2372.0	9836.0	4973.0	1940.0	6343.0	4997.0	6871.0	1070.0	586.0	4488.0	1769.0
RICTOR_E31_STA101460	5719.0	5725.0	3644.0	8920.0	11170.0	8467.0	19403.0	5131.0	6369.0	408.0	13062.0	2276.0	5097.0	6608.0	600.0	1554.0	16184.0	12812.0	10758.0	6286.0	25872.0	16733.0	5238.0	19342.0	16291.0	18329.0	3178.0	1563.0	8625.0	6010.0
RICTOR_E31_STA101461	2159.0	2183.0	1597.0	3660.0	4903.0	4629.0	8693.0	2013.0	2598.0	64.0	6081.0	1228.0	2217.0	3589.0	444.0	620.0	7135.0	6134.0	4087.0	2711.0	14033.0	7543.0	2412.0	7916.0	7392.0	8815.0	1135.0	586.0	5452.0	2743.0
RICTOR_E30_STA101462	5979.0	5356.0	3737.0	8682.0	13257.0	10056.0	21344.0	3045.0	6193.0	294.0	13663.0	2305.0	5703.0	8688.0	390.0	1385.0	16335.0	17597.0	13212.0	7370.0	32903.0	15823.0	5250.0	19263.0	15299.0	21446.0	3271.0	1446.0	11524.0	6622.0
RICTOR_E29_STA101740	13267.0	12774.0	10578.0	26416.0	38205.0	34673.0	53185.0	10672.0	14674.0	1494.0	41799.0	7144.0	15255.0	26107.0	999.0	2896.0	49647.0	47850.0	33972.0	19380.0	93192.0	43288.0	14112.0	54075.0	42843.0	67164.0	7632.0	2812.0	39148.0	14798.0
RICTOR_E28_STA101464	1156.0	1822.0	893.0	1621.0	3370.0	2719.0	4695.0	1779.0	1556.0	103.0	4894.0	994.0	1080.0	4014.0	72.0	420.0	5021.0	3868.0	2730.0	1183.0	10542.0	4571.0	1607.0	4580.0	4510.0	5200.0	936.0	616.0	3009.0	1792.0
RICTOR_E26_STA101466	4920.0	3169.0	2972.0	7344.0	12918.0	10649.0	16086.0	3532.0	4773.0	492.0	12975.0	2675.0	4551.0	8174.0	346.0	749.0	15358.0	14871.0	11449.0	6631.0	27608.0	13529.0	5023.0	16127.0	13427.0	18321.0	2284.0	1241.0	11751.0	5085.0
RICTOR_E25_STA101467	2002.0	2196.0	1773.0	2888.0	6221.0	4949.0	8664.0	2392.0	1771.0	135.0	5066.0	1088.0	2581.0	5281.0	180.0	408.0	6204.0	6755.0	4661.0	2978.0	12872.0	6491.0	2748.0	4628.0	3158.0	10609.0	1360.0	750.0	5677.0	2225.0
RICTOR_E24_STA101468	1214.0	1437.0	674.0	1732.0	3490.0	2274.0	5133.0	1115.0	1063.0	102.0	3035.0	434.0	1089.0	2476.0	84.0	406.0	3160.0	3963.0	2305.0	1572.0	6487.0	3451.0	1714.0	4417.0	3076.0	5003.0	858.0	333.0	2608.0	1551.0
RICTOR_E23_STA101469	4352.0	4614.0	3988.0	7820.0	13997.0	12971.0	19326.0	5647.0	4822.0	351.0	13048.0	2390.0	5072.0	9307.0	530.0	726.0	14762.0	15978.0	11870.0	6312.0	29457.0	15084.0	5094.0	16162.0	12590.0	20432.0	2832.0	1178.0	12343.0	5386.0
RICTOR_E22_STA101470	5031.0	6394.0	4172.0	8834.0	11235.0	10552.0	17922.0	5721.0	5992.0	466.0	15823.0	2957.0	4895.0	12449.0	415.0	853.0	17551.0	15292.0	12092.0	6979.0	32839.0	17363.0	6916.0	21496.0	15823.0	24968.0	2598.0	1103.0	13995.0	5778.0
RICTOR_E21_STA101471	9234.0	10651.0	7485.0	17354.0	18056.0	19019.0	38273.0	8239.0	10314.0	822.0	23814.0	4864.0	9314.0	21238.0	747.0	2487.0	33105.0	25969.0	20515.0	12683.0	57149.0	34078.0	10528.0	36217.0	29272.0	42469.0	5533.0	1843.0	21003.0	13605.0
RICTOR_E20_STA101472	9188.0	7286.0	6495.0	12711.0	23184.0	21401.0	34958.0	6719.0	8564.0	726.0	23418.0	3456.0	9091.0	11804.0	897.0	1805.0	24963.0	26421.0	20049.0	10463.0	55717.0	24126.0	8025.0	26085.0	21528.0	33761.0	5286.0	2922.0	20684.0	10445.0
RICTOR_E19_STA101744	602.0	1298.0	852.0	1681.0	2696.0	2710.0	4310.0	1136.0	1416.0	30.0	3949.0	1210.0	992.0	2448.0	149.0	112.0	4301.0	3720.0	2993.0	1527.0	10172.0	3627.0	1969.0	5163.0	3326.0	5173.0	668.0	414.0	3939.0	1816.0
RICTOR_E18_STA101474	3822.0	4167.0	3959.0	7102.0	11593.0	10021.0	17854.0	4335.0	4734.0	361.0	12402.0	2603.0	5167.0	8408.0	420.0	582.0	14927.0	15330.0	11546.0	5622.0	28707.0	13483.0	5855.0	16793.0	12011.0	19716.0	2106.0	1651.0	14264.0	4738.0
RICTOR_E17_STA101475	5208.0	4668.0	3815.0	9299.0	12847.0	11721.0	18715.0	4459.0	5488.0	400.0	15380.0	2475.0	5232.0	8418.0	451.0	846.0	16288.0	16240.0	13648.0	5696.0	29000.0	16847.0	6872.0	19865.0	13858.0	21813.0	2901.0	1277.0	13757.0	6033.0
RICTOR_E15_STA101477	4066.0	3542.0	3512.0	5070.0	11018.0	11440.0	20386.0	4792.0	4066.0	477.0	15747.0	3128.0	4389.0	11680.0	347.0	1040.0	15444.0	12287.0	11016.0	5796.0	38970.0	16091.0	5992.0	12867.0	11039.0	20048.0	2434.0	1004.0	14825.0	7036.0
RICTOR_E14_STA101478	1233.0	1092.0	795.0	1491.0	3738.0	2803.0	5653.0	1267.0	1034.0	34.0	3322.0	459.0	1211.0	2498.0	78.0	329.0	2974.0	3424.0	2419.0	1550.0	7474.0	3385.0	1565.0	3900.0	3109.0	5345.0	814.0	200.0	1929.0	1418.0
RICTOR_E13_STA101479	2850.0	2879.0	1850.0	4003.0	6024.0	5444.0	12497.0	2654.0	2825.0	162.0	6945.0	1193.0	2560.0	5594.0	298.0	626.0	8219.0	7609.0	5594.0	3312.0	17463.0	8507.0	3311.0	11202.0	7429.0	11983.0	1579.0	595.0	6902.0	3629.0
RICTOR_E12_STA101480	2855.0	2936.0	2402.0	5018.0	8381.0	6447.0	12234.0	2487.0	2602.0	266.0	8135.0	1499.0	2929.0	5909.0	248.0	396.0	9070.0	9510.0	7318.0	3822.0	16377.0	7857.0	3269.0	10297.0	6818.0	12506.0	1890.0	1022.0	7621.0	2751.0
RICTOR_E11_STA101481	965.0	1268.0	1266.0	2018.0	3417.0	3008.0	6088.0	1619.0	1267.0	78.0	3831.0	434.0	1134.0	3494.0	78.0	356.0	3409.0	3564.0	2558.0	1572.0	8733.0	3500.0	1737.0	3873.0	3059.0	6071.0	719.0	404.0	4131.0	1303.0
RICTOR_E10_STA101482	6041.0	7127.0	4882.0	10911.0	12965.0	13120.0	24253.0	5007.0	7170.0	363.0	20112.0	2791.0	5878.0	15042.0	724.0	1759.0	21934.0	16809.0	16256.0	8241.0	38370.0	22948.0	5744.0	22839.0	17464.0	26734.0	3282.0	1580.0	15481.0	8250.0
RICTOR_E9_STA101483	1951.0	2150.0	1768.0	3470.0	5002.0	4717.0	7775.0	2196.0	2052.0	136.0	5073.0	797.0	2159.0	4323.0	261.0	417.0	6052.0	6747.0	4434.0	2862.0	10972.0	6087.0	2688.0	6751.0	5004.0	8411.0	1616.0	793.0	542.0	2029.0
RICTOR_E8_STA101484	1217.0	1342.0	1072.0	1900.0	2562.0	3166.0	5968.0	1361.0	1669.0	70.0	5650.0	971.0	1507.0	3852.0	127.0	377.0	4884.0	4004.0	3692.0	1860.0	11597.0	4906.0	1542.0	4932.0	3255.0	5207.0	620.0	201.0	3560.0	2019.0
RICTOR_E7_STA101485	910.0	1153.0	712.0	1772.0	2702.0	2212.0	3294.0	806.0	853.0	152.0	2667.0	712.0	1158.0	2049.0	62.0	82.0	3762.0	4236.0	3259.0	1409.0	6243.0	2226.0	1152.0	2864.0	2072.0	4502.0	643.0	298.0	3001.0	1302.0
RICTOR_E6_STA101486	323.0	480.0	246.0	480.0	954.0	1009.0	1346.0	372.0	420.0	26.0	1587.0	181.0	336.0	694.0	54.0	76.0	1888.0	1137.0	1073.0	413.0	3548.0	1378.0	714.0	1420.0	1184.0	1726.0	170.0	147.0	1032.0	495.0
RICTOR_E5_STA101739	7224.0	8311.0	5922.0	12419.0	21862.0	16383.0	30485.0	6238.0	7537.0	594.0	21521.0	4201.0	8158.0	17046.0	1094.0	789.0	28501.0	25836.0	21487.0	10629.0	46608.0	21753.0	8403.0	26350.0	20154.0	31369.0	5603.0	2970.0	18356.0	10189.0
RICTOR_E4_STA101488	7257.0	7664.0	6166.0	11007.0	15548.0	13275.0	24060.0	8514.0	8678.0	600.0	18489.0	3075.0	6093.0	14047.0	536.0	1383.0	25182.0	19540.0	14083.0	8810.0	42781.0	22703.0	8431.0	24403.0	19754.0	31453.0	4338.0	2173.0	17994.0	7580.0
RICTOR_E3_STA101489	656.0	1142.0	626.0	1215.0	2495.0	1922.0	3113.0	929.0	871.0	26.0	2659.0	620.0	932.0	1281.0	76.0	278.0	3178.0	3086.0	2104.0	1102.0	7580.0	2732.0	1224.0	2962.0	2577.0	3602.0	618.0	245.0	2604.0	1143.0
RICTOR_E1_STA101491	1627.0	1214.0	1470.0	580.0	2694.0	3566.0	5562.0	2674.0	938.0	28.0	3722.0	513.0	1057.0	1199.0	119.0	192.0	3684.0	3204.0	2041.0	1170.0	9255.0	3422.0	2022.0	2208.0	1685.0	6702.0	404.0	286.0	3436.0	1432.0
HIST1H3B_E1_STA100235	4063.0	5040.0	4068.0	3825.0	8099.0	7641.0	13956.0	3516.0	3564.0	259.0	12893.0	3065.0	3387.0	5159.0	472.0	1370.0	7389.0	8397.0	7374.0	4415.0	11677.0	10226.0	6156.0	10134.0	7863.0	12699.0	1991.0	1343.0	7429.0	7995.0
HIST1H3B_E1_STA100236	2559.0	1798.0	2014.0	1757.0	5094.0	3893.0	8346.0	2574.0	2103.0	46.0	5920.0	761.0	1908.0	1796.0	196.0	786.0	3893.0	4696.0	2793.0	2484.0	6151.0	5670.0	2997.0	5337.0	4330.0	7250.0	988.0	405.0	3285.0	3883.0
HIST1H3B_E1_STA100237	7922.0	5196.0	6697.0	5756.0	14915.0	11075.0	21723.0	9803.0	4425.0	280.0	13026.0	1909.0	5367.0	4511.0	488.0	1562.0	8874.0	13303.0	7765.0	6927.0	12508.0	14057.0	7133.0	12577.0	12373.0	19109.0	3852.0	2410.0	8087.0	7512.0
HIST1H3B_E1_STA100238	3565.0	2577.0	3338.0	2937.0	7782.0	6920.0	11200.0	4230.0	2215.0	121.0	7718.0	1175.0	2177.0	2804.0	141.0	948.0	5325.0	7127.0	4781.0	3355.0	7285.0	6479.0	2933.0	7133.0	5842.0	9617.0	1555.0	1022.0	4127.0	3719.0
HIST1H3B_E1_STA100239	1395.0	1267.0	1194.0	836.0	1809.0	2045.0	3768.0	1553.0	685.0	34.0	3677.0	428.0	882.0	1073.0	119.0	479.0	1522.0	1853.0	1420.0	1267.0	2322.0	2375.0	1486.0	2018.0	1629.0	3179.0	530.0	338.0	1367.0	1839.0
ROS1_E41_STA100240	6583.0	9003.0	9976.0	17346.0	16736.0	21501.0	39523.0	15163.0	11573.0	1146.0	26173.0	3860.0	8434.0	16320.0	918.0	2202.0	17430.0	21647.0	14249.0	11946.0	46987.0	24581.0	9105.0	34221.0	28888.0	36938.0	4597.0	2774.0	19264.0	10910.0
ROS1_E41_STA100241	2139.0	2528.0	2826.0	5532.0	7572.0	8588.0	15994.0	3041.0	5087.0	139.0	9548.0	1685.0	3150.0	4489.0	267.0	881.0	6036.0	9351.0	4940.0	4620.0	18837.0	7887.0	2580.0	13174.0	10780.0	12200.0	1387.0	772.0	8437.0	4490.0
ROS1_E41_STA100242	8793.0	8816.0	10251.0	20045.0	26624.0	32403.0	48359.0	13921.0	12937.0	1019.0	31182.0	5089.0	10878.0	17360.0	1021.0	1479.0	21423.0	28737.0	22442.0	17555.0	61784.0	25988.0	9286.0	39059.0	32708.0	47249.0	6275.0	3182.0	23070.0	13739.0
ROS1_E38_STA100243	1350.0	1646.0	1513.0	2619.0	2499.0	3383.0	7212.0	2177.0	2268.0	174.0	4093.0	742.0	1634.0	1983.0	132.0	391.0	2762.0	3506.0	2670.0	2119.0	8237.0	4035.0	1592.0	6454.0	4876.0	5376.0	786.0	522.0	2147.0	2112.0
ROS1_E38_STA100244	3071.0	2414.0	2645.0	5325.0	6046.0	6247.0	13656.0	3366.0	4958.0	224.0	7257.0	1345.0	2790.0	2859.0	357.0	748.0	5926.0	7209.0	4832.0	4066.0	17017.0	7714.0	2767.0	13301.0	11987.0	10886.0	1573.0	820.0	6218.0	3973.0
RAC1_E2_STA100245	2327.0	2165.0	8809.0	3233.0	8098.0	144.0	18224.0	4584.0	2838.0	348.0	5702.0	906.0	3550.0	60.0	2.0	386.0	4777.0	5702.0	11682.0	8005.0	16108.0	1516.0	3438.0	10287.0	8827.0	216.0	1552.0	1676.0	5134.0	2615.0
EGFR_E2_STA101493	2518.0	2005.0	3130.0	2715.0	6369.0	4868.0	9636.0	1793.0	3645.0	141.0	5854.0	1058.0	1618.0	2547.0	120.0	455.0	4079.0	6915.0	6658.0	4519.0	8448.0	5163.0	1802.0	7292.0	4933.0	8421.0	638.0	316.0	4199.0	3310.0
EGFR_E3_STA101494	8478.0	4826.0	8059.0	8589.0	16689.0	12932.0	27305.0	5861.0	9500.0	406.0	17912.0	2760.0	6088.0	5157.0	550.0	1533.0	11627.0	16944.0	17708.0	10600.0	25484.0	17830.0	6492.0	18757.0	15459.0	20854.0	2072.0	758.0	11882.0	11321.0
EGFR_E4_STA101495	2365.0	1761.0	2827.0	1567.0	5538.0	5719.0	9624.0	5137.0	2365.0	164.0	7081.0	1058.0	1486.0	2065.0	173.0	430.0	4878.0	5556.0	5261.0	3217.0	10548.0	6300.0	2401.0	3296.0	3254.0	7482.0	571.0	258.0	3845.0	3008.0
EGFR_E5_STA101496	7632.0	3969.0	7903.0	6720.0	22876.0	17686.0	24039.0	5073.0	7531.0	306.0	16301.0	2628.0	6344.0	4463.0	350.0	1051.0	11759.0	17427.0	17200.0	11698.0	22640.0	16081.0	5715.0	14226.0	12301.0	19246.0	1874.0	933.0	13927.0	8183.0
EGFR_E6_STA101497	7136.0	4197.0	10252.0	4789.0	22406.0	17429.0	29095.0	10837.0	6442.0	147.0	17647.0	2475.0	4762.0	4891.0	329.0	782.0	10134.0	20845.0	19428.0	10454.0	21210.0	15034.0	4898.0	10495.0	6482.0	24835.0	1039.0	833.0	13523.0	5548.0
EGFR_E7_STA101498	17515.0	9645.0	20840.0	8809.0	44665.0	36710.0	55058.0	27885.0	12832.0	552.0	34930.0	4433.0	11089.0	8454.0	956.0	2286.0	26028.0	32547.0	30655.0	24581.0	42510.0	36913.0	11310.0	26539.0	21447.0	54382.0	4871.0	1374.0	25410.0	13897.0
EGFR_E8_STA101499	996.0	733.0	1904.0	596.0	3197.0	2659.0	7050.0	2848.0	1281.0	60.0	3140.0	411.0	785.0	869.0	63.0	188.0	1616.0	3299.0	2754.0	1735.0	3591.0	2277.0	888.0	1813.0	1417.0	4460.0	324.0	155.0	1617.0	1047.0
EGFR_E9_STA101500	6136.0	4008.0	6557.0	5245.0	17612.0	13078.0	21716.0	4268.0	5196.0	445.0	11843.0	2423.0	5014.0	3842.0	316.0	745.0	9397.0	16886.0	13985.0	9000.0	15820.0	11790.0	4594.0	10945.0	8893.0	18444.0	2125.0	1058.0	11718.0	5823.0
EGFR_E10_STA101501	2558.0	2005.0	3502.0	2333.0	7939.0	4386.0	9653.0	2058.0	2573.0	119.0	5444.0	1204.0	2405.0	1365.0	249.0	530.0	3861.0	7724.0	5709.0	3890.0	7563.0	5263.0	2451.0	5518.0	4435.0	7655.0	673.0	527.0	4642.0	2861.0
EGFR_E11_STA101502	881.0	798.0	965.0	636.0	2387.0	2092.0	4406.0	1145.0	1177.0	56.0	2640.0	464.0	602.0	636.0	105.0	179.0	1538.0	2193.0	2410.0	1430.0	3606.0	2476.0	853.0	1656.0	1380.0	2661.0	251.0	124.0	1776.0	1054.0
EGFR_E12_STA100246	3419.0	2569.0	4098.0	4097.0	8490.0	8442.0	14920.0	2511.0	4076.0	130.0	8878.0	1073.0	2807.0	2367.0	236.0	568.0	5437.0	9404.0	9842.0	4743.0	10913.0	7464.0	3082.0	8435.0	5682.0	11032.0	763.0	587.0	6794.0	3975.0
EGFR_E12_STA100247	5140.0	4183.0	4796.0	5532.0	12189.0	8479.0	18904.0	4822.0	5612.0	389.0	10582.0	2031.0	4389.0	3257.0	343.0	995.0	8232.0	13247.0	10926.0	8253.0	14341.0	11628.0	5570.0	12779.0	10104.0	16657.0	1716.0	923.0	7745.0	6120.0
EGFR_E12_STA100248	1548.0	1677.0	957.0	2366.0	2851.0	3428.0	6244.0	1183.0	2055.0	114.0	2454.0	422.0	1645.0	1899.0	102.0	140.0	3726.0	2705.0	2223.0	1463.0	3865.0	2739.0	987.0	4731.0	3587.0	3404.0	534.0	293.0	2932.0	1144.0
EGFR_E13_STA101503	4806.0	2984.0	5957.0	2687.0	10017.0	11400.0	23260.0	11260.0	5424.0	43.0	13606.0	1651.0	3451.0	2910.0	375.0	1087.0	8300.0	11453.0	10710.0	8390.0	19829.0	11740.0	3787.0	9521.0	6892.0	16843.0	952.0	378.0	9846.0	6398.0
EGFR_E14_STA101504	6486.0	3879.0	7084.0	4750.0	16719.0	15171.0	24755.0	9960.0	5877.0	201.0	12906.0	1835.0	4886.0	2850.0	378.0	1071.0	9236.0	17837.0	14149.0	10236.0	17296.0	13991.0	4338.0	12582.0	10581.0	22833.0	1799.0	842.0	9590.0	5057.0
EGFR_E15_STA101505	3664.0	2774.0	3796.0	2640.0	11842.0	9832.0	12481.0	7913.0	3538.0	183.0	9590.0	1396.0	2934.0	2586.0	196.0	557.0	7237.0	8217.0	9037.0	7199.0	14244.0	10252.0	2643.0	6482.0	6962.0	10731.0	1232.0	526.0	7088.0	4317.0
EGFR_E16_STA101506	2962.0	1826.0	4647.0	2410.0	8501.0	8138.0	12562.0	3161.0	2648.0	268.0	7399.0	1471.0	3103.0	1972.0	196.0	372.0	4345.0	9777.0	8005.0	4105.0	10647.0	6087.0	2990.0	5206.0	3985.0	10896.0	722.0	281.0	7181.0	3033.0
EGFR_E17_STA101507	3504.0	2166.0	4939.0	2742.0	11047.0	8304.0	12583.0	9344.0	2935.0	114.0	6675.0	925.0	2674.0	2208.0	211.0	440.0	5485.0	9308.0	8331.0	5074.0	9914.0	7517.0	2983.0	5581.0	4569.0	11733.0	1193.0	709.0	5379.0	3171.0
EGFR_E18_STA100249	3353.0	2311.0	4019.0	2123.0	9639.0	5895.0	11364.0	5953.0	2569.0	134.0	5813.0	706.0	2657.0	1925.0	138.0	310.0	4832.0	7435.0	5835.0	4858.0	8898.0	6979.0	2943.0	4438.0	4000.0	10241.0	1109.0	521.0	4583.0	2862.0
EGFR_E18_STA100250	1867.0	1135.0	2553.0	1368.0	5359.0	4554.0	6984.0	3535.0	1825.0	49.0	4007.0	694.0	1487.0	1201.0	148.0	228.0	2457.0	5469.0	5076.0	3032.0	5411.0	4249.0	1588.0	2499.0	1930.0	6013.0	450.0	334.0	3200.0	1673.0
EGFR_E19_STA100251	5288.0	4172.0	5626.0	4026.0	14772.0	11961.0	20918.0	5929.0	5907.0	242.0	15323.0	2505.0	4159.0	5089.0	402.0	781.0	10867.0	12966.0	13315.0	7481.0	20584.0	14727.0	5683.0	9446.0	7701.0	14971.0	1501.0	703.0	9911.0	7912.0
EGFR_E19_STA100252	4201.0	3224.0	4278.0	3240.0	10235.0	9700.0	13149.0	5077.0	3774.0	120.0	12900.0	1625.0	3080.0	4663.0	236.0	641.0	8690.0	8794.0	9267.0	5425.0	16263.0	11160.0	3643.0	7208.0	6058.0	10575.0	1098.0	392.0	6081.0	5423.0
EGFR_E20_STA100253	9684.0	5917.0	13058.0	4128.0	24980.0	20231.0	30729.0	20903.0	6564.0	292.0	16449.0	2541.0	7540.0	5062.0	432.0	912.0	11918.0	22195.0	20617.0	12351.0	23994.0	16069.0	8208.0	8926.0	7148.0	28788.0	3289.0	1711.0	14935.0	9373.0
EGFR_E20_STA100254	5506.0	4334.0	7528.0	3526.0	17774.0	13029.0	18769.0	18213.0	4372.0	292.0	14431.0	1310.0	4319.0	2553.0	372.0	664.0	7804.0	13409.0	12423.0	10226.0	17788.0	11987.0	6430.0	7626.0	5947.0	19965.0	1913.0	874.0	9640.0	7008.0
EGFR_E20_STA100255	14001.0	7910.0	16688.0	7233.0	34829.0	29031.0	46992.0	31374.0	10750.0	364.0	31177.0	4272.0	10904.0	7096.0	1164.0	1965.0	19315.0	31393.0	26140.0	18594.0	43755.0	27992.0	12116.0	15342.0	12984.0	45230.0	3850.0	1379.0	23845.0	16673.0
EGFR_E20_STA100256	3130.0	2111.0	3394.0	1802.0	8825.0	6575.0	8621.0	7077.0	2134.0	90.0	6191.0	1153.0	2455.0	2042.0	225.0	271.0	4790.0	6708.0	5955.0	4124.0	10775.0	6126.0	2568.0	3614.0	3232.0	9210.0	1169.0	569.0	5384.0	4077.0
EGFR_E21_STA100257	8150.0	4627.0	8608.0	4603.0	22521.0	16264.0	26240.0	14736.0	6738.0	537.0	16435.0	2406.0	5548.0	3986.0	487.0	1147.0	11644.0	18459.0	14651.0	10906.0	21337.0	18546.0	7868.0	10549.0	9557.0	25266.0	2214.0	901.0	15176.0	8846.0
EGFR_E21_STA100258	18996.0	10380.0	20807.0	9324.0	53899.0	42576.0	52619.0	30608.0	13780.0	666.0	32209.0	5956.0	13440.0	9787.0	1039.0	1474.0	25528.0	46238.0	38798.0	25224.0	50792.0	31923.0	15549.0	20741.0	18799.0	57518.0	6031.0	3277.0	33790.0	16897.0
EGFR_E21_STA100259	3933.0	3016.0	4202.0	2280.0	13675.0	9095.0	12245.0	7494.0	3378.0	102.0	9652.0	1625.0	3506.0	3432.0	148.0	626.0	8584.0	9911.0	8316.0	6057.0	16148.0	9852.0	3959.0	6229.0	5046.0	11361.0	1524.0	722.0	7990.0	4873.0
EGFR_E22_STA100260	10113.0	7211.0	12406.0	7448.0	31126.0	19852.0	31555.0	9534.0	10687.0	616.0	24854.0	4053.0	9252.0	6397.0	465.0	1301.0	17151.0	23828.0	23147.0	14897.0	37172.0	21276.0	9366.0	17685.0	14656.0	25861.0	3545.0	1500.0	24281.0	14696.0
EGFR_E23_STA100261	5392.0	3576.0	5282.0	4274.0	10873.0	10588.0	20402.0	3748.0	5718.0	107.0	15865.0	1920.0	3427.0	3722.0	287.0	1292.0	8603.0	11439.0	15378.0	10190.0	19689.0	11624.0	3806.0	10601.0	8208.0	14208.0	630.0	400.0	9032.0	7345.0
EGFR_E23_STA100262	10675.0	5610.0	9944.0	9323.0	22026.0	21270.0	37964.0	11565.0	10281.0	239.0	22051.0	2666.0	7623.0	4924.0	830.0	1365.0	16384.0	19532.0	20759.0	16646.0	29431.0	23720.0	6334.0	21297.0	19388.0	27723.0	2060.0	755.0	13822.0	11751.0
EGFR_E24_STA100263	3569.0	2497.0	3701.0	3253.0	9597.0	6686.0	11540.0	3828.0	3307.0	248.0	6299.0	1227.0	2941.0	1542.0	191.0	416.0	4478.0	8749.0	6481.0	5002.0	8344.0	6794.0	3116.0	6053.0	5352.0	9310.0	1148.0	781.0	5103.0	3965.0
