	D20D02477T	D20D02527	D21D00009T	D21D00012T	K20D02522T	M20D02483	M20D02521	M20D02532	M21D00003	M21D00004	M21D00010	N21D00002	N21D00011	N21D00032	P20D02524	P20D02526	P20D02528	P20D02529	P21D00014	P21D00017	P21D00020	P21D00025	P21D00036	P21D00039	P21D00041	S21D00030T	U21D00008	X20D02446HPV
STK11_E7_STA101675	9385.0	3046.0	6982.0	1287.0	386.0	5162.0	7907.0	3207.0	3557.0	10513.0	3046.0	29158.0	59920.0	52922.0	473.0	240.0	397.0	8444.0	414.0	2998.0	2076.0	9188.0	14834.0	3619.0	12377.0	398.0	632.0	2755.0
STK11_E8_STA101087	8811.0	2430.0	14348.0	1285.0	521.0	5430.0	5934.0	2185.0	3294.0	10683.0	2407.0	28211.0	44236.0	47519.0	526.0	384.0	463.0	9145.0	479.0	3363.0	2449.0	4725.0	16064.0	4095.0	13836.0	330.0	328.0	3080.0
STK11_E8_STA101088	6734.0	2056.0	10600.0	843.0	381.0	4685.0	3791.0	1994.0	2887.0	6166.0	2564.0	19287.0	32164.0	36458.0	628.0	188.0	150.0	6187.0	352.0	2650.0	1143.0	3686.0	10161.0	2693.0	8693.0	203.0	407.0	1704.0
STK11_E8_STA101089	8952.0	2923.0	15996.0	1735.0	534.0	5614.0	7182.0	3089.0	4648.0	10804.0	2661.0	31459.0	49214.0	55593.0	784.0	260.0	366.0	10436.0	376.0	3588.0	2473.0	7650.0	17117.0	4135.0	13151.0	457.0	400.0	2572.0
STK11_E8_STA101090	4217.0	1027.0	5844.0	578.0	177.0	2367.0	3011.0	1029.0	1664.0	5364.0	1080.0	14175.0	22327.0	22609.0	267.0	113.0	193.0	3480.0	188.0	1427.0	971.0	2737.0	6765.0	1630.0	6538.0	123.0	115.0	1520.0
STK11_E9_STA101091	5176.0	1254.0	6836.0	541.0	236.0	4058.0	3302.0	926.0	1565.0	5763.0	1109.0	15678.0	17536.0	25183.0	320.0	244.0	210.0	4342.0	277.0	1381.0	1012.0	2764.0	8398.0	2567.0	8382.0	224.0	136.0	1492.0
STK11_E9_STA101092	4829.0	1402.0	5986.0	530.0	251.0	2497.0	2582.0	701.0	1813.0	5072.0	953.0	16762.0	20727.0	26458.0	421.0	125.0	164.0	3882.0	331.0	1461.0	863.0	2361.0	7110.0	1902.0	6853.0	175.0	115.0	1375.0
STK11_E9_STA103261	4964.0	981.0	7457.0	545.0	124.0	2885.0	2579.0	954.0	1967.0	4888.0	1573.0	12595.0	18336.0	25349.0	269.0	109.0	99.0	4145.0	314.0	1482.0	670.0	3586.0	6571.0	2233.0	5457.0	143.0	155.0	1228.0
GNA11_E4_STA100091	1216.0	248.0	1919.0	118.0	37.0	643.0	657.0	335.0	527.0	1047.0	390.0	2868.0	5218.0	6652.0	71.0	17.0	28.0	967.0	86.0	361.0	293.0	721.0	1590.0	561.0	1355.0	43.0	28.0	305.0
GNA11_E4_STA100092	1838.0	406.0	3165.0	244.0	108.0	889.0	1348.0	544.0	392.0	1956.0	668.0	4526.0	9543.0	9219.0	76.0	6.0	32.0	1313.0	34.0	539.0	442.0	1414.0	2499.0	593.0	2093.0	115.0	72.0	502.0
GNA11_E5_STA100093	8302.0	2170.0	15834.0	1386.0	358.0	4926.0	6783.0	2439.0	4428.0	9038.0	3257.0	22906.0	48144.0	49838.0	801.0	209.0	197.0	8974.0	414.0	3227.0	1997.0	7431.0	14617.0	3503.0	12160.0	218.0	672.0	2902.0
MAP2K2_E6_STA100095	742.0	345.0	1359.0	138.0	38.0	290.0	655.0	145.0	276.0	814.0	226.0	3255.0	6541.0	6558.0	27.0	26.0	51.0	773.0	55.0	444.0	173.0	399.0	1792.0	307.0	992.0	57.0	31.0	386.0
MAP2K2_E6_STA100096	1089.0	388.0	1645.0	162.0	56.0	668.0	653.0	206.0	401.0	1013.0	266.0	3816.0	4821.0	6873.0	45.0	28.0	51.0	981.0	59.0	375.0	154.0	419.0	2769.0	592.0	1366.0	53.0	33.0	386.0
MAP2K2_E4_STA100097	3956.0	1299.0	7895.0	561.0	247.0	2488.0	2955.0	1044.0	1930.0	4169.0	1810.0	12510.0	19981.0	26627.0	244.0	92.0	174.0	4094.0	293.0	1733.0	775.0	3090.0	6941.0	1671.0	5223.0	245.0	212.0	1230.0
MAP2K2_E3_STA100098	4589.0	2177.0	12767.0	1039.0	428.0	3166.0	5881.0	2607.0	2577.0	5913.0	3163.0	13945.0	25638.0	28709.0	249.0	175.0	277.0	6274.0	354.0	2513.0	1587.0	3818.0	10780.0	2270.0	6557.0	510.0	439.0	2162.0
MAP2K2_E3_STA100099	7197.0	2284.0	13853.0	1467.0	598.0	4009.0	6176.0	2615.0	2548.0	7376.0	3407.0	16492.0	24950.0	31579.0	601.0	202.0	235.0	6898.0	437.0	2150.0	1640.0	5240.0	9835.0	2843.0	8148.0	705.0	244.0	2783.0
MAP2K2_E2_STA100100	5506.0	1935.0	11149.0	1078.0	452.0	3041.0	5411.0	1947.0	2022.0	5503.0	2496.0	15415.0	24538.0	30559.0	321.0	207.0	164.0	6947.0	267.0	2076.0	1405.0	3068.0	9030.0	2535.0	7031.0	382.0	422.0	2520.0
MAP2K2_E2_STA100101	6051.0	2762.0	14532.0	1480.0	483.0	3338.0	7313.0	3231.0	3025.0	7361.0	3956.0	18318.0	32095.0	38203.0	319.0	190.0	178.0	6871.0	394.0	2764.0	1420.0	5949.0	13345.0	2638.0	8860.0	353.0	432.0	3169.0
MAP2K2_E2_STA100102	2879.0	1463.0	6190.0	879.0	302.0	1523.0	2702.0	1021.0	1572.0	3854.0	1194.0	11155.0	19730.0	22335.0	241.0	152.0	133.0	3501.0	177.0	1946.0	873.0	1385.0	6957.0	1218.0	4528.0	254.0	163.0	1722.0
