	D20D02477T	D20D02527	D21D00009T	D21D00012T	K20D02522T	M20D02483	M20D02521	M20D02532	M21D00003	M21D00004	M21D00010	N21D00002	N21D00011	N21D00032	P20D02524	P20D02526	P20D02528	P20D02529	P21D00014	P21D00017	P21D00020	P21D00025	P21D00036	P21D00039	P21D00041	S21D00030T	U21D00008	X20D02446HPV
JAK1_E25_STA100319	1079.0	1239.0	2524.0	722.0	487.0	529.0	1697.0	1087.0	1129.0	1554.0	3190.0	3296.0	3770.0	10663.0	102.0	34.0	122.0	1822.0	160.0	1211.0	477.0	683.0	2844.0	426.0	1440.0	419.0	153.0	860.0
JAK1_E25_STA100320	1541.0	1218.0	3049.0	674.0	563.0	677.0	1957.0	1373.0	1088.0	1595.0	3885.0	2748.0	4022.0	11209.0	82.0	36.0	66.0	1950.0	198.0	1106.0	449.0	1063.0	3405.0	490.0	1236.0	402.0	158.0	810.0
JAK1_E25_STA100321	1435.0	807.0	2466.0	488.0	507.0	612.0	1389.0	1258.0	866.0	1229.0	2608.0	2478.0	2811.0	8615.0	82.0	83.0	100.0	1634.0	114.0	803.0	384.0	664.0	2213.0	454.0	1101.0	380.0	206.0	564.0
JAK1_E24_STA100322	7716.0	6230.0	15526.0	4367.0	3805.0	4137.0	12186.0	6185.0	4536.0	13769.0	13943.0	20351.0	20501.0	46870.0	484.0	334.0	580.0	10905.0	1022.0	5874.0	3303.0	4409.0	17060.0	2732.0	8659.0	2989.0	748.0	4929.0
JAK1_E24_STA100323	5540.0	4829.0	12675.0	2876.0	2530.0	2638.0	8361.0	5300.0	4037.0	7809.0	12622.0	13860.0	16246.0	40468.0	381.0	253.0	385.0	8774.0	705.0	4521.0	1946.0	3932.0	13041.0	2051.0	6124.0	2168.0	742.0	3266.0
JAK1_E24_STA100324	2720.0	2054.0	5393.0	1410.0	1419.0	1150.0	3637.0	2239.0	1588.0	3441.0	6390.0	5769.0	8138.0	17936.0	177.0	146.0	108.0	3265.0	220.0	2260.0	869.0	1892.0	5038.0	959.0	2623.0	774.0	322.0	1618.0
JAK1_E23_STA100325	5498.0	4712.0	12097.0	3060.0	2213.0	2972.0	9458.0	6566.0	3734.0	9358.0	12441.0	12088.0	16299.0	32194.0	469.0	353.0	258.0	7828.0	742.0	4139.0	2256.0	4013.0	14433.0	2467.0	6050.0	1683.0	691.0	3262.0
JAK1_E23_STA100326	1221.0	1362.0	2274.0	943.0	568.0	580.0	1843.0	932.0	629.0	1762.0	1744.0	3084.0	4164.0	8373.0	100.0	72.0	137.0	1697.0	225.0	1080.0	513.0	494.0	3615.0	620.0	1473.0	470.0	158.0	1014.0
JAK1_E22_STA100327	6489.0	4399.0	11186.0	3162.0	2035.0	2596.0	7341.0	4322.0	4188.0	6846.0	10475.0	12008.0	13280.0	35298.0	529.0	166.0	330.0	8367.0	451.0	3741.0	1724.0	3272.0	13308.0	2421.0	5992.0	1347.0	465.0	3449.0
JAK1_E22_STA100328	9794.0	8576.0	23156.0	6076.0	4230.0	4586.0	16160.0	9524.0	7713.0	15616.0	19880.0	24193.0	27195.0	65208.0	594.0	354.0	633.0	16171.0	1248.0	8031.0	3674.0	6565.0	23471.0	3835.0	11812.0	3301.0	1117.0	6187.0
JAK1_E22_STA100329	6065.0	5043.0	12459.0	3992.0	2381.0	2556.0	9851.0	5839.0	3868.0	8662.0	12464.0	14621.0	20683.0	38636.0	320.0	286.0	354.0	8026.0	747.0	4511.0	2263.0	3634.0	14917.0	2503.0	6415.0	2030.0	691.0	3926.0
JAK1_E22_STA100330	2279.0	2543.0	5614.0	1486.0	1011.0	1294.0	4289.0	2424.0	2115.0	5179.0	4224.0	7479.0	8804.0	15907.0	174.0	156.0	308.0	3752.0	346.0	1813.0	1057.0	1432.0	6753.0	1029.0	2839.0	979.0	376.0	1704.0
JAK1_E21_STA100331	2617.0	1769.0	3814.0	893.0	746.0	990.0	2363.0	1512.0	1525.0	2523.0	3405.0	4888.0	6490.0	14262.0	196.0	101.0	82.0	2988.0	194.0	1463.0	628.0	1078.0	4706.0	669.0	2061.0	541.0	306.0	1288.0
JAK1_E21_STA100332	6962.0	4821.0	12030.0	3185.0	2879.0	3112.0	10370.0	5787.0	3754.0	10774.0	9055.0	14099.0	22767.0	38464.0	356.0	306.0	375.0	7897.0	631.0	4297.0	2292.0	3968.0	15781.0	2270.0	7839.0	1691.0	801.0	3979.0
JAK1_E21_STA100333	12330.0	8520.0	23101.0	4919.0	3983.0	7822.0	17175.0	10299.0	6842.0	19311.0	16727.0	28032.0	30224.0	71026.0	789.0	518.0	908.0	19443.0	905.0	7834.0	4280.0	7824.0	25977.0	5555.0	14549.0	3080.0	1202.0	7092.0
JAK1_E20_STA100334	2744.0	2320.0	5428.0	1340.0	648.0	1429.0	3592.0	1897.0	1779.0	4459.0	3990.0	9501.0	8661.0	22288.0	129.0	122.0	110.0	5590.0	338.0	1584.0	759.0	2004.0	6804.0	1289.0	3110.0	309.0	269.0	1831.0
JAK1_E20_STA100335	10937.0	6820.0	20604.0	4384.0	1932.0	5751.0	15714.0	6359.0	6697.0	15429.0	12060.0	38638.0	32047.0	90657.0	768.0	515.0	977.0	21939.0	991.0	7934.0	3338.0	4905.0	26077.0	4341.0	12235.0	1436.0	983.0	5612.0
JAK1_E20_STA100336	12289.0	6250.0	22424.0	4495.0	2134.0	5999.0	14897.0	6879.0	6900.0	16888.0	12806.0	37230.0	35914.0	92355.0	710.0	379.0	547.0	21277.0	942.0	8428.0	3623.0	5457.0	27291.0	4727.0	12348.0	1511.0	1158.0	6204.0
JAK1_E20_STA100337	10151.0	5078.0	21736.0	3434.0	1773.0	5318.0	12586.0	6337.0	6228.0	17307.0	11496.0	30963.0	26538.0	71628.0	635.0	381.0	467.0	17795.0	794.0	6740.0	3562.0	7511.0	22857.0	4090.0	10306.0	1502.0	1188.0	5773.0
JAK1_E19_STA100338	5125.0	2856.0	10806.0	1636.0	785.0	2418.0	6118.0	2497.0	3168.0	7801.0	5023.0	14535.0	12181.0	38940.0	400.0	138.0	393.0	9744.0	344.0	3352.0	1638.0	2695.0	12339.0	2143.0	4938.0	716.0	396.0	2695.0
JAK1_E19_STA100339	3602.0	3106.0	8023.0	1667.0	1305.0	2102.0	5980.0	2705.0	2588.0	8147.0	3986.0	14245.0	13827.0	29155.0	280.0	100.0	415.0	7440.0	513.0	2965.0	1451.0	2242.0	11472.0	1340.0	4992.0	900.0	495.0	2518.0
JAK1_E19_STA101785	6785.0	4841.0	14770.0	3041.0	2275.0	3883.0	11124.0	5156.0	4922.0	15626.0	7497.0	21693.0	20842.0	50331.0	393.0	430.0	489.0	12156.0	883.0	4863.0	2902.0	3912.0	17991.0	2874.0	10199.0	1473.0	959.0	4180.0
JAK1_E18_STA100341	12384.0	6682.0	24991.0	4047.0	2610.0	5945.0	15078.0	9143.0	6818.0	20426.0	14237.0	32719.0	29694.0	88889.0	657.0	535.0	844.0	22215.0	1199.0	7557.0	4197.0	7551.0	27278.0	4015.0	12697.0	2507.0	1242.0	7515.0
JAK1_E18_STA100342	1816.0	1088.0	2761.0	724.0	404.0	642.0	1887.0	1238.0	983.0	1949.0	1935.0	5297.0	4132.0	15545.0	114.0	90.0	180.0	3280.0	132.0	1198.0	632.0	690.0	4235.0	786.0	1627.0	328.0	138.0	959.0
JAK1_E17_STA100343	10222.0	3691.0	15608.0	2377.0	1132.0	4803.0	9331.0	4563.0	4421.0	12748.0	6655.0	22403.0	17438.0	57137.0	585.0	279.0	498.0	14000.0	639.0	4353.0	2148.0	5324.0	16457.0	4117.0	9084.0	975.0	717.0	4785.0
JAK1_E17_STA100344	6930.0	4028.0	13686.0	2477.0	1162.0	4394.0	10341.0	4447.0	4380.0	14655.0	5560.0	23312.0	19193.0	42259.0	630.0	144.0	441.0	12673.0	622.0	4023.0	2375.0	5508.0	16128.0	2962.0	9645.0	1059.0	326.0	4244.0
JAK1_E17_STA100345	4050.0	2147.0	8419.0	1279.0	836.0	2082.0	5133.0	2664.0	2771.0	6589.0	3729.0	13741.0	10852.0	31894.0	348.0	116.0	273.0	8022.0	384.0	2590.0	1376.0	2882.0	9163.0	1743.0	4474.0	577.0	355.0	2270.0
JAK1_E16_STA100346	6360.0	3002.0	10621.0	1643.0	893.0	2917.0	6771.0	3701.0	3043.0	9377.0	4956.0	16775.0	20620.0	41005.0	347.0	205.0	237.0	9196.0	473.0	3343.0	1569.0	4554.0	13084.0	2345.0	6747.0	558.0	374.0	3121.0
JAK1_E16_STA100347	3078.0	1398.0	4190.0	684.0	324.0	870.0	2057.0	869.0	1011.0	2780.0	1536.0	7032.0	6104.0	19717.0	220.0	66.0	103.0	4130.0	198.0	1305.0	589.0	1187.0	4777.0	781.0	2563.0	261.0	169.0	1552.0
JAK1_E15_STA100348	10951.0	4138.0	19923.0	2376.0	1859.0	4386.0	10825.0	5718.0	5453.0	16148.0	7116.0	28933.0	26092.0	71994.0	614.0	250.0	487.0	17016.0	628.0	6516.0	2565.0	6533.0	20133.0	4030.0	11649.0	884.0	694.0	5853.0
JAK1_E15_STA100349	3967.0	2622.0	9335.0	1334.0	1061.0	2659.0	6891.0	3018.0	3015.0	8611.0	4635.0	15021.0	13502.0	32370.0	409.0	260.0	226.0	8811.0	220.0	2477.0	1447.0	4271.0	11212.0	1956.0	5809.0	784.0	477.0	2762.0
JAK1_E14_STA100350	3196.0	2167.0	6349.0	1237.0	404.0	1735.0	4598.0	1549.0	1966.0	6655.0	1696.0	12402.0	12132.0	26294.0	179.0	235.0	315.0	6402.0	328.0	2608.0	1127.0	1675.0	9897.0	1580.0	4801.0	494.0	202.0	2447.0
JAK1_E14_STA100351	1459.0	700.0	2173.0	350.0	100.0	686.0	1309.0	664.0	664.0	1930.0	1105.0	3754.0	3943.0	9455.0	60.0	80.0	42.0	2263.0	148.0	718.0	386.0	1315.0	2912.0	617.0	1579.0	60.0	70.0	761.0
JAK1_E13_STA100352	3820.0	1649.0	6408.0	1172.0	717.0	1721.0	4293.0	2223.0	2006.0	5990.0	3670.0	9386.0	12903.0	25673.0	188.0	127.0	117.0	5497.0	298.0	2169.0	1223.0	2527.0	7902.0	1293.0	3909.0	482.0	195.0	1918.0
JAK1_E13_STA100353	1072.0	454.0	1567.0	225.0	151.0	430.0	567.0	350.0	415.0	999.0	619.0	2376.0	2130.0	6427.0	12.0	54.0	25.0	1332.0	151.0	692.0	213.0	322.0	1422.0	302.0	754.0	107.0	60.0	622.0
JAK1_E12_STA100354	5978.0	2528.0	9506.0	1725.0	682.0	2665.0	5175.0	2801.0	2725.0	7983.0	4470.0	13008.0	15622.0	34840.0	372.0	244.0	160.0	7723.0	285.0	3102.0	1538.0	3670.0	10175.0	1989.0	5193.0	482.0	309.0	2552.0
JAK1_E12_STA100355	15585.0	7925.0	30215.0	4654.0	1970.0	7746.0	24626.0	10480.0	9870.0	28999.0	14593.0	50751.0	47322.0	98748.0	1061.0	495.0	678.0	30993.0	948.0	8984.0	3361.0	15662.0	38279.0	6710.0	16942.0	1974.0	1408.0	8744.0
JAK1_E11_STA100356	9041.0	5555.0	18199.0	3903.0	1779.0	4532.0	13253.0	5892.0	4956.0	16676.0	10721.0	28333.0	18925.0	59446.0	470.0	260.0	598.0	17374.0	669.0	5204.0	3200.0	7164.0	20347.0	3980.0	9318.0	1718.0	949.0	5342.0
JAK1_E11_STA100357	5864.0	2797.0	11834.0	1735.0	1038.0	3082.0	6653.0	3743.0	3386.0	9724.0	6390.0	15221.0	11245.0	33191.0	372.0	183.0	218.0	9946.0	477.0	2900.0	1475.0	4925.0	11708.0	2464.0	5648.0	892.0	485.0	2697.0
JAK1_E11_STA100358	4644.0	3282.0	8188.0	2008.0	1081.0	2154.0	6307.0	3798.0	2223.0	6387.0	6461.0	10687.0	14657.0	29805.0	406.0	152.0	184.0	7066.0	334.0	3557.0	1314.0	2648.0	9059.0	1814.0	4767.0	918.0	602.0	2600.0
JAK1_E10_STA100359	3159.0	1734.0	4185.0	967.0	427.0	1085.0	2214.0	1078.0	1367.0	3133.0	2089.0	8004.0	6063.0	19695.0	185.0	100.0	263.0	4205.0	289.0	1778.0	658.0	1426.0	5121.0	1210.0	2513.0	239.0	158.0	1667.0
JAK1_E10_STA100360	7123.0	5615.0	15441.0	2871.0	1548.0	4202.0	10958.0	4831.0	4860.0	15446.0	6660.0	28377.0	22570.0	52133.0	393.0	450.0	748.0	15419.0	772.0	5972.0	3385.0	5509.0	24676.0	3167.0	9750.0	1141.0	939.0	5086.0
JAK1_E9_STA100361	3660.0	2006.0	5681.0	1360.0	536.0	1382.0	3931.0	2593.0	1775.0	5083.0	3759.0	9311.0	9262.0	24125.0	183.0	174.0	183.0	6006.0	361.0	1922.0	1026.0	2786.0	8277.0	1548.0	3288.0	522.0	171.0	1707.0
JAK1_E9_STA100362	5431.0	3384.0	9436.0	2195.0	913.0	2153.0	6330.0	3362.0	2613.0	8763.0	5322.0	15153.0	16030.0	38508.0	308.0	247.0	307.0	8866.0	584.0	3366.0	1659.0	3775.0	12849.0	2184.0	5087.0	750.0	264.0	2881.0
JAK1_E9_STA100363	17216.0	8724.0	30691.0	5689.0	3909.0	9388.0	19569.0	10112.0	8588.0	27505.0	15190.0	41970.0	38708.0	93243.0	1157.0	292.0	916.0	29963.0	1383.0	8979.0	5070.0	12457.0	31640.0	7089.0	16072.0	2776.0	1098.0	7387.0
JAK1_E8_STA100364	7555.0	5063.0	12598.0	3839.0	2717.0	3766.0	9434.0	5720.0	3723.0	9645.0	12207.0	12821.0	13881.0	36523.0	511.0	252.0	495.0	9859.0	918.0	3944.0	2571.0	4128.0	14891.0	3182.0	6892.0	2043.0	804.0	3167.0
JAK1_E8_STA100365	9710.0	7818.0	19112.0	5407.0	3646.0	4509.0	14553.0	9540.0	4839.0	13023.0	19727.0	18792.0	28648.0	58381.0	438.0	577.0	591.0	12932.0	1084.0	6860.0	3198.0	5147.0	22237.0	3077.0	10232.0	3427.0	879.0	5437.0
JAK1_E8_STA100366	8231.0	6072.0	16230.0	4124.0	2862.0	3456.0	11043.0	7141.0	4091.0	9725.0	14553.0	15338.0	20043.0	46872.0	365.0	336.0	412.0	10648.0	823.0	5574.0	2515.0	4130.0	16323.0	2866.0	8245.0	2446.0	787.0	4349.0
JAK1_E8_STA100367	1616.0	1421.0	2803.0	807.0	443.0	433.0	1386.0	834.0	928.0	1626.0	2290.0	2693.0	4259.0	11521.0	68.0	39.0	168.0	2032.0	177.0	903.0	412.0	612.0	3196.0	493.0	1305.0	354.0	110.0	931.0
JAK1_E7_STA100368	14881.0	10149.0	30651.0	7374.0	6419.0	8040.0	24873.0	15406.0	8294.0	22663.0	30927.0	27486.0	35412.0	70352.0	841.0	530.0	567.0	19687.0	1457.0	9577.0	5106.0	11763.0	28699.0	5956.0	15145.0	5289.0	1979.0	8037.0
JAK1_E7_STA100369	1576.0	1652.0	3311.0	1335.0	850.0	637.0	2450.0	1332.0	1120.0	3216.0	2868.0	4092.0	6106.0	11916.0	158.0	48.0	170.0	1899.0	186.0	1357.0	598.0	610.0	3843.0	545.0	1699.0	713.0	130.0	1070.0
JAK1_E7_STA100370	4131.0	3289.0	8353.0	1936.0	1936.0	1982.0	5423.0	3116.0	3282.0	5394.0	7623.0	8112.0	8651.0	21424.0	360.0	128.0	232.0	5273.0	397.0	2651.0	1575.0	2486.0	7644.0	1402.0	3552.0	1442.0	512.0	2115.0
JAK1_E7_STA100371	8410.0	5974.0	17561.0	4618.0	3099.0	3925.0	11522.0	6495.0	5228.0	10430.0	16333.0	15688.0	19721.0	47100.0	308.0	304.0	516.0	10790.0	854.0	5557.0	2674.0	4070.0	18002.0	2831.0	8064.0	2956.0	1062.0	5269.0
JAK1_E7_STA100372	872.0	1544.0	2076.0	1142.0	630.0	463.0	1743.0	938.0	1042.0	2056.0	1719.0	3804.0	4698.0	9707.0	66.0	153.0	246.0	1821.0	216.0	1121.0	462.0	562.0	3802.0	582.0	1440.0	563.0	164.0	1006.0
JAK1_E6_STA100373	1069.0	986.0	1771.0	517.0	189.0	258.0	818.0	250.0	793.0	1385.0	1557.0	3320.0	2839.0	8689.0	62.0	52.0	82.0	1927.0	114.0	550.0	337.0	624.0	3004.0	250.0	828.0	336.0	108.0	625.0
JAK1_E6_STA100374	5851.0	4691.0	12748.0	2189.0	1505.0	2916.0	8242.0	5403.0	4228.0	8794.0	9082.0	15934.0	14606.0	40390.0	324.0	296.0	281.0	10673.0	564.0	4673.0	1973.0	4425.0	13809.0	2082.0	6137.0	1472.0	708.0	3330.0
JAK1_E6_STA100375	12274.0	8149.0	25220.0	5252.0	1774.0	2690.0	10494.0	369.0	7922.0	20302.0	13789.0	35406.0	25504.0	78756.0	830.0	505.0	889.0	25525.0	1078.0	4572.0	4356.0	7669.0	30458.0	2719.0	10019.0	2681.0	757.0	6461.0
JAK1_E5_STA100376	5614.0	3554.0	10181.0	1793.0	1184.0	2314.0	7010.0	4356.0	2947.0	7693.0	7234.0	14383.0	13453.0	37181.0	205.0	306.0	244.0	9059.0	446.0	3793.0	1521.0	3607.0	12693.0	2185.0	5163.0	921.0	367.0	3168.0
JAK1_E5_STA100377	13179.0	9166.0	27884.0	5117.0	3158.0	7051.0	21582.0	11326.0	9540.0	25602.0	16552.0	44035.0	33890.0	92932.0	1045.0	594.0	1078.0	26333.0	1703.0	10658.0	5103.0	10750.0	33242.0	5939.0	15927.0	3564.0	1490.0	7767.0
JAK1_E5_STA100378	1643.0	1401.0	2860.0	960.0	415.0	704.0	2172.0	1135.0	1031.0	3231.0	1584.0	6086.0	6263.0	17077.0	103.0	98.0	282.0	2794.0	256.0	1779.0	641.0	728.0	5050.0	512.0	2085.0	341.0	235.0	1319.0
JAK1_E5_STA101781	6403.0	4311.0	15140.0	2332.0	1221.0	3165.0	9780.0	5267.0	4132.0	12908.0	9102.0	18588.0	14449.0	45186.0	381.0	381.0	339.0	12438.0	698.0	4606.0	2331.0	6053.0	16893.0	2859.0	7662.0	1378.0	833.0	3610.0
JAK1_E4_STA100380	8832.0	7360.0	19934.0	4271.0	3056.0	4928.0	15204.0	9602.0	5673.0	15171.0	17808.0	31100.0	24448.0	67071.0	570.0	379.0	455.0	16504.0	1164.0	6732.0	3104.0	5995.0	22209.0	3570.0	9107.0	2542.0	1077.0	5946.0
JAK1_E4_STA100381	7733.0	6096.0	17226.0	4066.0	2601.0	3604.0	13158.0	7511.0	6572.0	12687.0	14255.0	25464.0	22150.0	60426.0	498.0	309.0	702.0	15218.0	818.0	5881.0	3190.0	4743.0	20659.0	3326.0	8808.0	2595.0	957.0	5706.0
JAK1_E4_STA100382	801.0	502.0	1135.0	448.0	207.0	262.0	574.0	357.0	345.0	610.0	1015.0	1280.0	1444.0	5006.0	40.0	38.0	67.0	812.0	26.0	471.0	206.0	234.0	1246.0	201.0	633.0	154.0	28.0	317.0
JAK1_E3_STA100383	4285.0	3747.0	9027.0	2113.0	986.0	2507.0	5803.0	2570.0	2560.0	8989.0	4117.0	13257.0	10968.0	30332.0	265.0	208.0	342.0	8764.0	449.0	3292.0	1880.0	2625.0	11568.0	2009.0	4788.0	1154.0	428.0	3618.0
JAK1_E3_STA100384	7309.0	4500.0	14769.0	2767.0	1265.0	3123.0	7801.0	4745.0	4578.0	10273.0	10444.0	21144.0	16917.0	56667.0	510.0	266.0	652.0	13924.0	704.0	5267.0	1913.0	3477.0	17577.0	2944.0	6292.0	1126.0	810.0	4385.0
JAK1_E3_STA100385	10154.0	7082.0	20951.0	4769.0	3179.0	5255.0	13832.0	7652.0	5455.0	15334.0	14731.0	24150.0	25768.0	63372.0	771.0	549.0	978.0	17067.0	925.0	7611.0	3081.0	6299.0	23071.0	4482.0	11442.0	2207.0	1170.0	5462.0
JAK1_E2_STA100386	5699.0	4887.0	12380.0	3931.0	2918.0	3135.0	10909.0	5127.0	3943.0	11643.0	10548.0	15405.0	18583.0	38123.0	446.0	311.0	647.0	8306.0	732.0	5111.0	2560.0	3169.0	15636.0	2298.0	6969.0	3009.0	675.0	3979.0
NRAS_E4_STA100001	3426.0	1884.0	6712.0	1523.0	926.0	1689.0	4018.0	2110.0	1816.0	2732.0	4627.0	8780.0	9498.0	26049.0	223.0	114.0	292.0	5327.0	359.0	2360.0	1173.0	1379.0	7574.0	1428.0	4122.0	614.0	461.0	1716.0
NRAS_E4_STA100002	5726.0	3412.0	10450.0	2274.0	1285.0	2988.0	7108.0	3950.0	3784.0	6347.0	8117.0	14903.0	16259.0	38111.0	304.0	168.0	414.0	9015.0	430.0	3713.0	2278.0	4258.0	13659.0	2450.0	6848.0	1255.0	731.0	2346.0
NRAS_E3_STA100003	10352.0	7004.0	19520.0	5647.0	3202.0	4742.0	13381.0	9888.0	5020.0	7931.0	20433.0	20505.0	31717.0	62831.0	509.0	320.0	677.0	15216.0	1032.0	6966.0	3029.0	5195.0	25683.0	4269.0	12497.0	2983.0	1126.0	6566.0
NRAS_E3_STA100004	4407.0	3770.0	10392.0	2988.0	1809.0	1731.0	7315.0	3678.0	2297.0	5187.0	8241.0	11050.0	18826.0	30282.0	213.0	146.0	380.0	6170.0	640.0	3543.0	1754.0	1893.0	10607.0	1857.0	6509.0	1639.0	648.0	2595.0
NRAS_E3_STA101617	911.0	433.0	2603.0	737.0	244.0	324.0	1316.0	468.0	258.0	1125.0	1142.0	2867.0	3671.0	6009.0	22.0	39.0	41.0	1524.0	97.0	344.0	160.0	511.0	1523.0	457.0	1450.0	413.0	67.0	425.0
NRAS_E2_STA100006	4693.0	2807.0	7862.0	1851.0	1485.0	1958.0	4530.0	2988.0	2472.0	2825.0	6271.0	9707.0	9307.0	30545.0	264.0	164.0	297.0	6833.0	431.0	2931.0	1319.0	1615.0	9201.0	1559.0	4892.0	1102.0	520.0	2082.0
NRAS_E2_STA100007	6101.0	6703.0	14926.0	4593.0	3142.0	3656.0	12811.0	6104.0	3891.0	8336.0	10491.0	24960.0	22150.0	56052.0	398.0	459.0	752.0	15115.0	917.0	4820.0	3465.0	3307.0	21015.0	2682.0	11641.0	3147.0	824.0	5119.0
NRAS_E2_STA100008	9854.0	7773.0	20748.0	5122.0	3964.0	5210.0	16848.0	9574.0	6527.0	9415.0	17438.0	25068.0	23908.0	68128.0	690.0	276.0	982.0	17757.0	1161.0	6817.0	4023.0	5878.0	22812.0	4202.0	14813.0	3450.0	1302.0	5570.0
DDR2_E4_STA100387	14679.0	11308.0	29153.0	6916.0	5722.0	7599.0	23610.0	14389.0	9009.0	28159.0	46487.0	29475.0	58774.0	78809.0	711.0	772.0	1393.0	27684.0	1499.0	10108.0	4733.0	10598.0	33646.0	7425.0	22495.0	5338.0	2184.0	8457.0
DDR2_E5_STA100388	7403.0	4643.0	13279.0	2614.0	2415.0	3880.0	9994.0	6478.0	4092.0	13049.0	14939.0	16935.0	28158.0	44092.0	449.0	247.0	506.0	14378.0	758.0	4460.0	2142.0	4821.0	17095.0	4101.0	11855.0	1881.0	648.0	4063.0
DDR2_E5_STA100389	3693.0	2600.0	7050.0	1693.0	796.0	1446.0	4405.0	3178.0	2374.0	7383.0	9376.0	11759.0	18822.0	31593.0	182.0	229.0	202.0	7977.0	542.0	3071.0	1171.0	2582.0	9648.0	1926.0	6018.0	606.0	549.0	2366.0
DDR2_E5_STA100390	1391.0	879.0	2711.0	637.0	319.0	681.0	1267.0	809.0	1020.0	2279.0	2414.0	4236.0	5646.0	11291.0	64.0	49.0	119.0	2941.0	148.0	1099.0	380.0	665.0	3120.0	652.0	1786.0	167.0	185.0	725.0
DDR2_E6_STA100391	2056.0	2270.0	4702.0	1126.0	520.0	1249.0	3200.0	1666.0	1555.0	6755.0	3638.0	9258.0	11318.0	17956.0	94.0	115.0	284.0	5783.0	343.0	1710.0	946.0	1383.0	8274.0	1320.0	4374.0	537.0	199.0	1782.0
DDR2_E6_STA100392	1569.0	1112.0	3409.0	598.0	224.0	802.0	2428.0	1667.0	862.0	3872.0	4093.0	4649.0	8402.0	11724.0	88.0	66.0	32.0	3166.0	252.0	1299.0	670.0	1575.0	4513.0	815.0	2731.0	245.0	279.0	1149.0
DDR2_E6_STA100393	16420.0	10542.0	35293.0	6292.0	3152.0	8170.0	21020.0	14911.0	10756.0	35829.0	29645.0	51331.0	72668.0	120749.0	1055.0	696.0	1624.0	41483.0	1963.0	12717.0	4505.0	13622.0	44234.0	6918.0	28101.0	2235.0	1696.0	12252.0
DDR2_E6_STA100394	6392.0	4517.0	13612.0	2734.0	1424.0	3651.0	8924.0	6017.0	4279.0	15670.0	11461.0	20362.0	24797.0	46076.0	465.0	241.0	432.0	16741.0	716.0	4274.0	2675.0	5945.0	17506.0	3552.0	11574.0	1184.0	693.0	4263.0
DDR2_E7_STA100395	4717.0	2966.0	8914.0	1651.0	1441.0	2138.0	5379.0	3417.0	2389.0	8027.0	9465.0	11396.0	18550.0	28441.0	180.0	131.0	166.0	8458.0	383.0	3458.0	1359.0	3056.0	9828.0	2078.0	6815.0	873.0	410.0	2524.0
DDR2_E7_STA100396	7861.0	6411.0	16786.0	3654.0	2401.0	3965.0	12336.0	8220.0	5577.0	18284.0	20880.0	24769.0	43264.0	65920.0	437.0	343.0	420.0	19295.0	1067.0	6354.0	3105.0	5864.0	22430.0	4118.0	13851.0	2172.0	1324.0	5482.0
DDR2_E7_STA100397	746.0	894.0	1769.0	405.0	256.0	339.0	1207.0	717.0	576.0	1975.0	1865.0	3314.0	4191.0	7286.0	79.0	38.0	83.0	2121.0	83.0	664.0	371.0	381.0	2482.0	451.0	1500.0	189.0	55.0	586.0
DDR2_E8_STA100398	711.0	455.0	1229.0	309.0	122.0	196.0	589.0	269.0	456.0	818.0	1351.0	2047.0	2795.0	6252.0	22.0	26.0	61.0	1227.0	72.0	555.0	140.0	312.0	1612.0	254.0	791.0	110.0	95.0	418.0
DDR2_E8_STA100399	4902.0	4270.0	10807.0	2488.0	1667.0	2224.0	8287.0	5020.0	3128.0	12455.0	12108.0	14436.0	30481.0	34614.0	261.0	210.0	397.0	10154.0	594.0	4060.0	2027.0	3282.0	13310.0	2343.0	9721.0	1702.0	570.0	3374.0
DDR2_E9_STA100400	8048.0	4847.0	16080.0	3464.0	2543.0	4054.0	11508.0	7803.0	4682.0	17079.0	20992.0	26020.0	38428.0	62347.0	477.0	500.0	354.0	19278.0	891.0	5203.0	2244.0	6171.0	17955.0	4256.0	11544.0	1495.0	822.0	5641.0
DDR2_E9_STA100401	9746.0	6179.0	19648.0	3766.0	2775.0	5328.0	14753.0	9453.0	5649.0	22799.0	23684.0	30902.0	42883.0	69663.0	557.0	432.0	428.0	22972.0	1114.0	6485.0	2897.0	9654.0	21990.0	5613.0	15271.0	1755.0	1101.0	6365.0
DDR2_E9_STA100402	8945.0	8300.0	22094.0	4924.0	2744.0	6169.0	15437.0	8750.0	6829.0	27843.0	21070.0	36741.0	46279.0	71487.0	541.0	585.0	979.0	27170.0	1353.0	6973.0	1819.0	6520.0	26936.0	5778.0	17976.0	2258.0	1096.0	7777.0
DDR2_E9_STA100403	5627.0	3387.0	11702.0	2571.0	2400.0	3422.0	9211.0	5774.0	3737.0	13054.0	14552.0	15153.0	23042.0	32528.0	393.0	189.0	443.0	12067.0	428.0	3134.0	2056.0	5210.0	11478.0	3354.0	9560.0	1395.0	703.0	3196.0
DDR2_E10_STA100404	3126.0	1536.0	5079.0	951.0	681.0	1297.0	2913.0	2146.0	2084.0	5106.0	6175.0	7863.0	10435.0	21627.0	196.0	129.0	109.0	6345.0	178.0	2145.0	912.0	1773.0	6018.0	1369.0	4235.0	450.0	403.0	1907.0
