	C21D00284	C21D00304	C21D00307	D21D00280T	D21D00289	D21D00299	D21D00327T	D21D00329T	D21D00335T	D21D00342T	M21D00265	M21D00302	N21D00272	N21D00273	N21D00290	N21D00301	N21D00310	P21D00308	P21D00309	P21D00322	P21D00332	P21D00334	P21D00338	P21D00341	P21D00343	P21D00346	S21D00266	U21D00339	X21D00263	X21D00340
JAK1_E25_STA100319	924.0	650.0	1459.0	1651.0	1008.0	410.0	1988.0	700.0	600.0	6150.0	1175.0	1970.0	1465.0	518.0	1420.0	899.0	174.0	1876.0	773.0	1451.0	406.0	1964.0	1689.0	496.0	384.0	453.0	499.0	84.0	1138.0	707.0
JAK1_E25_STA100320	938.0	590.0	1319.0	1669.0	1082.0	400.0	2138.0	812.0	634.0	7008.0	1233.0	1961.0	1545.0	606.0	1464.0	752.0	248.0	1970.0	721.0	1962.0	302.0	2148.0	1882.0	528.0	413.0	407.0	619.0	128.0	1080.0	636.0
JAK1_E25_STA100321	748.0	308.0	1006.0	1072.0	624.0	408.0	1411.0	416.0	460.0	4433.0	840.0	1288.0	1082.0	320.0	990.0	420.0	106.0	1272.0	649.0	1088.0	240.0	1603.0	1098.0	284.0	232.0	234.0	367.0	54.0	928.0	448.0
JAK1_E24_STA100322	2754.0	1624.0	4787.0	4343.0	4101.0	2428.0	7326.0	2182.0	2825.0	20955.0	4552.0	6166.0	5673.0	1765.0	7169.0	2170.0	628.0	6665.0	3245.0	6735.0	1197.0	7688.0	7353.0	1413.0	1764.0	2102.0	1984.0	350.0	3340.0	3017.0
JAK1_E24_STA100323	4228.0	1933.0	5129.0	5360.0	4319.0	2225.0	8978.0	3132.0	3169.0	24325.0	5759.0	7459.0	6238.0	1806.0	6778.0	3221.0	810.0	7726.0	3616.0	7399.0	1383.0	10255.0	7790.0	2178.0	2077.0	1991.0	2194.0	336.0	4767.0	3140.0
JAK1_E24_STA100324	1354.0	729.0	1805.0	1508.0	1416.0	649.0	2995.0	814.0	1222.0	8072.0	1518.0	2552.0	2261.0	518.0	1982.0	918.0	232.0	2529.0	1044.0	2523.0	456.0	2715.0	2564.0	650.0	633.0	628.0	646.0	114.0	1737.0	890.0
JAK1_E23_STA100325	3084.0	1658.0	4037.0	4118.0	3859.0	2087.0	6897.0	1814.0	2898.0	21194.0	4927.0	5975.0	5756.0	1438.0	5576.0	2220.0	446.0	5955.0	2696.0	6190.0	1278.0	9048.0	6941.0	1591.0	1677.0	1677.0	1754.0	188.0	3548.0	2218.0
JAK1_E23_STA100326	684.0	468.0	1014.0	1021.0	1185.0	524.0	2408.0	613.0	762.0	6282.0	1177.0	1466.0	1590.0	300.0	1846.0	626.0	86.0	2140.0	809.0	1890.0	284.0	1878.0	2025.0	336.0	384.0	550.0	572.0	82.0	954.0	806.0
JAK1_E22_STA100327	3884.0	2037.0	4748.0	4496.0	3654.0	1796.0	7722.0	2658.0	2650.0	22512.0	4726.0	7254.0	5472.0	1441.0	5427.0	3134.0	730.0	6488.0	3717.0	6056.0	1511.0	8108.0	6885.0	1521.0	1643.0	1665.0	1793.0	330.0	4561.0	2945.0
JAK1_E22_STA100328	8133.0	4410.0	10340.0	9686.0	8425.0	3871.0	16388.0	5930.0	6459.0	47856.0	10779.0	13383.0	11562.0	3446.0	11879.0	6873.0	1433.0	12523.0	7460.0	13269.0	3203.0	18836.0	14269.0	3470.0	3621.0	3926.0	4419.0	694.0	9678.0	6153.0
JAK1_E22_STA100329	5257.0	2715.0	7081.0	5971.0	6541.0	2874.0	11093.0	2777.0	4624.0	36011.0	7352.0	9788.0	7665.0	2240.0	9418.0	4210.0	955.0	10481.0	5126.0	10045.0	1651.0	11913.0	11118.0	2455.0	2360.0	2863.0	3402.0	548.0	6578.0	3836.0
JAK1_E22_STA100330	1507.0	687.0	2643.0	2342.0	2459.0	1141.0	4003.0	790.0	1580.0	12607.0	3194.0	2741.0	3128.0	722.0	3782.0	1428.0	295.0	3971.0	1411.0	3611.0	634.0	5087.0	3918.0	860.0	896.0	960.0	1558.0	156.0	2367.0	1651.0
JAK1_E21_STA100331	1029.0	521.0	1463.0	1323.0	990.0	353.0	2155.0	661.0	721.0	6940.0	1096.0	2049.0	1799.0	345.0	1577.0	748.0	128.0	1954.0	920.0	1694.0	412.0	2375.0	2031.0	422.0	462.0	490.0	540.0	56.0	1131.0	707.0
JAK1_E21_STA100332	3571.0	2412.0	5966.0	4492.0	5517.0	2646.0	10713.0	3607.0	3669.0	25454.0	6920.0	7722.0	8872.0	1694.0	8842.0	3263.0	682.0	9145.0	4259.0	8646.0	1630.0	10428.0	8802.0	1734.0	2218.0	2703.0	2608.0	260.0	3878.0	3622.0
JAK1_E21_STA100333	6596.0	3103.0	8097.0	5505.0	8032.0	3588.0	11391.0	4563.0	5342.0	30183.0	8146.0	9172.0	12553.0	2006.0	10785.0	4093.0	874.0	9917.0	5624.0	9440.0	2908.0	14522.0	9983.0	3134.0	2337.0	3191.0	2642.0	386.0	5726.0	4565.0
JAK1_E20_STA100334	2117.0	873.0	3773.0	1112.0	2583.0	1451.0	4012.0	1044.0	1613.0	11508.0	2558.0	3590.0	5121.0	850.0	4993.0	1116.0	288.0	3289.0	2039.0	3875.0	813.0	4713.0	2776.0	792.0	574.0	972.0	816.0	90.0	1302.0	1327.0
JAK1_E20_STA100335	9063.0	3613.0	14239.0	5149.0	9709.0	4082.0	17117.0	4971.0	6004.0	45272.0	9562.0	15996.0	18294.0	3202.0	19311.0	5759.0	909.0	13457.0	8226.0	15713.0	4055.0	20728.0	10050.0	3208.0	2587.0	3769.0	2874.0	493.0	6707.0	6154.0
JAK1_E20_STA100336	8760.0	3363.0	14903.0	4621.0	10580.0	4413.0	16685.0	4897.0	6316.0	44376.0	10183.0	16240.0	19922.0	3173.0	17892.0	5330.0	942.0	13204.0	8615.0	13647.0	3981.0	20203.0	9721.0	2825.0	2416.0	3607.0	2176.0	486.0	5775.0	5401.0
JAK1_E20_STA100337	7180.0	2645.0	12266.0	3934.0	9741.0	4142.0	13552.0	5182.0	5404.0	36502.0	9376.0	13521.0	17220.0	2717.0	14889.0	4644.0	954.0	10531.0	7111.0	11188.0	3390.0	18028.0	7879.0	2560.0	2391.0	2972.0	1714.0	449.0	4950.0	4709.0
JAK1_E19_STA100338	3875.0	1520.0	6497.0	1911.0	4790.0	2320.0	7610.0	2398.0	3088.0	19888.0	4623.0	6806.0	10489.0	1285.0	8094.0	2964.0	423.0	5896.0	3489.0	5776.0	1990.0	9234.0	4349.0	1737.0	1274.0	1595.0	1122.0	180.0	2422.0	2819.0
JAK1_E19_STA100339	2772.0	1406.0	6395.0	2041.0	4296.0	2529.0	7633.0	2075.0	2399.0	17082.0	4872.0	4761.0	8178.0	1060.0	9534.0	1994.0	316.0	7284.0	2988.0	5466.0	1218.0	8210.0	4779.0	915.0	1142.0	1750.0	1298.0	118.0	2093.0	2395.0
JAK1_E19_STA101785	4680.0	2511.0	10829.0	3235.0	8133.0	4605.0	13692.0	4358.0	5170.0	30142.0	8591.0	9223.0	14904.0	2421.0	14955.0	3724.0	795.0	10765.0	5489.0	9652.0	2147.0	14807.0	9487.0	1946.0	2428.0	3259.0	2627.0	346.0	4136.0	4593.0
JAK1_E18_STA100341	9592.0	4722.0	14861.0	6192.0	11151.0	4859.0	18546.0	6264.0	7290.0	49090.0	13889.0	16281.0	24136.0	3802.0	22283.0	7115.0	1113.0	15817.0	8594.0	16028.0	4515.0	25828.0	12610.0	3116.0	3791.0	4410.0	4315.0	434.0	7511.0	7050.0
JAK1_E18_STA100342	1342.0	604.0	1903.0	1042.0	1276.0	453.0	2488.0	668.0	670.0	5919.0	911.0	2509.0	2174.0	514.0	2345.0	812.0	210.0	1798.0	1302.0	1984.0	388.0	2553.0	1381.0	494.0	394.0	645.0	552.0	82.0	994.0	863.0
JAK1_E17_STA100343	4475.0	1872.0	6859.0	1799.0	5990.0	2997.0	7146.0	2751.0	3568.0	18848.0	4983.0	7144.0	11171.0	1342.0	9107.0	2360.0	540.0	5277.0	3989.0	6100.0	2646.0	8796.0	3971.0	1631.0	1038.0	1489.0	1138.0	130.0	2619.0	2203.0
JAK1_E17_STA100344	3236.0	1786.0	7535.0	1563.0	6180.0	3759.0	8438.0	3182.0	3618.0	20107.0	6332.0	5749.0	13062.0	1344.0	10615.0	2265.0	464.0	6933.0	3465.0	6900.0	2008.0	9409.0	4856.0	1616.0	1588.0	1888.0	1474.0	102.0	2453.0	2514.0
JAK1_E17_STA100345	2538.0	1358.0	5724.0	1407.0	3948.0	1833.0	6350.0	2048.0	2464.0	15346.0	3734.0	5097.0	8997.0	1065.0	6929.0	1993.0	394.0	4190.0	2784.0	5043.0	1401.0	7557.0	3140.0	1136.0	1083.0	1207.0	755.0	100.0	1723.0	1824.0
JAK1_E16_STA100346	4780.0	2320.0	9538.0	1556.0	8067.0	3495.0	11196.0	2824.0	4441.0	26235.0	6355.0	10194.0	16785.0	2581.0	13810.0	2425.0	537.0	8607.0	4462.0	9030.0	2736.0	12117.0	4928.0	1911.0	1664.0	2090.0	1346.0	217.0	2548.0	2942.0
JAK1_E16_STA100347	2035.0	954.0	3502.0	794.0	2588.0	866.0	3533.0	1033.0	1327.0	9632.0	1587.0	4451.0	5556.0	582.0	4132.0	1063.0	219.0	2949.0	1987.0	3450.0	1117.0	4087.0	1698.0	567.0	560.0	749.0	471.0	58.0	1311.0	1024.0
JAK1_E15_STA100348	6301.0	2732.0	10523.0	2653.0	8827.0	3788.0	11912.0	4081.0	4796.0	28045.0	7223.0	10868.0	18204.0	1681.0	14904.0	3622.0	893.0	9789.0	5276.0	9966.0	3691.0	13909.0	5828.0	2149.0	2023.0	2518.0	1736.0	209.0	3908.0	3583.0
JAK1_E15_STA100349	2991.0	1601.0	5493.0	1337.0	4815.0	2845.0	6548.0	2676.0	2875.0	16200.0	5837.0	4772.0	10317.0	1058.0	8455.0	2268.0	381.0	5759.0	2749.0	5412.0	2195.0	10894.0	3736.0	1268.0	1109.0	1394.0	980.0	67.0	1952.0	2160.0
JAK1_E14_STA100350	2990.0	1057.0	5967.0	918.0	4429.0	2714.0	6620.0	1572.0	2302.0	14727.0	3628.0	5265.0	10179.0	954.0	8421.0	1322.0	288.0	4690.0	2142.0	5884.0	1675.0	6895.0	3028.0	823.0	936.0	1256.0	758.0	124.0	1322.0	1536.0
JAK1_E14_STA100351	543.0	302.0	1326.0	194.0	904.0	364.0	1212.0	388.0	492.0	3104.0	610.0	1123.0	1802.0	170.0	1463.0	262.0	54.0	940.0	608.0	1235.0	312.0	1231.0	724.0	196.0	240.0	220.0	168.0	26.0	274.0	196.0
JAK1_E13_STA100352	2381.0	1211.0	4537.0	1363.0	3178.0	1704.0	5290.0	1122.0	1928.0	13857.0	3039.0	4887.0	6600.0	1208.0	6255.0	1355.0	397.0	4768.0	2437.0	4748.0	1137.0	5710.0	3326.0	1010.0	1049.0	1050.0	910.0	63.0	1691.0	1348.0
JAK1_E13_STA100353	910.0	470.0	1262.0	412.0	767.0	274.0	1434.0	416.0	448.0	4104.0	608.0	1711.0	1857.0	215.0	1456.0	378.0	116.0	1224.0	718.0	1037.0	398.0	1385.0	708.0	304.0	206.0	310.0	210.0	14.0	455.0	364.0
JAK1_E12_STA100354	2550.0	1185.0	4928.0	925.0	3550.0	1983.0	4961.0	1425.0	2368.0	14733.0	3207.0	4958.0	8769.0	776.0	6797.0	1405.0	298.0	4654.0	2478.0	4674.0	1352.0	5701.0	2991.0	1158.0	910.0	1148.0	959.0	86.0	1592.0	1311.0
JAK1_E12_STA100355	13448.0	5635.0	23788.0	5674.0	20324.0	10776.0	26475.0	8008.0	13276.0	70993.0	21156.0	20133.0	46106.0	5647.0	37601.0	8359.0	1226.0	22808.0	11821.0	24412.0	8610.0	36846.0	16229.0	5188.0	4648.0	5360.0	4161.0	520.0	8446.0	7473.0
JAK1_E11_STA100356	7127.0	2715.0	11474.0	4551.0	9320.0	4767.0	12594.0	5749.0	6380.0	35245.0	10679.0	11340.0	18985.0	2476.0	15800.0	4687.0	674.0	10319.0	6189.0	10428.0	4025.0	16451.0	9383.0	2904.0	2555.0	3079.0	2306.0	236.0	4934.0	4571.0
JAK1_E11_STA100357	3193.0	1171.0	5763.0	2276.0	4337.0	2694.0	6079.0	2830.0	2995.0	18495.0	5594.0	4822.0	9467.0	1285.0	7672.0	2298.0	343.0	5250.0	2661.0	5091.0	2002.0	7783.0	4429.0	1741.0	1181.0	1127.0	1139.0	150.0	2456.0	1847.0
JAK1_E11_STA100358	2832.0	1788.0	4950.0	1880.0	4296.0	1665.0	6855.0	1528.0	2605.0	19465.0	3715.0	5494.0	6525.0	1033.0	5726.0	2025.0	334.0	5632.0	2758.0	5580.0	1214.0	6864.0	4930.0	1461.0	1094.0	1302.0	1574.0	136.0	2576.0	1954.0
JAK1_E10_STA100359	1514.0	830.0	2391.0	720.0	1588.0	663.0	2755.0	900.0	970.0	7366.0	1165.0	2911.0	4074.0	435.0	2686.0	850.0	120.0	1959.0	1359.0	2173.0	724.0	2775.0	1312.0	548.0	434.0	668.0	338.0	54.0	875.0	759.0
JAK1_E10_STA100360	5651.0	2823.0	11324.0	2970.0	8207.0	5344.0	14739.0	4661.0	5037.0	34136.0	10444.0	8177.0	19467.0	2520.0	16647.0	3310.0	734.0	11189.0	4969.0	12227.0	2967.0	18173.0	8500.0	2490.0	2026.0	3223.0	2168.0	338.0	3954.0	4297.0
JAK1_E9_STA100361	2140.0	911.0	3820.0	894.0	2449.0	1204.0	4144.0	1159.0	1994.0	11760.0	2178.0	3979.0	5737.0	732.0	4749.0	1072.0	284.0	3595.0	2030.0	4028.0	970.0	4701.0	3104.0	756.0	909.0	1000.0	715.0	76.0	1246.0	1095.0
JAK1_E9_STA100362	3250.0	1450.0	6280.0	1446.0	4433.0	1997.0	7153.0	1864.0	2991.0	18867.0	3352.0	6390.0	9445.0	1326.0	8046.0	1690.0	478.0	6474.0	3390.0	6599.0	1390.0	7441.0	4972.0	1250.0	1376.0	1799.0	1143.0	146.0	1944.0	2001.0
JAK1_E9_STA100363	6132.0	2674.0	10202.0	3230.0	8045.0	4632.0	12133.0	4830.0	5642.0	27161.0	8883.0	9939.0	13273.0	2352.0	13885.0	3894.0	806.0	8757.0	5899.0	9142.0	2944.0	15165.0	8168.0	2626.0	1925.0	3040.0	2199.0	260.0	4406.0	4110.0
JAK1_E8_STA100364	3486.0	1500.0	3912.0	3727.0	3848.0	1920.0	6413.0	2339.0	2652.0	17060.0	4208.0	5767.0	4969.0	1272.0	4786.0	2278.0	550.0	5102.0	3237.0	4881.0	1447.0	7213.0	5851.0	1496.0	1404.0	1692.0	1866.0	256.0	3354.0	2464.0
JAK1_E8_STA100365	6807.0	3599.0	9404.0	8447.0	7733.0	3629.0	14851.0	4383.0	5640.0	40073.0	8659.0	13708.0	12623.0	2716.0	11044.0	4419.0	1098.0	13836.0	6266.0	12462.0	2718.0	16756.0	13746.0	2882.0	3517.0	3433.0	4336.0	590.0	6823.0	5023.0
JAK1_E8_STA100366	6789.0	3409.0	7638.0	8377.0	6547.0	3175.0	11993.0	4245.0	4458.0	33521.0	6849.0	11138.0	10682.0	1994.0	8673.0	4252.0	1056.0	10952.0	5950.0	9513.0	2550.0	13426.0	10728.0	2828.0	2548.0	2952.0	3311.0	431.0	5577.0	4897.0
JAK1_E8_STA100367	1195.0	656.0	1133.0	1675.0	1006.0	506.0	2423.0	851.0	563.0	6007.0	915.0	2534.0	2052.0	507.0	1296.0	752.0	120.0	2087.0	1299.0	1630.0	464.0	1775.0	1622.0	320.0	324.0	549.0	502.0	92.0	910.0	968.0
JAK1_E7_STA100368	7045.0	2826.0	8087.0	8396.0	7356.0	4860.0	13286.0	5086.0	5862.0	39895.0	11232.0	10093.0	10414.0	2808.0	12060.0	5219.0	996.0	10262.0	5351.0	11689.0	2949.0	15262.0	14405.0	3307.0	3157.0	3467.0	4643.0	740.0	8436.0	4952.0
JAK1_E7_STA100369	1195.0	671.0	1932.0	2082.0	1606.0	666.0	3416.0	1102.0	1018.0	9368.0	1656.0	2425.0	2228.0	732.0	2392.0	996.0	186.0	3794.0	1566.0	2583.0	362.0	2830.0	3181.0	566.0	651.0	938.0	943.0	118.0	1621.0	1334.0
JAK1_E7_STA100370	1500.0	787.0	2009.0	2440.0	2114.0	842.0	3383.0	1235.0	1320.0	9554.0	2699.0	2718.0	2489.0	714.0	2509.0	1336.0	200.0	2544.0	1670.0	2404.0	694.0	3772.0	3115.0	846.0	868.0	784.0	1052.0	166.0	1998.0	1273.0
JAK1_E7_STA100371	5786.0	3460.0	6395.0	8224.0	7004.0	2456.0	12400.0	4516.0	4492.0	35955.0	7793.0	11270.0	7928.0	2809.0	7858.0	4823.0	1099.0	10896.0	5241.0	9474.0	2340.0	13238.0	11060.0	2632.0	2581.0	2866.0	3377.0	552.0	6845.0	4841.0
JAK1_E7_STA100372	916.0	714.0	1769.0	1609.0	1166.0	565.0	3215.0	771.0	750.0	8974.0	1199.0	2186.0	2251.0	674.0	2036.0	742.0	154.0	3098.0	1077.0	2681.0	274.0	2025.0	2315.0	428.0	542.0	578.0	1002.0	134.0	1178.0	892.0
JAK1_E6_STA100373	916.0	632.0	1347.0	658.0	1014.0	457.0	2037.0	590.0	248.0	6319.0	1147.0	1669.0	1716.0	390.0	1250.0	508.0	180.0	1135.0	1028.0	2154.0	376.0	2388.0	1646.0	376.0	490.0	497.0	544.0	47.0	690.0	642.0
JAK1_E6_STA100374	3067.0	1669.0	4655.0	2610.0	3292.0	1460.0	6908.0	2092.0	2123.0	17418.0	3982.0	5691.0	6102.0	1255.0	5898.0	1889.0	397.0	5084.0	3148.0	5901.0	1310.0	8031.0	4831.0	1141.0	1337.0	1727.0	1302.0	158.0	2194.0	2351.0
JAK1_E6_STA100375	6609.0	2982.0	9350.0	5009.0	8248.0	4290.0	12946.0	4669.0	286.0	33755.0	8806.0	11474.0	16357.0	2681.0	7369.0	4935.0	1006.0	5006.0	7028.0	10680.0	3552.0	15699.0	9262.0	2636.0	2329.0	3400.0	3029.0	262.0	5653.0	4613.0
JAK1_E5_STA100376	2707.0	1538.0	5389.0	1828.0	3481.0	1798.0	6051.0	1349.0	2457.0	18442.0	3373.0	5593.0	7634.0	1095.0	7271.0	1690.0	408.0	5374.0	2881.0	5630.0	1224.0	7528.0	4104.0	1015.0	947.0	1379.0	1502.0	159.0	2211.0	1488.0
JAK1_E5_STA100377	10676.0	5247.0	15828.0	7567.0	12504.0	6671.0	21311.0	7083.0	9219.0	57163.0	17016.0	18258.0	26839.0	4196.0	24117.0	6904.0	1428.0	18616.0	10672.0	19616.0	5545.0	28586.0	16019.0	3441.0	3544.0	5842.0	4313.0	907.0	7381.0	8121.0
JAK1_E5_STA100378	1378.0	896.0	2653.0	933.0	1868.0	828.0	3874.0	833.0	1064.0	9285.0	1315.0	3088.0	4410.0	749.0	4192.0	732.0	180.0	4035.0	1745.0	3716.0	691.0	3264.0	2226.0	352.0	504.0	903.0	708.0	118.0	998.0	1170.0
JAK1_E5_STA101781	5041.0	1967.0	7439.0	3196.0	6570.0	3641.0	9984.0	3353.0	4150.0	27108.0	7821.0	8021.0	13675.0	2227.0	10833.0	3273.0	618.0	7659.0	4179.0	8649.0	2727.0	13571.0	6377.0	1659.0	1730.0	2009.0	1843.0	208.0	2967.0	3390.0
JAK1_E4_STA100380	5622.0	2956.0	10927.0	5405.0	7304.0	4181.0	12716.0	3791.0	4942.0	39406.0	9563.0	9969.0	13882.0	2739.0	14602.0	4113.0	876.0	11036.0	4835.0	11279.0	2880.0	13981.0	10330.0	2934.0	2311.0	3006.0	3585.0	408.0	5125.0	4109.0
JAK1_E4_STA100381	7782.0	3445.0	9278.0	7935.0	8083.0	4603.0	15009.0	4808.0	5935.0	44819.0	10346.0	12223.0	14160.0	2809.0	14287.0	5588.0	924.0	11125.0	6375.0	11985.0	3144.0	18229.0	10562.0	2701.0	2938.0	3249.0	3612.0	644.0	6647.0	5495.0
JAK1_E4_STA100382	350.0	208.0	406.0	460.0	369.0	102.0	706.0	174.0	185.0	2157.0	275.0	972.0	553.0	186.0	609.0	377.0	50.0	584.0	474.0	668.0	156.0	744.0	448.0	128.0	128.0	162.0	170.0	42.0	504.0	234.0
JAK1_E3_STA100383	1958.0	971.0	3946.0	1368.0	3362.0	1911.0	5433.0	1411.0	2080.0	13846.0	3201.0	3127.0	6165.0	678.0	5880.0	1416.0	170.0	4052.0	1761.0	4602.0	1169.0	5496.0	3103.0	800.0	953.0	1020.0	925.0	138.0	1360.0	1510.0
JAK1_E3_STA100384	6504.0	2966.0	9363.0	4710.0	7184.0	3216.0	11481.0	3446.0	4291.0	33256.0	6788.0	11352.0	13631.0	2596.0	12647.0	3614.0	660.0	10707.0	4811.0	10468.0	3181.0	14040.0	6669.0	1676.0	1491.0	2361.0	2044.0	336.0	3814.0	4142.0
JAK1_E3_STA100385	9204.0	4682.0	12016.0	7871.0	9939.0	5239.0	18847.0	6051.0	7833.0	49067.0	13090.0	17379.0	16934.0	4162.0	16005.0	6521.0	1300.0	15528.0	7441.0	14599.0	3700.0	22617.0	14536.0	3831.0	3164.0	4257.0	4431.0	592.0	7933.0	6818.0
JAK1_E2_STA100386	4029.0	2639.0	6160.0	5908.0	5065.0	3139.0	9707.0	3121.0	4240.0	26340.0	7007.0	7304.0	8653.0	2177.0	8412.0	3095.0	841.0	9286.0	3497.0	8546.0	1696.0	10592.0	9706.0	2033.0	2304.0	2393.0	3125.0	545.0	4352.0	3726.0
NRAS_E4_STA100001	2284.0	1580.0	4459.0	3423.0	2763.0	1307.0	4425.0	1330.0	1566.0	10968.0	2329.0	4084.0	3624.0	902.0	3589.0	1250.0	240.0	3514.0	2272.0	3654.0	925.0	2360.0	3117.0	874.0	1079.0	877.0	1014.0	122.0	1876.0	1506.0
NRAS_E4_STA100002	4807.0	2203.0	8279.0	5805.0	5605.0	2591.0	9246.0	2774.0	3460.0	20767.0	5120.0	7843.0	7500.0	1899.0	8125.0	2718.0	724.0	7256.0	4517.0	7861.0	1896.0	4958.0	6054.0	1538.0	2053.0	2120.0	1620.0	426.0	3110.0	3164.0
NRAS_E3_STA100003	7400.0	4925.0	11913.0	14763.0	7931.0	3064.0	16128.0	3712.0	6123.0	47812.0	9192.0	15034.0	11549.0	3791.0	12408.0	5186.0	1458.0	15352.0	6109.0	15006.0	2891.0	7114.0	14656.0	2907.0	2994.0	3670.0	4543.0	856.0	8219.0	4634.0
NRAS_E3_STA100004	2932.0	1819.0	5592.0	7074.0	4843.0	2283.0	8436.0	2025.0	2640.0	19116.0	3977.0	5697.0	6540.0	1728.0	6173.0	2037.0	646.0	7567.0	3212.0	6494.0	1292.0	3328.0	6502.0	1504.0	1535.0	2047.0	2281.0	435.0	3033.0	3116.0
NRAS_E3_STA101617	702.0	265.0	1208.0	1795.0	1300.0	866.0	1857.0	369.0	602.0	3265.0	747.0	1040.0	1892.0	395.0	1674.0	398.0	181.0	1666.0	627.0	1129.0	325.0	588.0	1307.0	384.0	405.0	464.0	645.0	59.0	636.0	855.0
NRAS_E2_STA100006	2051.0	1030.0	4013.0	4022.0	2022.0	711.0	3630.0	1148.0	1281.0	10926.0	1752.0	4021.0	2785.0	830.0	3233.0	1230.0	344.0	2958.0	2310.0	3223.0	730.0	1778.0	3251.0	854.0	806.0	923.0	1050.0	168.0	1865.0	1317.0
NRAS_E2_STA100007	6076.0	2919.0	13429.0	11344.0	6993.0	3858.0	13276.0	4514.0	4820.0	33107.0	9044.0	9898.0	9987.0	2585.0	16109.0	4119.0	1026.0	11647.0	5272.0	12063.0	1980.0	6193.0	12336.0	2508.0	2880.0	3723.0	4170.0	862.0	5427.0	5059.0
NRAS_E2_STA100008	5479.0	2890.0	9072.0	10003.0	5776.0	2760.0	9546.0	3937.0	4595.0	25458.0	6770.0	8954.0	8980.0	1920.0	9691.0	3870.0	836.0	7409.0	4632.0	8822.0	2231.0	5703.0	9118.0	2314.0	2329.0	2792.0	3032.0	345.0	4931.0	4160.0
DDR2_E4_STA100387	15569.0	4478.0	13189.0	18352.0	9007.0	5809.0	15377.0	6639.0	6486.0	63696.0	12776.0	13525.0	13168.0	4312.0	16172.0	6778.0	1471.0	22295.0	11536.0	13648.0	4874.0	24594.0	19397.0	3848.0	3544.0	6611.0	6388.0	930.0	9939.0	8727.0
DDR2_E5_STA100388	6641.0	1026.0	5706.0	5653.0	3908.0	2124.0	7250.0	2382.0	2801.0	25279.0	4779.0	7162.0	6540.0	1714.0	7087.0	2544.0	534.0	8144.0	5709.0	5506.0	2349.0	10292.0	7250.0	1653.0	1382.0	2957.0	2255.0	214.0	3895.0	3152.0
DDR2_E5_STA100389	5610.0	2202.0	6825.0	3086.0	3481.0	1508.0	6322.0	1545.0	1955.0	23970.0	3146.0	6440.0	6900.0	1164.0	8240.0	2054.0	442.0	9000.0	5161.0	5584.0	1652.0	8202.0	5708.0	1117.0	1075.0	2451.0	1514.0	191.0	2840.0	2588.0
DDR2_E5_STA100390	1876.0	764.0	2128.0	1269.0	1163.0	448.0	2051.0	554.0	652.0	8021.0	862.0	2384.0	2294.0	376.0	2232.0	722.0	176.0	2546.0	2120.0	1436.0	717.0	2794.0	1646.0	466.0	270.0	864.0	308.0	134.0	1033.0	894.0
DDR2_E6_STA100391	3330.0	1136.0	4959.0	2019.0	2892.0	1482.0	4488.0	1157.0	1472.0	16323.0	2574.0	3184.0	5969.0	895.0	6741.0	1008.0	232.0	5941.0	3350.0	4000.0	1031.0	5975.0	3686.0	805.0	667.0	1623.0	850.0	84.0	1480.0	1918.0
DDR2_E6_STA100392	2161.0	715.0	2832.0	1159.0	1626.0	873.0	3138.0	668.0	942.0	12054.0	1845.0	2568.0	4025.0	513.0	3622.0	676.0	159.0	3984.0	2337.0	2734.0	1041.0	4411.0	2154.0	534.0	400.0	1045.0	564.0	78.0	968.0	1179.0
DDR2_E6_STA100393	24762.0	7318.0	27980.0	13805.0	17091.0	9119.0	29085.0	8534.0	9438.0	96266.0	18084.0	25429.0	35605.0	6070.0	36524.0	8851.0	1694.0	35913.0	20790.0	21137.0	9935.0	46420.0	20101.0	5217.0	3947.0	10765.0	5635.0	785.0	9272.0	12785.0
DDR2_E6_STA100394	8385.0	1926.0	9087.0	4867.0	5514.0	3199.0	8501.0	3106.0	3270.0	33047.0	7672.0	7021.0	10251.0	1820.0	11691.0	2841.0	674.0	10871.0	7479.0	8080.0	3627.0	15619.0	8208.0	1796.0	1541.0	3604.0	1901.0	232.0	3772.0	4396.0
DDR2_E7_STA100395	4765.0	1271.0	4874.0	3528.0	2796.0	1341.0	4840.0	1565.0	1689.0	18199.0	3144.0	4263.0	4379.0	1251.0	5354.0	1647.0	345.0	6826.0	4690.0	4557.0	1452.0	7576.0	5296.0	964.0	1139.0	2186.0	1261.0	101.0	2342.0	2553.0
DDR2_E7_STA100396	13210.0	3523.0	12671.0	8863.0	8024.0	4122.0	14370.0	3750.0	5214.0	55003.0	9166.0	12809.0	11048.0	3084.0	19386.0	4339.0	1092.0	19814.0	12057.0	12891.0	3769.0	22538.0	16027.0	2659.0	2725.0	6119.0	3984.0	572.0	7005.0	6257.0
DDR2_E7_STA100397	1040.0	282.0	1451.0	1045.0	864.0	344.0	1393.0	465.0	491.0	5806.0	956.0	983.0	1138.0	291.0	1802.0	426.0	70.0	2163.0	1227.0	1282.0	322.0	1956.0	1392.0	190.0	286.0	634.0	464.0	26.0	550.0	626.0
DDR2_E8_STA100398	1053.0	360.0	1092.0	738.0	553.0	140.0	1052.0	308.0	294.0	4254.0	442.0	1127.0	989.0	332.0	990.0	362.0	80.0	1559.0	1111.0	961.0	246.0	1412.0	848.0	245.0	200.0	355.0	312.0	52.0	546.0	331.0
