	C21D00284	C21D00304	C21D00307	D21D00280T	D21D00289	D21D00299	D21D00327T	D21D00329T	D21D00335T	D21D00342T	M21D00265	M21D00302	N21D00272	N21D00273	N21D00290	N21D00301	N21D00310	P21D00308	P21D00309	P21D00322	P21D00332	P21D00334	P21D00338	P21D00341	P21D00343	P21D00346	S21D00266	U21D00339	X21D00263	X21D00340
TERT_E8_STA101176	1929.0	646.0	6327.0	866.0	6646.0	2859.0	4502.0	1584.0	2104.0	8192.0	2385.0	3334.0	10184.0	660.0	6795.0	670.0	168.0	4578.0	1520.0	2417.0	1907.0	6202.0	2660.0	940.0	782.0	869.0	472.0	36.0	582.0	1427.0
TERT_E7_STA101177	923.0	236.0	2345.0	315.0	2053.0	1006.0	1417.0	489.0	816.0	2680.0	670.0	1461.0	3234.0	198.0	2083.0	348.0	62.0	1647.0	574.0	790.0	739.0	1871.0	1035.0	354.0	184.0	258.0	158.0	10.0	233.0	473.0
TERT_E6_STA101178	3048.0	924.0	8984.0	1262.0	8363.0	4647.0	5553.0	2285.0	3908.0	11676.0	3775.0	4284.0	12631.0	679.0	9418.0	1161.0	260.0	5535.0	2482.0	3127.0	2499.0	7482.0	4812.0	1518.0	864.0	1252.0	658.0	30.0	946.0	2181.0
TERT_E6_STA101179	3171.0	886.0	8197.0	1135.0	7674.0	4901.0	5787.0	2064.0	3697.0	10562.0	4210.0	3605.0	12524.0	843.0	9296.0	1098.0	240.0	4581.0	2304.0	3430.0	2409.0	8115.0	4836.0	1129.0	793.0	1012.0	560.0	80.0	983.0	1876.0
TERT_E5_STA101180	1695.0	473.0	3786.0	472.0	4104.0	1452.0	2326.0	711.0	1585.0	5290.0	1142.0	2535.0	5650.0	394.0	3586.0	768.0	184.0	2044.0	1152.0	1552.0	1590.0	3617.0	1566.0	639.0	262.0	485.0	265.0	12.0	431.0	704.0
TERT_E5_STA101181	1224.0	387.0	3127.0	328.0	3226.0	1605.0	1971.0	683.0	1329.0	4182.0	1177.0	1965.0	5015.0	336.0	3045.0	436.0	122.0	2142.0	935.0	1147.0	1125.0	3354.0	2494.0	467.0	347.0	408.0	123.0	28.0	237.0	561.0
TERT_E5_STA101182	4026.0	1100.0	9059.0	1047.0	8822.0	4363.0	5780.0	2049.0	3682.0	12308.0	3213.0	6196.0	13933.0	1070.0	9272.0	1465.0	253.0	5997.0	2705.0	3481.0	3378.0	9736.0	7190.0	1486.0	594.0	1141.0	519.0	82.0	832.0	1817.0
TERT_E4_STA101183	2055.0	796.0	5607.0	894.0	4523.0	1782.0	3415.0	964.0	2146.0	7305.0	1303.0	4087.0	7764.0	598.0	4660.0	917.0	72.0	3302.0	2076.0	1977.0	1813.0	4835.0	2250.0	809.0	325.0	748.0	338.0	44.0	627.0	1240.0
TERT_E4_STA101184	2407.0	884.0	7015.0	793.0	5756.0	2388.0	4071.0	1060.0	2704.0	8685.0	1653.0	4174.0	9862.0	809.0	6120.0	933.0	130.0	4662.0	2459.0	2474.0	2100.0	5512.0	2902.0	877.0	526.0	758.0	392.0	29.0	694.0	1240.0
TERT_E4_STA101185	3766.0	1038.0	9382.0	1044.0	9080.0	5165.0	6188.0	1876.0	4196.0	13072.0	3801.0	4929.0	14766.0	990.0	10413.0	1348.0	244.0	5384.0	2643.0	3942.0	2990.0	8832.0	4514.0	1632.0	844.0	1378.0	618.0	44.0	936.0	1548.0
TERT_E3_STA101186	4667.0	1369.0	11190.0	2213.0	9765.0	3846.0	7019.0	2400.0	4493.0	14886.0	4701.0	6216.0	14661.0	1016.0	11424.0	2010.0	206.0	5743.0	3351.0	4014.0	3250.0	10374.0	5312.0	2079.0	1008.0	1231.0	630.0	12.0	1387.0	2276.0
TERT_E3_STA101187	6393.0	1939.0	18318.0	2154.0	14836.0	7580.0	11938.0	3415.0	6936.0	23520.0	6720.0	8801.0	23491.0	1385.0	19074.0	2585.0	371.0	9963.0	4990.0	6679.0	5281.0	14934.0	8508.0	2636.0	1405.0	2284.0	1184.0	70.0	1934.0	3491.0
TERT_E3_STA101188	6029.0	1598.0	14275.0	1854.0	14196.0	6770.0	9386.0	3030.0	6374.0	20789.0	6138.0	7100.0	21273.0	1514.0	15792.0	2267.0	398.0	8621.0	4422.0	6168.0	5228.0	13123.0	7219.0	2382.0	1550.0	1948.0	966.0	52.0	1586.0	3028.0
TERT_E2_STA101189	3243.0	943.0	5373.0	764.0	7632.0	5298.0	4540.0	1642.0	4272.0	6585.0	3650.0	3730.0	9514.0	464.0	8626.0	966.0	168.0	2290.0	1371.0	2912.0	2924.0	8472.0	3836.0	1198.0	830.0	976.0	513.0	66.0	730.0	1897.0
TERT_E2_STA101190	873.0	302.0	2466.0	433.0	2876.0	1325.0	1422.0	637.0	1009.0	3335.0	816.0	1635.0	4065.0	234.0	2614.0	323.0	80.0	1962.0	811.0	860.0	969.0	2532.0	958.0	394.0	208.0	331.0	190.0	6.0	335.0	452.0
TERT_E2_STA101191	807.0	335.0	1574.0	320.0	1677.0	852.0	996.0	304.0	594.0	1936.0	465.0	1339.0	2485.0	140.0	1860.0	272.0	46.0	1267.0	540.0	720.0	632.0	1581.0	633.0	249.0	84.0	216.0	90.0	16.0	198.0	326.0
TERT_E2_STA103246	2419.0	954.0	6296.0	820.0	7947.0	4556.0	4313.0	1356.0	3394.0	8395.0	2258.0	3745.0	10660.0	665.0	8182.0	781.0	220.0	4792.0	2097.0	3354.0	2418.0	7190.0	2833.0	1206.0	647.0	1094.0	438.0	60.0	510.0	1404.0
TERT_E2_STA101193	375.0	107.0	816.0	152.0	719.0	264.0	406.0	152.0	298.0	854.0	96.0	518.0	1022.0	52.0	646.0	106.0	44.0	419.0	238.0	252.0	328.0	548.0	286.0	82.0	46.0	106.0	52.0	0.0	86.0	118.0
