	D21D00353	D21D00358T	D21D00362	D21D00364	E21D00361	N21D00347	N21D00348	P21D00345	P21D00352	P21D00354	P21D00356	P21D00357	P21D00359	P21D00365	X21D00316	X21D00317	X21D00318	X21D00355
STK11_E2_STA101076	1214.0	6213.0	14812.0	3006.0	7619.0	14113.0	5819.0	451.0	5991.0	5577.0	7232.0	6962.0	3038.0	3559.0	4660.0	1775.0	4623.0	5972.0
STK11_E3_STA101077	985.0	5806.0	18572.0	2630.0	12524.0	12609.0	6722.0	369.0	7633.0	8385.0	7327.0	6833.0	3458.0	2368.0	7280.0	2261.0	5559.0	5608.0
STK11_E3_STA101677	346.0	1241.0	4404.0	549.0	2389.0	3505.0	741.0	123.0	1888.0	2352.0	1372.0	1895.0	957.0	599.0	680.0	560.0	1942.0	1263.0
STK11_E4_STA101079	1225.0	4615.0	15795.0	2403.0	12763.0	10479.0	5545.0	336.0	7072.0	5651.0	5678.0	5695.0	3421.0	1788.0	5483.0	1942.0	3783.0	5023.0
STK11_E4_STA101080	298.0	3302.0	7781.0	1302.0	3319.0	6708.0	3289.0	139.0	3237.0	2967.0	3253.0	3085.0	2391.0	1475.0	3639.0	1279.0	1834.0	3551.0
STK11_E5_STA101671	1459.0	8693.0	25947.0	3933.0	15177.0	16687.0	11671.0	705.0	12337.0	13045.0	9991.0	8544.0	4883.0	3578.0	11388.0	3301.0	8725.0	8289.0
STK11_E5_STA101082	2628.0	17429.0	53421.0	8624.0	25914.0	35471.0	16149.0	1468.0	16715.0	19215.0	21669.0	20967.0	10029.0	6844.0	18244.0	6679.0	14900.0	17144.0
STK11_E5_STA101083	2186.0	14121.0	42414.0	6587.0	21875.0	26491.0	12469.0	1182.0	13883.0	15514.0	17133.0	17405.0	8218.0	5392.0	14789.0	5351.0	12141.0	13644.0
STK11_E6_STA101084	4504.0	19950.0	66613.0	11649.0	35176.0	50449.0	23553.0	1734.0	19768.0	27174.0	24220.0	27380.0	12550.0	8702.0	26383.0	10706.0	23229.0	25717.0
STK11_E6_STA101729	2150.0	11905.0	37014.0	6207.0	26351.0	26666.0	12214.0	1164.0	16770.0	16606.0	14149.0	11789.0	7994.0	4542.0	15739.0	5104.0	11376.0	11745.0
STK11_E7_STA101675	3045.0	14262.0	41433.0	5766.0	37230.0	34449.0	16070.0	907.0	26679.0	31481.0	14905.0	16777.0	11488.0	5795.0	17522.0	3802.0	17883.0	14785.0
STK11_E8_STA101087	1992.0	9755.0	34628.0	4973.0	26463.0	22070.0	11767.0	870.0	12606.0	13177.0	12492.0	11651.0	5263.0	3880.0	10598.0	3752.0	8953.0	9974.0
STK11_E8_STA101088	1919.0	10275.0	36461.0	5444.0	23725.0	22155.0	13145.0	525.0	13354.0	13947.0	11921.0	12073.0	7102.0	4110.0	11964.0	5519.0	9787.0	11110.0
STK11_E8_STA101089	3300.0	13688.0	51371.0	6298.0	35115.0	28179.0	18089.0	803.0	23402.0	21171.0	19207.0	17815.0	8670.0	6144.0	18828.0	5464.0	14446.0	15934.0
STK11_E8_STA101090	821.0	4596.0	14971.0	2166.0	8141.0	10409.0	4265.0	328.0	4757.0	4621.0	5241.0	5332.0	2893.0	1896.0	3830.0	1487.0	3623.0	4729.0
STK11_E9_STA101091	835.0	3956.0	16564.0	2535.0	11122.0	9380.0	2792.0	173.0	4895.0	4462.0	4798.0	5646.0	1747.0	1821.0	2680.0	1425.0	2648.0	4546.0
STK11_E9_STA101092	758.0	5119.0	17854.0	3311.0	9308.0	13392.0	4142.0	364.0	5318.0	5361.0	6498.0	6105.0	3200.0	2017.0	3817.0	1723.0	3061.0	4890.0
STK11_E9_STA103261	1248.0	4889.0	20662.0	2707.0	16792.0	11841.0	5460.0	450.0	8173.0	8440.0	7397.0	6380.0	2955.0	2394.0	6321.0	2450.0	4748.0	6040.0
GNA11_E4_STA100091	298.0	1187.0	5358.0	756.0	3461.0	3359.0	1744.0	84.0	2015.0	1497.0	1967.0	1767.0	802.0	782.0	1793.0	496.0	1329.0	1761.0
GNA11_E4_STA100092	430.0	2651.0	9367.0	2222.0	5899.0	6094.0	3186.0	245.0	2623.0	3272.0	3485.0	3097.0	1614.0	1043.0	3343.0	900.0	2584.0	3329.0
GNA11_E5_STA100093	2843.0	14643.0	44517.0	7887.0	32437.0	26871.0	19751.0	530.0	19904.0	18984.0	15490.0	16527.0	8132.0	5511.0	16663.0	5529.0	15069.0	17613.0
MAP2K2_E6_STA100095	213.0	1914.0	7202.0	1359.0	2291.0	4711.0	2281.0	219.0	1751.0	2137.0	2779.0	2957.0	1359.0	931.0	2113.0	776.0	1844.0	2227.0
MAP2K2_E6_STA100096	338.0	2202.0	5863.0	1057.0	3972.0	4529.0	1777.0	184.0	1875.0	2070.0	2336.0	2478.0	979.0	699.0	1474.0	577.0	1508.0	2118.0
MAP2K2_E4_STA100097	1389.0	5850.0	21397.0	2767.0	12589.0	12090.0	8036.0	466.0	8018.0	8200.0	6682.0	7182.0	5010.0	2785.0	8038.0	2769.0	6487.0	6845.0
MAP2K2_E3_STA100098	2258.0	11127.0	23824.0	4431.0	18363.0	18603.0	9818.0	802.0	14156.0	12972.0	9977.0	8266.0	8420.0	4870.0	9992.0	3500.0	7708.0	9580.0
MAP2K2_E3_STA100099	1992.0	8238.0	24159.0	4377.0	17471.0	14780.0	7336.0	707.0	10196.0	9862.0	8419.0	7951.0	5589.0	3937.0	7043.0	2413.0	5189.0	7305.0
MAP2K2_E2_STA100100	1647.0	6946.0	19436.0	4098.0	13284.0	12760.0	6451.0	538.0	8369.0	8267.0	7682.0	6748.0	4614.0	2931.0	6289.0	1931.0	4503.0	6426.0
MAP2K2_E2_STA100101	3106.0	10413.0	31109.0	6001.0	17121.0	19930.0	8080.0	853.0	12166.0	13090.0	13282.0	10987.0	6629.0	4879.0	10288.0	3604.0	7505.0	10906.0
MAP2K2_E2_STA100102	1557.0	9154.0	24139.0	4730.0	9404.0	17320.0	7039.0	666.0	7365.0	7889.0	10788.0	10080.0	5565.0	3978.0	5945.0	2749.0	5376.0	8469.0
JAK3_E24_STA101094	3041.0	11210.0	27471.0	4586.0	20989.0	17685.0	8564.0	654.0	15586.0	13589.0	10239.0	11779.0	8060.0	5159.0	8840.0	2783.0	6849.0	9085.0
JAK3_E24_STA101095	981.0	3555.0	10377.0	2251.0	5822.0	6478.0	2570.0	303.0	3902.0	4180.0	4049.0	4070.0	2146.0	1395.0	2178.0	991.0	1859.0	3257.0
JAK3_E23_STA101777	3126.0	15269.0	35978.0	6507.0	18403.0	29477.0	12391.0	842.0	15847.0	16288.0	17241.0	13834.0	9394.0	7778.0	10108.0	3681.0	9832.0	12628.0
JAK3_E22_STA101098	1139.0	5035.0	13939.0	2093.0	8372.0	8914.0	3589.0	359.0	4241.0	5075.0	5760.0	5099.0	2451.0	2435.0	3062.0	1082.0	2715.0	4913.0
JAK3_E22_STA101099	327.0	1539.0	4143.0	696.0	2026.0	2716.0	1370.0	156.0	1566.0	1368.0	1447.0	1655.0	1344.0	665.0	1786.0	626.0	807.0	1750.0
JAK3_E21_STA101101	483.0	2196.0	4023.0	632.0	3789.0	2415.0	2205.0	186.0	3001.0	2404.0	2289.0	2618.0	1614.0	679.0	1083.0	606.0	830.0	1878.0
JAK3_E21_STA101102	2516.0	8817.0	27310.0	4669.0	18440.0	15888.0	8029.0	602.0	9009.0	10954.0	11650.0	8155.0	5287.0	4673.0	8713.0	3005.0	6383.0	8331.0
JAK3_E20_STA101103	1177.0	5155.0	14006.0	2356.0	6395.0	10201.0	4605.0	402.0	4855.0	5823.0	6775.0	5574.0	3276.0	2137.0	4087.0	1488.0	3617.0	4253.0
JAK3_E20_STA101104	521.0	1016.0	4845.0	831.0	2055.0	2793.0	953.0	118.0	1685.0	1269.0	2108.0	1489.0	820.0	715.0	1144.0	534.0	909.0	1404.0
JAK3_E19_STA101105	1698.0	5182.0	13978.0	2677.0	6232.0	10036.0	4886.0	331.0	6041.0	6027.0	6298.0	5890.0	4570.0	2664.0	4992.0	1365.0	3528.0	5747.0
JAK3_E19_STA101106	5004.0	14756.0	42071.0	7905.0	22376.0	30810.0	15579.0	1278.0	19283.0	18148.0	19523.0	16492.0	14888.0	8622.0	14256.0	4474.0	10470.0	15118.0
JAK3_E19_STA101107	6714.0	19831.0	59521.0	10831.0	34283.0	39644.0	17859.0	1373.0	24718.0	23361.0	25241.0	20363.0	13882.0	11540.0	18463.0	6059.0	14120.0	19978.0
