	D21D00353	D21D00358T	D21D00362	D21D00364	E21D00361	N21D00347	N21D00348	P21D00345	P21D00352	P21D00354	P21D00356	P21D00357	P21D00359	P21D00365	X21D00316	X21D00317	X21D00318	X21D00355
JAK1_E25_STA100319	1340.0	3282.0	5402.0	1663.0	2761.0	2431.0	1792.0	174.0	2224.0	2652.0	3505.0	2204.0	4356.0	1811.0	2295.0	845.0	1342.0	2248.0
JAK1_E25_STA100320	1376.0	2963.0	5524.0	1916.0	2996.0	2674.0	2109.0	256.0	2521.0	3447.0	4082.0	2337.0	4523.0	1844.0	2230.0	836.0	1570.0	2249.0
JAK1_E25_STA100321	1130.0	1816.0	4334.0	1172.0	2590.0	2202.0	1104.0	116.0	1860.0	2268.0	2769.0	1583.0	2690.0	1230.0	1348.0	816.0	1292.0	1872.0
JAK1_E24_STA100322	4036.0	10972.0	19173.0	5677.0	11991.0	9508.0	5435.0	877.0	7750.0	10138.0	14391.0	10181.0	10918.0	7368.0	5655.0	2458.0	5654.0	7555.0
JAK1_E24_STA100323	5436.0	11423.0	20286.0	5931.0	14417.0	10683.0	7304.0	1361.0	11025.0	13526.0	16746.0	9867.0	13717.0	7679.0	8121.0	3755.0	6806.0	8623.0
JAK1_E24_STA100324	1858.0	3830.0	6903.0	2122.0	4432.0	3492.0	2215.0	468.0	2732.0	3992.0	5494.0	3380.0	4289.0	2668.0	2686.0	1408.0	2176.0	3416.0
JAK1_E23_STA100325	4424.0	10393.0	19488.0	4879.0	13518.0	9053.0	5932.0	943.0	8110.0	12584.0	13400.0	8489.0	11743.0	6766.0	6476.0	3036.0	5388.0	8430.0
JAK1_E23_STA100326	1114.0	2922.0	5926.0	1550.0	2154.0	2719.0	1294.0	268.0	1709.0	2843.0	4439.0	3103.0	3026.0	2086.0	1176.0	474.0	1631.0	2198.0
JAK1_E22_STA100327	5222.0	11559.0	20000.0	5506.0	12854.0	9289.0	6616.0	1364.0	8559.0	11980.0	13654.0	10215.0	12827.0	7057.0	7377.0	3137.0	5833.0	8947.0
JAK1_E22_STA100328	11616.0	23895.0	42807.0	12505.0	29794.0	22395.0	15502.0	2185.0	18784.0	26080.0	29753.0	20148.0	28899.0	16559.0	15400.0	6564.0	13394.0	18108.0
JAK1_E22_STA100329	7696.0	18180.0	31682.0	8816.0	15884.0	14221.0	11048.0	1377.0	10460.0	16791.0	23697.0	14630.0	17767.0	12570.0	12364.0	4227.0	10415.0	12654.0
JAK1_E22_STA100330	2459.0	7209.0	11399.0	2717.0	7813.0	5646.0	4636.0	554.0	5092.0	6132.0	8379.0	4984.0	6626.0	4105.0	4130.0	1510.0	3271.0	4286.0
JAK1_E21_STA100331	1481.0	3019.0	6049.0	1569.0	3926.0	3308.0	2274.0	219.0	2298.0	3841.0	4011.0	2884.0	3852.0	2078.0	2335.0	1012.0	1758.0	2371.0
JAK1_E21_STA100332	5543.0	14382.0	26480.0	7473.0	16696.0	15163.0	10034.0	1628.0	12625.0	15260.0	21072.0	14013.0	15014.0	9223.0	9838.0	4397.0	9707.0	11643.0
JAK1_E21_STA100333	8746.0	18616.0	34110.0	8526.0	31533.0	16678.0	14193.0	1700.0	16882.0	20876.0	22782.0	15912.0	18923.0	11651.0	13643.0	4240.0	9018.0	14222.0
JAK1_E20_STA100334	2241.0	5823.0	13131.0	2841.0	7394.0	5952.0	3850.0	710.0	3760.0	7416.0	7600.0	5921.0	5176.0	3617.0	4247.0	1565.0	3695.0	4912.0
JAK1_E20_STA100335	10227.0	27824.0	49640.0	10707.0	31137.0	27390.0	21555.0	2652.0	23411.0	32134.0	35063.0	28404.0	24505.0	17864.0	20573.0	6952.0	18262.0	21466.0
JAK1_E20_STA100336	9408.0	25617.0	52183.0	12149.0	33195.0	25585.0	18908.0	2563.0	22974.0	32587.0	35044.0	26520.0	24925.0	14616.0	21252.0	7580.0	17300.0	22080.0
JAK1_E20_STA100337	7684.0	20240.0	43878.0	9749.0	34242.0	20826.0	15590.0	2282.0	20076.0	27881.0	28650.0	20905.0	23793.0	11760.0	17290.0	7036.0	13649.0	19143.0
JAK1_E19_STA100338	3953.0	10670.0	22623.0	4339.0	16269.0	9610.0	6783.0	750.0	9288.0	11660.0	13059.0	9685.0	9839.0	5888.0	7119.0	2575.0	5904.0	9033.0
JAK1_E19_STA100339	3247.0	11207.0	22383.0	5136.0	13139.0	9906.0	6511.0	676.0	7571.0	11301.0	13461.0	10332.0	8355.0	5920.0	5805.0	2392.0	6492.0	7654.0
JAK1_E19_STA101785	7043.0	18461.0	35409.0	9916.0	22999.0	19150.0	11739.0	2166.0	15507.0	19805.0	25271.0	16968.0	16373.0	11689.0	11317.0	3659.0	10199.0	14572.0
JAK1_E18_STA100341	10378.0	32621.0	57332.0	12702.0	35192.0	24815.0	22895.0	2834.0	25014.0	40568.0	37195.0	25739.0	26813.0	18660.0	21183.0	7793.0	18082.0	27236.0
JAK1_E18_STA100342	1523.0	3562.0	6622.0	1387.0	2681.0	3824.0	2251.0	398.0	2912.0	3255.0	3950.0	3683.0	4160.0	2100.0	2694.0	1058.0	1377.0	3206.0
JAK1_E17_STA100343	5075.0	12038.0	28464.0	5852.0	19794.0	11093.0	8016.0	1015.0	9754.0	12701.0	14830.0	10834.0	10835.0	7827.0	7678.0	3416.0	6161.0	11073.0
JAK1_E17_STA100344	4622.0	12128.0	24962.0	5060.0	18120.0	12072.0	7638.0	1154.0	9646.0	12468.0	15784.0	11753.0	10351.0	7242.0	7158.0	2444.0	7188.0	10254.0
JAK1_E17_STA100345	3279.0	9564.0	18481.0	4076.0	12412.0	8579.0	7425.0	762.0	8217.0	10695.0	10954.0	7506.0	8745.0	4818.0	7064.0	2214.0	5309.0	7140.0
JAK1_E16_STA100346	4683.0	15658.0	34535.0	6546.0	21183.0	13957.0	11243.0	1113.0	10570.0	18137.0	18978.0	16746.0	13074.0	8314.0	12371.0	4824.0	10996.0	15281.0
JAK1_E16_STA100347	2443.0	6687.0	15886.0	3021.0	7465.0	5966.0	5431.0	555.0	4796.0	6569.0	8059.0	7395.0	6326.0	3801.0	5112.0	2264.0	3581.0	6109.0
JAK1_E15_STA100348	6630.0	18482.0	41875.0	8026.0	27659.0	18437.0	14537.0	1724.0	14683.0	23913.0	25081.0	17443.0	15956.0	11529.0	14408.0	5587.0	11837.0	16333.0
JAK1_E15_STA100349	3538.0	10277.0	20725.0	3934.0	15057.0	9663.0	9046.0	734.0	10736.0	15278.0	13420.0	8962.0	8817.0	5382.0	9739.0	2807.0	6789.0	7910.0
JAK1_E14_STA100350	2459.0	11531.0	25405.0	4479.0	13085.0	9271.0	6495.0	583.0	7633.0	10402.0	15765.0	12128.0	7200.0	5400.0	5801.0	2259.0	6597.0	9479.0
JAK1_E14_STA100351	616.0	2122.0	5560.0	859.0	3272.0	2220.0	1210.0	182.0	1420.0	1828.0	2588.0	2549.0	1800.0	1306.0	1428.0	523.0	1394.0	2038.0
JAK1_E13_STA100352	2843.0	7081.0	16697.0	2965.0	8165.0	7950.0	5963.0	761.0	6237.0	9895.0	12037.0	8488.0	6437.0	4563.0	6505.0	2734.0	5849.0	7522.0
JAK1_E13_STA100353	1181.0	2611.0	5977.0	1114.0	2327.0	2430.0	1748.0	241.0	2013.0	2671.0	2908.0	3185.0	2979.0	1733.0	2237.0	676.0	1448.0	2617.0
JAK1_E12_STA100354	2654.0	8982.0	22141.0	4123.0	13169.0	7919.0	4926.0	552.0	5513.0	9017.0	11385.0	9527.0	6586.0	4792.0	5665.0	2676.0	5438.0	7502.0
JAK1_E12_STA100355	14269.0	46261.0	97181.0	17611.0	76240.0	37070.0	32165.0	3013.0	34253.0	52363.0	49327.0	42054.0	31754.0	21044.0	33028.0	11626.0	29443.0	35541.0
JAK1_E11_STA100356	8157.0	20536.0	43506.0	8711.0	37251.0	18209.0	12798.0	1845.0	19606.0	23136.0	25669.0	16687.0	20646.0	12289.0	12731.0	4672.0	9631.0	14877.0
JAK1_E11_STA100357	4001.0	7999.0	20022.0	5048.0	17654.0	8420.0	5406.0	869.0	9346.0	11410.0	11614.0	7308.0	9762.0	5893.0	6586.0	2265.0	4861.0	7382.0
JAK1_E11_STA100358	3557.0	9994.0	19115.0	4813.0	10281.0	7274.0	6229.0	900.0	5428.0	9458.0	13223.0	8766.0	8632.0	5690.0	6371.0	3453.0	5791.0	8459.0
JAK1_E10_STA100359	1546.0	4391.0	10444.0	1964.0	5141.0	4352.0	2805.0	286.0	3318.0	4287.0	5280.0	4124.0	4705.0	2223.0	2761.0	1015.0	1628.0	3694.0
JAK1_E10_STA100360	6103.0	24397.0	39849.0	8425.0	26595.0	18056.0	12503.0	1523.0	15592.0	21693.0	27509.0	20247.0	15308.0	11673.0	12317.0	5005.0	13810.0	16575.0
JAK1_E9_STA100361	1992.0	6297.0	13315.0	2576.0	6882.0	4842.0	3526.0	744.0	3250.0	7037.0	7463.0	6266.0	4916.0	3015.0	3375.0	1671.0	3552.0	5563.0
JAK1_E9_STA100362	3230.0	10567.0	22320.0	4622.0	10045.0	8552.0	6092.0	1023.0	5851.0	10758.0	13032.0	10748.0	7963.0	5377.0	5865.0	2528.0	5759.0	8610.0
JAK1_E9_STA100363	7735.0	19032.0	38805.0	8280.0	35427.0	16655.0	13256.0	1991.0	17772.0	23478.0	21768.0	15737.0	17210.0	10478.0	12963.0	4746.0	10163.0	14662.0
JAK1_E8_STA100364	4226.0	8980.0	16342.0	4333.0	12572.0	8184.0	5973.0	794.0	7537.0	9709.0	11761.0	7816.0	11388.0	6414.0	6212.0	2074.0	4848.0	6895.0
JAK1_E8_STA100365	8757.0	24348.0	44139.0	9959.0	25702.0	20093.0	13910.0	1898.0	17523.0	25015.0	30936.0	20651.0	27425.0	16099.0	14989.0	5990.0	13756.0	18011.0
JAK1_E8_STA100366	8094.0	18955.0	35325.0	8959.0	22041.0	16385.0	11528.0	1626.0	16196.0	21862.0	23758.0	16130.0	24813.0	13481.0	12204.0	4863.0	9831.0	13780.0
JAK1_E8_STA100367	1409.0	3436.0	6755.0	1806.0	3360.0	2786.0	1925.0	240.0	2643.0	3507.0	4483.0	2900.0	4565.0	2438.0	2251.0	962.0	1535.0	2260.0
JAK1_E7_STA100368	9775.0	20663.0	35904.0	9218.0	29471.0	16441.0	11632.0	1985.0	15986.0	20932.0	28024.0	15902.0	18570.0	14306.0	12084.0	5736.0	11497.0	16021.0
JAK1_E7_STA100369	1589.0	4132.0	7674.0	2973.0	3339.0	4332.0	2453.0	551.0	2546.0	4334.0	6465.0	4701.0	4943.0	3469.0	2767.0	1145.0	2004.0	3278.0
JAK1_E7_STA100370	2642.0	4548.0	9026.0	2477.0	7191.0	4444.0	2748.0	480.0	4362.0	4988.0	5119.0	3958.0	5288.0	3629.0	3216.0	1419.0	2717.0	3832.0
JAK1_E7_STA100371	8909.0	17314.0	30068.0	8561.0	21113.0	15018.0	12945.0	1685.0	13724.0	19221.0	26283.0	15643.0	21359.0	12105.0	12359.0	4394.0	10030.0	15094.0
JAK1_E7_STA100372	1394.0	4642.0	7565.0	1883.0	2802.0	3786.0	2310.0	556.0	2357.0	3560.0	5693.0	4178.0	3754.0	2918.0	1910.0	1122.0	2315.0	3632.0
JAK1_E6_STA100373	750.0	2636.0	4818.0	1254.0	2276.0	2082.0	1433.0	156.0	1713.0	2180.0	3638.0	2578.0	2209.0	1705.0	1681.0	728.0	927.0	2383.0
JAK1_E6_STA100374	3579.0	10095.0	17646.0	4014.0	11225.0	7709.0	5973.0	735.0	7854.0	11434.0	12026.0	7950.0	10201.0	6832.0	6033.0	2375.0	4457.0	8195.0
JAK1_E6_STA100375	4603.0	22087.0	37732.0	7388.0	28709.0	15668.0	11948.0	940.0	16998.0	11596.0	25397.0	17552.0	18062.0	14070.0	10732.0	4007.0	4846.0	15388.0
JAK1_E5_STA100376	2994.0	9978.0	18859.0	3915.0	10036.0	8275.0	4581.0	778.0	5807.0	10675.0	12336.0	9162.0	8076.0	6493.0	5390.0	2376.0	5544.0	7991.0
JAK1_E5_STA100377	12088.0	36156.0	62480.0	14266.0	45033.0	28762.0	20580.0	2764.0	29796.0	40467.0	41828.0	30117.0	33262.0	22055.0	19797.0	8180.0	17620.0	25937.0
JAK1_E5_STA100378	1757.0	7246.0	10843.0	2663.0	3828.0	6382.0	2920.0	557.0	4001.0	5258.0	8815.0	7251.0	5672.0	4642.0	3052.0	1815.0	2735.0	5829.0
JAK1_E5_STA101781	4743.0	16398.0	27845.0	5955.0	22595.0	11352.0	8576.0	1246.0	12857.0	18840.0	18436.0	11823.0	14685.0	8974.0	8763.0	2796.0	7759.0	10693.0
JAK1_E4_STA100380	6888.0	19473.0	40301.0	9300.0	22457.0	15502.0	9822.0	1286.0	13360.0	20996.0	25237.0	16302.0	18377.0	11175.0	10732.0	5627.0	10153.0	17187.0
JAK1_E4_STA100381	8792.0	21335.0	41890.0	8504.0	24609.0	17105.0	13649.0	1787.0	17891.0	23830.0	26382.0	16848.0	23442.0	12965.0	14553.0	6786.0	9608.0	16233.0
JAK1_E4_STA100382	589.0	842.0	2157.0	691.0	813.0	1063.0	504.0	74.0	757.0	1241.0	1202.0	1235.0	1421.0	739.0	507.0	307.0	574.0	964.0
JAK1_E3_STA100383	2661.0	7307.0	15981.0	3249.0	10226.0	6534.0	3476.0	600.0	4500.0	7173.0	9643.0	6637.0	5513.0	4370.0	2759.0	1409.0	2827.0	5641.0
JAK1_E3_STA100384	6902.0	18470.0	37100.0	8318.0	21596.0	16619.0	11147.0	1071.0	14832.0	21310.0	25754.0	17577.0	20462.0	11399.0	13187.0	5139.0	9545.0	15146.0
JAK1_E3_STA100385	10727.0	25359.0	45728.0	10791.0	38246.0	22475.0	18310.0	1867.0	22025.0	28890.0	31509.0	21806.0	27752.0	15645.0	17534.0	7733.0	14903.0	20200.0
JAK1_E2_STA100386	5707.0	15382.0	26521.0	7619.0	15957.0	13824.0	9545.0	1469.0	12374.0	14455.0	19296.0	12414.0	12583.0	8900.0	9260.0	4844.0	8574.0	11128.0
NRAS_E4_STA100001	3492.0	6512.0	12955.0	2650.0	5884.0	6323.0	5288.0	622.0	5384.0	7145.0	6827.0	6060.0	6530.0	3956.0	5331.0	2635.0	3838.0	5160.0
NRAS_E4_STA100002	4871.0	11855.0	21962.0	5315.0	12639.0	12227.0	10421.0	1605.0	9836.0	16896.0	11305.0	10907.0	10098.0	6979.0	11373.0	4371.0	8099.0	10475.0
NRAS_E3_STA100003	9916.0	26581.0	43486.0	11415.0	19155.0	23911.0	18420.0	2297.0	17936.0	27582.0	30621.0	24653.0	26033.0	16407.0	20105.0	9590.0	17267.0	21500.0
NRAS_E3_STA100004	4438.0	12335.0	22287.0	6094.0	10224.0	11547.0	9419.0	984.0	9732.0	11029.0	13689.0	11078.0	11957.0	8808.0	9079.0	4894.0	6959.0	8995.0
NRAS_E3_STA101617	1101.0	2604.0	6535.0	1605.0	4386.0	2592.0	3098.0	328.0	3158.0	2298.0	2962.0	2499.0	2055.0	2107.0	3254.0	1338.0	1924.0	1825.0
NRAS_E2_STA100006	2175.0	4436.0	10427.0	2780.0	3767.0	4890.0	2990.0	592.0	4614.0	6075.0	5785.0	5108.0	5984.0	4130.0	4306.0	1559.0	2745.0	4274.0
NRAS_E2_STA100007	6724.0	21256.0	32687.0	8544.0	13638.0	16294.0	11960.0	1711.0	13952.0	21198.0	23289.0	16543.0	17331.0	12871.0	11108.0	5521.0	10716.0	14075.0
NRAS_E2_STA100008	7084.0	14481.0	25407.0	5903.0	14370.0	12520.0	9215.0	1430.0	11722.0	17325.0	14460.0	12365.0	16719.0	10284.0	10036.0	4103.0	6964.0	10974.0
DDR2_E4_STA100387	10010.0	23155.0	42123.0	16999.0	62858.0	32045.0	21437.0	1833.0	41334.0	33910.0	38379.0	42809.0	25686.0	15840.0	15944.0	7499.0	12479.0	18110.0
DDR2_E5_STA100388	4243.0	10458.0	18390.0	6542.0	25848.0	14338.0	10548.0	769.0	15270.0	13658.0	14627.0	20740.0	10686.0	7227.0	6055.0	2646.0	5041.0	7317.0
DDR2_E5_STA100389	2963.0	9586.0	18557.0	6525.0	16155.0	14231.0	8015.0	641.0	9866.0	11877.0	14511.0	20512.0	8377.0	6882.0	6385.0	2761.0	5591.0	8391.0
DDR2_E5_STA100390	1117.0	3034.0	6286.0	2277.0	5762.0	4738.0	2743.0	105.0	3913.0	4164.0	4163.0	6994.0	3232.0	2134.0	2146.0	908.0	1432.0	2664.0
DDR2_E6_STA100391	1730.0	7160.0	13599.0	4920.0	11555.0	8723.0	4310.0	409.0	8338.0	8557.0	11011.0	14315.0	5151.0	4486.0	2845.0	1323.0	3320.0	4588.0
DDR2_E6_STA100392	1233.0	4456.0	8983.0	2457.0	9454.0	5894.0	3806.0	378.0	5995.0	7147.0	7384.0	9285.0	4188.0	2634.0	3028.0	1454.0	2460.0	3718.0
DDR2_E6_STA100393	14997.0	45323.0	80438.0	26213.0	90616.0	57707.0	40603.0	2821.0	68528.0	63112.0	65928.0	87290.0	41785.0	27655.0	29042.0	11194.0	20568.0	35292.0
DDR2_E6_STA100394	5318.0	13863.0	23134.0	7485.0	38243.0	16695.0	11197.0	1226.0	23141.0	19307.0	20773.0	25597.0	13110.0	8298.0	8492.0	3211.0	6584.0	10092.0
DDR2_E7_STA100395	3046.0	8226.0	14497.0	5868.0	18301.0	12105.0	7133.0	620.0	13352.0	11945.0	12415.0	16237.0	9072.0	5475.0	5798.0	1612.0	4031.0	6276.0
DDR2_E7_STA100396	7949.0	24246.0	40255.0	15397.0	39246.0	29238.0	20930.0	2049.0	28965.0	32191.0	36668.0	47516.0	22933.0	15337.0	16342.0	6677.0	16371.0	17019.0
DDR2_E7_STA100397	516.0	2360.0	4020.0	1602.0	3196.0	2943.0	1288.0	150.0	2637.0	2328.0	3527.0	4976.0	1802.0	1430.0	888.0	323.0	932.0	1563.0
DDR2_E8_STA100398	539.0	1438.0	3191.0	1228.0	1991.0	2127.0	1284.0	58.0	2088.0	2017.0	2512.0	2959.0	1959.0	958.0	1268.0	569.0	719.0	1082.0
DDR2_E8_STA100399	4017.0	13372.0	22730.0	9918.0	24078.0	20362.0	11299.0	945.0	20877.0	18125.0	22433.0	26255.0	12207.0	9287.0	8634.0	3789.0	7870.0	9450.0
DDR2_E9_STA100400	6484.0	18230.0	37946.0	15999.0	41119.0	23846.0	15060.0	1075.0	23858.0	20784.0	28664.0	35018.0	18205.0	10355.0	11707.0	5386.0	10292.0	14959.0
DDR2_E9_STA100401	7105.0	18893.0	38780.0	15611.0	47176.0	24613.0	14538.0	1135.0	25323.0	23600.0	29963.0	35276.0	17002.0	11692.0	11538.0	5430.0	10466.0	15160.0
DDR2_E9_STA100402	7531.0	20380.0	40295.0	14842.0	50327.0	27370.0	15739.0	2035.0	28444.0	23862.0	32290.0	35816.0	16875.0	12276.0	10705.0	5607.0	10021.0	14182.0
DDR2_E9_STA100403	3505.0	8009.0	15709.0	6486.0	24916.0	10411.0	7378.0	604.0	13660.0	10735.0	10498.0	14137.0	8489.0	5640.0	5121.0	2304.0	4097.0	5844.0
DDR2_E10_STA100404	2014.0	4730.0	8996.0	3292.0	9582.0	6388.0	4022.0	338.0	5764.0	5490.0	7615.0	10787.0	5579.0	3232.0	3056.0	1359.0	2290.0	3648.0
DDR2_E10_STA100405	4252.0	10523.0	21662.0	8887.0	23526.0	15456.0	5035.0	860.0	13229.0	10253.0	17217.0	23007.0	11281.0	7289.0	3884.0	1892.0	3178.0	7818.0
DDR2_E10_STA100406	9148.0	34747.0	62368.0	19617.0	67525.0	43141.0	26006.0	2370.0	44254.0	42773.0	53107.0	59101.0	29780.0	20183.0	20243.0	8843.0	19924.0	28775.0
DDR2_E10_STA100407	5095.0	18580.0	33637.0	10435.0	31577.0	23600.0	13115.0	1295.0	18672.0	22564.0	28333.0	32043.0	16286.0	10963.0	10756.0	4906.0	9319.0	15396.0
DDR2_E10_STA100408	6287.0	18527.0	36335.0	12747.0	31759.0	25489.0	13165.0	1291.0	19202.0	21531.0	29483.0	37536.0	15649.0	11622.0	11278.0	5314.0	11102.0	16556.0
DDR2_E10_STA100409	8058.0	19229.0	39139.0	12668.0	65350.0	30620.0	18924.0	1689.0	37217.0	29097.0	32973.0	39769.0	21547.0	14902.0	14363.0	6700.0	12034.0	17603.0
DDR2_E11_STA100410	2193.0	6846.0	11399.0	4311.0	16045.0	10467.0	7446.0	426.0	12846.0	9805.0	10428.0	12395.0	7405.0	4448.0	5059.0	2173.0	3642.0	5092.0
DDR2_E12_STA100411	5006.0	13396.0	25300.0	9294.0	37674.0	18586.0	11391.0	1016.0	18512.0	16028.0	18227.0	24688.0	12801.0	9160.0	8087.0	3890.0	7180.0	10335.0
DDR2_E12_STA100412	549.0	2158.0	4363.0	1405.0	2973.0	3734.0	1711.0	138.0	2641.0	2700.0	2864.0	4651.0	2323.0	1554.0	1616.0	902.0	1344.0	1768.0
DDR2_E13_STA100413	5498.0	16644.0	28652.0	11730.0	39928.0	24734.0	12015.0	1182.0	23978.0	17940.0	25692.0	29518.0	16307.0	10378.0	8704.0	3611.0	6432.0	11702.0
DDR2_E13_STA100414	3794.0	8829.0	25896.0	8353.0	27244.0	17107.0	9286.0	1048.0	18369.0	15829.0	20741.0	25884.0	11177.0	8240.0	6381.0	3170.0	3869.0	10055.0
DDR2_E13_STA100415	5424.0	17709.0	31701.0	12470.0	48192.0	20990.0	13499.0	1087.0	25859.0	22978.0	28538.0	31406.0	15306.0	11297.0	9634.0	4289.0	9935.0	13567.0
DDR2_E14_STA100416	3976.0	13064.0	31191.0	9100.0	32282.0	19036.0	10813.0	668.0	16523.0	15636.0	23685.0	28612.0	12531.0	7777.0	8577.0	3941.0	7357.0	12495.0
DDR2_E14_STA101731	11590.0	50830.0	92891.0	33417.0	108530.0	69621.0	41355.0	3086.0	71841.0	62725.0	81972.0	97025.0	45988.0	28028.0	30247.0	11821.0	23452.0	40523.0
DDR2_E14_STA100418	13003.0	43459.0	74927.0	26084.0	107259.0	53541.0	36053.0	3016.0	66642.0	61376.0	62688.0	71618.0	41159.0	23975.0	25352.0	12436.0	22523.0	29764.0
DDR2_E14_STA100419	5975.0	21476.0	35300.0	12354.0	47239.0	25025.0	18013.0	1826.0	30962.0	30426.0	31359.0	34378.0	20369.0	11981.0	12459.0	5672.0	11389.0	14386.0
DDR2_E15_STA100420	5502.0	12727.0	23905.0	10115.0	33257.0	17693.0	12932.0	1090.0	21263.0	17520.0	22001.0	22909.0	14598.0	9669.0	9328.0	4122.0	5918.0	10127.0
DDR2_E15_STA100421	1635.0	3977.0	6662.0	3117.0	8314.0	5818.0	3913.0	265.0	6309.0	5103.0	5895.0	6695.0	4875.0	3059.0	2808.0	1030.0	1830.0	2917.0
DDR2_E16_STA100422	4327.0	10734.0	20273.0	7265.0	30795.0	15575.0	8994.0	1172.0	17310.0	13427.0	17279.0	19742.0	10947.0	7488.0	6999.0	3061.0	5576.0	8362.0
DDR2_E16_STA100423	3441.0	10403.0	16784.0	6419.0	19217.0	13718.0	7706.0	825.0	13511.0	12099.0	16691.0	19220.0	10352.0	6723.0	5527.0	2359.0	4968.0	7422.0
DDR2_E16_STA100424	9074.0	25957.0	40976.0	14766.0	47807.0	32749.0	21102.0	1912.0	35659.0	33660.0	34787.0	42897.0	25225.0	16255.0	16087.0	8704.0	14166.0	17185.0
DDR2_E17_STA100425	2945.0	8534.0	18563.0	6000.0	17094.0	13609.0	6680.0	816.0	11721.0	11176.0	14532.0	17958.0	9095.0	6072.0	5627.0	3973.0	5985.0	7890.0
DDR2_E17_STA100426	12574.0	31726.0	56580.0	22322.0	79613.0	44618.0	33860.0	3177.0	54798.0	45350.0	54077.0	60402.0	33878.0	20343.0	25005.0	10993.0	19412.0	24894.0
DDR2_E17_STA100427	18555.0	44401.0	75144.0	30714.0	124870.0	58090.0	45976.0	3498.0	74137.0	59894.0	66055.0	72874.0	47817.0	30155.0	31641.0	13114.0	24316.0	30811.0
DDR2_E18_STA100428	3789.0	10557.0	20691.0	6643.0	25619.0	14189.0	7724.0	981.0	14516.0	13087.0	14532.0	18917.0	11660.0	6618.0	6614.0	2982.0	5292.0	7736.0
DDR2_E18_STA100429	11664.0	35121.0	58056.0	22700.0	77056.0	45913.0	25747.0	3713.0	43761.0	39851.0	51230.0	62454.0	30491.0	21893.0	18368.0	8553.0	17669.0	23310.0
DDR2_E18_STA100430	6129.0	18525.0	30982.0	12387.0	42630.0	26880.0	15181.0	1656.0	26275.0	22592.0	29834.0	36885.0	18132.0	13807.0	9689.0	4490.0	9049.0	14019.0
DDR2_E19_STA100431	5124.0	14345.0	24627.0	8220.0	27875.0	18320.0	12566.0	1541.0	24740.0	23024.0	21637.0	27220.0	14289.0	9311.0	8789.0	4546.0	7827.0	10792.0
DDR2_E19_STA100432	14099.0	45220.0	79241.0	27592.0	108677.0	63143.0	46750.0	5349.0	71773.0	62450.0	70438.0	82893.0	49536.0	34257.0	32811.0	12254.0	25271.0	35394.0
DDR2_E19_STA100433	3964.0	11734.0	22234.0	7427.0	23453.0	16682.0	8575.0	852.0	12110.0	12566.0	18202.0	24324.0	11181.0	8322.0	6953.0	3116.0	6429.0	10519.0
H3F3A_E2_STA100009	9081.0	19012.0	33185.0	10438.0	45475.0	28001.0	16969.0	2323.0	18936.0	21653.0	29759.0	28141.0	25290.0	13333.0	11693.0	5228.0	9179.0	17093.0
H3F3A_E2_STA101614	12959.0	29648.0	50280.0	16829.0	92544.0	44355.0	26065.0	2843.0	30885.0	36476.0	47839.0	37107.0	33100.0	21093.0	15929.0	7152.0	14684.0	19140.0
H3F3A_E2_STA100011	5523.0	10539.0	19285.0	6568.0	39631.0	15220.0	9507.0	946.0	11787.0	12993.0	15237.0	12733.0	12477.0	8023.0	5966.0	2294.0	5249.0	7129.0
ALK_E29_STA100103	5561.0	17730.0	92.0	40.0	25150.0	30283.0	8509.0	1506.0	44.0	23976.0	24307.0	19199.0	19421.0	12283.0	11990.0	4560.0	8454.0	15882.0
ALK_E29_STA101368	4099.0	19660.0	37005.0	8396.0	34105.0	27017.0	15032.0	1486.0	20558.0	23639.0	23441.0	18547.0	17944.0	10598.0	12752.0	5132.0	10113.0	15853.0
ALK_E29_STA100104	2965.0	17592.0	34369.0	9734.0	23834.0	26533.0	12402.0	1059.0	16377.0	18969.0	21774.0	18972.0	13952.0	9517.0	8428.0	4386.0	8006.0	14723.0
ALK_E29_STA100105	4106.0	16000.0	51799.0	13665.0	49158.0	29509.0	17928.0	1252.0	31491.0	27719.0	19109.0	15693.0	13979.0	8663.0	10254.0	6156.0	8261.0	12704.0
ALK_E29_STA100106	4400.0	19596.0	45449.0	8683.0	40033.0	33983.0	17701.0	1174.0	24523.0	29446.0	27581.0	22946.0	20228.0	12629.0	15018.0	5685.0	10973.0	17720.0
ALK_E29_STA100107	4232.0	23095.0	52726.0	12855.0	42282.0	36104.0	16872.0	2012.0	24598.0	28905.0	32618.0	27182.0	16283.0	12128.0	12610.0	5020.0	12281.0	19332.0
ALK_E29_STA100108	4924.0	24341.0	54626.0	11877.0	44167.0	37853.0	17930.0	1569.0	26252.0	30056.0	34284.0	27584.0	18078.0	12531.0	14516.0	6318.0	13609.0	20976.0
ALK_E29_STA100109	4651.0	19634.0	42704.0	10198.0	35731.0	33939.0	16483.0	1310.0	21996.0	26599.0	26691.0	21760.0	19313.0	11945.0	14409.0	7563.0	12961.0	17950.0
ALK_E29_STA101369	1084.0	4466.0	10135.0	2610.0	6471.0	7794.0	3384.0	264.0	4188.0	5823.0	6493.0	5273.0	4436.0	2533.0	2981.0	1278.0	2968.0	4188.0
