	M21D00182	M21D00185	M21D00194	M21D00219	N21D00184	N21D00213	N21D00214	N21D00217	N21D00218	N21D00223	P21D00158	P21D00159	P21D00164	P21D00165	P21D00169	P21D00170	P21D00173	P21D00180	P21D00181	P21D00186	P21D00189	P21D00190	P21D00191	P21D00195	P21D00200	P21D00209	P21D00210	P21D00215	P21D00221	P21D00222	X21D00163
JAK1_E25_STA100319	1879.0	1582.0	802.0	105.0	1988.0	918.0	2069.0	771.0	487.0	1453.0	266.0	1112.0	2152.0	2246.0	3242.0	1428.0	864.0	1561.0	602.0	1001.0	3517.0	1330.0	1624.0	465.0	1650.0	1612.0	418.0	1533.0	2483.0	1262.0	416.0
JAK1_E25_STA100320	2321.0	1736.0	983.0	109.0	1532.0	928.0	2086.0	682.0	508.0	1321.0	278.0	1466.0	2674.0	2917.0	3156.0	1630.0	820.0	2043.0	780.0	1001.0	4384.0	1098.0	1847.0	485.0	2187.0	1587.0	430.0	1498.0	2634.0	1464.0	418.0
JAK1_E25_STA100321	1504.0	1468.0	591.0	62.0	1141.0	560.0	1564.0	540.0	442.0	899.0	150.0	964.0	1720.0	1610.0	2134.0	1118.0	617.0	1422.0	558.0	732.0	2772.0	1008.0	906.0	338.0	1180.0	962.0	226.0	1087.0	1612.0	1080.0	316.0
JAK1_E24_STA100322	6965.0	7083.0	3723.0	294.0	5624.0	3074.0	7839.0	3512.0	2150.0	5749.0	815.0	4803.0	8967.0	7657.0	9231.0	6471.0	4021.0	9236.0	2877.0	3171.0	14551.0	3810.0	5066.0	2886.0	7037.0	5245.0	1379.0	6196.0	8085.0	7306.0	914.0
JAK1_E24_STA100323	7887.0	7829.0	3563.0	270.0	6788.0	4106.0	7633.0	3415.0	1914.0	5264.0	762.0	5922.0	9232.0	8449.0	11363.0	6414.0	3934.0	8804.0	2842.0	3443.0	15185.0	4868.0	6129.0	2469.0	7006.0	6309.0	1519.0	6085.0	9207.0	6892.0	1021.0
JAK1_E24_STA100324	2403.0	2431.0	1467.0	112.0	2295.0	1361.0	3043.0	1206.0	648.0	2036.0	336.0	1890.0	3011.0	2578.0	4124.0	2324.0	1244.0	2874.0	868.0	1454.0	5430.0	1880.0	2205.0	862.0	2580.0	1825.0	555.0	2433.0	3524.0	2586.0	610.0
JAK1_E23_STA100325	5756.0	7149.0	3492.0	280.0	5314.0	3209.0	6795.0	2830.0	1754.0	4245.0	786.0	4941.0	8477.0	7177.0	9973.0	6660.0	3396.0	6831.0	2511.0	2915.0	12908.0	3450.0	4825.0	2221.0	5860.0	4397.0	1210.0	5310.0	8112.0	6096.0	850.0
JAK1_E23_STA100326	1803.0	1337.0	1120.0	85.0	1454.0	766.0	2070.0	1011.0	490.0	1541.0	136.0	1392.0	2446.0	1882.0	2726.0	1832.0	1214.0	2165.0	772.0	899.0	4244.0	1190.0	1296.0	868.0	1906.0	1237.0	392.0	1996.0	2618.0	1766.0	264.0
JAK1_E22_STA100327	7344.0	7097.0	3730.0	399.0	6593.0	3380.0	7679.0	3084.0	2268.0	4617.0	896.0	4873.0	8912.0	8268.0	12347.0	5820.0	3971.0	7136.0	2472.0	3326.0	11626.0	4574.0	5483.0	2417.0	6896.0	5890.0	1564.0	5325.0	8134.0	6226.0	1074.0
JAK1_E22_STA100328	17305.0	17637.0	7531.0	713.0	12654.0	7072.0	15527.0	6027.0	4931.0	9482.0	1810.0	10762.0	19689.0	17726.0	22313.0	13754.0	7001.0	16265.0	5688.0	6469.0	25933.0	9613.0	11155.0	5125.0	13863.0	12170.0	2694.0	10866.0	16067.0	13120.0	1961.0
JAK1_E22_STA100329	9132.0	9550.0	5307.0	374.0	8353.0	4614.0	9952.0	3663.0	2564.0	6224.0	1020.0	6815.0	12207.0	10016.0	14233.0	9211.0	5228.0	10562.0	3914.0	4598.0	18524.0	5925.0	6566.0	3398.0	8764.0	6165.0	1654.0	7961.0	11420.0	8227.0	989.0
JAK1_E22_STA100330	3471.0	3656.0	1965.0	173.0	2928.0	1972.0	3816.0	804.0	949.0	2376.0	438.0	2563.0	4676.0	3768.0	5367.0	3219.0	1942.0	4695.0	1135.0	1236.0	7484.0	1767.0	2353.0	1180.0	3315.0	2651.0	468.0	2429.0	4025.0	3378.0	524.0
JAK1_E21_STA100331	2267.0	2395.0	1081.0	56.0	1947.0	1246.0	2679.0	880.0	627.0	1230.0	264.0	1646.0	3372.0	2677.0	3862.0	1798.0	1004.0	1868.0	823.0	1009.0	3470.0	1550.0	1574.0	458.0	2007.0	2056.0	517.0	1682.0	2994.0	2114.0	476.0
JAK1_E21_STA100332	8383.0	8815.0	4625.0	344.0	6226.0	4217.0	9378.0	3811.0	2455.0	6432.0	1005.0	6423.0	12647.0	9580.0	12222.0	8077.0	4522.0	9205.0	2974.0	4201.0	15344.0	4851.0	5291.0	3143.0	9360.0	7652.0	1304.0	6858.0	10767.0	9122.0	1464.0
JAK1_E21_STA100333	13017.0	16188.0	6385.0	893.0	7529.0	6866.0	14871.0	5334.0	4110.0	8026.0	1674.0	8280.0	15133.0	12765.0	18372.0	11038.0	6574.0	10111.0	3852.0	5184.0	16728.0	6915.0	8193.0	4276.0	10984.0	11087.0	2506.0	8203.0	13401.0	13455.0	2149.0
JAK1_E20_STA100334	3268.0	4290.0	1833.0	114.0	1938.0	1822.0	5389.0	2062.0	939.0	2419.0	452.0	2947.0	5185.0	3811.0	5870.0	3406.0	2344.0	2380.0	1173.0	1696.0	5223.0	2233.0	2328.0	1216.0	3893.0	2654.0	608.0	2205.0	4322.0	3881.0	389.0
JAK1_E20_STA100335	16107.0	17892.0	6044.0	497.0	9111.0	8371.0	20964.0	8534.0	4898.0	9062.0	2007.0	14069.0	23184.0	20623.0	28078.0	14777.0	8224.0	9177.0	4546.0	6740.0	20729.0	10513.0	11308.0	4713.0	15962.0	14606.0	2961.0	9736.0	17481.0	15128.0	1701.0
JAK1_E20_STA100336	15093.0	19012.0	5544.0	494.0	8516.0	7975.0	21325.0	7043.0	4544.0	9177.0	2192.0	13319.0	22605.0	18960.0	26753.0	14769.0	8018.0	9035.0	4260.0	6392.0	19146.0	10040.0	10712.0	4578.0	17562.0	13836.0	2702.0	8800.0	17040.0	15447.0	1425.0
JAK1_E20_STA100337	12970.0	17516.0	4663.0	479.0	6691.0	6778.0	17230.0	5632.0	3777.0	7899.0	2199.0	11432.0	18640.0	16303.0	21590.0	12011.0	6150.0	7785.0	3508.0	4867.0	15378.0	8058.0	8714.0	3704.0	14549.0	12865.0	2163.0	6978.0	13556.0	14626.0	1202.0
JAK1_E19_STA100338	7649.0	9299.0	2901.0	248.0	3723.0	3597.0	10698.0	3288.0	2012.0	4150.0	1205.0	5641.0	9466.0	9561.0	12046.0	6340.0	3349.0	4014.0	2087.0	2714.0	8657.0	4821.0	4599.0	2057.0	7052.0	6267.0	1271.0	4090.0	6893.0	7361.0	738.0
JAK1_E19_STA100339	5467.0	7431.0	2744.0	184.0	3455.0	3363.0	8301.0	3124.0	1817.0	3737.0	777.0	5220.0	8793.0	7336.0	9172.0	5995.0	3515.0	5352.0	2052.0	2104.0	9283.0	3264.0	3486.0	2213.0	5904.0	4623.0	788.0	4254.0	6732.0	6082.0	882.0
JAK1_E19_STA101785	9928.0	13109.0	5041.0	472.0	5661.0	5137.0	13787.0	5553.0	3172.0	6954.0	1566.0	8342.0	15745.0	11677.0	14962.0	10149.0	5806.0	10169.0	3615.0	4627.0	14740.0	6374.0	6186.0	4427.0	10603.0	9579.0	1728.0	6974.0	10797.0	11551.0	1669.0
JAK1_E18_STA100341	16373.0	19114.0	6835.0	389.0	10895.0	8903.0	24473.0	8739.0	5297.0	11253.0	2089.0	13252.0	24043.0	19216.0	28579.0	15981.0	8649.0	13377.0	5077.0	6393.0	21022.0	10469.0	11108.0	6119.0	16516.0	14789.0	3072.0	10096.0	18415.0	17376.0	1086.0
JAK1_E18_STA100342	2583.0	1918.0	913.0	64.0	1990.0	963.0	2550.0	1094.0	723.0	1533.0	184.0	1256.0	2722.0	2844.0	3924.0	1650.0	1015.0	1537.0	776.0	943.0	2700.0	1730.0	1453.0	676.0	2482.0	2112.0	452.0	1600.0	2750.0	1953.0	158.0
JAK1_E17_STA100343	8366.0	10712.0	3284.0	304.0	4595.0	3911.0	13336.0	4313.0	2751.0	4891.0	1502.0	5460.0	10868.0	8682.0	14221.0	7240.0	4003.0	3863.0	1949.0	3571.0	8164.0	6114.0	4924.0	2664.0	7568.0	6372.0	1469.0	5008.0	8003.0	8256.0	849.0
JAK1_E17_STA100344	7863.0	11182.0	3694.0	366.0	3827.0	5061.0	13533.0	3960.0	2573.0	4864.0	1177.0	6811.0	10495.0	9069.0	11341.0	7523.0	4595.0	4926.0	2680.0	3334.0	9578.0	5775.0	4679.0	3171.0	7784.0	7137.0	1120.0	5139.0	7913.0	10575.0	1276.0
JAK1_E17_STA100345	5881.0	7315.0	2333.0	170.0	2773.0	3289.0	8502.0	2774.0	1628.0	3061.0	1101.0	4937.0	9012.0	7302.0	9968.0	4840.0	2495.0	2682.0	1830.0	2102.0	7007.0	3906.0	3627.0	1488.0	6008.0	5194.0	1137.0	2827.0	5468.0	6176.0	604.0
JAK1_E16_STA100346	7529.0	11594.0	3236.0	183.0	3745.0	4414.0	13949.0	4428.0	2534.0	5041.0	1223.0	6219.0	13357.0	10236.0	15857.0	8601.0	5442.0	4696.0	2283.0	4207.0	9686.0	4887.0	5458.0	2561.0	8978.0	7197.0	1339.0	4531.0	8912.0	10615.0	619.0
JAK1_E16_STA100347	3176.0	4184.0	1182.0	88.0	2375.0	1620.0	6229.0	2234.0	1313.0	2531.0	427.0	1985.0	4397.0	4493.0	8108.0	3081.0	2113.0	1313.0	922.0	1668.0	3430.0	2920.0	2374.0	831.0	4132.0	3376.0	788.0	1992.0	4691.0	3855.0	293.0
JAK1_E15_STA100348	12217.0	15799.0	4352.0	391.0	5015.0	6497.0	18193.0	5502.0	3948.0	6229.0	1980.0	10138.0	16984.0	14115.0	20872.0	9931.0	6182.0	5914.0	2894.0	4841.0	11695.0	6880.0	6911.0	3543.0	12484.0	10320.0	2369.0	5887.0	12350.0	13388.0	978.0
JAK1_E15_STA100349	5983.0	8992.0	2435.0	162.0	2799.0	4642.0	9650.0	2785.0	1689.0	2807.0	1139.0	6724.0	10053.0	8036.0	9467.0	5468.0	3076.0	3626.0	1643.0	2371.0	5464.0	3430.0	3346.0	1881.0	5842.0	6462.0	1033.0	2611.0	5303.0	8302.0	588.0
JAK1_E14_STA100350	5287.0	7306.0	2297.0	62.0	2269.0	2667.0	9509.0	3522.0	1435.0	3198.0	998.0	4609.0	8027.0	6310.0	9699.0	5647.0	3249.0	3275.0	1397.0	2436.0	6083.0	3116.0	3256.0	1863.0	6155.0	3933.0	946.0	3257.0	6664.0	7063.0	475.0
JAK1_E14_STA100351	982.0	1449.0	384.0	28.0	628.0	702.0	2226.0	686.0	282.0	761.0	214.0	822.0	1629.0	1390.0	2071.0	1213.0	746.0	492.0	302.0	762.0	1278.0	928.0	841.0	414.0	1449.0	870.0	220.0	711.0	1674.0	1713.0	212.0
JAK1_E13_STA100352	3860.0	5177.0	1975.0	122.0	2345.0	2452.0	6011.0	2227.0	1297.0	3014.0	537.0	4069.0	6831.0	4732.0	7883.0	4354.0	2794.0	3037.0	1562.0	2722.0	6034.0	2546.0	2712.0	1394.0	5291.0	3505.0	650.0	2606.0	5118.0	5083.0	461.0
JAK1_E13_STA100353	1458.0	1238.0	423.0	32.0	1011.0	669.0	2003.0	822.0	561.0	970.0	139.0	873.0	1827.0	1929.0	3043.0	1089.0	694.0	602.0	430.0	762.0	1466.0	1086.0	1008.0	318.0	1480.0	1156.0	316.0	778.0	1849.0	1464.0	169.0
JAK1_E12_STA100354	4443.0	6663.0	1980.0	162.0	2755.0	2328.0	8808.0	2813.0	1334.0	2888.0	836.0	4156.0	7037.0	4887.0	9326.0	5024.0	2965.0	2119.0	1579.0	2408.0	6300.0	3447.0	2776.0	1758.0	5715.0	3327.0	881.0	2938.0	5426.0	6409.0	635.0
JAK1_E12_STA100355	20734.0	33000.0	9452.0	478.0	10823.0	13180.0	38156.0	12796.0	6333.0	13227.0	4058.0	21762.0	32609.0	27831.0	41417.0	24202.0	11871.0	13642.0	5829.0	9292.0	25488.0	15157.0	13129.0	7919.0	22242.0	19053.0	4308.0	13327.0	24067.0	27129.0	2276.0
JAK1_E11_STA100356	13513.0	17813.0	5377.0	372.0	7568.0	6144.0	17902.0	6010.0	4032.0	7641.0	2113.0	9424.0	15889.0	13688.0	19897.0	11017.0	5825.0	9087.0	3773.0	4583.0	15170.0	8676.0	8015.0	3802.0	11528.0	11055.0	1900.0	8468.0	12812.0	12477.0	1035.0
JAK1_E11_STA100357	6584.0	8364.0	2688.0	146.0	3256.0	2974.0	8736.0	2371.0	1753.0	3688.0	1046.0	4320.0	7676.0	7141.0	8453.0	5838.0	2471.0	4412.0	1827.0	2087.0	8365.0	3730.0	3695.0	1957.0	5638.0	5301.0	1042.0	3590.0	5541.0	6730.0	627.0
JAK1_E11_STA100358	4673.0	5804.0	2736.0	218.0	3590.0	2811.0	7057.0	2858.0	1563.0	3577.0	712.0	4356.0	6816.0	5558.0	9391.0	5017.0	2871.0	4565.0	1647.0	2707.0	8629.0	4126.0	3947.0	1835.0	5974.0	3359.0	788.0	4141.0	6469.0	5299.0	658.0
JAK1_E10_STA100359	3356.0	3077.0	974.0	76.0	2026.0	1280.0	4288.0	1393.0	800.0	1811.0	358.0	1511.0	3404.0	3446.0	5906.0	2274.0	1383.0	1285.0	736.0	1303.0	3300.0	2188.0	1944.0	756.0	3492.0	2638.0	696.0	1776.0	3636.0	2791.0	327.0
JAK1_E10_STA100360	11251.0	15250.0	5511.0	405.0	6073.0	6424.0	16768.0	6230.0	3549.0	7164.0	1941.0	10732.0	16689.0	13909.0	19021.0	11790.0	6749.0	8782.0	3635.0	4738.0	16132.0	6506.0	7243.0	3932.0	13123.0	9406.0	1834.0	6754.0	13384.0	15330.0	1208.0
JAK1_E9_STA100361	2779.0	4108.0	1709.0	147.0	2159.0	1771.0	6311.0	1913.0	1043.0	2217.0	579.0	2846.0	4555.0	4183.0	5960.0	3409.0	2384.0	2175.0	1276.0	1623.0	5667.0	2702.0	2353.0	1476.0	4078.0	2820.0	708.0	2772.0	4641.0	4418.0	435.0
JAK1_E9_STA100362	5182.0	6340.0	2792.0	199.0	3445.0	2806.0	10192.0	3342.0	1792.0	3828.0	834.0	4547.0	8442.0	7002.0	9605.0	5845.0	4048.0	3823.0	2097.0	2643.0	9473.0	4560.0	3618.0	2417.0	6903.0	4831.0	1062.0	4570.0	7680.0	7266.0	728.0
JAK1_E9_STA100363	13134.0	20195.0	5914.0	831.0	7148.0	7438.0	17670.0	6154.0	3997.0	7417.0	2029.0	10879.0	18376.0	15457.0	20140.0	11895.0	6215.0	8703.0	3840.0	5192.0	14618.0	8112.0	7813.0	4363.0	12275.0	12089.0	2238.0	7779.0	13408.0	14671.0	1944.0
JAK1_E8_STA100364	6571.0	7315.0	3540.0	366.0	4485.0	3230.0	7099.0	2712.0	1899.0	4573.0	616.0	4532.0	8046.0	6790.0	9678.0	5496.0	2654.0	6179.0	2147.0	2696.0	9838.0	3899.0	4743.0	2346.0	6182.0	5258.0	1335.0	5073.0	6743.0	6266.0	1444.0
JAK1_E8_STA100365	11242.0	13291.0	5716.0	547.0	10008.0	5704.0	12850.0	5275.0	3390.0	9013.0	1379.0	9373.0	15733.0	13074.0	20267.0	11621.0	6882.0	13485.0	4665.0	6053.0	23217.0	6742.0	8484.0	4415.0	12309.0	9333.0	2612.0	9965.0	16039.0	11578.0	1852.0
JAK1_E8_STA100366	11138.0	11217.0	5051.0	442.0	9413.0	4829.0	11619.0	4389.0	3233.0	8142.0	1211.0	8237.0	14411.0	12473.0	17235.0	8883.0	5185.0	10472.0	3735.0	4926.0	18537.0	5846.0	7534.0	3302.0	10475.0	9110.0	1970.0	8388.0	13564.0	9268.0	1916.0
JAK1_E8_STA100367	1657.0	1724.0	928.0	34.0	2110.0	774.0	2280.0	748.0	450.0	1771.0	210.0	1472.0	2753.0	2390.0	3115.0	1614.0	907.0	1805.0	896.0	1199.0	3136.0	1267.0	1661.0	455.0	2016.0	1731.0	382.0	1680.0	2740.0	1529.0	367.0
JAK1_E7_STA100368	12718.0	15703.0	8052.0	866.0	10493.0	6484.0	13953.0	6095.0	3553.0	9457.0	1417.0	10349.0	15994.0	12059.0	17763.0	11883.0	6665.0	15881.0	5306.0	5611.0	22544.0	7385.0	9156.0	4966.0	11809.0	8400.0	2536.0	11233.0	13767.0	11972.0	2421.0
JAK1_E7_STA100369	2571.0	2017.0	1321.0	66.0	2379.0	1084.0	2467.0	1178.0	763.0	1772.0	208.0	1544.0	3684.0	3386.0	3885.0	2451.0	1732.0	3210.0	1173.0	1337.0	6234.0	1605.0	1620.0	860.0	2740.0	1664.0	375.0	2438.0	3277.0	2171.0	372.0
JAK1_E7_STA100370	3977.0	4287.0	2032.0	208.0	2780.0	1566.0	3788.0	1374.0	1043.0	2619.0	336.0	2378.0	4496.0	3625.0	4817.0	3120.0	1380.0	3807.0	1210.0	1536.0	6462.0	2182.0	2643.0	1172.0	3149.0	2864.0	721.0	2768.0	3279.0	3177.0	714.0
JAK1_E7_STA100371	11919.0	11164.0	4991.0	460.0	9126.0	4797.0	10372.0	4230.0	3249.0	7401.0	999.0	7783.0	14047.0	12570.0	16459.0	8969.0	5045.0	10994.0	4086.0	4825.0	19320.0	5543.0	9076.0	3545.0	10191.0	8429.0	1804.0	7906.0	10928.0	9316.0	1443.0
JAK1_E7_STA100372	2045.0	1436.0	1058.0	62.0	2074.0	815.0	2475.0	994.0	606.0	1831.0	160.0	1475.0	2863.0	2338.0	3556.0	1773.0	1516.0	2122.0	1080.0	1374.0	5504.0	1484.0	1410.0	837.0	2460.0	1406.0	305.0	2154.0	3653.0	2378.0	414.0
JAK1_E6_STA100373	904.0	1411.0	858.0	36.0	1308.0	782.0	2012.0	856.0	438.0	1096.0	167.0	1324.0	1370.0	1939.0	1660.0	1624.0	1071.0	1560.0	620.0	808.0	2216.0	673.0	1328.0	408.0	1686.0	702.0	296.0	1355.0	2340.0	1498.0	157.0
JAK1_E6_STA100374	6144.0	6651.0	2624.0	176.0	4024.0	3176.0	8227.0	2640.0	1657.0	4297.0	810.0	4960.0	9144.0	7770.0	8879.0	5680.0	3666.0	5580.0	2175.0	2794.0	9709.0	3653.0	4739.0	2086.0	6253.0	5800.0	1065.0	4187.0	7369.0	6147.0	778.0
JAK1_E6_STA100375	6924.0	15167.0	6065.0	297.0	9779.0	7130.0	19725.0	7181.0	4299.0	9626.0	1677.0	10996.0	8265.0	13916.0	11419.0	11407.0	6383.0	10966.0	4455.0	4895.0	11373.0	4989.0	9502.0	2868.0	12422.0	5808.0	2594.0	9392.0	14603.0	12983.0	1204.0
JAK1_E5_STA100376	4674.0	5647.0	2383.0	144.0	4108.0	2593.0	8183.0	2640.0	1305.0	3823.0	558.0	3986.0	6865.0	6212.0	9396.0	5707.0	2969.0	3725.0	1498.0	2491.0	8567.0	3330.0	3661.0	1942.0	5974.0	3784.0	1103.0	4295.0	6808.0	5936.0	335.0
JAK1_E5_STA100377	22435.0	26278.0	9133.0	797.0	12398.0	10697.0	29122.0	10817.0	6106.0	15881.0	3210.0	18576.0	28864.0	25910.0	33591.0	18957.0	11700.0	16682.0	6736.0	8088.0	29168.0	13092.0	15046.0	7708.0	20928.0	18815.0	3604.0	13863.0	23535.0	21684.0	2000.0
JAK1_E5_STA100378	2911.0	2314.0	1099.0	52.0	2263.0	898.0	4850.0	2110.0	746.0	2703.0	394.0	1592.0	4832.0	3847.0	5478.0	2887.0	2293.0	2564.0	908.0	1725.0	5742.0	2130.0	2112.0	1021.0	3930.0	2396.0	484.0	2986.0	5019.0	3195.0	294.0
JAK1_E5_STA101781	9636.0	12379.0	3979.0	280.0	4851.0	4869.0	13234.0	3825.0	2503.0	6314.0	1361.0	7604.0	12726.0	10405.0	13938.0	9114.0	4495.0	7172.0	2218.0	3486.0	12409.0	5304.0	6276.0	2575.0	8496.0	8386.0	1842.0	5663.0	10605.0	10986.0	870.0
JAK1_E4_STA100380	10728.0	13464.0	5125.0	217.0	7768.0	5352.0	16737.0	5116.0	2743.0	7255.0	1762.0	7572.0	13005.0	10504.0	16439.0	11400.0	5479.0	10402.0	4060.0	4471.0	17941.0	6177.0	7540.0	3592.0	9712.0	7086.0	1898.0	8831.0	12715.0	10711.0	738.0
JAK1_E4_STA100381	13932.0	14124.0	5823.0	398.0	9820.0	6123.0	16058.0	5374.0	3906.0	8494.0	1546.0	8898.0	16254.0	15401.0	20130.0	12499.0	5801.0	12199.0	4118.0	4714.0	21005.0	7410.0	8836.0	4067.0	11714.0	10632.0	2200.0	9052.0	14027.0	10416.0	910.0
JAK1_E4_STA100382	675.0	565.0	338.0	46.0	918.0	268.0	807.0	393.0	194.0	680.0	48.0	367.0	738.0	642.0	1490.0	583.0	334.0	449.0	259.0	384.0	1209.0	610.0	662.0	176.0	897.0	576.0	207.0	616.0	897.0	480.0	82.0
JAK1_E3_STA100383	4433.0	6265.0	2224.0	104.0	2874.0	2191.0	7580.0	2578.0	1378.0	3635.0	523.0	3444.0	5580.0	4348.0	6900.0	4706.0	2567.0	4522.0	1495.0	1806.0	7591.0	2750.0	3026.0	1694.0	4962.0	3430.0	817.0	3123.0	5738.0	5653.0	548.0
JAK1_E3_STA100384	10947.0	12020.0	3599.0	374.0	7745.0	4508.0	14342.0	4347.0	3064.0	7942.0	1179.0	7633.0	14201.0	11839.0	17720.0	9906.0	6051.0	6377.0	2933.0	4743.0	15901.0	6271.0	7751.0	2349.0	10709.0	7955.0	1914.0	7488.0	12351.0	10951.0	786.0
JAK1_E3_STA100385	18325.0	19939.0	7493.0	844.0	10979.0	8307.0	18511.0	8085.0	5373.0	11695.0	2115.0	12929.0	20604.0	19414.0	28256.0	15454.0	8919.0	13285.0	4617.0	6893.0	25518.0	10992.0	11654.0	6238.0	16108.0	14260.0	3407.0	11705.0	19110.0	15323.0	2280.0
JAK1_E2_STA100386	7880.0	9390.0	4668.0	401.0	5794.0	3858.0	10006.0	3731.0	2716.0	6147.0	1142.0	6343.0	12131.0	8276.0	12428.0	8836.0	5019.0	9162.0	2848.0	3644.0	15629.0	5340.0	5800.0	3239.0	9035.0	6632.0	1501.0	7092.0	10026.0	8990.0	2079.0
NRAS_E4_STA100001	3146.0	4711.0	2074.0	182.0	2388.0	1994.0	4423.0	1675.0	1324.0	2314.0	495.0	3386.0	5341.0	5205.0	7099.0	3009.0	2117.0	2634.0	1295.0	1616.0	6221.0	1626.0	2865.0	1271.0	4566.0	3530.0	702.0	2811.0	3978.0	4034.0	367.0
NRAS_E4_STA100002	5495.0	9126.0	3579.0	274.0	3978.0	4105.0	8615.0	3559.0	2547.0	5052.0	1098.0	7644.0	9833.0	9037.0	12012.0	6744.0	4162.0	5388.0	2383.0	2929.0	10466.0	2942.0	4648.0	2498.0	7615.0	7350.0	1416.0	4911.0	7292.0	8536.0	875.0
NRAS_E3_STA100003	9442.0	13865.0	5910.0	432.0	12044.0	5625.0	15277.0	6229.0	4122.0	9962.0	1611.0	11367.0	14066.0	13799.0	23294.0	11380.0	7777.0	13175.0	4015.0	6242.0	24644.0	4057.0	10175.0	4267.0	13818.0	10120.0	2629.0	12291.0	15754.0	12704.0	1947.0
NRAS_E3_STA100004	4565.0	6344.0	3222.0	265.0	4872.0	3174.0	7490.0	3098.0	1566.0	4595.0	639.0	4792.0	7368.0	7083.0	9418.0	5035.0	3350.0	6821.0	2396.0	2952.0	12311.0	2073.0	4357.0	2070.0	6867.0	4775.0	1195.0	5964.0	7302.0	6784.0	747.0
NRAS_E3_STA101617	769.0	1347.0	781.0	91.0	771.0	949.0	2165.0	982.0	272.0	769.0	120.0	942.0	1149.0	1097.0	1962.0	1022.0	510.0	953.0	291.0	509.0	2019.0	425.0	711.0	447.0	778.0	718.0	252.0	1347.0	1554.0	1252.0	105.0
NRAS_E2_STA100006	3390.0	3566.0	1645.0	162.0	3734.0	1705.0	4085.0	1647.0	1079.0	2689.0	382.0	2578.0	3811.0	4619.0	6096.0	2983.0	1920.0	3455.0	1371.0	1898.0	7052.0	1487.0	2821.0	1206.0	3467.0	2954.0	759.0	2902.0	4377.0	2768.0	627.0
NRAS_E2_STA100007	7849.0	11436.0	5721.0	392.0	8527.0	4752.0	11331.0	5728.0	3127.0	8047.0	1093.0	10326.0	11764.0	10778.0	15831.0	9788.0	6456.0	14207.0	3970.0	5284.0	23172.0	2777.0	7309.0	4787.0	10662.0	8348.0	1587.0	8723.0	11595.0	10560.0	1378.0
NRAS_E2_STA100008	8358.0	12241.0	5263.0	758.0	7294.0	5324.0	11243.0	4636.0	3282.0	7246.0	1232.0	8082.0	10636.0	10978.0	14467.0	7445.0	5551.0	10596.0	4000.0	3998.0	16926.0	3891.0	7067.0	4131.0	9380.0	8308.0	2131.0	7178.0	9844.0	9029.0	2042.0
DDR2_E4_STA100387	20862.0	17400.0	7782.0	1139.0	13318.0	14030.0	15313.0	7093.0	4666.0	11878.0	3488.0	16891.0	29804.0	26064.0	25863.0	14823.0	8865.0	17062.0	5521.0	13296.0	36070.0	8772.0	16314.0	5244.0	16196.0	17422.0	3530.0	14743.0	18332.0	15149.0	1768.0
DDR2_E5_STA100388	9345.0	8085.0	3434.0	543.0	4854.0	6444.0	9055.0	3489.0	2442.0	4759.0	1776.0	6966.0	12638.0	13019.0	10787.0	5560.0	4212.0	5986.0	2115.0	5759.0	12902.0	4648.0	6669.0	2361.0	7825.0	9156.0	1502.0	5802.0	8026.0	7090.0	977.0
DDR2_E5_STA100389	5781.0	5098.0	2211.0	230.0	3503.0	4235.0	7470.0	2747.0	1273.0	4126.0	1225.0	5668.0	10382.0	8505.0	9292.0	4526.0	3973.0	4269.0	1699.0	5164.0	10832.0	3617.0	5091.0	1602.0	6739.0	5355.0	1216.0	4545.0	7252.0	5142.0	386.0
DDR2_E5_STA100390	2255.0	2055.0	709.0	56.0	1301.0	1370.0	2519.0	888.0	602.0	1413.0	450.0	1530.0	3630.0	3481.0	3616.0	1602.0	982.0	1116.0	520.0	2002.0	3485.0	1406.0	2044.0	546.0	2525.0	2048.0	564.0	1638.0	2319.0	1609.0	147.0
DDR2_E6_STA100391	3794.0	3647.0	1790.0	120.0	2305.0	2741.0	5462.0	1852.0	1290.0	2765.0	997.0	4066.0	7493.0	6574.0	5931.0	3189.0	3267.0	2952.0	1151.0	3407.0	8410.0	2178.0	3219.0	1352.0	4927.0	3919.0	669.0	3109.0	5866.0	4558.0	337.0
DDR2_E6_STA100392	2646.0	2417.0	927.0	40.0	1312.0	2156.0	3529.0	1181.0	653.0	1583.0	693.0	2698.0	5006.0	4241.0	3584.0	2023.0	1715.0	1542.0	794.0	2078.0	5068.0	1211.0	2400.0	757.0	3220.0	2422.0	490.0	1892.0	3537.0	2764.0	88.0
DDR2_E6_STA100393	33632.0	30230.0	7222.0	807.0	16570.0	20691.0	34149.0	11178.0	7278.0	17045.0	6669.0	24836.0	48637.0	45953.0	45271.0	20711.0	16970.0	15434.0	7013.0	19106.0	41586.0	14412.0	23092.0	7140.0	30043.0	32121.0	4109.0	8166.0	29049.0	24921.0	792.0
DDR2_E6_STA100394	11226.0	12899.0	3991.0	644.0	5079.0	9577.0	12370.0	4872.0	2702.0	6237.0	2633.0	11330.0	17946.0	16198.0	14760.0	7641.0	5364.0	7198.0	2858.0	6862.0	15635.0	5542.0	8942.0	2795.0	10893.0	12163.0	2019.0	6746.0	10420.0	8985.0	895.0
