	M21D00182	M21D00185	M21D00194	M21D00219	N21D00184	N21D00213	N21D00214	N21D00217	N21D00218	N21D00223	P21D00158	P21D00159	P21D00164	P21D00165	P21D00169	P21D00170	P21D00173	P21D00180	P21D00181	P21D00186	P21D00189	P21D00190	P21D00191	P21D00195	P21D00200	P21D00209	P21D00210	P21D00215	P21D00221	P21D00222	X21D00163
BRCA1_E10_STA101748	14999.0	16699.0	7284.0	446.0	12119.0	13336.0	16195.0	7227.0	4372.0	11638.0	2363.0	14741.0	20677.0	18337.0	23201.0	16507.0	8223.0	18595.0	5072.0	10426.0	24276.0	6613.0	11687.0	4884.0	16715.0	16031.0	2708.0	14811.0	21184.0	16112.0	1888.0
BRCA1_E10_STA101027	7843.0	7445.0	3142.0	264.0	5564.0	6818.0	6759.0	2971.0	2097.0	4848.0	1228.0	6123.0	10376.0	9889.0	11746.0	8138.0	3609.0	7446.0	2427.0	5557.0	10503.0	4052.0	5969.0	2033.0	8020.0	8664.0	1287.0	6778.0	9574.0	6697.0	1104.0
BRCA1_E10_STA101028	14645.0	16775.0	6411.0	548.0	11619.0	11999.0	16544.0	6180.0	4022.0	10542.0	2383.0	12830.0	20263.0	20525.0	22931.0	15523.0	7468.0	14353.0	4904.0	10077.0	23811.0	8828.0	11602.0	4141.0	14845.0	15750.0	2788.0	12793.0	19965.0	14529.0	1846.0
BRCA1_E10_STA101029	6482.0	6845.0	3304.0	250.0	4684.0	5917.0	7017.0	3011.0	1664.0	4839.0	1015.0	6281.0	8921.0	8459.0	9689.0	7390.0	3287.0	8145.0	2919.0	4951.0	10993.0	3652.0	5204.0	2136.0	7515.0	6604.0	1030.0	6276.0	9103.0	6714.0	1102.0
BRCA1_E10_STA101030	9236.0	9286.0	4672.0	330.0	8314.0	8288.0	10592.0	4501.0	2471.0	7033.0	1480.0	8941.0	13575.0	12063.0	14806.0	11078.0	6339.0	10958.0	3591.0	8354.0	15272.0	5221.0	8037.0	3085.0	10978.0	8757.0	1957.0	9119.0	14168.0	9841.0	971.0
BRCA1_E10_STA101031	12709.0	13549.0	5678.0	473.0	10816.0	11301.0	13418.0	5370.0	3375.0	9190.0	1879.0	11257.0	16315.0	16114.0	18535.0	13882.0	7350.0	13719.0	4647.0	9379.0	19241.0	6664.0	10237.0	3715.0	13736.0	13370.0	2428.0	11622.0	17615.0	12464.0	1756.0
BRCA1_E10_STA101032	9255.0	9839.0	4362.0	336.0	7686.0	7826.0	10254.0	4252.0	2725.0	7161.0	1372.0	8195.0	11908.0	11563.0	13381.0	10070.0	5517.0	10445.0	3794.0	6866.0	14930.0	5089.0	7081.0	3128.0	10927.0	9925.0	1723.0	9435.0	13034.0	9873.0	1930.0
BRCA1_E10_STA101033	7894.0	8565.0	4351.0	364.0	6723.0	7624.0	9165.0	3836.0	2289.0	6684.0	1313.0	7988.0	10823.0	10054.0	12925.0	8821.0	4877.0	10646.0	3291.0	6851.0	13770.0	3978.0	6281.0	2817.0	9361.0	8276.0	1587.0	8375.0	11781.0	8894.0	1541.0
BRCA1_E10_STA101034	8928.0	9373.0	4633.0	293.0	7728.0	9039.0	10071.0	4489.0	2606.0	7731.0	1515.0	9429.0	12527.0	11391.0	15607.0	10064.0	5541.0	11629.0	3651.0	8243.0	15948.0	4845.0	7345.0	3066.0	10879.0	9178.0	1870.0	9507.0	13758.0	9957.0	1581.0
BRCA1_E10_STA101035	10971.0	11189.0	5774.0	350.0	10145.0	9215.0	11993.0	5222.0	3047.0	8589.0	1656.0	10842.0	14508.0	13239.0	17731.0	13094.0	6932.0	12157.0	4514.0	10181.0	17548.0	6997.0	8995.0	3904.0	13022.0	11156.0	2429.0	11994.0	17443.0	11559.0	1991.0
BRCA1_E10_STA101036	26426.0	27582.0	11278.0	933.0	19638.0	23509.0	23516.0	11521.0	7402.0	18247.0	4502.0	24055.0	34011.0	32368.0	40385.0	26095.0	14939.0	25982.0	8347.0	16896.0	33130.0	12170.0	19969.0	8358.0	24877.0	27326.0	5025.0	21961.0	31186.0	22770.0	3029.0
BRCA1_E10_STA101037	20170.0	20403.0	8867.0	627.0	14733.0	17338.0	17715.0	7945.0	5415.0	12480.0	2958.0	17356.0	26139.0	28138.0	28751.0	20383.0	10676.0	19496.0	6937.0	12389.0	27821.0	9634.0	14165.0	6037.0	19807.0	22409.0	3707.0	16271.0	24375.0	17943.0	2632.0
BRCA1_E10_STA101038	12677.0	12223.0	5500.0	342.0	9833.0	10109.0	11291.0	4816.0	3449.0	7747.0	1533.0	10151.0	15511.0	17523.0	18226.0	12732.0	7015.0	11509.0	4190.0	8346.0	17159.0	6013.0	8645.0	3676.0	12608.0	12957.0	2211.0	10117.0	15469.0	10641.0	1685.0
BRCA1_E10_STA101039	11895.0	10414.0	4961.0	402.0	8781.0	8501.0	10421.0	4796.0	3034.0	7225.0	1568.0	9051.0	13120.0	14088.0	16277.0	9996.0	5227.0	9775.0	3867.0	7697.0	13375.0	5612.0	7305.0	2967.0	11131.0	11447.0	1946.0	8916.0	12716.0	8864.0	1154.0
BRCA1_E10_STA101040	4372.0	4940.0	2707.0	196.0	3128.0	4236.0	5052.0	1823.0	1346.0	3027.0	663.0	4765.0	5759.0	5535.0	6117.0	5008.0	2547.0	5296.0	1753.0	3404.0	6183.0	2449.0	3466.0	1492.0	4566.0	4835.0	747.0	4202.0	5769.0	4941.0	703.0
BRCA1_E9_STA101041	4080.0	4389.0	2596.0	190.0	2996.0	3804.0	6058.0	2428.0	1476.0	3714.0	802.0	4208.0	6609.0	5917.0	7424.0	4890.0	2678.0	4055.0	1632.0	4027.0	7221.0	2611.0	3236.0	1569.0	5376.0	5067.0	641.0	4913.0	7343.0	5544.0	622.0
