	D21D00904T	D21D00908T	D21D00917T	D21D00921T	D21D00937	D21D00941T	D21D00942	D21D00943	D21D00948	D21D00949	D21D00952	N21D00923	N21D00932	N21D00946	U21D00938	X21D00911	X21D00918HPV
JAK1_E25_STA100319	2403.0	2672.0	3009.0	4527.0	910.0	2033.0	1091.0	1839.0	1809.0	1248.0	3718.0	3971.0	8273.0	3240.0	722.0	2752.0	2555.0
JAK1_E25_STA100320	2991.0	4503.0	4506.0	6476.0	1677.0	2637.0	944.0	1736.0	2176.0	1606.0	5821.0	5596.0	8198.0	3793.0	1080.0	3550.0	4202.0
JAK1_E25_STA100321	1708.0	2133.0	2100.0	3046.0	973.0	1160.0	643.0	1188.0	1448.0	1032.0	2588.0	2487.0	4974.0	2077.0	548.0	2186.0	1812.0
JAK1_E24_STA100322	6740.0	18370.0	12593.0	14154.0	3206.0	8711.0	3810.0	6146.0	6144.0	4629.0	15172.0	9470.0	17758.0	8355.0	2491.0	14423.0	12425.0
JAK1_E24_STA100323	10895.0	17616.0	12267.0	17057.0	3986.0	8335.0	3892.0	6779.0	9145.0	5811.0	17697.0	12660.0	25316.0	11454.0	2719.0	15045.0	14506.0
JAK1_E24_STA100324	2914.0	4434.0	4770.0	4926.0	1282.0	3334.0	1468.0	1864.0	2778.0	1920.0	6667.0	4170.0	8010.0	3952.0	866.0	4586.0	5271.0
JAK1_E23_STA100325	7060.0	12513.0	9004.0	11930.0	2870.0	7244.0	3196.0	4846.0	6623.0	5048.0	14278.0	9363.0	15793.0	9255.0	2336.0	11852.0	12038.0
JAK1_E23_STA100326	1284.0	2068.0	3229.0	2657.0	683.0	2255.0	833.0	1116.0	1300.0	1134.0	4418.0	2182.0	4065.0	1682.0	672.0	2485.0	2406.0
JAK1_E22_STA100327	8960.0	13081.0	11916.0	14276.0	4123.0	8764.0	2891.0	6703.0	9209.0	5383.0	16016.0	13468.0	28760.0	14809.0	3106.0	13084.0	13379.0
JAK1_E22_STA100328	24463.0	33690.0	27653.0	31166.0	8856.0	20552.0	7607.0	14229.0	16178.0	12466.0	34164.0	26821.0	53111.0	28454.0	5744.0	35187.0	29457.0
JAK1_E22_STA100329	11592.0	19722.0	18854.0	20389.0	5156.0	13571.0	5175.0	7777.0	9707.0	6975.0	25616.0	15058.0	28917.0	15615.0	3801.0	21689.0	19055.0
JAK1_E22_STA100330	4227.0	7280.0	6997.0	7391.0	1945.0	4873.0	2177.0	2635.0	3655.0	3042.0	8759.0	5583.0	11087.0	4408.0	1579.0	7524.0	7092.0
JAK1_E21_STA100331	2668.0	4563.0	3291.0	4253.0	1475.0	2634.0	1126.0	1925.0	2347.0	1532.0	5251.0	5615.0	9771.0	3737.0	664.0	4099.0	4384.0
JAK1_E21_STA100332	8728.0	17253.0	15876.0	18682.0	5713.0	15238.0	5394.0	7118.0	9721.0	6698.0	22388.0	14014.0	30963.0	12399.0	4080.0	20420.0	19022.0
JAK1_E21_STA100333	10940.0	29515.0	11654.0	18091.0	6647.0	13132.0	4677.0	11035.0	11586.0	7210.0	20969.0	17622.0	40053.0	17104.0	3345.0	23625.0	19656.0
JAK1_E20_STA100334	2745.0	12661.0	4280.0	5616.0	1876.0	5321.0	1675.0	3302.0	3639.0	2264.0	9435.0	6578.0	11775.0	6102.0	1143.0	8962.0	6063.0
JAK1_E20_STA100335	12160.0	48326.0	14015.0	24927.0	8453.0	17609.0	6729.0	15639.0	16280.0	8333.0	35260.0	30013.0	59933.0	27383.0	5404.0	29529.0	22750.0
JAK1_E20_STA100336	11844.0	48404.0	15326.0	23881.0	7429.0	18433.0	6542.0	15494.0	15373.0	9116.0	34224.0	30355.0	59959.0	27966.0	4868.0	31370.0	24243.0
JAK1_E20_STA100337	11395.0	47631.0	11302.0	19695.0	6181.0	15637.0	5213.0	12896.0	13563.0	8477.0	25522.0	24007.0	47747.0	22032.0	3634.0	28208.0	20632.0
JAK1_E19_STA100338	6364.0	22511.0	5034.0	10664.0	2790.0	6630.0	2410.0	7188.0	7444.0	3463.0	12911.0	12949.0	23934.0	12773.0	2372.0	13206.0	10132.0
JAK1_E19_STA100339	5086.0	20652.0	5763.0	9946.0	3046.0	10192.0	2804.0	5750.0	6320.0	3065.0	13922.0	10617.0	18247.0	8716.0	2046.0	16374.0	10917.0
JAK1_E19_STA101785	7602.0	34372.0	11977.0	16246.0	4853.0	16614.0	4817.0	10258.0	10897.0	5681.0	24672.0	18125.0	33814.0	15291.0	3625.0	25379.0	20315.0
JAK1_E18_STA100341	12669.0	52409.0	12213.0	24677.0	7261.0	17855.0	4606.0	13887.0	15545.0	7562.0	31629.0	28545.0	48456.0	27601.0	4789.0	30414.0	24218.0
JAK1_E18_STA100342	1208.0	4764.0	2000.0	3643.0	901.0	2043.0	946.0	2382.0	1932.0	887.0	4403.0	5365.0	9123.0	4318.0	736.0	2621.0	2417.0
JAK1_E17_STA100343	4769.0	22331.0	4671.0	8717.0	4012.0	7617.0	2332.0	7864.0	7455.0	3478.0	11671.0	13893.0	26803.0	13588.0	1774.0	13758.0	10425.0
JAK1_E17_STA100344	4083.0	26288.0	7091.0	9621.0	3692.0	9955.0	3118.0	8133.0	7269.0	3942.0	14338.0	13588.0	25026.0	11363.0	2230.0	20555.0	14156.0
JAK1_E17_STA100345	5073.0	22011.0	5545.0	8767.0	2364.0	6529.0	2327.0	6335.0	5842.0	2491.0	11694.0	12696.0	23540.0	10645.0	1479.0	13512.0	9020.0
JAK1_E16_STA100346	5314.0	27825.0	6488.0	11614.0	3552.0	12571.0	2873.0	7628.0	9160.0	3471.0	18455.0	13075.0	30477.0	14086.0	2417.0	17888.0	14856.0
JAK1_E16_STA100347	1802.0	7656.0	1829.0	3493.0	1625.0	2999.0	935.0	3226.0	2741.0	1392.0	6715.0	6355.0	13216.0	6575.0	819.0	3961.0	2796.0
JAK1_E15_STA100348	7606.0	41400.0	8158.0	14525.0	5523.0	14462.0	2892.0	11640.0	11052.0	5229.0	21293.0	21666.0	44537.0	19849.0	2796.0	24319.0	16310.0
JAK1_E15_STA100349	4789.0	32015.0	5337.0	11752.0	3603.0	8889.0	1314.0	6430.0	8575.0	3047.0	13368.0	11635.0	24541.0	9937.0	2294.0	16884.0	12833.0
JAK1_E14_STA100350	1654.0	15792.0	3611.0	5049.0	1907.0	5701.0	1551.0	3952.0	4562.0	2173.0	11320.0	7814.0	14644.0	5854.0	1193.0	9455.0	7096.0
JAK1_E14_STA100351	675.0	3755.0	982.0	1531.0	602.0	2019.0	440.0	1153.0	1185.0	814.0	3321.0	1821.0	5535.0	2036.0	398.0	2591.0	2252.0
JAK1_E13_STA100352	3094.0	15434.0	5207.0	8375.0	2617.0	6012.0	2106.0	4224.0	4873.0	2300.0	11674.0	9279.0	15928.0	7726.0	1579.0	10310.0	8084.0
JAK1_E13_STA100353	665.0	3123.0	896.0	1853.0	563.0	1520.0	452.0	1567.0	1109.0	744.0	2728.0	2801.0	6758.0	3043.0	237.0	1387.0	1329.0
JAK1_E12_STA100354	2650.0	15448.0	4444.0	5843.0	2210.0	6032.0	1722.0	4987.0	4232.0	1756.0	10792.0	9074.0	17200.0	8063.0	1365.0	9457.0	8467.0
JAK1_E12_STA100355	12927.0	84388.0	14071.0	28559.0	9301.0	26849.0	4883.0	16764.0	23834.0	11268.0	38613.0	33137.0	61716.0	31799.0	5964.0	49303.0	35748.0
JAK1_E11_STA100356	11472.0	42529.0	9971.0	18944.0	6393.0	13689.0	5757.0	12478.0	12542.0	6342.0	22125.0	22118.0	37814.0	21583.0	4352.0	28194.0	20309.0
JAK1_E11_STA100357	5858.0	24011.0	5777.0	9695.0	3111.0	6841.0	1855.0	6336.0	6901.0	3243.0	12171.0	12705.0	19340.0	11164.0	1585.0	13547.0	10443.0
JAK1_E11_STA100358	5115.0	12092.0	6526.0	9714.0	2858.0	7448.0	2546.0	3511.0	6116.0	3663.0	13464.0	9795.0	17802.0	8683.0	2384.0	10407.0	10669.0
JAK1_E10_STA100359	1022.0	5801.0	1745.0	3568.0	1142.0	2060.0	962.0	3158.0	2390.0	1207.0	4830.0	5903.0	11398.0	5282.0	665.0	2853.0	2894.0
JAK1_E10_STA100360	6263.0	40265.0	11424.0	16061.0	4326.0	14839.0	4117.0	8777.0	11253.0	4915.0	21764.0	16072.0	29012.0	15179.0	3930.0	26686.0	19077.0
JAK1_E9_STA100361	2005.0	11403.0	3596.0	4965.0	1951.0	4804.0	1344.0	3157.0	3110.0	2220.0	9103.0	7098.0	10982.0	5842.0	1364.0	7983.0	5716.0
JAK1_E9_STA100362	3197.0	17525.0	5978.0	8682.0	2758.0	8061.0	2223.0	5507.0	4785.0	3366.0	16307.0	11482.0	18198.0	8781.0	2246.0	11814.0	9326.0
JAK1_E9_STA100363	9375.0	42220.0	9476.0	17157.0	8280.0	14603.0	4176.0	12193.0	11779.0	7039.0	19679.0	19803.0	40299.0	18484.0	3192.0	32390.0	21200.0
JAK1_E8_STA100364	8059.0	12393.0	8731.0	12530.0	3844.0	7886.0	2797.0	6273.0	7007.0	4177.0	12719.0	9543.0	21593.0	10103.0	1859.0	11563.0	12055.0
JAK1_E8_STA100365	16518.0	23823.0	20977.0	29890.0	7505.0	20013.0	6787.0	11024.0	16036.0	8381.0	35177.0	21745.0	43751.0	21440.0	4915.0	23814.0	25659.0
JAK1_E8_STA100366	14973.0	21226.0	17000.0	28306.0	6224.0	15138.0	6128.0	11099.0	13040.0	6209.0	26072.0	19973.0	42382.0	20817.0	4100.0	19481.0	19549.0
JAK1_E8_STA100367	2479.0	3371.0	3860.0	5018.0	1701.0	2638.0	1203.0	1941.0	2193.0	863.0	4582.0	4251.0	10606.0	4368.0	801.0	2622.0	2603.0
JAK1_E7_STA100368	16837.0	31822.0	20880.0	21894.0	6145.0	16385.0	5631.0	9062.0	15272.0	9736.0	25284.0	17475.0	32687.0	19708.0	4359.0	32176.0	26426.0
JAK1_E7_STA100369	2526.0	5437.0	5734.0	5843.0	1179.0	3742.0	2070.0	1888.0	1992.0	2130.0	8377.0	5073.0	7925.0	3547.0	1067.0	4491.0	4603.0
JAK1_E7_STA100370	5065.0	7005.0	5701.0	7472.0	2078.0	3825.0	1652.0	3636.0	3638.0	2704.0	6418.0	5600.0	11462.0	4968.0	1102.0	6829.0	6274.0
JAK1_E7_STA100371	17473.0	19359.0	18699.0	25140.0	7386.0	13741.0	5896.0	9291.0	12414.0	8070.0	23215.0	16151.0	37387.0	17305.0	4263.0	18132.0	19358.0
JAK1_E7_STA100372	1601.0	2720.0	3923.0	3308.0	638.0	2630.0	983.0	1558.0	1740.0	1229.0	6598.0	3077.0	5898.0	2721.0	818.0	2494.0	2814.0
JAK1_E6_STA100373	1733.0	5415.0	2712.0	2127.0	937.0	2917.0	964.0	1503.0	1988.0	423.0	5153.0	1559.0	5546.0	2965.0	618.0	3446.0	3194.0
JAK1_E6_STA100374	6701.0	23983.0	7661.0	12960.0	3378.0	8622.0	2519.0	5654.0	7674.0	3311.0	15720.0	13544.0	20621.0	11958.0	2634.0	13901.0	12745.0
JAK1_E6_STA100375	10553.0	35557.0	9753.0	8650.0	5729.0	11441.0	3847.0	9275.0	13847.0	354.0	20137.0	5427.0	34971.0	20172.0	3232.0	23898.0	17971.0
JAK1_E5_STA100376	3380.0	14741.0	5327.0	7801.0	2291.0	5704.0	1895.0	3968.0	4958.0	2471.0	11322.0	7946.0	14972.0	7986.0	1867.0	9093.0	7630.0
JAK1_E5_STA100377	17577.0	63799.0	17282.0	31032.0	9014.0	20894.0	7248.0	16135.0	19412.0	9299.0	36190.0	31743.0	58719.0	31788.0	5593.0	41510.0	28991.0
JAK1_E5_STA100378	995.0	6988.0	3618.0	4808.0	905.0	4439.0	1209.0	2073.0	1905.0	1277.0	8150.0	4972.0	8385.0	4916.0	861.0	3888.0	3275.0
JAK1_E5_STA101781	7232.0	29974.0	7032.0	16065.0	4135.0	9239.0	3332.0	8899.0	10311.0	4280.0	16119.0	16486.0	27456.0	15055.0	2291.0	18029.0	14018.0
JAK1_E4_STA100380	11805.0	36278.0	13595.0	17792.0	4474.0	13136.0	4575.0	8566.0	10762.0	5672.0	23094.0	17867.0	28520.0	18341.0	3225.0	24807.0	18103.0
JAK1_E4_STA100381	16557.0	39191.0	16106.0	27978.0	7444.0	16263.0	5754.0	12339.0	14495.0	7010.0	28870.0	23667.0	41694.0	23961.0	4547.0	24546.0	22956.0
JAK1_E4_STA100382	608.0	1107.0	738.0	1220.0	310.0	628.0	318.0	688.0	694.0	310.0	1390.0	1788.0	3138.0	1294.0	211.0	545.0	952.0
JAK1_E3_STA100383	2608.0	12491.0	4996.0	6088.0	1544.0	5639.0	1508.0	3429.0	3676.0	2351.0	9029.0	5667.0	11066.0	5495.0	1114.0	8223.0	6510.0
JAK1_E3_STA100384	9493.0	28983.0	9204.0	19354.0	4656.0	10107.0	3775.0	10246.0	9710.0	4006.0	20549.0	20449.0	36261.0	21732.0	3432.0	14670.0	13022.0
JAK1_E3_STA100385	15126.0	31612.0	13957.0	26926.0	8117.0	14243.0	6150.0	12439.0	15096.0	7494.0	25802.0	22162.0	47226.0	23481.0	3497.0	24313.0	23761.0
JAK1_E2_STA100386	10278.0	16170.0	14781.0	18804.0	4049.0	13590.0	5716.0	7097.0	7832.0	6327.0	19174.0	12318.0	26983.0	12952.0	3513.0	19344.0	16422.0
NRAS_E4_STA100001	4973.0	11959.0	5577.0	8024.0	2159.0	4405.0	1906.0	4975.0	3806.0	2020.0	9258.0	8604.0	16894.0	7056.0	1478.0	9049.0	6231.0
NRAS_E4_STA100002	8315.0	23389.0	6394.0	14423.0	3984.0	10518.0	3410.0	6610.0	7591.0	3919.0	17118.0	14057.0	28661.0	12110.0	2812.0	18378.0	12787.0
NRAS_E3_STA100003	15819.0	24082.0	20815.0	29781.0	6601.0	19434.0	6480.0	8144.0	16360.0	8807.0	30509.0	19150.0	45497.0	21555.0	4355.0	22011.0	24145.0
NRAS_E3_STA100004	7114.0	10500.0	11426.0	14250.0	3040.0	9296.0	2645.0	4977.0	6726.0	3671.0	15718.0	9265.0	21745.0	8923.0	2012.0	9528.0	13344.0
NRAS_E3_STA101617	1493.0	2657.0	1220.0	2362.0	507.0	1570.0	335.0	638.0	1448.0	553.0	2506.0	1739.0	4140.0	2010.0	206.0	1734.0	3307.0
NRAS_E2_STA100006	4584.0	9732.0	5369.0	7542.0	2562.0	4446.0	1566.0	3398.0	4246.0	2916.0	8160.0	7663.0	13800.0	7355.0	1479.0	6552.0	5847.0
NRAS_E2_STA100007	10445.0	38407.0	16115.0	18900.0	4356.0	17541.0	5126.0	7300.0	10864.0	6334.0	22636.0	15792.0	28973.0	13784.0	4350.0	27199.0	20036.0
NRAS_E2_STA100008	11270.0	27534.0	11508.0	19064.0	5550.0	12590.0	3975.0	8903.0	10995.0	6612.0	17395.0	16043.0	34849.0	14883.0	3429.0	20603.0	19123.0
DDR2_E4_STA100387	19601.0	45045.0	21228.0	41129.0	8708.0	15970.0	6609.0	18673.0	16227.0	8930.0	26005.0	30025.0	48295.0	32132.0	4963.0	32587.0	25340.0
DDR2_E5_STA100388	6765.0	22660.0	7905.0	16652.0	4609.0	7390.0	2997.0	10525.0	8327.0	4354.0	13380.0	17113.0	22590.0	17841.0	2794.0	14501.0	11614.0
DDR2_E5_STA100389	4719.0	24215.0	7477.0	14692.0	2323.0	7669.0	2373.0	8176.0	6376.0	3356.0	15409.0	16899.0	18204.0	14395.0	1967.0	13936.0	10112.0
DDR2_E5_STA100390	1202.0	6061.0	1619.0	3811.0	812.0	1364.0	660.0	2752.0	1743.0	905.0	3343.0	6041.0	6329.0	5414.0	518.0	2818.0	1795.0
DDR2_E6_STA100391	1902.0	16021.0	4335.0	7385.0	1304.0	4785.0	1610.0	4101.0	3224.0	1977.0	9379.0	9295.0	10188.0	7126.0	1234.0	7614.0	5468.0
DDR2_E6_STA100392	1986.0	10941.0	2476.0	5706.0	1041.0	2824.0	834.0	3332.0	2745.0	1307.0	6187.0	5727.0	7024.0	5706.0	901.0	5124.0	4027.0
DDR2_E6_STA100393	17237.0	111187.0	19034.0	52874.0	8981.0	21520.0	7232.0	32023.0	22611.0	9739.0	43566.0	58093.0	81598.0	57274.0	6683.0	47892.0	29004.0
DDR2_E6_STA100394	7629.0	48041.0	7851.0	19775.0	5389.0	9639.0	3576.0	11083.0	9977.0	4852.0	16638.0	21902.0	29236.0	20802.0	2827.0	25146.0	14804.0
DDR2_E7_STA100395	4084.0	21731.0	5841.0	12824.0	2816.0	5451.0	2074.0	7429.0	5284.0	2594.0	11232.0	13697.0	17527.0	12069.0	1391.0	10126.0	7487.0
DDR2_E7_STA100396	10039.0	59502.0	16168.0	26007.0	4972.0	16494.0	5624.0	13494.0	13517.0	7938.0	31196.0	28783.0	32284.0	27627.0	4552.0	26978.0	18088.0
DDR2_E7_STA100397	735.0	4567.0	1845.0	2765.0	411.0	1520.0	476.0	1340.0	1046.0	709.0	3517.0	2465.0	3057.0	2454.0	393.0	2207.0	1631.0
DDR2_E8_STA100398	942.0	2953.0	1024.0	2682.0	292.0	847.0	425.0	1637.0	936.0	413.0	2849.0	3635.0	3600.0	2668.0	501.0	1242.0	1077.0
DDR2_E8_STA100399	7169.0	26111.0	10881.0	20220.0	3441.0	10649.0	4372.0	9822.0	7935.0	4234.0	17262.0	16887.0	23411.0	14747.0	3605.0	18644.0	11895.0
DDR2_E9_STA100400	9540.0	51123.0	12527.0	21314.0	4802.0	13053.0	4683.0	13595.0	9998.0	5751.0	21531.0	25159.0	28166.0	24336.0	4079.0	29562.0	16900.0
DDR2_E9_STA100401	9738.0	54272.0	11917.0	22622.0	5737.0	12635.0	4591.0	12346.0	10965.0	5952.0	21983.0	26115.0	27326.0	25639.0	3808.0	30698.0	18778.0
DDR2_E9_STA100402	11626.0	63976.0	14010.0	24570.0	5225.0	14700.0	4943.0	12210.0	10995.0	5837.0	21592.0	25118.0	29034.0	24014.0	4005.0	40513.0	21039.0
DDR2_E9_STA100403	6841.0	21260.0	6847.0	12832.0	3475.0	6147.0	2039.0	8078.0	6109.0	3094.0	8949.0	12310.0	17486.0	12418.0	2057.0	14794.0	9956.0
DDR2_E10_STA100404	2595.0	11142.0	3809.0	6403.0	1486.0	2363.0	1079.0	4872.0	2740.0	1711.0	5414.0	9389.0	10608.0	9446.0	820.0	5260.0	3675.0
DDR2_E10_STA100405	5371.0	28753.0	9072.0	13190.0	3253.0	7021.0	3006.0	10544.0	5683.0	4023.0	11967.0	19373.0	21948.0	16392.0	2170.0	14592.0	9505.0
DDR2_E10_STA100406	15452.0	99923.0	18734.0	39304.0	7197.0	19587.0	8247.0	19370.0	18001.0	9335.0	40815.0	43718.0	49461.0	42331.0	4909.0	49256.0	27492.0
DDR2_E10_STA100407	8261.0	41273.0	9744.0	20121.0	3742.0	9724.0	3616.0	10323.0	8693.0	4803.0	21115.0	23797.0	25873.0	22227.0	2656.0	21780.0	13362.0
DDR2_E10_STA100408	7935.0	40156.0	10265.0	19973.0	4037.0	11046.0	3478.0	11082.0	9197.0	4995.0	22157.0	25958.0	28955.0	24419.0	3520.0	21562.0	13768.0
DDR2_E10_STA100409	13919.0	68998.0	13734.0	27008.0	6975.0	11671.0	4812.0	18725.0	15276.0	7549.0	21793.0	32695.0	39949.0	33582.0	3532.0	37261.0	22593.0
DDR2_E11_STA100410	6596.0	17129.0	5936.0	13759.0	2337.0	4764.0	1937.0	6290.0	5907.0	2223.0	9564.0	12503.0	16341.0	9789.0	1325.0	9054.0	7071.0
DDR2_E12_STA100411	10249.0	37819.0	9503.0	19406.0	4719.0	8919.0	3532.0	11765.0	7883.0	4395.0	16452.0	22110.0	25967.0	19553.0	2662.0	22445.0	14215.0
DDR2_E12_STA100412	1235.0	4197.0	1526.0	4179.0	560.0	1188.0	798.0	2251.0	1372.0	658.0	3002.0	3709.0	5938.0	4212.0	466.0	2025.0	1794.0
DDR2_E13_STA100413	8388.0	47372.0	12620.0	21787.0	5463.0	11547.0	4153.0	13290.0	8812.0	5147.0	18218.0	21818.0	28292.0	20665.0	3009.0	27559.0	17550.0
DDR2_E13_STA100414	5890.0	38297.0	9507.0	15385.0	2435.0	8825.0	3239.0	8361.0	6318.0	3978.0	14440.0	16429.0	17469.0	14059.0	1980.0	19200.0	11940.0
DDR2_E13_STA100415	8783.0	51062.0	10141.0	20942.0	4499.0	10620.0	3581.0	12686.0	11345.0	5678.0	18750.0	23025.0	23528.0	23315.0	3035.0	28562.0	18445.0
DDR2_E14_STA100416	6823.0	37365.0	9733.0	15940.0	3374.0	8296.0	3163.0	10336.0	7585.0	3487.0	18012.0	18961.0	22703.0	17745.0	3144.0	17145.0	11582.0
DDR2_E14_STA101731	18709.0	112028.0	29385.0	57940.0	8469.0	29806.0	11503.0	32306.0	21249.0	9930.0	56503.0	58205.0	75475.0	44639.0	7706.0	48003.0	33887.0
DDR2_E14_STA100418	26865.0	119632.0	27817.0	58107.0	10186.0	23202.0	7940.0	32226.0	24129.0	12189.0	48109.0	64910.0	77386.0	57031.0	6913.0	59338.0	39418.0
DDR2_E14_STA100419	12520.0	57096.0	13275.0	30883.0	4692.0	12332.0	4156.0	14239.0	11565.0	5770.0	25473.0	34527.0	37077.0	27782.0	3238.0	28483.0	19379.0
DDR2_E15_STA100420	10404.0	24033.0	11882.0	20949.0	4189.0	8463.0	3501.0	10793.0	8245.0	4671.0	17186.0	18848.0	25563.0	19487.0	2403.0	17718.0	14610.0
DDR2_E15_STA100421	3144.0	7082.0	4120.0	7411.0	1532.0	2782.0	1277.0	4110.0	2854.0	1476.0	5898.0	6296.0	9410.0	5852.0	842.0	5515.0	4040.0
DDR2_E16_STA100422	8519.0	21931.0	10084.0	17797.0	3659.0	7179.0	3175.0	7862.0	7303.0	5247.0	14801.0	14461.0	17695.0	13473.0	2076.0	17601.0	13162.0
DDR2_E16_STA100423	6462.0	17139.0	9963.0	17265.0	3207.0	8003.0	3034.0	7266.0	6194.0	3322.0	16408.0	13927.0	19121.0	11444.0	2095.0	13502.0	11584.0
DDR2_E16_STA100424	15309.0	51510.0	16687.0	35982.0	6722.0	14219.0	5494.0	18414.0	16611.0	7229.0	30362.0	36333.0	45182.0	32444.0	4768.0	27101.0	21096.0
DDR2_E17_STA100425	5307.0	18047.0	8659.0	15150.0	2970.0	6445.0	2512.0	6296.0	6086.0	3454.0	12462.0	12385.0	17026.0	11177.0	1988.0	12012.0	9426.0
DDR2_E17_STA100426	23775.0	95657.0	21156.0	44714.0	9345.0	18690.0	6412.0	23914.0	21247.0	11851.0	37301.0	45934.0	51742.0	42626.0	5950.0	52253.0	28685.0
DDR2_E17_STA100427	29285.0	145109.0	30219.0	61799.0	14039.0	24357.0	9760.0	33868.0	25904.0	15203.0	45635.0	61280.0	76446.0	63408.0	8122.0	82286.0	45099.0
DDR2_E18_STA100428	6539.0	19902.0	7078.0	15526.0	3451.0	7265.0	2518.0	8434.0	6706.0	3647.0	12867.0	16431.0	20177.0	14519.0	1974.0	13479.0	9901.0
DDR2_E18_STA100429	18278.0	67959.0	21577.0	41720.0	8725.0	23399.0	7684.0	22625.0	17527.0	9990.0	36374.0	39433.0	53177.0	35564.0	5556.0	47196.0	31202.0
DDR2_E18_STA100430	9835.0	45380.0	14518.0	26479.0	6027.0	14848.0	4808.0	13738.0	10564.0	5498.0	24545.0	23307.0	31346.0	20764.0	4038.0	30559.0	19228.0
DDR2_E19_STA100431	10776.0	30830.0	9574.0	24326.0	5369.0	10580.0	4274.0	11745.0	10701.0	5536.0	20810.0	20270.0	28275.0	20246.0	2810.0	19644.0	16123.0
DDR2_E19_STA100432	28801.0	138067.0	29160.0	66232.0	13585.0	28981.0	9576.0	33930.0	29631.0	12972.0	50563.0	69822.0	80428.0	66699.0	8764.0	61615.0	40940.0
DDR2_E19_STA100433	6095.0	35037.0	9783.0	16140.0	3493.0	9954.0	3606.0	11021.0	7713.0	4366.0	18215.0	20037.0	21730.0	20796.0	2606.0	21247.0	13694.0
H3F3A_E2_STA100009	10061.0	25610.0	12434.0	26488.0	5864.0	13580.0	3759.0	16080.0	10924.0	6683.0	22594.0	28085.0	44492.0	27524.0	3944.0	21821.0	17045.0
H3F3A_E2_STA101614	16184.0	61073.0	23574.0	40862.0	9574.0	22504.0	7478.0	21414.0	16143.0	9277.0	35616.0	42420.0	59560.0	37175.0	7089.0	50229.0	32118.0
H3F3A_E2_STA100011	7301.0	22500.0	8178.0	15081.0	4346.0	7822.0	2439.0	8864.0	6897.0	3862.0	12265.0	16936.0	23295.0	17488.0	2496.0	18388.0	11951.0
ALK_E29_STA100103	5546.0	39172.0	10958.0	21067.0	5899.0	12310.0	3904.0	5952.0	16056.0	3816.0	19291.0	16175.0	139.0	32602.0	14.0	15420.0	22588.0
ALK_E29_STA101368	9175.0	63075.0	9657.0	20228.0	4908.0	14127.0	4245.0	13580.0	13650.0	5600.0	20297.0	30831.0	35448.0	30489.0	2418.0	25307.0	20395.0
ALK_E29_STA100104	5479.0	43763.0	8692.0	16258.0	3801.0	14284.0	3310.0	11498.0	9307.0	4638.0	17197.0	22147.0	30425.0	18228.0	2457.0	18353.0	13984.0
ALK_E29_STA100105	8968.0	65805.0	10141.0	28391.0	3734.0	11787.0	2505.0	16030.0	10830.0	5703.0	14387.0	31080.0	53415.0	21302.0	4096.0	25589.0	12645.0
ALK_E29_STA100106	9986.0	61200.0	10539.0	22965.0	5097.0	14162.0	3715.0	14690.0	15249.0	5835.0	21640.0	30782.0	39753.0	31204.0	2899.0	26821.0	19108.0
ALK_E29_STA100107	6987.0	63918.0	12614.0	19295.0	4096.0	17992.0	3852.0	12899.0	12870.0	5217.0	24241.0	27090.0	34777.0	24468.0	3242.0	24725.0	19288.0
ALK_E29_STA100108	8155.0	67746.0	12585.0	22154.0	4236.0	17872.0	4012.0	14441.0	14591.0	5725.0	26294.0	31325.0	37886.0	27559.0	3607.0	25610.0	22532.0
ALK_E29_STA100109	11099.0	61944.0	15111.0	26840.0	5679.0	15974.0	4663.0	15765.0	15387.0	6480.0	26132.0	34972.0	43387.0	34163.0	3711.0	27829.0	22738.0
ALK_E29_STA101369	2374.0	12509.0	4573.0	6498.0	1818.0	4573.0	1311.0	3041.0	3576.0	2054.0	7579.0	8982.0	10051.0	7555.0	713.0	6989.0	6416.0
ALK_E28_STA100110	16256.0	41314.0	21178.0	27259.0	7520.0	19440.0	5663.0	13969.0	17561.0	9485.0	24005.0	32096.0	49460.0	32598.0	4387.0	27646.0	25486.0
ALK_E28_STA100111	12262.0	24002.0	12948.0	22674.0	5137.0	15033.0	3997.0	9428.0	12265.0	5309.0	20291.0	21323.0	32889.0	21070.0	2887.0	16364.0	15515.0
ALK_E28_STA100112	7853.0	26755.0	12786.0	17637.0	3968.0	16264.0	3828.0	7703.0	12054.0	5780.0	20796.0	19379.0	30316.0	20020.0	3378.0	14646.0	13595.0
ALK_E27_STA101615	3169.0	18195.0	4682.0	6914.0	1216.0	7302.0	1432.0	4941.0	4441.0	2832.0	8273.0	8949.0	14028.0	6344.0	1371.0	9268.0	6845.0
ALK_E27_STA100114	4074.0	17118.0	4587.0	11116.0	1780.0	7198.0	2265.0	6569.0	5765.0	2595.0	11620.0	18840.0	20663.0	15966.0	1753.0	5055.0	5678.0
ALK_E27_STA100115	6337.0	31047.0	6401.0	13152.0	3282.0	7613.0	2296.0	8164.0	8986.0	3047.0	12990.0	19406.0	25013.0	20642.0	1975.0	11849.0	9406.0
ALK_E26_STA100116	1890.0	13845.0	2774.0	5049.0	894.0	4319.0	1153.0	2204.0	3275.0	1486.0	4995.0	6356.0	6601.0	5237.0	687.0	5325.0	4907.0
