	D21D00904T	D21D00908T	D21D00917T	D21D00921T	D21D00937	D21D00941T	D21D00942	D21D00943	D21D00948	D21D00949	D21D00952	N21D00923	N21D00932	N21D00946	U21D00938	X21D00911	X21D00918HPV
RB1_E5_STA100666	6424.0	16090.0	10280.0	12703.0	3942.0	4728.0	2547.0	6714.0	6955.0	3700.0	10666.0	12073.0	14157.0	8978.0	2016.0	9716.0	11875.0
RB1_E6_STA100667	9762.0	26157.0	11016.0	17256.0	6474.0	6909.0	3150.0	10719.0	11880.0	5565.0	13185.0	17398.0	25778.0	16555.0	2455.0	13500.0	16738.0
RB1_E6_STA100668	21013.0	51769.0	24036.0	35088.0	12734.0	13510.0	7516.0	16695.0	27046.0	12733.0	28905.0	37454.0	53885.0	34789.0	6243.0	26908.0	32156.0
RB1_E7_STA100669	9458.0	26855.0	12475.0	15442.0	6565.0	8137.0	3201.0	8148.0	11711.0	6325.0	13791.0	16819.0	20742.0	14159.0	2483.0	15876.0	17085.0
RB1_E7_STA100670	7102.0	15930.0	8140.0	14124.0	3656.0	5048.0	2459.0	6535.0	8387.0	3005.0	8961.0	13063.0	16663.0	11262.0	1920.0	6363.0	10293.0
RB1_E8_STA100671	9231.0	25027.0	12080.0	15739.0	5539.0	6846.0	2879.0	8430.0	11508.0	4985.0	11294.0	17577.0	22287.0	17085.0	2591.0	13142.0	16435.0
RB1_E8_STA100672	3558.0	9028.0	5257.0	6483.0	2250.0	2995.0	1464.0	3571.0	4180.0	1997.0	5803.0	6014.0	7883.0	5337.0	839.0	4339.0	5615.0
RB1_E9_STA100674	3782.0	10932.0	5408.0	7288.0	2194.0	3279.0	1169.0	3329.0	5053.0	2523.0	6107.0	7121.0	8649.0	7385.0	1178.0	6027.0	6649.0
RB1_E9_STA100675	5998.0	17106.0	12102.0	14279.0	3806.0	6714.0	2958.0	7557.0	7679.0	4679.0	12737.0	14267.0	18604.0	10999.0	2072.0	8600.0	11598.0
RB1_E10_STA100676	2947.0	6487.0	4513.0	5176.0	1902.0	2147.0	1266.0	3496.0	3517.0	1678.0	4179.0	6716.0	9344.0	6045.0	1079.0	2846.0	3875.0
RB1_E10_STA100677	6699.0	15848.0	8266.0	12128.0	4190.0	4340.0	2655.0	6064.0	7051.0	3941.0	9767.0	12264.0	17530.0	10314.0	1784.0	7752.0	9608.0
RB1_E11_STA100678	2530.0	6400.0	4557.0	4647.0	1702.0	2418.0	1382.0	2590.0	3087.0	1685.0	4967.0	5259.0	6430.0	4348.0	1021.0	3522.0	4660.0
RB1_E11_STA101836	2675.0	8012.0	4457.0	4718.0	1118.0	2813.0	1066.0	2762.0	2990.0	1558.0	4995.0	5366.0	5420.0	3512.0	600.0	4561.0	5406.0
RB1_E12_STA100680	2835.0	4818.0	4505.0	7319.0	1728.0	2459.0	976.0	4432.0	3716.0	1757.0	5688.0	8498.0	12528.0	8110.0	1052.0	1919.0	3485.0
RB1_E12_STA100681	4633.0	13151.0	7505.0	9013.0	2871.0	4697.0	1893.0	4131.0	6063.0	3256.0	7586.0	9485.0	10762.0	7084.0	1407.0	6692.0	9028.0
RB1_E13_STA100682	17297.0	32732.0	19692.0	26184.0	9002.0	12408.0	5039.0	16841.0	17871.0	8213.0	20320.0	26719.0	39982.0	27492.0	4524.0	19330.0	24786.0
RB1_E13_STA101824	4426.0	10031.0	8493.0	10320.0	2349.0	4968.0	1924.0	4475.0	5084.0	3018.0	8742.0	9779.0	11631.0	7470.0	1270.0	6274.0	8922.0
RB1_E14_STA100684	5076.0	11104.0	5987.0	9647.0	2489.0	7418.0	2719.0	6484.0	7208.0	2355.0	10797.0	10692.0	16011.0	10534.0	1769.0	6353.0	8356.0
RB1_E15_STA102085	2827.0	9485.0	3765.0	6934.0	1759.0	4619.0	1548.0	4236.0	3701.0	1510.0	5692.0	7031.0	9291.0	5545.0	1233.0	4973.0	5499.0
RB1_E15_STA100687	1490.0	6914.0	3028.0	5057.0	1622.0	1533.0	1018.0	3746.0	3074.0	1260.0	4479.0	6455.0	8592.0	5299.0	783.0	1357.0	3531.0
RB1_E16_STA101843	1964.0	6640.0	3768.0	6565.0	2046.0	2745.0	1194.0	4315.0	3863.0	1360.0	4517.0	7801.0	10055.0	6512.0	904.0	1852.0	4938.0
RB1_E16_STA100689	3108.0	6304.0	3563.0	6184.0	2178.0	2627.0	1291.0	4119.0	3687.0	1362.0	4242.0	7399.0	9591.0	6186.0	865.0	3096.0	4715.0
RB1_E17_STA100690	2960.0	9291.0	6686.0	7848.0	1892.0	2815.0	1567.0	4000.0	4033.0	2265.0	6606.0	7295.0	9419.0	6629.0	1020.0	4924.0	6668.0
RB1_E17_STA100691	12361.0	30509.0	17117.0	22524.0	7746.0	10434.0	3974.0	12945.0	14784.0	7783.0	16120.0	23593.0	28975.0	22159.0	2886.0	16693.0	18876.0
RB1_E17_STA100692	5725.0	13350.0	9741.0	10521.0	3278.0	5138.0	2398.0	5981.0	6335.0	3219.0	9143.0	10236.0	12597.0	8189.0	1865.0	8914.0	10249.0
RB1_E18_STA100693	10463.0	23146.0	11764.0	15676.0	5144.0	7327.0	2989.0	8673.0	12688.0	5271.0	13117.0	17591.0	24807.0	18114.0	2145.0	11780.0	14364.0
RB1_E18_STA100694	7595.0	16832.0	9756.0	13727.0	4268.0	5521.0	2546.0	8096.0	9688.0	4329.0	10012.0	13714.0	20760.0	13558.0	1627.0	7657.0	10522.0
RB1_E19_STA100695	2146.0	4813.0	2380.0	4569.0	1261.0	1564.0	855.0	2366.0	2952.0	1144.0	4336.0	4752.0	7359.0	4160.0	728.0	2306.0	3399.0
RB1_E19_STA101820	5291.0	11153.0	7298.0	11160.0	3036.0	5301.0	2627.0	5894.0	6309.0	2855.0	11277.0	9426.0	13908.0	8771.0	1847.0	5979.0	8591.0
RB1_E19_STA100697	4511.0	14517.0	5584.0	7888.0	2752.0	6108.0	2053.0	6214.0	6300.0	3255.0	7864.0	9929.0	11548.0	8825.0	1592.0	8049.0	9045.0
RB1_E20_STA100698	7275.0	17827.0	11908.0	18575.0	4370.0	10004.0	3796.0	10111.0	12278.0	5716.0	18562.0	17674.0	21433.0	18077.0	2631.0	10056.0	12895.0
RB1_E20_STA100699	7571.0	20298.0	15003.0	22013.0	4751.0	12426.0	4818.0	13229.0	12701.0	5932.0	22511.0	20284.0	26496.0	18721.0	3154.0	11166.0	15657.0
RB1_E20_STA100700	18404.0	52848.0	15880.0	32320.0	11146.0	14453.0	6058.0	26771.0	27265.0	9426.0	29861.0	34098.0	59376.0	38378.0	5060.0	25942.0	29057.0
RB1_E21_STA100702	6367.0	13069.0	9430.0	12016.0	2834.0	4389.0	2035.0	6417.0	6978.0	3753.0	8877.0	11296.0	16813.0	10005.0	1755.0	5758.0	8539.0
RB1_E21_STA101831	9534.0	21144.0	12919.0	16937.0	4169.0	6396.0	2504.0	7952.0	9887.0	5673.0	12936.0	15728.0	20432.0	13565.0	2044.0	8903.0	13323.0
