	C21D00050	D21D00052	D21D00060T	D21D00065	D21D00066T	D21D00074T	K21D00053	M21D00054	M21D00075	N21D00042	N21D00061	O21D00086T	P20D02528	P21D00043	P21D00044	P21D00045	P21D00046	P21D00055	P21D00056	P21D00062	P21D00067	P21D00068	P21D00078	P21D00083	P21D00091	U21D00040	X21D00037	X21D00058T	X21D00069	X21D00077
ERBB2_E27_STA101364	2748.0	1519.0	1925.0	987.0	1735.0	520.0	107.0	1732.0	360.0	1250.0	3398.0	276.0	144.0	1009.0	1994.0	392.0	962.0	413.0	774.0	509.0	1575.0	788.0	48.0	142.0	119.0	869.0	371.0	576.0	265.0	231.0
ERBB2_E28_STA101365	18290.0	9800.0	10982.0	6913.0	12527.0	4196.0	926.0	10865.0	2353.0	9190.0	19358.0	1491.0	1123.0	6661.0	12138.0	2997.0	5394.0	2300.0	4213.0	4191.0	8246.0	4055.0	612.0	1115.0	730.0	5686.0	2946.0	2842.0	1694.0	764.0
ERBB2_E29_STA101366	22880.0	12404.0	14881.0	8972.0	16467.0	5193.0	1074.0	14791.0	2417.0	12172.0	25334.0	2177.0	1396.0	10076.0	15342.0	3723.0	6272.0	3369.0	5215.0	4928.0	13022.0	6250.0	815.0	994.0	998.0	6926.0	3551.0	3135.0	2483.0	1020.0
ERBB2_E30_STA101367	8864.0	4691.0	5121.0	2846.0	5013.0	1706.0	496.0	6296.0	765.0	4054.0	9599.0	1009.0	423.0	2764.0	5266.0	1525.0	2890.0	1005.0	1463.0	1656.0	4133.0	2113.0	261.0	591.0	336.0	2667.0	1006.0	1623.0	777.0	284.0
BRCA1_E23_STA100977	37220.0	17560.0	20985.0	13326.0	23411.0	11847.0	2792.0	19181.0	7026.0	18051.0	27498.0	5355.0	1704.0	12187.0	18392.0	9400.0	11708.0	5211.0	6087.0	9768.0	22197.0	7082.0	1451.0	2362.0	1576.0	14097.0	6237.0	9798.0	3398.0	2529.0
BRCA1_E23_STA100978	20076.0	9713.0	12286.0	6987.0	14370.0	7319.0	1943.0	12029.0	4231.0	11939.0	22542.0	3191.0	1016.0	8037.0	11943.0	5232.0	6259.0	2689.0	3404.0	4867.0	13694.0	4596.0	770.0	1199.0	988.0	7950.0	3397.0	4907.0	2328.0	1756.0
BRCA1_E22_STA100979	12199.0	5241.0	9101.0	3621.0	7386.0	4579.0	1386.0	8592.0	2095.0	8283.0	11045.0	2173.0	794.0	5423.0	8128.0	3538.0	4631.0	2219.0	2359.0	2747.0	8745.0	2606.0	676.0	828.0	662.0	4686.0	2411.0	3187.0	1436.0	845.0
BRCA1_E21_STA100980	12474.0	6137.0	12779.0	5803.0	11898.0	11396.0	3505.0	10091.0	4760.0	10394.0	15014.0	4277.0	1167.0	7492.0	9925.0	5877.0	6300.0	2639.0	3976.0	4214.0	13709.0	3900.0	895.0	1414.0	602.0	7476.0	3979.0	5588.0	2260.0	1872.0
BRCA1_E20_STA101745	6421.0	4215.0	8155.0	3394.0	7371.0	5921.0	2122.0	8195.0	2469.0	7372.0	8031.0	2497.0	808.0	5751.0	7995.0	4133.0	4038.0	2108.0	2525.0	2552.0	10978.0	3047.0	541.0	747.0	502.0	4853.0	2254.0	2984.0	1785.0	1087.0
BRCA1_E19_STA101746	20524.0	8170.0	12712.0	6194.0	12745.0	8751.0	2615.0	13640.0	3740.0	15876.0	21150.0	2964.0	1141.0	9041.0	12885.0	5626.0	6860.0	3061.0	3834.0	4575.0	14891.0	4894.0	943.0	1357.0	720.0	7563.0	3462.0	3863.0	2343.0	1440.0
BRCA1_E19_STA100983	8590.0	3320.0	7946.0	3463.0	5973.0	3738.0	1140.0	8386.0	1133.0	6548.0	10517.0	1768.0	804.0	3294.0	6894.0	3243.0	3865.0	1780.0	2641.0	1895.0	6769.0	2429.0	406.0	900.0	293.0	4817.0	2136.0	2352.0	1296.0	611.0
BRCA1_E18_STA101750	11125.0	5634.0	12265.0	5966.0	11753.0	10212.0	4230.0	10960.0	4342.0	11500.0	13354.0	4316.0	1320.0	8129.0	10604.0	5454.0	6373.0	2832.0	3482.0	3407.0	13373.0	4002.0	635.0	1273.0	694.0	7778.0	3408.0	4704.0	2177.0	1935.0
BRCA1_E17_STA100985	5670.0	2386.0	6527.0	3113.0	4237.0	5183.0	1928.0	4774.0	2502.0	4802.0	4613.0	2671.0	619.0	2952.0	4344.0	2963.0	3127.0	1267.0	2240.0	1659.0	7583.0	1452.0	323.0	723.0	256.0	3524.0	1602.0	2924.0	951.0	990.0
BRCA1_E17_STA100986	5291.0	2522.0	5564.0	2655.0	2266.0	4623.0	1806.0	3856.0	2320.0	4491.0	4307.0	2350.0	566.0	2476.0	3867.0	2639.0	2601.0	1068.0	1700.0	1419.0	7318.0	1254.0	356.0	500.0	224.0	2934.0	1433.0	2436.0	762.0	816.0
BRCA1_E16_STA101747	5049.0	2487.0	3671.0	2601.0	4539.0	2261.0	789.0	2831.0	1255.0	3314.0	4451.0	1268.0	182.0	2200.0	3039.0	1574.0	2272.0	856.0	1274.0	1392.0	4149.0	1171.0	306.0	414.0	226.0	2259.0	1248.0	1829.0	551.0	547.0
