	C21D00050	D21D00052	D21D00060T	D21D00065	D21D00066T	D21D00074T	K21D00053	M21D00054	M21D00075	N21D00042	N21D00061	O21D00086T	P20D02528	P21D00043	P21D00044	P21D00045	P21D00046	P21D00055	P21D00056	P21D00062	P21D00067	P21D00068	P21D00078	P21D00083	P21D00091	U21D00040	X21D00037	X21D00058T	X21D00069	X21D00077
JAK1_E25_STA100319	2212.0	916.0	3403.0	1228.0	2989.0	3073.0	1854.0	3113.0	1197.0	2708.0	3559.0	1302.0	328.0	1972.0	2308.0	1782.0	1879.0	1010.0	1237.0	627.0	4146.0	855.0	255.0	278.0	153.0	1922.0	776.0	861.0	398.0	475.0
JAK1_E25_STA100320	2315.0	749.0	3639.0	1219.0	2819.0	2950.0	1336.0	2778.0	1054.0	2665.0	2736.0	1152.0	450.0	2026.0	2673.0	1758.0	2006.0	1316.0	1291.0	806.0	4936.0	1056.0	251.0	422.0	124.0	2064.0	778.0	997.0	726.0	578.0
JAK1_E25_STA100321	1805.0	608.0	2508.0	686.0	1694.0	1992.0	955.0	2172.0	755.0	1625.0	2518.0	1094.0	260.0	1198.0	2016.0	1190.0	1001.0	766.0	911.0	796.0	2933.0	752.0	106.0	371.0	120.0	1324.0	512.0	807.0	440.0	440.0
JAK1_E24_STA100322	15524.0	6118.0	11696.0	5204.0	11465.0	13992.0	4984.0	11066.0	6519.0	11865.0	17261.0	5509.0	1350.0	7220.0	9321.0	7518.0	8888.0	4786.0	5376.0	4151.0	15527.0	4134.0	861.0	2014.0	793.0	8612.0	4798.0	4669.0	2181.0	2465.0
JAK1_E24_STA100323	10582.0	4103.0	12706.0	4175.0	11240.0	10803.0	5166.0	11802.0	5977.0	9662.0	13902.0	4792.0	1532.0	7554.0	9842.0	6150.0	7155.0	3927.0	4385.0	3466.0	15891.0	3917.0	682.0	1773.0	522.0	7568.0	3671.0	3480.0	2402.0	2110.0
JAK1_E24_STA100324	4112.0	1437.0	5498.0	1832.0	5015.0	4558.0	1960.0	4882.0	2358.0	3342.0	6211.0	2088.0	722.0	2292.0	3536.0	2703.0	2880.0	1612.0	1890.0	1566.0	5889.0	1502.0	335.0	594.0	162.0	3233.0	1586.0	1488.0	1122.0	956.0
JAK1_E23_STA100325	8987.0	4577.0	11607.0	4267.0	9806.0	10401.0	4064.0	9818.0	5009.0	9265.0	12599.0	4004.0	1360.0	6744.0	8478.0	5779.0	6773.0	3893.0	4178.0	3404.0	13046.0	3678.0	665.0	1600.0	479.0	6632.0	3630.0	3203.0	2100.0	2111.0
JAK1_E23_STA100326	2736.0	1289.0	3674.0	1298.0	3041.0	2799.0	1203.0	2786.0	1496.0	2227.0	2135.0	1506.0	400.0	1232.0	2300.0	1989.0	2485.0	971.0	1659.0	1040.0	4251.0	1003.0	340.0	400.0	208.0	1897.0	1200.0	1083.0	510.0	670.0
JAK1_E22_STA100327	8517.0	4192.0	12896.0	3835.0	10343.0	10687.0	5123.0	11775.0	5193.0	9567.0	12424.0	4586.0	1303.0	7511.0	10679.0	6129.0	6834.0	4398.0	4179.0	3796.0	14082.0	3946.0	774.0	1706.0	541.0	7647.0	3607.0	3143.0	2275.0	1927.0
JAK1_E22_STA100328	19486.0	8963.0	23075.0	8168.0	19847.0	20346.0	9505.0	21524.0	10808.0	21070.0	20906.0	8367.0	2475.0	13791.0	18843.0	11379.0	13907.0	7627.0	7873.0	6793.0	26149.0	7947.0	1385.0	2697.0	1026.0	14030.0	7496.0	6273.0	3923.0	3832.0
JAK1_E22_STA100329	12611.0	5231.0	15518.0	5595.0	13217.0	14810.0	5982.0	14334.0	6646.0	12923.0	13560.0	6460.0	1300.0	7685.0	12534.0	8539.0	9648.0	4842.0	5770.0	4204.0	16439.0	5119.0	947.0	1805.0	589.0	8813.0	5147.0	4983.0	2819.0	2175.0
JAK1_E22_STA100330	5399.0	1626.0	5421.0	2086.0	5098.0	5345.0	2322.0	4403.0	3110.0	3611.0	5238.0	2426.0	454.0	2806.0	3997.0	2827.0	4017.0	1656.0	1963.0	1616.0	6405.0	1722.0	298.0	642.0	242.0	3014.0	1808.0	1719.0	576.0	834.0
JAK1_E21_STA100331	3382.0	1354.0	5227.0	1439.0	3857.0	3311.0	1681.0	3739.0	1448.0	2895.0	5023.0	1615.0	302.0	2146.0	3731.0	1736.0	2560.0	1518.0	1781.0	1097.0	5452.0	1587.0	310.0	453.0	170.0	2381.0	1126.0	1194.0	730.0	816.0
JAK1_E21_STA100332	14463.0	5524.0	13311.0	5745.0	11752.0	9728.0	4392.0	12990.0	5895.0	10957.0	12144.0	4285.0	1418.0	8615.0	10134.0	6925.0	9792.0	4145.0	4720.0	3977.0	13511.0	4555.0	1128.0	1632.0	705.0	8785.0	5002.0	4483.0	1914.0	2047.0
JAK1_E21_STA100333	20496.0	9970.0	20697.0	7294.0	19276.0	14213.0	5733.0	17719.0	8451.0	18752.0	25644.0	5640.0	1959.0	11744.0	16697.0	9471.0	12194.0	6146.0	6621.0	6051.0	21465.0	7668.0	1610.0	2664.0	1122.0	11760.0	6243.0	5468.0	3913.0	3858.0
JAK1_E20_STA100334	8476.0	3038.0	6820.0	2383.0	5015.0	3810.0	949.0	6665.0	1893.0	4723.0	7534.0	1671.0	562.0	3762.0	5883.0	2870.0	4322.0	2064.0	2243.0	1860.0	5651.0	2115.0	478.0	845.0	346.0	3884.0	1972.0	1371.0	953.0	694.0
JAK1_E20_STA100335	32517.0	10611.0	26186.0	8270.0	20948.0	12786.0	3588.0	24966.0	6234.0	23383.0	33774.0	5202.0	2357.0	15671.0	23823.0	9562.0	14499.0	6971.0	8745.0	7569.0	26468.0	9207.0	1648.0	2438.0	925.0	12961.0	7844.0	4644.0	4158.0	2798.0
JAK1_E20_STA100336	31553.0	11172.0	26548.0	8689.0	22356.0	12379.0	3894.0	25261.0	6477.0	19209.0	31753.0	4652.0	2185.0	15150.0	23658.0	8808.0	15212.0	6815.0	8995.0	7965.0	25095.0	8128.0	1412.0	2505.0	918.0	13295.0	7444.0	4750.0	3909.0	2532.0
JAK1_E20_STA100337	25420.0	9114.0	20786.0	7594.0	18087.0	9952.0	3282.0	19478.0	5651.0	15498.0	25888.0	3560.0	1869.0	13218.0	19394.0	7056.0	11740.0	6026.0	7539.0	6446.0	20681.0	6221.0	1089.0	2313.0	815.0	10279.0	5922.0	3785.0	3149.0	2169.0
JAK1_E19_STA100338	14820.0	4929.0	11659.0	4066.0	9474.0	5450.0	1836.0	10825.0	3261.0	8487.0	15318.0	2563.0	1064.0	6866.0	9940.0	3981.0	6675.0	3299.0	3986.0	3537.0	12208.0	3489.0	795.0	1140.0	418.0	5979.0	3141.0	2063.0	1889.0	1129.0
JAK1_E19_STA100339	14025.0	4614.0	9521.0	4084.0	8788.0	5410.0	1690.0	7554.0	3556.0	6038.0	11939.0	2148.0	679.0	4006.0	7606.0	3997.0	6200.0	2563.0	3828.0	3028.0	10414.0	2918.0	508.0	1116.0	494.0	4860.0	3006.0	2064.0	1308.0	1257.0
JAK1_E19_STA101785	26253.0	8926.0	15729.0	6259.0	14924.0	9535.0	2993.0	14388.0	6888.0	12965.0	19928.0	4085.0	1747.0	9470.0	13035.0	7418.0	11845.0	4713.0	5576.0	5580.0	14787.0	5225.0	1078.0	1834.0	693.0	11313.0	5550.0	4237.0	2448.0	2752.0
JAK1_E18_STA100341	33028.0	9540.0	27092.0	9076.0	20837.0	17268.0	4427.0	23769.0	9504.0	19456.0	37653.0	6042.0	2328.0	16752.0	22572.0	10447.0	15911.0	7508.0	8447.0	8523.0	28366.0	8868.0	1856.0	3173.0	933.0	14883.0	7940.0	4662.0	4998.0	2454.0
JAK1_E18_STA100342	4054.0	1480.0	4654.0	1138.0	2750.0	2011.0	1082.0	4331.0	924.0	3248.0	4792.0	1042.0	265.0	2375.0	3234.0	1662.0	2390.0	1170.0	1494.0	1023.0	4964.0	1421.0	397.0	542.0	100.0	2270.0	1088.0	1010.0	627.0	363.0
JAK1_E17_STA100343	19919.0	7759.0	14178.0	6655.0	12605.0	6732.0	2098.0	13403.0	3855.0	11361.0	25058.0	3123.0	1558.0	7719.0	13772.0	5086.0	7841.0	3352.0	4203.0	5455.0	13087.0	6284.0	1016.0	1781.0	645.0	7869.0	4364.0	2740.0	2048.0	1503.0
JAK1_E17_STA100344	26795.0	8854.0	12255.0	6671.0	12901.0	6944.0	1890.0	11958.0	5419.0	10651.0	19903.0	3154.0	1308.0	7348.0	11146.0	5275.0	9531.0	3562.0	4247.0	5706.0	12562.0	4045.0	887.0	1596.0	729.0	8636.0	4812.0	3207.0	1617.0	2165.0
JAK1_E17_STA100345	13899.0	4074.0	9025.0	2765.0	8216.0	4017.0	1263.0	9018.0	2238.0	7461.0	12678.0	1510.0	752.0	5774.0	7353.0	3110.0	5107.0	2377.0	3094.0	3166.0	8110.0	3084.0	578.0	1058.0	379.0	5344.0	2610.0	1317.0	1443.0	1055.0
JAK1_E16_STA100346	20640.0	7540.0	13121.0	5736.0	11970.0	4861.0	1182.0	13925.0	3624.0	10102.0	25013.0	2032.0	1241.0	7152.0	13562.0	4557.0	8008.0	3606.0	5147.0	5212.0	11809.0	4474.0	711.0	1174.0	621.0	7981.0	3983.0	1867.0	2098.0	1083.0
JAK1_E16_STA100347	6911.0	2326.0	6627.0	2035.0	5217.0	2298.0	699.0	7081.0	1009.0	4451.0	10357.0	1023.0	548.0	3267.0	5423.0	1847.0	3035.0	1774.0	2047.0	1540.0	5367.0	2252.0	416.0	690.0	265.0	2897.0	1385.0	865.0	907.0	564.0
JAK1_E15_STA100348	26731.0	9060.0	17400.0	7750.0	17645.0	7460.0	2307.0	18648.0	4838.0	14311.0	35988.0	3446.0	2075.0	11208.0	19123.0	6223.0	10829.0	5048.0	6095.0	5895.0	16562.0	6973.0	1066.0	2350.0	1042.0	9380.0	5425.0	4206.0	2779.0	1805.0
JAK1_E15_STA100349	14192.0	4701.0	8596.0	3793.0	9009.0	4055.0	1074.0	7635.0	3357.0	7607.0	15978.0	1411.0	727.0	6161.0	8745.0	2768.0	5140.0	2468.0	2699.0	3380.0	8688.0	2947.0	604.0	844.0	286.0	4628.0	2756.0	1703.0	1422.0	911.0
JAK1_E14_STA100350	15437.0	6123.0	7897.0	4507.0	8902.0	3395.0	795.0	7995.0	2338.0	5530.0	11038.0	1511.0	454.0	2765.0	7101.0	3103.0	5619.0	2234.0	3142.0	3335.0	8105.0	2645.0	670.0	937.0	312.0	3944.0	2691.0	1343.0	1291.0	642.0
JAK1_E14_STA100351	3289.0	1344.0	2408.0	1100.0	2150.0	876.0	261.0	2462.0	480.0	1348.0	4229.0	462.0	176.0	1170.0	2145.0	652.0	1613.0	655.0	1183.0	745.0	1646.0	929.0	110.0	256.0	160.0	1568.0	808.0	518.0	342.0	236.0
JAK1_E13_STA100352	10159.0	3049.0	7929.0	2836.0	7151.0	3737.0	1004.0	8242.0	1801.0	5376.0	11776.0	1900.0	649.0	4188.0	7270.0	2938.0	4547.0	2116.0	3048.0	2874.0	7188.0	2783.0	386.0	637.0	417.0	4783.0	2861.0	1725.0	1114.0	608.0
JAK1_E13_STA100353	2342.0	888.0	2410.0	706.0	1793.0	966.0	342.0	2754.0	461.0	1510.0	3414.0	391.0	175.0	1300.0	1950.0	810.0	1179.0	796.0	755.0	641.0	1933.0	858.0	214.0	288.0	120.0	1316.0	687.0	371.0	264.0	157.0
JAK1_E12_STA100354	13652.0	5590.0	9391.0	4228.0	9197.0	3978.0	1131.0	9152.0	2378.0	6723.0	15021.0	1798.0	712.0	5112.0	8533.0	3432.0	5631.0	2834.0	3399.0	2947.0	7996.0	3326.0	542.0	1050.0	266.0	5580.0	2921.0	1889.0	1336.0	744.0
JAK1_E12_STA100355	62598.0	22742.0	30816.0	17079.0	34654.0	17526.0	3951.0	32571.0	10873.0	28681.0	54030.0	6366.0	2708.0	21066.0	37983.0	13278.0	21582.0	8503.0	12228.0	12689.0	34221.0	12515.0	2060.0	3397.0	1401.0	19340.0	13340.0	5836.0	5273.0	2605.0
JAK1_E11_STA100356	28216.0	10975.0	18326.0	8254.0	18099.0	11376.0	2968.0	16100.0	6595.0	13574.0	25464.0	4487.0	1506.0	11808.0	16575.0	8074.0	10921.0	4783.0	5733.0	6567.0	17913.0	6585.0	1005.0	1843.0	733.0	11280.0	5985.0	3738.0	3075.0	1678.0
JAK1_E11_STA100357	13033.0	4868.0	9028.0	4220.0	9229.0	6091.0	1577.0	8329.0	3595.0	6701.0	13388.0	2619.0	795.0	6057.0	7581.0	3913.0	5388.0	2996.0	3085.0	3182.0	9182.0	3103.0	677.0	1208.0	364.0	5394.0	2758.0	2191.0	1441.0	1237.0
JAK1_E11_STA100358	9538.0	3958.0	10354.0	3753.0	8563.0	5491.0	2021.0	9300.0	3100.0	6905.0	9857.0	2966.0	1009.0	5476.0	9031.0	4545.0	6123.0	2934.0	3750.0	3134.0	9101.0	3703.0	564.0	976.0	379.0	5646.0	3537.0	2109.0	1805.0	1131.0
JAK1_E10_STA100359	5539.0	2570.0	5917.0	2171.0	4757.0	2244.0	753.0	5687.0	907.0	3581.0	8083.0	935.0	348.0	2621.0	4838.0	2267.0	3117.0	1487.0	1816.0	1386.0	5401.0	2163.0	435.0	545.0	262.0	2904.0	1106.0	954.0	910.0	397.0
JAK1_E10_STA100360	28732.0	10123.0	17068.0	8098.0	19507.0	9868.0	1707.0	15323.0	6119.0	10933.0	21527.0	3161.0	1166.0	7880.0	15517.0	7527.0	12040.0	5262.0	7531.0	6216.0	19321.0	5401.0	1180.0	1443.0	625.0	8618.0	5435.0	3327.0	2236.0	1548.0
JAK1_E9_STA100361	10584.0	3948.0	7726.0	2961.0	6653.0	3826.0	1230.0	7146.0	2026.0	5135.0	11294.0	1901.0	553.0	3739.0	6928.0	3384.0	4579.0	1982.0	2834.0	2389.0	8232.0	3035.0	422.0	746.0	326.0	4588.0	2607.0	1454.0	1189.0	964.0
JAK1_E9_STA100362	17882.0	6331.0	12385.0	4774.0	10680.0	6082.0	1741.0	10968.0	3253.0	8094.0	16550.0	3207.0	830.0	6165.0	10220.0	5199.0	7957.0	3047.0	5034.0	3839.0	12709.0	4225.0	725.0	1144.0	500.0	7661.0	4060.0	2482.0	1707.0	1469.0
JAK1_E9_STA100363	33822.0	12343.0	21876.0	8791.0	20739.0	12044.0	3996.0	21312.0	7365.0	19119.0	40621.0	5836.0	1803.0	13997.0	19550.0	8679.0	12753.0	5850.0	6947.0	8678.0	24314.0	7657.0	1523.0	2756.0	1360.0	12438.0	7047.0	4590.0	3766.0	3851.0
JAK1_E8_STA100364	9154.0	4904.0	11773.0	4221.0	9964.0	10173.0	4840.0	9291.0	5689.0	9718.0	14596.0	4171.0	1042.0	6555.0	9413.0	5534.0	6697.0	3693.0	3555.0	3580.0	14823.0	4120.0	827.0	1380.0	616.0	6810.0	3585.0	3104.0	2317.0	2699.0
JAK1_E8_STA100365	15409.0	6811.0	21432.0	6657.0	17048.0	16164.0	6382.0	18422.0	7477.0	15743.0	19261.0	7315.0	2209.0	10912.0	16753.0	10037.0	13221.0	6822.0	8034.0	5501.0	24318.0	6425.0	1282.0	2845.0	795.0	12321.0	6651.0	4945.0	3735.0	2560.0
JAK1_E8_STA100366	12763.0	6077.0	17370.0	5141.0	13584.0	13565.0	5596.0	15733.0	5869.0	11741.0	17527.0	6011.0	2058.0	9686.0	13862.0	8059.0	10394.0	5131.0	6004.0	4650.0	21333.0	5641.0	1234.0	1955.0	390.0	9768.0	4871.0	3980.0	3257.0	2121.0
JAK1_E8_STA100367	2235.0	981.0	3932.0	799.0	2104.0	2434.0	1257.0	3623.0	956.0	1481.0	3076.0	1189.0	436.0	1513.0	2662.0	1326.0	2206.0	837.0	1183.0	762.0	4288.0	967.0	163.0	311.0	129.0	1847.0	738.0	728.0	695.0	333.0
JAK1_E7_STA100368	20616.0	10439.0	25370.0	9282.0	20453.0	25921.0	9717.0	19019.0	13520.0	22233.0	30810.0	10871.0	2175.0	14578.0	18057.0	13976.0	14645.0	7347.0	7920.0	8170.0	25680.0	8454.0	1649.0	2826.0	1381.0	14009.0	8486.0	7896.0	4783.0	4856.0
JAK1_E7_STA100369	3828.0	1710.0	4122.0	1340.0	3723.0	4023.0	1827.0	3546.0	1960.0	3306.0	3350.0	1750.0	532.0	2159.0	2843.0	2155.0	3104.0	1358.0	1806.0	1274.0	5273.0	1135.0	298.0	566.0	138.0	2962.0	1754.0	1359.0	555.0	598.0
JAK1_E7_STA100370	5066.0	2205.0	6971.0	2158.0	5490.0	6168.0	2956.0	4992.0	3409.0	5006.0	5608.0	2709.0	709.0	4053.0	4292.0	3378.0	3349.0	1910.0	1988.0	1586.0	7577.0	1912.0	426.0	878.0	328.0	3163.0	1996.0	2080.0	1076.0	1309.0
JAK1_E7_STA100371	9699.0	5268.0	16450.0	5174.0	13361.0	15593.0	7120.0	14985.0	7446.0	13216.0	12763.0	6820.0	1890.0	10562.0	12845.0	8661.0	9636.0	5268.0	5604.0	4906.0	19682.0	5237.0	1291.0	2269.0	569.0	9764.0	4915.0	4533.0	2845.0	2400.0
JAK1_E7_STA100372	3099.0	1116.0	4129.0	1224.0	3063.0	3482.0	1291.0	3305.0	1617.0	2460.0	2633.0	1444.0	266.0	1298.0	2347.0	2446.0	3101.0	1176.0	1714.0	819.0	4543.0	1104.0	162.0	497.0	136.0	2211.0	1383.0	978.0	534.0	616.0
JAK1_E6_STA100373	2839.0	1194.0	3695.0	991.0	872.0	2575.0	703.0	3246.0	1054.0	1480.0	3672.0	1087.0	466.0	1083.0	2629.0	1539.0	2250.0	550.0	1274.0	960.0	2550.0	646.0	256.0	338.0	96.0	1881.0	681.0	771.0	628.0	454.0
JAK1_E6_STA100374	13891.0	4352.0	13387.0	3596.0	10404.0	8353.0	2642.0	10676.0	3826.0	8006.0	16412.0	3024.0	1327.0	7344.0	10423.0	5159.0	7912.0	3462.0	4009.0	3790.0	14506.0	4195.0	1018.0	1382.0	565.0	7424.0	3762.0	2378.0	2025.0	1267.0
JAK1_E6_STA100375	31913.0	11620.0	23921.0	8863.0	883.0	15464.0	5058.0	20195.0	9004.0	9080.0	35350.0	6305.0	2620.0	7620.0	20467.0	10084.0	13231.0	2304.0	7893.0	7813.0	14757.0	4407.0	1975.0	2104.0	1074.0	14535.0	3846.0	4869.0	4848.0	3135.0
JAK1_E5_STA100376	12753.0	4865.0	10993.0	3609.0	9161.0	6774.0	1617.0	9698.0	3012.0	7766.0	14047.0	2793.0	1102.0	5469.0	9475.0	4702.0	6548.0	3261.0	4506.0	2925.0	11782.0	3799.0	694.0	1250.0	444.0	6641.0	3034.0	2464.0	1730.0	1168.0
JAK1_E5_STA100377	49917.0	15950.0	32221.0	13212.0	30328.0	21535.0	6055.0	29184.0	12308.0	27854.0	50397.0	8278.0	3216.0	20568.0	28167.0	14736.0	19909.0	9202.0	11599.0	10471.0	40344.0	11477.0	2248.0	3209.0	1639.0	19575.0	9652.0	6178.0	5822.0	4323.0
JAK1_E5_STA100378	7440.0	2142.0	5514.0	1965.0	4925.0	2418.0	749.0	5121.0	1396.0	3947.0	5516.0	1533.0	510.0	2502.0	3512.0	2563.0	4421.0	1346.0	2570.0	1552.0	5238.0	1518.0	332.0	671.0	256.0	4020.0	1617.0	1287.0	721.0	550.0
JAK1_E5_STA101781	19027.0	8042.0	15003.0	5850.0	15226.0	9709.0	2295.0	13301.0	5400.0	11634.0	21505.0	3349.0	1294.0	10200.0	13089.0	6220.0	8504.0	4873.0	4855.0	5153.0	16668.0	5268.0	994.0	1403.0	778.0	9117.0	3991.0	2293.0	2944.0	1760.0
JAK1_E4_STA100380	25132.0	8385.0	18495.0	7342.0	17749.0	15678.0	4917.0	16189.0	7582.0	15357.0	20401.0	6167.0	1628.0	9803.0	15851.0	9919.0	11404.0	5877.0	6042.0	6003.0	21096.0	6159.0	1146.0	2131.0	634.0	11919.0	6435.0	4375.0	3470.0	2364.0
JAK1_E4_STA100381	20893.0	8033.0	18852.0	6961.0	17860.0	15160.0	5931.0	17946.0	7459.0	19478.0	22498.0	6496.0	1969.0	12508.0	16926.0	10380.0	11908.0	5898.0	7054.0	4773.0	24809.0	5515.0	1457.0	2422.0	785.0	12134.0	5771.0	4371.0	3349.0	2446.0
JAK1_E4_STA100382	948.0	407.0	1609.0	350.0	1200.0	766.0	649.0	1627.0	337.0	1047.0	1682.0	546.0	155.0	739.0	1245.0	867.0	778.0	494.0	494.0	360.0	1674.0	489.0	92.0	132.0	52.0	848.0	302.0	357.0	260.0	218.0
JAK1_E3_STA100383	12783.0	5337.0	8614.0	4192.0	8927.0	6017.0	1256.0	7476.0	3609.0	5870.0	11868.0	2370.0	637.0	3554.0	6672.0	4245.0	6203.0	2468.0	3284.0	3064.0	9755.0	2767.0	480.0	697.0	368.0	5197.0	2629.0	1762.0	1498.0	880.0
JAK1_E3_STA100384	16825.0	6890.0	17734.0	5483.0	14894.0	10830.0	2614.0	17187.0	4116.0	12549.0	22020.0	3845.0	1685.0	9628.0	14370.0	6565.0	9492.0	5254.0	6282.0	5225.0	20180.0	5566.0	948.0	1133.0	400.0	9735.0	4497.0	2544.0	2702.0	1228.0
JAK1_E3_STA100385	23520.0	10799.0	26251.0	8266.0	22010.0	17352.0	6564.0	22453.0	9194.0	22553.0	29298.0	7546.0	2869.0	15533.0	22165.0	10827.0	14274.0	7413.0	8244.0	7559.0	29527.0	8932.0	1392.0	2598.0	1192.0	13340.0	7028.0	4874.0	4381.0	3481.0
JAK1_E2_STA100386	13910.0	5778.0	13191.0	5331.0	12822.0	12625.0	5473.0	11447.0	6466.0	11953.0	13753.0	5207.0	1478.0	7993.0	9837.0	7024.0	9707.0	4568.0	5452.0	4050.0	16020.0	3918.0	942.0	1538.0	720.0	9517.0	4398.0	4179.0	2250.0	2477.0
NRAS_E4_STA100001	5486.0	2947.0	7060.0	2237.0	5265.0	3916.0	2212.0	6402.0	1970.0	6959.0	9630.0	1774.0	757.0	4341.0	5517.0	3037.0	3715.0	2526.0	2247.0	2417.0	7444.0	2128.0	458.0	716.0	228.0	3636.0	1999.0	1440.0	1294.0	1079.0
NRAS_E4_STA100002	11627.0	4909.0	12858.0	3801.0	10666.0	8278.0	2876.0	11309.0	3557.0	12674.0	17519.0	2995.0	1462.0	8453.0	10549.0	5492.0	7335.0	4814.0	3474.0	3712.0	14271.0	3725.0	920.0	1829.0	516.0	7035.0	3927.0	2450.0	2707.0	1490.0
NRAS_E3_STA100003	14412.0	7272.0	22847.0	6758.0	17247.0	16960.0	7203.0	21632.0	6785.0	18786.0	17631.0	7460.0	2454.0	12062.0	18987.0	11997.0	14951.0	10162.0	6616.0	5581.0	25140.0	7311.0	941.0	2014.0	1304.0	13573.0	6833.0	5202.0	4658.0	3384.0
NRAS_E3_STA100004	9622.0	3884.0	10662.0	3352.0	8977.0	7379.0	3394.0	9442.0	4703.0	10611.0	8326.0	3945.0	1225.0	5101.0	8185.0	5389.0	7221.0	4207.0	3397.0	3305.0	11172.0	2874.0	871.0	947.0	361.0	7431.0	3302.0	2950.0	1777.0	1835.0
NRAS_E3_STA101617	2426.0	1125.0	1738.0	461.0	1321.0	1519.0	461.0	1253.0	1118.0	2502.0	1941.0	469.0	333.0	684.0	1980.0	821.0	888.0	545.0	517.0	895.0	1567.0	567.0	125.0	101.0	52.0	1618.0	715.0	531.0	410.0	435.0
NRAS_E2_STA100006	6628.0	2268.0	8409.0	2269.0	5981.0	6005.0	2751.0	7013.0	2426.0	6067.0	10104.0	2613.0	829.0	4068.0	5706.0	3475.0	4403.0	2651.0	2415.0	2087.0	9115.0	2993.0	511.0	761.0	387.0	3975.0	2001.0	2369.0	1513.0	1418.0
NRAS_E2_STA100007	20894.0	7080.0	16992.0	6596.0	14487.0	15043.0	4927.0	14697.0	9017.0	15418.0	17597.0	6399.0	1500.0	8087.0	11837.0	9356.0	11847.0	7339.0	5812.0	5183.0	21068.0	5244.0	1477.0	1909.0	834.0	9195.0	5515.0	5133.0	3412.0	2565.0
NRAS_E2_STA100008	18613.0	7244.0	18695.0	6037.0	15178.0	14669.0	5909.0	16355.0	7809.0	17012.0	20441.0	6231.0	1763.0	11249.0	13457.0	8843.0	9936.0	7586.0	5107.0	5146.0	22877.0	5939.0	1360.0	2414.0	814.0	9674.0	6073.0	5136.0	4099.0	3759.0
DDR2_E4_STA100387	22109.0	10646.0	28639.0	11947.0	22934.0	27095.0	10351.0	23369.0	12328.0	29809.0	27856.0	18538.0	2732.0	17774.0	24517.0	16588.0	14517.0	7931.0	8614.0	8086.0	34820.0	10337.0	2048.0	3336.0	1985.0	15503.0	7458.0	18583.0	5721.0	5251.0
DDR2_E5_STA100388	12615.0	5621.0	12898.0	6507.0	11416.0	9498.0	3593.0	12156.0	4505.0	11329.0	13510.0	6610.0	1323.0	8137.0	12413.0	7146.0	7522.0	3125.0	4390.0	4084.0	14781.0	5573.0	902.0	1215.0	1063.0	8076.0	3821.0	8216.0	2898.0	2226.0
DDR2_E5_STA100389	11421.0	3075.0	10580.0	4182.0	7417.0	5810.0	1726.0	9360.0	2471.0	8101.0	10508.0	4881.0	1109.0	4738.0	8582.0	4999.0	6072.0	2009.0	3920.0	2942.0	10056.0	3239.0	461.0	1294.0	529.0	5529.0	2643.0	5146.0	1779.0	888.0
DDR2_E5_STA100390	3960.0	1133.0	3685.0	1312.0	2375.0	2079.0	575.0	3623.0	882.0	2373.0	4155.0	1411.0	298.0	1819.0	2996.0	1434.0	1813.0	917.0	1333.0	871.0	3502.0	1197.0	148.0	459.0	240.0	1871.0	680.0	1763.0	632.0	340.0
DDR2_E6_STA100391	9930.0	2956.0	6269.0	3749.0	6201.0	3688.0	895.0	5613.0	1869.0	4297.0	7662.0	2995.0	657.0	2608.0	5024.0	3093.0	4310.0	1408.0	2836.0	2032.0	7245.0	2074.0	322.0	730.0	347.0	3199.0	1690.0	3288.0	1104.0	552.0
DDR2_E6_STA100392	5323.0	1641.0	4274.0	2076.0	3996.0	2145.0	671.0	3599.0	864.0	2915.0	5106.0	1513.0	453.0	2214.0	3798.0	1922.0	2429.0	1037.0	1462.0	1272.0	4124.0	1378.0	216.0	325.0	268.0	2607.0	905.0	1794.0	735.0	335.0
DDR2_E6_STA100393	48344.0	16940.0	40119.0	19029.0	36294.0	21311.0	5580.0	38418.0	9880.0	29036.0	42373.0	14614.0	3958.0	25021.0	38280.0	17818.0	21768.0	9381.0	13792.0	11927.0	42088.0	15616.0	1964.0	3774.0	1934.0	23981.0	8433.0	14351.0	7232.0	3416.0
DDR2_E6_STA100394	22620.0	6754.0	15719.0	8285.0	14903.0	9307.0	2422.0	12655.0	5047.0	12650.0	24744.0	6193.0	1437.0	10092.0	13823.0	6745.0	8297.0	2766.0	5323.0	5006.0	17719.0	6103.0	804.0	1337.0	1177.0	8587.0	4215.0	7829.0	3408.0	2392.0
DDR2_E7_STA100395	9515.0	2867.0	9705.0	3888.0	8004.0	6272.0	2010.0	7899.0	2758.0	7117.0	12750.0	5118.0	694.0	5017.0	7793.0	4008.0	5290.0	2080.0	3138.0	2201.0	11091.0	3472.0	517.0	967.0	565.0	4611.0	2045.0	4797.0	2072.0	1102.0
DDR2_E7_STA100396	24305.0	6592.0	20565.0	8895.0	16903.0	14260.0	4098.0	19284.0	6318.0	17415.0	24563.0	9788.0	2423.0	11024.0	19465.0	10653.0	13560.0	5388.0	6542.0	5553.0	21087.0	7741.0	1259.0	1919.0	1290.0	12991.0	6125.0	11538.0	4369.0	2018.0
DDR2_E7_STA100397	3068.0	719.0	2158.0	1189.0	1756.0	1427.0	464.0	2003.0	725.0	1618.0	2304.0	1276.0	168.0	817.0	1665.0	1225.0	1566.0	519.0	932.0	607.0	2951.0	707.0	118.0	256.0	125.0	1178.0	698.0	1373.0	388.0	299.0
