	C21D00575	D21D00569T	D21D00578T	D21D00591	D21D00593	D21D00597	D21D00609T	D21D00611T	M21D00568	M21D00589	N21D00564	N21D00580	N21D00608	P21D00567	P21D00573	P21D00584	P21D00586	P21D00588	P21D00594	P21D00595	P21D00596	P21D00598	P21D00599	P21D00605	P21D00606	T21D00581	X21D00548T	X21D00552	X21D00558	X21D00587	X21D00600
JAK1_E25_STA100319	1780.0	1259.0	1304.0	1173.0	1215.0	676.0	148.0	1072.0	1384.0	1666.0	733.0	1802.0	2603.0	752.0	2823.0	1541.0	2286.0	2910.0	1930.0	432.0	1688.0	2974.0	1267.0	1188.0	1319.0	2358.0	945.0	710.0	561.0	763.0	46.0
JAK1_E25_STA100320	1862.0	1208.0	1857.0	1547.0	1601.0	577.0	84.0	1443.0	1717.0	1655.0	775.0	1714.0	2946.0	922.0	3246.0	1705.0	2994.0	3084.0	2187.0	342.0	1737.0	3482.0	1817.0	1496.0	1573.0	2379.0	1089.0	808.0	567.0	1026.0	58.0
JAK1_E25_STA100321	1303.0	832.0	1066.0	757.0	913.0	577.0	108.0	807.0	985.0	1026.0	705.0	1214.0	1662.0	533.0	2206.0	1071.0	1168.0	1984.0	1260.0	302.0	1040.0	2199.0	1058.0	934.0	876.0	1800.0	840.0	640.0	423.0	538.0	84.0
JAK1_E24_STA100322	7098.0	4215.0	7213.0	4891.0	5343.0	3035.0	728.0	6281.0	6871.0	5752.0	3500.0	6567.0	9337.0	3356.0	13092.0	6742.0	8309.0	8369.0	7938.0	1527.0	5284.0	12718.0	7317.0	5073.0	4008.0	8339.0	4518.0	3074.0	2367.0	3584.0	318.0
JAK1_E24_STA100323	7931.0	5284.0	6466.0	5225.0	5112.0	3247.0	519.0	5762.0	7696.0	6485.0	3301.0	5867.0	10360.0	3931.0	12284.0	7315.0	9235.0	10303.0	8006.0	1539.0	6692.0	13182.0	7741.0	5446.0	4449.0	9257.0	4949.0	3341.0	2454.0	3038.0	235.0
JAK1_E24_STA100324	2811.0	1852.0	2297.0	1890.0	2034.0	893.0	194.0	1847.0	1710.0	2247.0	1172.0	1767.0	3536.0	953.0	4275.0	2486.0	3719.0	3514.0	2617.0	499.0	2297.0	4370.0	2438.0	1523.0	1571.0	3114.0	1983.0	1168.0	832.0	1250.0	88.0
JAK1_E23_STA100325	6906.0	3883.0	5883.0	4607.0	4728.0	2725.0	535.0	4795.0	5003.0	5179.0	2817.0	4554.0	7951.0	2650.0	11507.0	6212.0	8412.0	7450.0	6317.0	1280.0	5151.0	12394.0	6189.0	4576.0	4347.0	6795.0	3994.0	2718.0	2252.0	2761.0	242.0
JAK1_E23_STA100326	2058.0	1029.0	1880.0	1468.0	1362.0	532.0	126.0	1333.0	1395.0	1285.0	687.0	1252.0	2807.0	716.0	3195.0	1333.0	2553.0	2103.0	1870.0	318.0	1324.0	3022.0	1611.0	1177.0	1005.0	1672.0	754.0	674.0	714.0	703.0	98.0
JAK1_E22_STA100327	6502.0	5294.0	7082.0	5079.0	5313.0	2759.0	507.0	5472.0	6080.0	6285.0	3236.0	6011.0	8485.0	2744.0	11932.0	6828.0	8340.0	8640.0	7359.0	1449.0	6273.0	11860.0	6041.0	4564.0	3942.0	8895.0	4703.0	2882.0	1930.0	3203.0	258.0
JAK1_E22_STA100328	15508.0	10720.0	14125.0	10592.0	11479.0	7033.0	1144.0	13463.0	15661.0	12665.0	6623.0	13647.0	19795.0	7960.0	25493.0	15417.0	18206.0	17794.0	17585.0	3286.0	13206.0	27819.0	14370.0	11443.0	8840.0	20285.0	10023.0	6138.0	5020.0	6672.0	615.0
JAK1_E22_STA100329	11049.0	6054.0	8837.0	7745.0	7558.0	4094.0	781.0	7545.0	7090.0	8804.0	4606.0	6447.0	13757.0	4292.0	16769.0	8651.0	12399.0	11774.0	11122.0	1361.0	8668.0	17499.0	9589.0	6415.0	5686.0	10891.0	4967.0	4033.0	3284.0	4623.0	273.0
JAK1_E22_STA100330	3988.0	2016.0	3419.0	2861.0	3231.0	1447.0	308.0	3078.0	3492.0	2423.0	1670.0	3167.0	5590.0	1594.0	6004.0	2928.0	4710.0	4434.0	4158.0	443.0	2748.0	7331.0	4367.0	2884.0	2009.0	3594.0	1717.0	1367.0	1080.0	1338.0	86.0
JAK1_E21_STA100331	2012.0	1290.0	1796.0	1399.0	1709.0	935.0	214.0	1635.0	1852.0	1547.0	723.0	2287.0	3130.0	1082.0	3443.0	2047.0	3149.0	2323.0	2224.0	591.0	1822.0	4080.0	1897.0	1483.0	1504.0	2731.0	1473.0	775.0	638.0	965.0	77.0
JAK1_E21_STA100332	8417.0	4875.0	9047.0	6897.0	7600.0	3654.0	882.0	8150.0	9085.0	6146.0	4651.0	8308.0	13082.0	3206.0	17332.0	7756.0	11731.0	9087.0	8713.0	1875.0	8122.0	18473.0	8709.0	6703.0	5398.0	9093.0	5738.0	2991.0	3032.0	4015.0	394.0
JAK1_E21_STA100333	9829.0	7675.0	10200.0	7879.0	7809.0	6240.0	1028.0	11845.0	10663.0	8709.0	3783.0	11987.0	14134.0	5193.0	19089.0	11917.0	14632.0	10297.0	9223.0	2681.0	10046.0	21143.0	9360.0	8540.0	7197.0	15320.0	9480.0	4483.0	3523.0	4820.0	618.0
JAK1_E20_STA100334	3216.0	2267.0	3644.0	2787.0	2665.0	1717.0	256.0	3770.0	2841.0	2831.0	1733.0	3333.0	5578.0	1135.0	7309.0	3302.0	5561.0	2956.0	2808.0	842.0	3855.0	7473.0	2532.0	2745.0	2293.0	5713.0	3155.0	1618.0	1037.0	1044.0	188.0
JAK1_E20_STA100335	12735.0	11621.0	16313.0	9629.0	11041.0	7287.0	645.0	17219.0	15219.0	12833.0	7253.0	17836.0	24740.0	5863.0	29793.0	15535.0	23578.0	14146.0	10529.0	3299.0	17308.0	32306.0	9824.0	12931.0	10007.0	27716.0	10578.0	5614.0	3887.0	4919.0	915.0
JAK1_E20_STA100336	10986.0	12160.0	14988.0	10337.0	10406.0	7537.0	620.0	16762.0	15900.0	11945.0	6472.0	17929.0	23263.0	4835.0	31668.0	14806.0	23193.0	13937.0	11437.0	3192.0	16923.0	33881.0	10303.0	12139.0	10201.0	28290.0	11444.0	6261.0	4301.0	4915.0	407.0
JAK1_E20_STA100337	8751.0	10307.0	12220.0	8483.0	8400.0	7376.0	493.0	14222.0	15555.0	9626.0	5136.0	15954.0	17721.0	4119.0	25508.0	12250.0	18986.0	10968.0	10288.0	2820.0	13777.0	28363.0	8938.0	10407.0	8366.0	23256.0	11813.0	5320.0	3559.0	4716.0	305.0
JAK1_E19_STA100338	4950.0	4967.0	6790.0	4426.0	4757.0	3831.0	273.0	6464.0	6114.0	4802.0	2798.0	8904.0	9864.0	2694.0	13029.0	6734.0	10339.0	5609.0	4371.0	1361.0	6260.0	13273.0	4390.0	5168.0	3852.0	11255.0	5927.0	2920.0	1762.0	1860.0	128.0
JAK1_E19_STA100339	5214.0	3713.0	5858.0	4498.0	4581.0	2788.0	462.0	6896.0	5811.0	3794.0	2473.0	6546.0	9209.0	2159.0	11341.0	4936.0	9793.0	4539.0	5027.0	1379.0	5252.0	12136.0	4652.0	4482.0	3119.0	7354.0	4137.0	2738.0	1684.0	1840.0	350.0
JAK1_E19_STA101785	9504.0	5884.0	10018.0	7842.0	8461.0	5635.0	906.0	13351.0	11082.0	7462.0	4358.0	13096.0	15476.0	4289.0	20718.0	9525.0	14504.0	7880.0	9019.0	2230.0	8918.0	20993.0	10136.0	9142.0	6222.0	13341.0	8115.0	4117.0	3471.0	4435.0	624.0
JAK1_E18_STA100341	11732.0	11264.0	15685.0	10929.0	12525.0	8136.0	883.0	19449.0	16400.0	12833.0	5883.0	19094.0	24390.0	6736.0	32221.0	16165.0	22187.0	12758.0	12335.0	2818.0	15613.0	35415.0	13141.0	11648.0	9779.0	25005.0	11408.0	7036.0	5065.0	5064.0	374.0
JAK1_E18_STA100342	1423.0	1392.0	2359.0	1291.0	1259.0	656.0	130.0	1937.0	1777.0	1516.0	896.0	2417.0	3367.0	708.0	3540.0	2018.0	3095.0	2268.0	1452.0	576.0	2009.0	3620.0	1240.0	1482.0	1448.0	3988.0	1118.0	881.0	602.0	665.0	48.0
JAK1_E17_STA100343	5700.0	6187.0	7872.0	5082.0	5190.0	4776.0	431.0	7986.0	5681.0	5524.0	3196.0	10199.0	10514.0	2689.0	14444.0	7390.0	11549.0	5111.0	5589.0	1708.0	8555.0	13562.0	4229.0	5147.0	4936.0	14547.0	7844.0	2499.0	2436.0	2412.0	336.0
JAK1_E17_STA100344	6227.0	5019.0	7619.0	5408.0	6104.0	5060.0	670.0	9745.0	7534.0	4761.0	2765.0	9844.0	10335.0	2723.0	15221.0	6746.0	11242.0	4796.0	5863.0	1716.0	6625.0	14946.0	5969.0	5747.0	4097.0	9862.0	6594.0	2504.0	2458.0	2252.0	436.0
JAK1_E17_STA100345	4300.0	4305.0	5235.0	3383.0	3404.0	2980.0	252.0	6572.0	5678.0	3519.0	2017.0	7012.0	7672.0	1592.0	9919.0	4934.0	8285.0	4155.0	3293.0	1284.0	5714.0	11425.0	3417.0	4764.0	3031.0	9415.0	4773.0	2075.0	1502.0	1470.0	193.0
JAK1_E16_STA100346	4968.0	6289.0	9457.0	5941.0	5945.0	4772.0	400.0	10565.0	1807.0	5715.0	3217.0	9084.0	14090.0	2324.0	18075.0	8192.0	13318.0	5036.0	5562.0	1938.0	9566.0	19857.0	5256.0	6506.0	5459.0	14794.0	7819.0	3380.0	2295.0	2822.0	335.0
JAK1_E16_STA100347	2145.0	2330.0	3108.0	2133.0	1970.0	1522.0	87.0	3151.0	2447.0	2191.0	1324.0	4081.0	5087.0	775.0	6280.0	3404.0	5302.0	2169.0	1640.0	1077.0	4363.0	6551.0	1563.0	2502.0	2151.0	5695.0	2446.0	1243.0	846.0	727.0	145.0
JAK1_E15_STA100348	7656.0	8956.0	10581.0	7254.0	7619.0	6554.0	636.0	13769.0	10353.0	8211.0	3993.0	15320.0	18097.0	3699.0	23679.0	10245.0	18040.0	6784.0	6259.0	2997.0	12232.0	23078.0	6440.0	8670.0	7166.0	20980.0	10562.0	3595.0	2674.0	3416.0	486.0
JAK1_E15_STA100349	4169.0	5065.0	6330.0	4167.0	4372.0	4064.0	360.0	8012.0	7396.0	3800.0	1977.0	8471.0	8122.0	2167.0	12690.0	5965.0	8408.0	3188.0	4529.0	1500.0	5977.0	13301.0	4730.0	5039.0	3889.0	9964.0	5751.0	1855.0	1413.0	1528.0	387.0
JAK1_E14_STA100350	3344.0	2907.0	6281.0	3988.0	4524.0	2758.0	255.0	6612.0	4267.0	3332.0	1842.0	6762.0	8084.0	1436.0	11860.0	3927.0	8513.0	3308.0	3653.0	1130.0	5544.0	12166.0	3596.0	3958.0	3272.0	6788.0	3784.0	1824.0	1633.0	1736.0	223.0
JAK1_E14_STA100351	794.0	829.0	1089.0	863.0	744.0	652.0	102.0	1137.0	848.0	873.0	407.0	1378.0	2018.0	336.0	2894.0	1185.0	2332.0	814.0	705.0	320.0	1390.0	2295.0	553.0	743.0	892.0	2005.0	1254.0	467.0	286.0	396.0	56.0
JAK1_E13_STA100352	3057.0	3196.0	4578.0	3306.0	3264.0	1998.0	250.0	5493.0	3358.0	3080.0	1961.0	5046.0	6841.0	1385.0	8874.0	4007.0	6996.0	2739.0	2894.0	942.0	4492.0	9483.0	2801.0	3512.0	2827.0	7677.0	3522.0	2077.0	1387.0	1724.0	234.0
JAK1_E13_STA100353	929.0	844.0	1305.0	827.0	951.0	553.0	52.0	1108.0	1259.0	939.0	471.0	1407.0	2190.0	286.0	2777.0	1236.0	2037.0	994.0	778.0	364.0	1750.0	2480.0	570.0	987.0	1034.0	2145.0	790.0	448.0	289.0	343.0	42.0
JAK1_E12_STA100354	3733.0	3805.0	4989.0	3559.0	3817.0	3127.0	367.0	5182.0	3307.0	3412.0	2147.0	4947.0	7929.0	1338.0	10161.0	4500.0	7639.0	3324.0	2892.0	1201.0	5337.0	8778.0	2847.0	3323.0	3392.0	8460.0	5028.0	2215.0	1205.0	1492.0	362.0
JAK1_E12_STA100355	16725.0	16326.0	26461.0	14322.0	16570.0	15768.0	971.0	29494.0	18316.0	14563.0	7852.0	24690.0	31456.0	6461.0	44377.0	21842.0	33868.0	13371.0	14432.0	5033.0	25204.0	51500.0	15752.0	17042.0	11592.0	35332.0	22160.0	8622.0	5817.0	6242.0	730.0
JAK1_E11_STA100356	9724.0	8831.0	12368.0	8620.0	9241.0	7439.0	822.0	14423.0	12751.0	9879.0	4495.0	15849.0	15449.0	4910.0	19432.0	12133.0	15029.0	10895.0	10959.0	2577.0	11245.0	23110.0	10164.0	9442.0	7192.0	18470.0	12174.0	4190.0	3300.0	3054.0	366.0
JAK1_E11_STA100357	4507.0	4383.0	5882.0	3932.0	3991.0	3758.0	428.0	6626.0	6020.0	4309.0	2199.0	7249.0	8244.0	2262.0	10843.0	5667.0	8303.0	5099.0	5454.0	1307.0	4606.0	11534.0	4849.0	4453.0	3807.0	9593.0	6227.0	2079.0	1994.0	1907.0	168.0
JAK1_E11_STA100358	4761.0	3554.0	5795.0	3955.0	4253.0	2259.0	386.0	4909.0	3854.0	4266.0	2397.0	4214.0	9012.0	1837.0	9788.0	5522.0	8493.0	5570.0	4503.0	1039.0	5274.0	10773.0	4001.0	3850.0	3819.0	8284.0	3597.0	2212.0	1524.0	2690.0	264.0
JAK1_E10_STA100359	1675.0	1848.0	2276.0	1577.0	1441.0	1126.0	149.0	2264.0	2060.0	2005.0	838.0	3705.0	4153.0	702.0	4581.0	2221.0	4113.0	2579.0	1709.0	651.0	3154.0	4859.0	1163.0	2004.0	1805.0	4591.0	2012.0	1015.0	535.0	734.0	84.0
JAK1_E10_STA100360	8343.0	6401.0	12425.0	8237.0	8844.0	5820.0	613.0	13476.0	11227.0	7515.0	3788.0	12927.0	15935.0	2951.0	22014.0	9270.0	15546.0	7206.0	8878.0	2364.0	10867.0	25331.0	9451.0	8840.0	6068.0	11942.0	6865.0	4236.0	2880.0	3066.0	429.0
JAK1_E9_STA100361	3248.0	2381.0	3728.0	2781.0	2721.0	1998.0	304.0	3605.0	2953.0	2594.0	1480.0	3575.0	5420.0	879.0	7574.0	3382.0	6412.0	2866.0	2379.0	724.0	3932.0	8158.0	2540.0	2501.0	2315.0	5530.0	3122.0	1384.0	1185.0	1427.0	133.0
JAK1_E9_STA100362	5183.0	3699.0	6626.0	4586.0	4671.0	2934.0	428.0	6200.0	4975.0	3968.0	2380.0	6567.0	9260.0	1829.0	13419.0	5337.0	10447.0	4457.0	4098.0	1223.0	6261.0	13197.0	4611.0	4355.0	3466.0	8697.0	4496.0	2186.0	2046.0	2301.0	197.0
JAK1_E9_STA100363	8726.0	8582.0	12193.0	9087.0	7927.0	8976.0	1056.0	14509.0	12999.0	8358.0	5177.0	15837.0	15891.0	5451.0	21733.0	12514.0	16953.0	8766.0	8255.0	2668.0	11731.0	23574.0	9469.0	9738.0	7325.0	20930.0	12786.0	4292.0	3549.0	4523.0	604.0
JAK1_E8_STA100364	6053.0	4784.0	5575.0	4369.0	4207.0	2915.0	574.0	4896.0	5360.0	4715.0	2549.0	4882.0	7592.0	3005.0	10796.0	6252.0	7412.0	7071.0	5494.0	1481.0	4953.0	9843.0	6451.0	4414.0	3627.0	7892.0	4794.0	2393.0	2284.0	2584.0	344.0
JAK1_E8_STA100365	13671.0	8999.0	12611.0	10146.0	9956.0	5488.0	857.0	10772.0	11477.0	11408.0	5473.0	9530.0	19789.0	5628.0	25607.0	13344.0	18876.0	16481.0	11722.0	2719.0	13273.0	26799.0	13255.0	9097.0	8803.0	14281.0	7570.0	5657.0	4329.0	5278.0	541.0
JAK1_E8_STA100366	9985.0	7671.0	9958.0	8045.0	7778.0	4601.0	807.0	8363.0	9806.0	10022.0	4523.0	9362.0	15945.0	5214.0	19534.0	10954.0	13979.0	14780.0	9984.0	2472.0	11285.0	21184.0	10522.0	7647.0	7494.0	11793.0	6493.0	4572.0	3158.0	4028.0	468.0
JAK1_E8_STA100367	1456.0	1300.0	1672.0	1413.0	1137.0	782.0	138.0	1518.0	2021.0	1919.0	842.0	1974.0	3467.0	903.0	3260.0	1758.0	2743.0	2999.0	1653.0	524.0	2194.0	3575.0	1573.0	1264.0	1400.0	2463.0	1162.0	920.0	609.0	880.0	93.0
JAK1_E7_STA100368	13365.0	9933.0	13129.0	10142.0	10402.0	7014.0	1244.0	11569.0	11001.0	11605.0	5652.0	10235.0	16263.0	6968.0	21566.0	13751.0	16308.0	16181.0	15039.0	2504.0	11261.0	23394.0	14626.0	9464.0	7222.0	16618.0	9140.0	4770.0	4652.0	5553.0	709.0
JAK1_E7_STA100369	3268.0	1435.0	2442.0	2257.0	2152.0	719.0	174.0	1880.0	2348.0	2085.0	1141.0	2063.0	4135.0	1289.0	5148.0	2314.0	3688.0	3997.0	3192.0	579.0	1785.0	5101.0	2777.0	1976.0	1605.0	2802.0	1289.0	1262.0	1025.0	1415.0	94.0
JAK1_E7_STA100370	3276.0	2322.0	2871.0	2321.0	2375.0	1553.0	397.0	2400.0	3411.0	2963.0	1564.0	3176.0	4459.0	1897.0	5349.0	3440.0	4438.0	4486.0	3814.0	708.0	2884.0	5518.0	3217.0	2188.0	2119.0	3919.0	2821.0	1340.0	1045.0	1374.0	136.0
JAK1_E7_STA100371	10130.0	6743.0	9829.0	7240.0	7666.0	4669.0	548.0	8195.0	9764.0	10511.0	5175.0	8775.0	15449.0	5452.0	18070.0	10160.0	13016.0	15186.0	11379.0	1850.0	8603.0	19656.0	10060.0	7481.0	7519.0	13159.0	6284.0	3660.0	3711.0	4483.0	284.0
JAK1_E7_STA100372	2690.0	881.0	2502.0	1900.0	1942.0	526.0	66.0	1530.0	1809.0	1581.0	1082.0	1616.0	3876.0	950.0	3912.0	1639.0	2724.0	2968.0	2380.0	566.0	1751.0	4169.0	1804.0	1366.0	1306.0	1841.0	912.0	783.0	664.0	1002.0	72.0
JAK1_E6_STA100373	1133.0	1255.0	1566.0	1139.0	793.0	528.0	60.0	1276.0	1372.0	1230.0	694.0	999.0	2375.0	534.0	3157.0	1566.0	1967.0	1699.0	1280.0	400.0	1576.0	3199.0	1272.0	1006.0	920.0	2147.0	976.0	868.0	522.0	605.0	52.0
JAK1_E6_STA100374	4508.0	4726.0	6630.0	4233.0	4519.0	3146.0	398.0	5872.0	6722.0	5410.0	2542.0	7061.0	9665.0	2682.0	11622.0	6474.0	8661.0	6497.0	5119.0	1413.0	6045.0	12195.0	5512.0	4338.0	3581.0	9599.0	4641.0	2864.0	1709.0	2591.0	290.0
JAK1_E6_STA100375	5148.0	9864.0	13600.0	9671.0	4840.0	7699.0	808.0	13961.0	12373.0	11080.0	4611.0	14136.0	15667.0	4771.0	21303.0	12048.0	12547.0	11352.0	8949.0	2742.0	12079.0	24114.0	10742.0	9563.0	6965.0	19137.0	10461.0	5388.0	3916.0	4453.0	203.0
JAK1_E5_STA100376	4627.0	3691.0	5105.0	4029.0	3979.0	2508.0	346.0	5012.0	3857.0	4130.0	2629.0	4652.0	8093.0	1718.0	10455.0	5318.0	8899.0	5463.0	3916.0	1034.0	5417.0	11548.0	4367.0	4030.0	3184.0	8689.0	3923.0	2549.0	1700.0	2225.0	167.0
JAK1_E5_STA100377	16279.0	14237.0	20644.0	12905.0	14249.0	11493.0	1264.0	21891.0	19430.0	15368.0	6681.0	22602.0	26388.0	7731.0	34400.0	17247.0	26626.0	16353.0	13493.0	4621.0	19063.0	38564.0	18152.0	15140.0	11780.0	29385.0	16456.0	7724.0	5282.0	6355.0	738.0
JAK1_E5_STA100378	2731.0	1674.0	3250.0	2146.0	2544.0	669.0	96.0	3156.0	2616.0	2566.0	1422.0	3383.0	6169.0	930.0	6617.0	2372.0	4622.0	2942.0	2411.0	790.0	2881.0	6009.0	2670.0	2431.0	2111.0	3750.0	1246.0	1560.0	753.0	1358.0	154.0
JAK1_E5_STA101781	6208.0	6045.0	8402.0	5773.0	6215.0	5513.0	572.0	9291.0	9350.0	6608.0	3036.0	10711.0	11664.0	3338.0	18258.0	8966.0	12844.0	7497.0	6813.0	1881.0	7946.0	18543.0	7891.0	6592.0	5162.0	12727.0	7757.0	3434.0	2512.0	2716.0	232.0
JAK1_E4_STA100380	10279.0	6728.0	11448.0	8207.0	8386.0	5236.0	551.0	11914.0	8502.0	9720.0	4459.0	10926.0	16123.0	3952.0	19055.0	11183.0	16173.0	11416.0	10861.0	1788.0	9453.0	20504.0	10750.0	7605.0	7179.0	17309.0	8726.0	4884.0	3024.0	4823.0	312.0
JAK1_E4_STA100381	11528.0	9168.0	13263.0	8534.0	8925.0	6323.0	835.0	12244.0	13495.0	11363.0	6265.0	13523.0	16428.0	6833.0	20337.0	13785.0	17086.0	14096.0	13222.0	2659.0	12541.0	23570.0	12028.0	9305.0	8060.0	18834.0	8562.0	5676.0	3127.0	4757.0	355.0
JAK1_E4_STA100382	606.0	345.0	552.0	387.0	518.0	211.0	36.0	380.0	427.0	630.0	292.0	511.0	1066.0	297.0	1084.0	576.0	1005.0	1025.0	567.0	184.0	709.0	1125.0	361.0	504.0	404.0	1021.0	347.0	306.0	216.0	338.0	30.0
JAK1_E3_STA100383	3510.0	2570.0	4978.0	3525.0	3578.0	2451.0	376.0	4687.0	4036.0	3232.0	1771.0	4841.0	5924.0	1488.0	8672.0	3843.0	5976.0	3999.0	3930.0	892.0	3685.0	8788.0	3868.0	3042.0	2450.0	5213.0	2817.0	1632.0	1284.0	1485.0	158.0
JAK1_E3_STA100384	7841.0	8198.0	9543.0	6690.0	6725.0	4956.0	539.0	9325.0	8177.0	9623.0	3648.0	11902.0	17517.0	3628.0	19290.0	10882.0	13665.0	11185.0	8206.0	2374.0	10447.0	20094.0	8016.0	7543.0	7309.0	16996.0	7850.0	4436.0	2911.0	3455.0	277.0
JAK1_E3_STA100385	12742.0	9409.0	14456.0	10040.0	10364.0	7332.0	986.0	12331.0	14661.0	11916.0	4992.0	13866.0	18219.0	6355.0	24252.0	12830.0	18808.0	15255.0	11037.0	3031.0	13036.0	27781.0	12393.0	11270.0	8437.0	19346.0	11262.0	6201.0	3931.0	4732.0	585.0
JAK1_E2_STA100386	9796.0	4416.0	8782.0	6681.0	7038.0	3876.0	524.0	8074.0	8306.0	6439.0	4155.0	8614.0	11202.0	4384.0	14297.0	7701.0	11878.0	10304.0	8798.0	1626.0	6460.0	16726.0	9979.0	5755.0	4741.0	8008.0	5125.0	3203.0	3178.0	3957.0	582.0
NRAS_E4_STA100001	3434.0	3267.0	4395.0	3200.0	2773.0	2360.0	293.0	3407.0	4502.0	3358.0	2124.0	6868.0	6621.0	1974.0	6459.0	4097.0	5591.0	4347.0	3515.0	829.0	3990.0	4112.0	2828.0	2826.0	2279.0	6251.0	2672.0	1752.0	1275.0	1119.0	122.0
NRAS_E4_STA100002	5994.0	5221.0	7189.0	6480.0	4779.0	4007.0	454.0	7141.0	7835.0	5723.0	3470.0	10824.0	10207.0	3000.0	13401.0	6390.0	10303.0	7025.0	5230.0	1461.0	6939.0	8187.0	5593.0	5198.0	4037.0	11800.0	5653.0	2860.0	2400.0	2256.0	185.0
NRAS_E3_STA100003	12948.0	8440.0	14909.0	14131.0	11158.0	5661.0	1069.0	10767.0	10173.0	12832.0	6781.0	15930.0	21521.0	5760.0	25210.0	12942.0	18835.0	17536.0	11562.0	2918.0	13137.0	14418.0	12417.0	9597.0	7955.0	15960.0	7097.0	6406.0	4268.0	5499.0	258.0
NRAS_E3_STA100004	6219.0	3772.0	7144.0	5861.0	5384.0	2823.0	533.0	6142.0	6535.0	5404.0	3034.0	9582.0	11183.0	2811.0	12204.0	6341.0	9890.0	9758.0	5932.0	1435.0	5337.0	7516.0	7131.0	5234.0	3804.0	7092.0	3001.0	3202.0	1948.0	3199.0	258.0
NRAS_E3_STA101617	1259.0	854.0	1855.0	1287.0	1185.0	695.0	105.0	1839.0	1473.0	1671.0	533.0	1400.0	2948.0	477.0	2636.0	1523.0	3014.0	3178.0	894.0	284.0	1296.0	1614.0	1734.0	1105.0	717.0	2160.0	745.0	717.0	331.0	657.0	49.0
NRAS_E2_STA100006	3034.0	2404.0	3314.0	2803.0	2338.0	1674.0	299.0	2378.0	3205.0	2990.0	1434.0	5698.0	5137.0	1657.0	6080.0	4001.0	4732.0	5096.0	3370.0	814.0	3412.0	3052.0	3002.0	2519.0	1707.0	6701.0	2617.0	1556.0	1354.0	1562.0	264.0
NRAS_E2_STA100007	8918.0	6547.0	11772.0	11424.0	8891.0	4910.0	716.0	11275.0	11951.0	8840.0	5032.0	16336.0	14900.0	4744.0	20370.0	9655.0	13522.0	13170.0	11438.0	1980.0	8362.0	12812.0	12625.0	8974.0	5828.0	14810.0	6218.0	4042.0	3753.0	4351.0	252.0
NRAS_E2_STA100008	7199.0	6881.0	9542.0	8446.0	6238.0	5704.0	668.0	8660.0	10305.0	7937.0	4129.0	14939.0	11131.0	4457.0	16293.0	9662.0	11378.0	12021.0	8426.0	2465.0	8817.0	9271.0	9528.0	7317.0	4835.0	13475.0	6799.0	3727.0	3398.0	3699.0	558.0
DDR2_E4_STA100387	13092.0	14625.0	15253.0	14411.0	10815.0	8885.0	738.0	17867.0	22234.0	13376.0	13367.0	24685.0	23201.0	10010.0	25172.0	15289.0	20690.0	25285.0	16186.0	3309.0	12265.0	28402.0	16714.0	14732.0	10181.0	17936.0	12190.0	6537.0	4673.0	5683.0	557.0
DDR2_E5_STA100388	4901.0	6855.0	6731.0	6373.0	4586.0	4385.0	480.0	8234.0	10166.0	5499.0	5367.0	12418.0	9465.0	4338.0	12089.0	6629.0	10330.0	8335.0	4927.0	1313.0	6401.0	11333.0	5015.0	6605.0	4074.0	9384.0	5544.0	2916.0	2000.0	2984.0	372.0
DDR2_E5_STA100389	3600.0	5074.0	5542.0	5094.0	3971.0	2738.0	212.0	7364.0	5125.0	4970.0	4485.0	8899.0	10025.0	2125.0	9994.0	5220.0	9460.0	7274.0	4276.0	1181.0	5518.0	11525.0	3944.0	4779.0	3560.0	8824.0	4478.0	2521.0	1854.0	2166.0	150.0
DDR2_E5_STA100390	1103.0	1821.0	1770.0	1520.0	1033.0	1013.0	94.0	2434.0	2294.0	1665.0	1268.0	3723.0	3167.0	770.0	2839.0	1540.0	2794.0	2612.0	1358.0	282.0	2231.0	3074.0	1144.0	1531.0	1188.0	3377.0	1544.0	751.0	457.0	656.0	68.0
DDR2_E6_STA100391	2410.0	2894.0	4015.0	4032.0	2843.0	1914.0	257.0	4975.0	5109.0	2764.0	2426.0	6701.0	6443.0	1275.0	6892.0	2787.0	5993.0	4272.0	3003.0	734.0	3322.0	7996.0	2683.0	3716.0	2125.0	4174.0	2483.0	1417.0	1073.0	1274.0	128.0
DDR2_E6_STA100392	1681.0	2301.0	2724.0	2762.0	1962.0	1386.0	90.0	3704.0	2946.0	2094.0	1918.0	4240.0	5144.0	931.0	5206.0	2678.0	4192.0	2926.0	1734.0	414.0	2687.0	5939.0	1783.0	2433.0	1869.0	3476.0	2218.0	1305.0	699.0	761.0	76.0
DDR2_E6_STA100393	12699.0	24447.0	24513.0	23707.0	16995.0	16131.0	1397.0	34522.0	36095.0	17478.0	14528.0	50085.0	42335.0	10302.0	43802.0	24083.0	37362.0	28072.0	17247.0	4820.0	26926.0	51858.0	15984.0	23264.0	16620.0	37457.0	21133.0	10888.0	4737.0	7614.0	458.0
DDR2_E6_STA100394	5272.0	9187.0	8978.0	7544.0	5878.0	6225.0	507.0	12457.0	14125.0	6614.0	5990.0	17139.0	12940.0	4120.0	16048.0	8478.0	14132.0	10066.0	5624.0	1871.0	7899.0	16200.0	6598.0	8003.0	5250.0	12998.0	9131.0	3676.0	2284.0	2586.0	262.0
