	C21D00575	D21D00569T	D21D00578T	D21D00591	D21D00593	D21D00597	D21D00609T	D21D00611T	M21D00568	M21D00589	N21D00564	N21D00580	N21D00608	P21D00567	P21D00573	P21D00584	P21D00586	P21D00588	P21D00594	P21D00595	P21D00596	P21D00598	P21D00599	P21D00605	P21D00606	T21D00581	X21D00548T	X21D00552	X21D00558	X21D00587	X21D00600
KIT_E15_STA101448	6895.0	5025.0	9733.0	6395.0	7423.0	5123.0	732.0	8898.0	12548.0	7340.0	4024.0	8571.0	13841.0	3100.0	13301.0	8118.0	10760.0	11653.0	9786.0	1637.0	6998.0	14776.0	10627.0	6799.0	5049.0	8272.0	4560.0	3482.0	2197.0	3482.0	148.0
KIT_E16_STA101449	11237.0	8536.0	14918.0	10501.0	11528.0	6491.0	630.0	13331.0	16975.0	14278.0	6717.0	11767.0	24463.0	4424.0	22088.0	15410.0	19556.0	20629.0	13016.0	2981.0	12384.0	23938.0	15098.0	10875.0	9187.0	16996.0	7512.0	6769.0	3560.0	6292.0	328.0
KIT_E17_STA100230	3941.0	2380.0	4860.0	3140.0	3701.0	2476.0	334.0	4567.0	7028.0	3619.0	2444.0	5621.0	7889.0	2018.0	7337.0	4637.0	6983.0	7521.0	5910.0	925.0	3697.0	6349.0	4359.0	3478.0	2743.0	5791.0	3705.0	2354.0	1142.0	2040.0	162.0
KIT_E17_STA100231	8985.0	5872.0	10460.0	7747.0	8352.0	5249.0	794.0	9794.0	13979.0	9092.0	5082.0	10742.0	19480.0	3643.0	16930.0	10108.0	15550.0	16255.0	12977.0	1835.0	8511.0	15479.0	9975.0	7442.0	6659.0	12774.0	7151.0	5132.0	2871.0	5022.0	278.0
KIT_E17_STA100232	9526.0	6777.0	11056.0	8365.0	8195.0	7520.0	974.0	11234.0	14073.0	9539.0	4599.0	13061.0	17268.0	3887.0	15410.0	12039.0	15393.0	15036.0	13889.0	2459.0	7480.0	15722.0	11661.0	7824.0	6407.0	14169.0	8209.0	4606.0	3045.0	4512.0	278.0
KIT_E18_STA100233	4424.0	2750.0	4782.0	3133.0	3456.0	2402.0	301.0	3929.0	6469.0	3692.0	2139.0	4698.0	7576.0	1704.0	8175.0	4416.0	7825.0	6079.0	5170.0	810.0	3555.0	8015.0	5234.0	3231.0	2629.0	5395.0	3158.0	2548.0	1266.0	1984.0	146.0
KIT_E18_STA100234	5025.0	2918.0	6705.0	5162.0	6205.0	3302.0	404.0	6133.0	9681.0	5193.0	3022.0	5934.0	9132.0	1974.0	10374.0	5287.0	8593.0	7602.0	6866.0	1140.0	5042.0	10478.0	7793.0	4409.0	3212.0	5902.0	2978.0	2974.0	1698.0	2429.0	56.0
KIT_E19_STA101450	7909.0	6405.0	10207.0	7305.0	7932.0	5248.0	578.0	9249.0	11412.0	8633.0	4706.0	8849.0	16382.0	2744.0	15591.0	10141.0	14876.0	13069.0	10537.0	2197.0	8220.0	16276.0	10509.0	7356.0	6526.0	12111.0	5847.0	4573.0	3399.0	3801.0	105.0
KIT_E20_STA101451	7682.0	7469.0	11904.0	8524.0	8491.0	5200.0	563.0	10054.0	17470.0	11622.0	5050.0	11229.0	21237.0	3342.0	18756.0	10702.0	16701.0	16340.0	8799.0	2817.0	11210.0	21223.0	10663.0	9275.0	7876.0	16622.0	5212.0	6347.0	2728.0	4702.0	177.0
KIT_E21_STA101452	12099.0	13070.0	21874.0	14553.0	15648.0	15471.0	1378.0	25809.0	30784.0	18606.0	7401.0	30894.0	31912.0	5263.0	29847.0	20057.0	28586.0	23549.0	17864.0	3328.0	17881.0	30661.0	18497.0	15694.0	10424.0	33603.0	17504.0	8391.0	4806.0	6564.0	422.0
