	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
13q13_BRCA2_E11_STA100561	58399	97695	33868	37641	15356	19277	10142	10854	61995	59402	16031	14	715	11004	20888	20128	9541	10426	14558	3603	4	10	3	10	20	16	6	14	91	68	138	16908
13q13_BRCA2_E11_STA100562	58620	96515	30669	36298	15269	19590	9191	10415	63129	60282	15368	14	744	11746	20858	18932	9233	10433	14309	3616	6	8	4	10	20	14	6	6	98	68	144	16189
13q13_BRCA2_E11_STA100563	55860	109050	56409	72056	15124	14924	10783	11876	44734	60528	26324	10	1314	13562	20084	21075	11538	13261	18548	4969	113	4	12	12	16	8	8	8	140	68	226	29711
13q13_BRCA2_E11_STA100564	28828	75719	38721	50157	7882	5469	6996	6865	18196	34022	20260	8	874	7544	9707	14117	7318	8267	10976	3062	122	2	12	8	10	2	4	6	74	4	154	21971
13q13_BRCA2_E11_STA100565	29412	77189	39910	50810	7776	5462	7960	7041	18898	35152	23006	18	849	6796	9823	15630	7244	7763	11818	3042	128	4	10	12	8	2	10	10	74	6	186	23599
13q13_BRCA2_E11_STA100566	19088	43190	17028	19632	5547	6777	4981	4810	21738	20955	10894	16	290	4329	6400	9206	3240	3288	5437	1548	36	4	2	8	2	6	6	6	18	2	80	10825
13q13_BRCA2_E11_STA100567	16851	35080	15186	16162	4313	5669	4376	4492	18379	18492	9236	14	276	3688	5410	7568	2725	2396	4625	1183	26	2	0	6	0	6	10	4	8	2	88	9262
13q13_BRCA2_E11_STA100568	30142	54812	29765	29874	7349	10504	7640	9329	28838	27811	9506	4	332	7023	8880	11770	6099	5186	7016	2147	22	6	6	6	2	8	4	4	10	97	36	15673
13q13_BRCA2_E11_STA100569	43572	77651	37908	39738	10417	14332	9993	12079	42541	38592	11757	38	625	10395	12602	16957	7977	7191	9003	3382	6	8	8	8	10	4	4	8	114	100	32	19755
13q13_BRCA2_E11_STA100570	80337	140687	61352	68161	21515	28629	15854	18627	90702	75879	23049	54	1340	18410	26503	32051	11587	13725	19050	6147	8	14	14	12	22	12	8	103	128	170	100	34484
13q13_BRCA2_E11_STA100571	68666	118546	50429	54514	18787	23949	13260	13807	79732	66036	21376	56	1264	15716	23388	26549	8488	11882	16374	5672	18	10	8	8	24	10	8	100	176	78	114	27686
13q13_BRCA2_E11_STA100572	57482	97031	42602	45722	16074	20864	10918	11689	68694	56644	17980	24	936	12965	19972	21628	6994	10222	14441	4457	20	8	8	6	16	10	8	96	72	76	119	23839
13q13_BRCA2_E11_STA100573	52498	90918	30845	44393	12344	17278	8898	10969	61498	63886	12889	66	942	10305	17101	15657	6295	7384	11906	2665	68	14	10	14	12	14	36	10	82	16	233	18586
13q13_BRCA2_E11_STA100574	43781	77865	21670	37737	10317	14621	6254	9296	53378	55508	9588	64	841	8197	14237	13122	4923	5542	9990	1711	54	12	10	14	8	12	36	10	26	10	210	14818
13q13_BRCA2_E11_STA100575	61590	109299	35384	55736	14804	21839	9421	14470	73617	74814	13447	66	1316	12278	19074	18120	8580	8548	13544	2642	92	16	10	14	12	14	36	12	32	65	253	21264
13q13_BRCA2_E11_STA100576	50757	89466	30497	43323	11788	17500	7581	12068	59760	60883	10622	62	1175	10126	15310	13430	7142	7416	10790	2222	80	10	8	12	10	10	6	8	151	64	170	16655
13q13_BRCA2_E11_STA100577	25839	48815	22920	27100	6896	10296	5915	7709	29623	27849	7121	2	594	6449	7932	8337	5404	5145	5709	1842	58	4	2	0	4	4	0	2	136	58	54	10409
13q13_BRCA2_E11_STA100578	17989	34384	18686	18479	4727	5756	5095	5032	20017	18177	5841	4	223	4360	5829	6101	3335	3867	4032	1772	20	0	2	2	0	4	0	8	130	6	28	7240
13q13_BRCA2_E11_STA100579	13188	26509	13566	13872	3596	4280	3676	3510	14696	13455	4417	4	166	3081	4264	4704	2422	2660	3028	1310	2	0	0	2	0	2	0	8	0	6	26	5304
13q13_BRCA2_E11_STA101754	17815	36551	15469	17372	4558	5642	4389	4502	20207	18474	6002	4	159	3512	5509	6844	2707	3055	3958	1374	12	0	4	3	8	5	30	9	1	5	38	7058
13q13_BRCA2_E11_STA100581	15737	35134	13808	15377	4063	5011	4082	4227	19267	17388	6338	4	135	3056	4548	7772	2284	2448	3543	1076	14	2	6	2	12	4	44	4	2	0	112	7566
13q13_BRCA2_E11_STA100582	33655	67143	30558	35131	9040	11683	7751	9141	40744	37274	11202	6	600	7264	10838	13853	4769	5920	7831	2091	14	18	8	8	16	6	44	10	10	4	138	17009
13q13_BRCA2_E11_STA100583	33669	67173	30581	35153	9044	11690	7757	9144	40768	37294	11205	6	600	7268	10842	13856	4772	5923	7834	2094	14	18	8	8	16	6	44	10	10	4	138	17016
13q13_BRCA2_E11_STA100584	38796	77639	33778	38288	10458	13746	8067	9957	45904	43011	12795	6	745	8446	12961	15853	5270	6830	9358	2444	6	18	8	12	14	6	30	10	10	6	124	18350
13q13_BRCA2_E11_STA100585	33595	63263	28745	32984	9085	12179	6417	8968	39375	36091	9909	8	807	8029	11575	12799	4979	6390	8347	2162	2	18	86	10	30	6	2	6	10	6	36	15634
13q13_BRCA2_E11_STA100586	22362	46869	19447	20196	6092	7972	4718	5717	25079	23125	8472	8	398	6139	8072	9435	4383	4459	5400	1830	2	4	86	6	38	4	4	0	12	8	30	9691
13q13_BRCA2_E11_STA100587	35124	67613	31709	35885	9046	12020	8411	8484	45840	37661	15507	12	522	9124	12469	11413	7107	6464	8250	2568	6	4	86	10	42	4	8	2	18	6	122	16001
13q13_BRCA2_E11_STA100588	55558	100501	56828	60995	15455	19356	15085	14847	72281	57327	23049	8	702	13068	18961	17325	11307	10749	12983	3922	6	6	8	20	24	6	14	4	26	8	118	26713
13q13_BRCA2_E11_STA100589	58727	102799	54064	64318	15875	20173	14688	15109	76242	61504	22293	20	704	12439	18715	18684	10445	10713	13762	3622	8	6	8	26	18	10	66	4	28	58	106	26298
13q13_BRCA2_E11_STA100590	50922	89202	43873	51545	13770	17225	11897	13286	59240	50201	15981	20	674	10889	14851	17693	8500	9968	10960	3251	6	6	8	18	12	12	60	2	60	60	14	21174
13q13_BRCA2_E11_STA100591	29471	54720	18648	28640	7087	9592	5319	6504	31194	31053	8491	22	366	6556	8913	12117	3807	5428	6010	1674	4	2	6	12	6	8	54	0	54	62	16	10391
13q13_BRCA2_E11_STA100592	34180	62347	28093	32739	8313	10865	7475	8567	34870	34715	10707	8	520	8513	11088	13963	5108	6160	6817	2181	4	2	12	6	1	4	0	0	47	6	39	13989
13q13_BRCA2_E11_STA100593	23335	41980	23121	25660	5890	7462	6072	6665	24534	25126	8273	4	322	5830	8128	10219	3824	3949	5078	1450	2	2	10	6	2	0	0	0	10	4	40	11113
13q13_BRCA2_E11_STA100594	24138	46623	21726	22600	6212	7470	5825	6222	25263	26102	7942	12	324	5940	7708	9248	3724	4126	4955	1889	48	6	12	4	2	2	2	0	8	4	42	10685
13q13_BRCA2_E11_STA100595	19163	39108	20095	19367	5387	6247	5320	5544	22436	23414	6396	12	214	4915	6006	7883	3802	3572	4665	1694	46	6	8	16	2	4	2	2	24	4	30	9890
13q13_BRCA2_E11_STA100596	23385	47351	25305	23903	6514	7466	6675	6717	25292	27349	7988	12	305	6438	7533	9801	4701	4289	5801	2282	46	6	8	16	2	10	2	4	30	10	62	12331
13q13_BRCA2_E11_STA100597	18378	38095	21411	19905	5197	6209	5632	5614	20622	22106	7088	0	304	4977	6077	9111	3932	3146	4922	1548	4	2	4	14	4	8	2	4	40	6	55	10545
13q13_BRCA2_E11_STA100598	29321	59503	27857	30712	9439	10476	7443	7292	37037	31772	11966	19	256	7076	10958	14178	4749	5529	7872	2415	10	4	6	2	6	8	22	6	138	34	78	13603
13q13_BRCA2_E11_STA100599	27161	58042	27696	31635	9221	10411	7517	7436	36396	30987	11232	22	115	6523	10648	13454	4711	5341	7224	2287	10	6	6	2	4	2	22	6	162	40	52	12945
13q13_BRCA2_E11_STA100600	29377	57332	30161	34513	9763	10864	8348	7914	39017	33879	11750	21	224	6931	11037	13337	5253	5690	7550	2377	6	6	6	2	4	2	42	6	175	44	56	13866
13q13_BRCA2_E11_STA100601	10020	19983	12507	13692	3052	3708	3682	3243	11758	13570	4094	2	208	2448	3545	4248	2236	1855	2248	880	0	2	0	0	2	0	22	2	60	16	16	5454
13q13_BRCA2_E12_STA101760	5536	14415	6700	7215	1749	1980	2100	1724	6579	5726	4612	6	70	1250	1987	2672	988	828	1696	478	10	0	0	0	2	0	0	2	48	14	8	3880
13q13_BRCA2_E12_STA100603	5538	14418	6698	7215	1749	1980	2099	1724	6582	5725	4610	6	70	1250	1986	2672	988	828	1696	477	10	0	0	0	2	0	0	2	48	14	8	3881
13q13_BRCA2_E13_STA103257	11400	22358	12914	12904	2826	3548	3226	2894	12135	11460	8586	0	476	3216	3492	5248	2136	2116	2888	1014	0	2	4	0	2	0	0	2	54	6	14	7174
13q13_BRCA2_E13_STA100605	11399	22358	12914	12904	2826	3548	3226	2894	12136	11460	8586	0	476	3216	3492	5248	2136	2116	2888	1014	0	2	4	0	2	0	0	2	54	6	14	7174
13q13_BRCA2_E14_STA100606	31139	47542	25921	26888	7490	9478	6314	7648	28773	30930	10342	0	372	6841	7478	8879	3812	4643	5192	2458	8	4	2	0	8	0	12	6	10	18	54	11726
13q13_BRCA2_E14_STA100607	33754	53319	29090	30331	8472	10558	7130	8427	31719	34684	11770	4	396	7739	8612	10721	4377	5125	6026	2763	12	4	2	2	8	4	12	6	14	18	68	13382
13q13_BRCA2_E14_STA100608	12184	24656	15353	16478	4062	5042	3707	3911	15865	16906	5274	4	154	3859	4281	6768	2436	2070	3227	1266	6	2	3	2	4	22	0	2	8	6	32	7269
13q13_BRCA2_E14_STA100609	10894	23819	12857	14890	3565	4338	3806	3301	14842	14578	5420	4	80	3269	4300	5901	1811	1932	3069	1042	4	0	6	2	0	32	0	0	6	0	34	7070
13q13_BRCA2_E14_STA100610	8288	18065	9700	11461	2584	3263	2994	2522	11907	10839	4002	0	56	2378	3166	4062	1248	1454	2234	738	0	0	6	0	0	28	0	0	2	0	20	5409
13q13_BRCA2_E15_STA100611	31098	48519	28421	35407	9426	11280	7501	8688	41711	33350	12148	6	531	6897	9425	12670	4973	3851	7342	1917	4	4	4	0	10	10	6	4	41	38	184	14490
13q13_BRCA2_E15_STA100612	41255	65711	41357	45577	12230	14899	11592	11513	53490	46627	17764	6	824	9988	12910	16272	7133	5960	10288	2964	10	76	8	2	12	12	6	4	44	62	260	20462
13q13_BRCA2_E15_STA100613	30126	48009	37287	37307	9057	11215	10239	9330	35774	32359	14299	4	578	8449	9965	12010	6219	5235	7899	2690	10	72	8	2	6	10	0	2	42	24	198	17112
13q13_BRCA2_E16_STA101759	6933	15561	10847	10157	2349	2537	2769	2518	9248	8600	3954	14	88	2290	2536	3221	1615	1473	2456	718	4	0	20	0	2	0	0	2	12	0	38	4759
13q13_BRCA2_E16_STA100615	12831	26254	16507	18090	3918	4338	4591	4263	17396	16253	6092	22	192	3728	4273	5357	2563	2334	4051	994	8	4	20	2	2	2	0	4	26	2	70	7606
13q13_BRCA2_E16_STA100616	9725	17601	10625	12078	2617	2952	3003	2891	12931	11811	3867	22	174	2497	2892	3790	1618	1498	2609	540	8	4	2	2	2	2	0	2	26	2	68	5069
13q13_BRCA2_E17_STA100617	21288	28632	23881	24577	6441	8774	7730	6394	26915	18218	12097	4	192	6046	5661	6952	3216	3240	5738	1792	4	10	6	2	6	22	24	6	30	4	56	9820
13q13_BRCA2_E17_STA100618	29735	47569	29411	34743	8873	12335	9444	8449	38422	29993	15165	4	398	7735	9226	10509	4560	4339	7919	2317	4	12	6	2	10	24	24	12	56	6	60	13055
13q13_BRCA2_E17_STA100619	17885	24853	7669	17028	5026	6986	3546	3670	25111	18436	6768	4	270	4183	5645	5484	1796	1652	4104	896	2	6	2	0	4	14	12	8	28	6	4	4302
13q13_BRCA2_E18_STA100620	30557	52889	21230	25070	7544	9501	5121	6983	32589	30455	7118	2	454	7246	8696	10706	3704	5110	5747	2021	4	6	2	2	4	22	14	0	4	12	98	10085
13q13_BRCA2_E18_STA100621	32938	56157	23150	27693	8255	10697	5747	7604	35349	33386	7793	2	460	8092	9755	11426	4084	5479	6397	2189	4	6	2	2	6	22	14	0	4	12	98	11112
13q13_BRCA2_E18_STA100622	52737	75595	40859	51745	13447	16018	11980	11311	59584	61082	16206	4	812	11605	14788	14895	6994	8422	11381	3277	62	16	2	12	38	4	108	0	170	16	402	21702
13q13_BRCA2_E18_STA100623	30439	40938	27981	34553	7928	9223	8840	6982	36921	39030	11698	2	498	6723	8848	8292	4504	5032	7434	1930	58	14	0	10	34	2	98	0	168	4	368	15264
13q13_BRCA2_E19_STA100624	23117	38765	30194	24328	7042	7660	8625	6414	25931	24727	14600	10	284	7041	6936	9237	4737	5246	6344	2531	68	4	6	0	2	4	44	0	104	10	86	13627
13q13_BRCA2_E19_STA100625	37070	68345	51477	48913	13523	13289	14970	12137	48315	43240	21582	14	429	10852	12811	18947	6965	7181	10950	3944	134	6	12	6	2	6	44	6	106	18	88	24241
13q13_BRCA2_E19_STA100626	19068	38021	28526	31019	7889	7398	8340	7385	28047	24679	9784	4	254	5343	7357	12042	3486	2808	5798	1922	134	4	8	6	0	4	0	6	64	16	44	13980
13q13_BRCA2_E20_STA100627	5815	11445	6131	6417	1807	2227	2064	1453	8919	6130	2571	0	64	1533	1855	3166	799	669	1492	584	0	2	4	0	0	4	2	8	6	0	14	2777
13q13_BRCA2_E20_STA100628	5830	11483	6153	6436	1815	2236	2070	1458	8947	6141	2586	0	64	1536	1865	3178	802	670	1498	584	0	2	4	0	0	4	2	8	6	0	14	2793
13q13_BRCA2_E21_STA100629	11134	18532	11033	11978	3170	3652	3691	3090	13102	12959	6194	6	235	3333	3487	4365	1672	1917	2697	1165	24	14	6	18	0	0	0	0	31	6	107	5575
13q13_BRCA2_E21_STA100630	11172	18595	11072	12028	3184	3666	3706	3099	13157	13008	6218	6	238	3344	3499	4375	1680	1932	2703	1170	24	14	6	18	0	0	0	0	32	6	108	5598
13q13_BRCA2_E22_STA100631	85453	118231	63570	68899	20362	26958	15804	18776	80184	76281	23305	42	676	17763	22583	26332	11451	14021	18211	6589	71	10	14	14	18	14	23	8	111	10	128	34265
13q13_BRCA2_E22_STA100632	91710	131660	70563	75408	22117	28982	17690	20342	86500	83274	25713	44	764	19549	24419	29313	12443	15082	19640	7286	74	12	14	14	20	16	26	8	124	10	128	37410
13q13_BRCA2_E22_STA100633	58049	81650	40158	42118	13211	18307	11048	11391	49262	50112	15047	6	546	13529	13866	17386	7840	10043	11768	5332	72	6	6	6	6	4	11	4	28	2	68	20186
13q13_BRCA2_E23_STA100634	9587	15992	10219	10770	2640	2669	2855	2697	11945	11459	5240	2	302	2279	3265	3567	1341	1859	2752	740	66	6	4	0	0	0	2	4	16	0	36	5934
13q13_BRCA2_E23_STA100635	16188	29322	19538	18635	4607	4650	5872	4972	19003	19119	8014	2	360	4262	5411	6291	2626	3496	4443	1397	68	10	8	2	0	2	8	4	16	0	36	9222
13q13_BRCA2_E23_STA100636	25032	47688	29236	28889	7152	7607	8118	7892	27626	26303	9040	4	564	6163	8291	9415	4692	5276	7017	2033	70	10	8	4	0	2	14	2	14	6	76	12535
13q13_BRCA2_E23_STA100637	25035	47689	29235	28890	7153	7606	8116	7891	27631	26304	9041	4	564	6165	8291	9416	4693	5278	7018	2034	70	10	8	4	0	2	14	2	14	6	76	12535
13q13_BRCA2_E24_STA100638	21390	44254	25402	25466	6118	6967	7259	7081	24574	22993	7007	4	412	5545	7563	8721	4216	4424	5963	1788	4	6	6	4	0	2	14	0	18	6	46	10129
13q13_BRCA2_E24_STA100639	14797	30954	16095	17602	4150	4989	4238	4812	17526	15348	4241	4	354	3568	5414	6004	2930	2790	4272	1128	2	2	2	2	0	0	8	0	18	6	46	6855
13q13_BRCA2_E25_STA100640	10191	24945	6622	8006	2644	3672	1687	2062	9334	9750	3077	0	76	2684	2839	3855	1470	1629	2696	659	40	4	2	0	4	4	2	0	2	2	12	3458
13q13_BRCA2_E25_STA101752	24167	57054	16173	20521	6824	8863	4027	5483	25860	26814	7402	5	272	6600	7635	9827	4092	4815	6162	1922	43	6	3	2	6	10	2	1	11	6	126	8921
13q13_BRCA2_E25_STA100642	23372	52787	16200	20548	6203	8534	3969	5693	25254	24824	6837	6	237	6666	7170	9121	4239	4825	5707	1914	44	4	2	2	4	14	0	2	10	4	130	8931
13q13_BRCA2_E25_STA100643	24373	53512	17627	21516	6454	8607	4402	6039	28303	28269	7819	6	320	6713	7604	9852	4255	4891	6022	1925	36	4	2	2	3	12	0	2	16	4	145	10193
13q13_BRCA2_E25_STA100644	11363	20565	7696	8565	2289	3351	1925	2829	13096	12042	3192	2	124	2548	2866	4095	1711	1620	2387	569	14	4	2	0	0	8	0	2	8	0	38	4886
13q13_BRCA2_E26_STA100645	29181	47184	24277	31012	7075	9527	5540	7471	37750	29695	7798	6	238	5906	8470	10301	4612	4812	5586	1598	2	2	2	4	4	8	16	4	20	8	8	11440
13q13_BRCA2_E26_STA100646	54592	81858	49316	57358	13228	16627	12722	13292	68634	54253	17972	50	616	10826	15165	18860	7894	9179	10899	3124	8	8	6	10	8	20	18	10	70	164	138	24347
13q13_BRCA2_E26_STA100647	34439	52714	31390	36273	8576	10233	8505	8292	44367	34096	12588	48	458	6540	9664	12001	4608	5916	7189	1940	8	6	6	10	6	16	6	6	52	158	136	16710
13q13_BRCA2_E27_STA100648	10855	22587	7158	9035	2778	3422	1664	2319	13906	11426	2559	4	122	2526	3378	5248	920	1844	1988	756	20	2	0	0	4	6	2	0	16	0	30	3602
13q13_BRCA2_E27_STA100649	32434	53500	18620	27466	8533	10731	4393	6065	36843	32660	6459	4	380	7150	9772	14030	3582	4925	6793	1619	22	6	2	4	8	16	2	8	22	2	58	9275
13q13_BRCA2_E27_STA100650	36889	56380	26708	33305	9793	12290	6346	7967	40282	38988	7761	0	734	8209	11359	14370	4977	5558	8273	2106	11	7	4	6	4	16	0	8	14	10	68	12165
13q13_BRCA2_E27_STA100651	43817	74085	28897	37236	11257	14888	6895	9155	47119	47973	9419	0	814	9150	13682	18498	5516	6104	9614	2318	14	8	8	8	12	18	6	12	16	10	57	13862
13q13_BRCA2_E27_STA100652	45683	82643	36346	40290	11478	15748	7921	12935	54409	49309	9559	8	1244	10519	13920	18546	6536	6818	9210	2992	12	8	14	8	14	12	6	8	18	14	130	16794
13q13_BRCA2_E27_STA100653	37261	70468	24097	29292	8734	12588	5063	10036	46103	37873	7418	14	806	8430	10553	14950	4807	5215	6719	2175	2	4	12	14	18	10	6	8	24	6	126	12313
13q13_BRCA2_E27_STA100654	28408	48669	21919	24500	7002	9499	4526	8677	36490	26969	5684	14	716	7236	7810	10391	4256	4586	5092	1959	0	4	8	12	10	6	0	4	20	6	119	10405
17q11_NF1_E1_STA103253	32	58	38	52	14	14	6	26	164	68	20	0	0	6	12	38	4	2	8	2	0	0	0	0	0	0	0	0	0	0	0	34
17q11_NF1_E2_STA100793	31226	24459	21166	28518	7327	9213	6767	7792	61460	40815	8644	6	564	6525	10176	14306	5468	5599	6892	2182	4	16	6	10	24	22	56	16	16	8	114	12176
17q11_NF1_E2_STA100794	32530	26181	24407	31434	7958	9875	8294	8529	63642	42365	10174	6	593	7166	11187	15092	5904	6145	7453	2455	4	13	6	8	22	21	56	15	33	29	135	13655
17q11_NF1_E2_STA100795	17489	15418	18055	20388	4727	5631	6290	5328	34875	20562	6260	2	320	4572	6770	7681	3513	4279	4140	1794	0	2	0	4	16	10	56	10	20	24	34	9019
17q11_NF1_E3_STA100796	10561	9568	6076	10087	2591	2922	2521	2682	17121	10882	5388	0	228	1835	3774	6299	1793	2103	2902	774	4	0	0	2	0	6	24	8	0	16	38	4859
17q11_NF1_E3_STA100797	12732	11058	8126	12587	3128	3451	3278	3251	21323	12971	6705	0	288	2380	4428	7243	2108	2572	3532	932	4	0	0	2	0	6	24	12	0	18	46	6031
17q11_NF1_E3_STA100798	11163	9562	7592	10965	2759	3052	2990	2929	17502	10861	6028	0	227	2169	3765	6247	1938	2362	3142	862	0	0	0	2	0	4	24	12	0	14	16	5509
17q11_NF1_E4_STA100799	12987	9652	9519	13661	3062	3525	3389	3814	27322	13832	5781	4	178	2628	4637	6406	2030	2566	3274	856	12	2	6	4	4	2	34	2	28	4	28	7738
17q11_NF1_E4_STA100800	17004	12160	12616	17824	4059	4507	4524	4993	36454	18909	7787	6	284	3539	5881	7672	2659	3332	4160	1130	14	2	6	4	4	2	38	4	28	6	32	9467
17q11_NF1_E4_STA100801	4824	3497	3714	5109	1228	1196	1292	1514	10457	5957	2474	2	112	1231	1564	1686	776	966	1084	381	2	0	2	0	0	0	4	2	0	4	4	2135
17q11_NF1_E5_STA100802	3631	3817	4038	8236	1298	1489	1820	1339	13580	6851	3017	18	144	1142	1898	2443	741	638	1252	457	3	0	2	1	3	3	0	4	4	8	32	2700
17q11_NF1_E5_STA100803	6242	6554	6593	11577	2042	2220	2832	2354	19360	9903	5018	20	188	1896	2740	4134	1210	899	1884	674	4	0	2	2	4	4	7	4	6	8	36	4292
17q11_NF1_E5_STA100804	3408	3844	2972	4612	974	1018	1222	1226	7868	4339	2588	4	44	910	1208	2284	620	344	842	274	2	0	0	2	2	4	8	0	4	0	4	2062
17q11_NF1_E6_STA100805	15788	13524	16998	18006	3920	4778	6305	5279	30639	18602	9441	18	450	4529	4775	7677	4102	4089	4481	1348	18	2	10	6	2	4	2	8	14	2	72	9076
17q11_NF1_E6_STA100806	15796	13532	17004	18009	3921	4778	6303	5282	30661	18607	9442	18	450	4531	4774	7677	4104	4091	4486	1348	18	2	10	6	2	4	2	8	14	2	72	9080
17q11_NF1_E7_STA100807	15142	13400	10771	13931	3616	4194	3640	3734	27424	12370	5343	4	370	3212	4271	6845	2810	2634	3247	1487	54	10	4	2	2	0	18	6	10	0	2	7068
17q11_NF1_E7_STA100808	15624	13749	10967	14422	3692	4336	3708	3798	28599	13034	5460	4	382	3317	4423	7095	2883	2711	3347	1510	54	10	4	2	2	0	20	6	10	0	2	7241
17q11_NF1_E8_STA100809	14399	11856	9888	15964	3690	4893	3026	3878	29461	17682	5460	4	296	3390	5606	9353	2753	2430	4094	1142	4	12	34	4	2	2	40	10	26	4	10	6710
17q11_NF1_E8_STA100810	16259	13978	11806	17696	4106	5474	3557	4606	33001	20144	6342	4	312	3807	6226	10335	3209	2860	4512	1316	12	12	34	6	2	2	42	10	26	4	12	7739
17q11_NF1_E8_STA100811	13728	11123	11164	15829	3753	4689	3319	4156	27936	16500	5473	2	270	3428	5333	8963	2860	2550	3956	1210	12	8	34	6	2	0	38	6	22	4	10	7060
17q11_NF1_E9_STA100812	26892	17633	19347	28409	6360	8534	6544	8213	52952	30577	9138	2	340	4974	9116	11333	6060	5693	6241	1575	20	0	2	4	6	8	2	8	16	2	38	12948
17q11_NF1_E9_STA100813	32338	22591	23612	34448	7643	10361	8459	9792	63569	35880	12441	4	436	7076	10460	12933	7144	6814	7462	2118	20	0	2	6	6	10	2	8	20	2	120	15682
17q11_NF1_E9_STA101830	30571	20925	22993	33586	7306	9790	8280	9487	60604	34483	11921	4	390	6822	9858	11983	6845	6528	7004	2048	20	0	2	6	6	8	2	8	18	2	104	15086
17q11_NF1_E10_STA101819	11801	10648	7706	13574	2987	4103	2941	3476	25983	14902	4386	2	137	3081	3810	5392	3180	2653	2643	774	0	0	0	4	10	4	8	2	0	2	10	5011
17q11_NF1_E10_STA100816	11906	10715	7803	13687	3002	4119	2984	3521	26194	15008	4432	2	140	3107	3824	5447	3218	2670	2663	780	0	0	0	4	10	4	8	2	0	2	10	5063
17q11_NF1_E10_STA100817	8867	8050	6711	10456	2226	3019	2427	2805	19766	10809	3537	1	92	2512	2754	4218	2660	2080	1816	647	0	0	0	2	8	3	6	1	0	1	9	3987
17q11_NF1_E11_STA100818	6088	5477	4336	6585	1533	1671	1812	1501	13772	8796	2039	2	74	1378	2126	3394	1227	1184	1376	424	0	8	0	0	0	0	6	0	68	8	44	2513
17q11_NF1_E11_STA100819	6042	5450	4298	6541	1525	1655	1797	1494	13689	8735	2026	2	72	1367	2114	3368	1220	1175	1361	422	0	8	0	0	0	0	6	0	54	7	43	2492
17q11_NF1_E12_STA100820	34799	26358	28867	37185	8715	11243	9905	10294	66560	40755	8601	146	634	8553	13009	14552	8291	7945	8588	2761	6	8	8	8	10	10	4	8	76	36	252	16906
17q11_NF1_E12_STA100821	35558	27458	29261	37738	8928	11455	9992	10500	67879	41804	8811	146	724	8783	13325	15102	8412	8098	8833	2881	6	8	10	8	10	12	4	8	78	36	254	17173
17q11_NF1_E12_STA100822	18190	16187	13213	19487	4944	6003	4214	5709	36389	19894	3516	142	502	4693	7502	8706	4765	4114	4023	1700	2	2	8	2	4	10	4	4	12	2	104	7977
17q11_NF1_E13_STA103254	34443	31528	23925	29385	7362	8896	8344	9662	70955	29234	13281	8	390	7432	9167	14566	7591	7411	7094	2790	14	10	6	12	16	12	6	12	24	4	15	13869
17q11_NF1_E13_STA100824	34555	31631	24000	29513	7389	8926	8374	9706	71182	29350	13330	8	390	7460	9193	14615	7626	7432	7129	2798	14	10	6	12	16	12	6	12	24	4	16	13916
17q11_NF1_E13_STA103210	34570	31635	24006	29535	7386	8930	8367	9706	71210	29360	13331	8	389	7459	9200	14624	7634	7436	7130	2800	14	10	6	12	16	12	6	12	24	4	16	13920
17q11_NF1_E14_STA100826	10392	9207	5161	11270	2337	3785	2037	3280	20566	14853	3138	2	186	2194	3565	5192	1412	1590	2698	552	8	12	0	2	0	4	8	0	32	4	137	3905
17q11_NF1_E14_STA100827	17031	14050	14544	19990	4312	5905	5160	5609	35873	22872	6241	14	316	4125	5788	8013	3280	3015	4581	1309	12	12	0	2	0	4	8	0	52	4	213	8057
17q11_NF1_E14_STA100828	16488	13535	14465	19500	4230	5770	5122	5536	34613	22394	6175	14	314	4063	5576	7590	3255	2969	4359	1294	12	12	0	2	0	4	8	0	52	4	213	7952
17q11_NF1_E15_STA100829	11204	9889	9662	10727	1926	3839	3894	3756	22582	13369	5320	10	158	2353	3577	6059	2398	2224	3154	920	2	2	2	4	4	2	2	0	40	0	194	6134
17q11_NF1_E15_STA100830	10556	9385	9124	10125	1824	3575	3704	3507	21202	12532	5034	10	152	2198	3397	5661	2264	2101	2948	876	2	2	2	4	3	2	2	0	36	0	183	5789
17q11_NF1_E16_STA100831	10509	8975	7372	9569	2142	2880	2849	2396	19042	10837	4056	2	118	2431	2955	4322	1964	1865	2171	898	14	2	2	2	4	2	20	4	118	10	22	4989
17q11_NF1_E16_STA100832	10528	8984	7383	9576	2146	2881	2850	2397	19059	10847	4060	2	118	2436	2956	4326	1963	1868	2176	900	14	2	2	2	4	2	20	4	118	10	22	4992
17q11_NF1_E17_STA100833	6848	5818	3873	6764	1521	1729	1508	1558	12807	6165	1769	2	173	1355	1836	3985	1296	1043	1161	514	2	2	2	0	0	4	0	2	33	0	8	2546
17q11_NF1_E17_STA100834	11373	10315	9186	11972	2620	2946	3308	3208	22281	11950	3653	2	352	2587	3422	5991	2614	2331	2450	939	2	4	2	0	2	4	0	2	60	0	38	5470
17q11_NF1_E17_STA100835	8363	7550	6212	8148	1888	2034	2116	2175	15577	8698	2360	0	232	1760	2492	3803	1704	1692	1772	568	0	4	2	0	2	0	0	0	60	0	30	3816
