	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
4q12_KIT_E8_STA100215	12411	11674	10256	15156	3048	3540	3583	3958	56954	58057	4803	28	284	3207	3867	5144	2622	1894	8838	897	16	12	2	2	4	10	4	4	159	4	124	6790
4q12_KIT_E8_STA100216	12426	11690	10270	15172	3052	3541	3588	3970	57016	58112	4805	28	284	3215	3874	5145	2623	1897	8852	898	16	12	2	2	4	10	4	4	160	4	124	6792
4q12_KIT_E9_STA101621	30610	38950	18239	35214	9537	9422	6706	9388	133128	125517	9621	26	1057	9771	11713	11753	5199	5775	23135	2802	20	8	24	6	24	18	32	10	98	12	122	13411
4q12_KIT_E9_STA100218	30662	38986	18284	35279	9544	9434	6713	9401	133305	125708	9635	26	1057	9767	11722	11767	5211	5780	23165	2807	20	8	24	6	24	18	32	10	98	12	122	13437
4q12_KIT_E9_STA100219	20241	24635	12967	23508	6112	6202	4643	6386	87534	83801	6703	23	665	6029	7564	7957	3512	3695	15511	1780	16	4	17	3	13	11	28	7	55	10	85	9395
4q12_KIT_E10_STA100220	24528	26707	18331	29020	6756	6470	6712	7585	109277	110736	11412	6	474	6430	8327	9655	4936	3713	20311	1913	76	12	12	12	10	4	28	12	102	18	216	11608
4q12_KIT_E10_STA101446	28885	32896	20700	32953	7962	7948	7622	8692	127319	128651	12859	6	546	7551	9965	11948	5605	4368	22750	2382	80	14	12	12	12	18	28	12	102	20	238	13178
4q12_KIT_E10_STA100221	28884	32892	20700	32949	7963	7948	7622	8692	127307	128633	12857	6	546	7550	9963	11949	5605	4368	22747	2383	80	14	12	12	12	18	28	12	102	20	238	13177
4q12_KIT_E11_STA100222	26958	31465	22719	30988	7410	7965	7936	8933	114886	109248	10138	12	778	6725	9421	11691	5906	4161	17614	2514	38	8	8	12	10	16	34	8	44	26	278	12957
4q12_KIT_E11_STA100223	21381	23207	14340	22843	5389	6604	5258	6021	81780	81500	6537	14	644	4953	7151	8290	4200	3036	12929	1651	40	10	4	6	8	18	20	2	24	12	272	9574
4q12_KIT_E11_STA100224	17022	17024	11978	18908	4187	5124	4351	4921	63752	63619	5090	14	572	3833	5513	5997	3536	2380	10486	1182	36	8	4	6	6	4	20	2	24	10	250	8001
4q12_KIT_E12_STA101447	8790	10166	2514	6752	1772	2214	1192	1778	35488	41856	3434	6	54	1556	2870	3536	1076	986	4914	242	6	6	0	2	8	2	2	2	4	12	42	2946
4q12_KIT_E13_STA100225	44407	39181	19261	39391	11096	11471	7380	9501	164887	156820	14695	18	924	10174	13402	10554	7658	7594	22332	2810	12	10	22	12	20	2	16	6	28	4	212	14339
4q12_KIT_E13_STA101622	44401	39175	19257	39382	11095	11470	7378	9497	164887	156807	14697	18	924	10172	13400	10552	7658	7593	22333	2808	12	10	22	12	20	2	16	6	28	4	212	14338
4q12_KIT_E14_STA100227	14892	13731	10125	12618	3090	3596	3250	3968	57897	55338	4988	6	256	3703	4115	4776	2968	2631	7871	1527	10	4	0	6	2	10	4	22	60	8	26	6054
